"SerialID","Index","Datetime_UTC","Button Down","Button Up","Host Connected","End of File","Variable","Value"
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","15",2022-07-19 01:06:20,NA,NA,NA,NA,"Lux",1573.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","16",2022-07-19 02:06:20,NA,NA,NA,NA,"Temperature",7.38
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","16",2022-07-19 02:06:20,NA,NA,NA,NA,"Lux",875.52
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","17",2022-07-19 03:06:20,NA,NA,NA,NA,"Temperature",8.83
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","17",2022-07-19 03:06:20,NA,NA,NA,NA,"Lux",596.8
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","18",2022-07-19 04:06:20,NA,NA,NA,NA,"Temperature",6.78
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","18",2022-07-19 04:06:20,NA,NA,NA,NA,"Lux",468.48
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","19",2022-07-19 05:06:20,NA,NA,NA,NA,"Temperature",6.65
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","19",2022-07-19 05:06:20,NA,NA,NA,NA,"Lux",809.92
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","20",2022-07-19 06:06:20,NA,NA,NA,NA,"Temperature",6.56
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","20",2022-07-19 06:06:20,NA,NA,NA,NA,"Lux",870.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","21",2022-07-19 07:06:20,NA,NA,NA,NA,"Temperature",6.78
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","21",2022-07-19 07:06:20,NA,NA,NA,NA,"Lux",1928.32
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","22",2022-07-19 08:06:20,NA,NA,NA,NA,"Temperature",7.55
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","22",2022-07-19 08:06:20,NA,NA,NA,NA,"Lux",4677.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","23",2022-07-19 09:06:20,NA,NA,NA,NA,"Temperature",6.86
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","23",2022-07-19 09:06:20,NA,NA,NA,NA,"Lux",5209.6
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","24",2022-07-19 10:06:20,NA,NA,NA,NA,"Temperature",9.18
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","24",2022-07-19 10:06:20,NA,NA,NA,NA,"Lux",12057.6
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","25",2022-07-19 11:06:20,NA,NA,NA,NA,"Temperature",15.74
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","25",2022-07-19 11:06:20,NA,NA,NA,NA,"Lux",37468.16
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","26",2022-07-19 12:06:20,NA,NA,NA,NA,"Temperature",19.73
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","26",2022-07-19 12:06:20,NA,NA,NA,NA,"Lux",28067.84
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","27",2022-07-19 13:06:20,NA,NA,NA,NA,"Temperature",20.63
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","27",2022-07-19 13:06:20,NA,NA,NA,NA,"Lux",11842.56
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","28",2022-07-19 14:06:20,NA,NA,NA,NA,"Temperature",20.37
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","28",2022-07-19 14:06:20,NA,NA,NA,NA,"Lux",11443.2
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","29",2022-07-19 15:06:20,NA,NA,NA,NA,"Temperature",26.12
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","29",2022-07-19 15:06:20,NA,NA,NA,NA,"Lux",44646.4
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","30",2022-07-19 16:06:20,NA,NA,NA,NA,"Temperature",32.34
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","30",2022-07-19 16:06:20,NA,NA,NA,NA,"Lux",59002.88
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","31",2022-07-19 17:06:20,NA,NA,NA,NA,"Temperature",32.69
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","31",2022-07-19 17:06:20,NA,NA,NA,NA,"Lux",60661.76
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","32",2022-07-19 18:06:20,NA,NA,NA,NA,"Temperature",23.21
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","32",2022-07-19 18:06:20,NA,NA,NA,NA,"Lux",31344.64
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","33",2022-07-19 19:06:20,NA,NA,NA,NA,"Temperature",18.14
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","33",2022-07-19 19:06:20,NA,NA,NA,NA,"Lux",14970.88
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","34",2022-07-19 20:06:20,NA,NA,NA,NA,"Temperature",12.7
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","34",2022-07-19 20:06:20,NA,NA,NA,NA,"Lux",10664.96
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","35",2022-07-19 21:06:20,NA,NA,NA,NA,"Temperature",11.11
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","35",2022-07-19 21:06:20,NA,NA,NA,NA,"Lux",9431.04
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","36",2022-07-19 22:06:20,NA,NA,NA,NA,"Temperature",12.22
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","36",2022-07-19 22:06:20,NA,NA,NA,NA,"Lux",8924.16
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","37",2022-07-19 23:06:20,NA,NA,NA,NA,"Temperature",9.52
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","37",2022-07-19 23:06:20,NA,NA,NA,NA,"Lux",3820.8
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","38",2022-07-20 00:06:20,NA,NA,NA,NA,"Temperature",7.33
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","38",2022-07-20 00:06:20,NA,NA,NA,NA,"Lux",2434.56
"users/egallois/groundtruthing/10082022_HOBO_Pendants/21420208 2022-08-08 13_44_10 MDT (Data MDT).csv","39",2022-07-20 01:06:20,NA,NA,NA,NA,"Temperature",6.56
