"Date","mean_temp"
2021-07-29,8.70144314236111
2021-07-30,4.56287977430556
2021-07-31,4.70122612847222
2021-08-01,5.11165364583333
2021-08-02,5.20974392361111
2021-08-03,5.77007378472222
2021-08-04,5.43207465277778
2021-08-05,5.88525390625
2021-08-06,6.42854817708333
2021-08-07,6.82595486111111
2021-08-08,6.27723524305556
2021-08-09,5.07389322916667
2021-08-10,4.68542729591837
2021-08-11,4.60118272569444
2021-08-12,4.71869574652778
2021-08-13,4.62950303819444
2021-08-14,4.62494574652778
2021-08-15,4.05691189236111
2021-08-16,3.84434678819444
2021-08-17,4.03776041666667
2021-08-18,3.83745659722222
2021-08-19,4.00699869791667
2021-08-20,3.76991102430556
2021-08-21,3.21137152777778
2021-08-22,2.73562282986111
2021-08-23,2.91688368055556
2021-08-24,3.44889322916667
2021-08-25,3.390625
2021-08-26,3.19086371527778
2021-08-27,3.03656684027778
2021-08-28,2.66254340277778
2021-08-29,1.86577690972222
2021-08-30,1.49517144097222
2021-08-31,1.26736111111111
2021-09-01,1.13682725694444
2021-09-02,1.18495008680556
2021-09-03,1.36409505208333
2021-09-04,1.66937934027778
2021-09-05,2.11512586805556
2021-09-06,2.20562065972222
2021-09-07,2.14230685763889
2021-09-08,2.12337239583333
2021-09-09,1.95128038194444
2021-09-10,2.2998046875
2021-09-11,2.26741536458333
2021-09-12,2.02115885416667
2021-09-13,1.86984592013889
2021-09-14,1.43787977430556
2021-09-15,1.05230034722222
2021-09-16,0.876356336805556
2021-09-17,0.777669270833333
2021-09-18,0.803276909722222
2021-09-19,0.881076388888889
2021-09-20,0.721625434027778
2021-09-21,0.572645399305556
2021-09-22,0.49365234375
2021-09-23,0.413628472222222
2021-09-24,0.375054253472222
2021-09-25,0.325249565972222
2021-09-26,0.256998697916667
2021-09-27,0.230577256944444
2021-09-28,0.210015190972222
2021-09-29,0.189181857638889
2021-09-30,0.174479166666667
2021-10-01,0.148111979166667
2021-10-02,0.140625
2021-10-03,0.136881510416667
2021-10-04,0.129286024305556
2021-10-05,0.119954427083333
2021-10-06,0.111056857638889
2021-10-07,0.104383680555556
2021-10-08,0.102810329861111
2021-10-09,0.0961371527777778
2021-10-10,0.0696072048611111
2021-10-11,0.0291341145833333
2021-10-12,0.0304361979166667
2021-10-13,0.0146484375
2021-10-14,-0.00428602430555556
2021-10-15,-0.0458984375
2021-10-16,-0.124348958333333
2021-10-17,-0.171169704861111
2021-10-18,-0.158474392361111
2021-10-19,-0.155056423611111
2021-10-20,-0.125868055555556
2021-10-21,-0.125434027777778
2021-10-22,-0.135959201388889
2021-10-23,-0.133029513888889
2021-10-24,-0.204155815972222
2021-10-25,-0.276312934027778
2021-10-26,-0.322482638888889
2021-10-27,-0.304416232638889
2021-10-28,-0.313856336805556
2021-10-29,-0.359754774305556
2021-10-30,-0.342502170138889
2021-10-31,-0.316134982638889
2021-11-01,-0.371039496527778
2021-11-02,-0.323459201388889
2021-11-03,-0.318142361111111
2021-11-04,-0.398383246527778
2021-11-05,-0.433865017361111
2021-11-06,-0.444715711805556
2021-11-07,-0.553059895833333
2021-11-08,-0.73046875
2021-11-09,-0.796929253472222
2021-11-10,-0.798448350694444
2021-11-11,-0.821614583333333
2021-11-12,-0.761338975694444
2021-11-13,-0.740071614583333
2021-11-14,-0.889721513605442
2021-11-15,-0.988030849358974
2021-11-16,-1.04277912621359
2021-11-17,-1.02360026041667
2021-11-18,-1.09261067708333
2021-11-19,-1.20578342013889
2021-11-20,-1.31119791666667
2021-11-21,-1.22016059027778
2021-11-22,-1.16015625
2021-11-23,-1.18592664930556
2021-11-24,-1.18397352430556
2021-11-25,-1.11225043402778
2021-11-26,-1.11496310763889
2021-11-27,-1.25330946180556
2021-11-28,-1.31966145833333
2021-11-29,-1.34000651041667
2021-11-30,-1.39561631944444
2021-12-01,-1.37749565972222
2021-12-02,-1.38671875
2021-12-03,-1.57541232638889
2021-12-04,-1.68657769097222
2021-12-05,-1.78276909722222
2021-12-06,-1.74745008680556
2021-12-07,-1.58935546875
2021-12-08,-1.52761501736111
2021-12-09,-1.56841362847222
2021-12-10,-1.57307942708333
2021-12-11,-1.71706814236111
2021-12-12,-1.94666883680556
2021-12-13,-2.22471788194444
2021-12-14,-2.19590928819444
2021-12-15,-2.29557291666667
2021-12-16,-2.45345052083333
2021-12-17,-2.32080078125
2021-12-18,-2.3623046875
2021-12-19,-2.27870008680556
2021-12-20,-2.13264973958333
2021-12-21,-1.98589409722222
2021-12-22,-1.95350477430556
2021-12-23,-1.94688585069444
2021-12-24,-2.05430772569444
2021-12-25,-2.14865451388889
2021-12-26,-1.99295316565481
2021-12-27,-1.78526475694444
2021-12-28,-1.70855034722222
2021-12-29,-1.654296875
2021-12-30,-1.66628689236111
2021-12-31,-1.73220486111111
2022-01-01,-1.70426432291667
2022-01-02,-1.75705295138889
2022-01-03,-1.82823350694444
2022-01-04,-1.90033637152778
2022-01-05,-1.98594835069444
2022-01-06,-2.05463324652778
2022-01-07,-2.07573784722222
2022-01-08,-2.16726345486111
2022-01-09,-2.26985677083333
2022-01-10,-2.23122829861111
2022-01-11,-2.13145616319444
2022-01-12,-2.05517578125
2022-01-13,-2.01525297619048
2022-01-14,-1.84319911858974
2022-01-15,-1.82562099358974
2022-01-16,-1.90533088235294
2022-01-17,-1.95090060763889
2022-01-18,-1.98708767361111
2022-01-19,-1.99007161458333
2022-01-20,-1.99468315972222
2022-01-21,-1.91129557291667
2022-01-22,-1.79497612847222
2022-01-23,-1.78282335069444
2022-01-24,-1.77180989583333
