"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm"
"32","IMS","KLSpE1",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"10","7","9",NA,NA,NA
"33","MG","KLSpE11",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"10","16",NA,NA,NA,NA
"34","MG","KLSpE13",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"5","5","2",NA,NA,NA
"35","MG","KLSpE14",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"10","14","7",NA,NA,NA
"36","MG","KLSpE15",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"12","15","10",NA,NA,NA
"37","IMS","KLSpE2",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"20","21","22",NA,NA,NA
"38","IMS","KLSpE5",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"10","6",NA,NA,NA,NA
"39","CF","KLSpE6",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"4","12","7",NA,NA,NA
"40","CF","KLSpE8",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"7","5",NA,NA,NA,NA
"41","CF","KLSpE9",2013,"Salix pulchra","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"14","13","10",NA,NA,NA
"42","LB","KLSrC2",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"11","12",NA,NA,NA,NA
"43","IR","KLSrC6",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"9","9","9",NA,NA,NA
"44","SW","KLSrE10",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"11","3","12",NA,NA,NA
"45","IR","KLSrE11",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"13","8","12",NA,NA,NA
"46","IR","KLSrE14",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"11","8","12",NA,NA,NA
"47","SW","KLSrE6",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"9","10","11",NA,NA,NA
"48","SW","KLSrE7",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"10","9",NA,NA,NA,NA
"49","SW","KLSrE9",2013,"Salix richardsonii","Kluane","15/05/2014","5","15",2014,NA,NA,NA,NA,"9","8","18",NA,NA,NA
"50","IMS","HESp1",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"14","15","15",NA,NA,NA
"51","MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"25","34","19",NA,NA,NA
"52","MG","HESp11",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"45","43","50","45","40","25"
"53","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"12.61","14.89","10.77",NA,NA,NA
"54","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"25","21","22",NA,NA,NA
"55","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"30","28","26","28","25","21"
"56","CF","HESp12",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"13","13","11",NA,NA,NA
"57","MG","HESp12",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"45","36","43","30","25","25"
"58","MG","HESp14",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"30","14","15","10","1",NA
"59","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"11.25","10.36","9.59",NA,NA,NA
"60","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"17","15","15",NA,NA,NA
"61","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"18","20","17","19","15","10"
"62","MG","HESp17",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"10","10","9",NA,NA,NA
"63","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"30.3","29.36","34.53",NA,NA,NA
"64","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"27","30","21","26","30","10"
"65","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"38","32","28","31","40","15"
"66","MG","HESp18",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"19","15","17",NA,NA,NA
"67","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"14.68","13.11","14.07",NA,NA,NA
"68","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"15","20","19","29","25","5"
"69","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"21","19","23","8","12","8"
"70","IMS","HESp2",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"11","10","10",NA,NA,NA
"71","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"21.4","20.68","12.09",NA,NA,NA
"72","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","19","29",NA,NA,NA
"73","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"35","32","35","43","20","30"
"74","MG","HESp20",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"20","24","19",NA,NA,NA
"75","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","19/05/2015","5","19",2015,NA,NA,NA,NA,"11.9","13.53","19.41",NA,NA,NA
"76","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"23","17","20","13","9","8"
"77","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"27","23","22","11","14","15"
"78","AB","HESp23",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"17","25","17",NA,NA,NA
"79","IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"40","30","32",NA,NA,NA
"80","IMS","HESp24",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"56","40","38","47","26","4"
"81","AB","HESp29",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"36","35","32","25","22",NA
"82","IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","IMS","HESp3",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"28","29","33","10","15","22"
"84","AB","HESp30",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"25","26","27","22","20","3"
"85","AB","HESp30",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"16","15","10",NA,NA,NA
"86","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"9","7","6","3",NA,NA
"87","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"21.53","16.91","12.17",NA,NA,NA
"88","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"15","19","20",NA,NA,NA
"89","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"32","26","27","37","30","20"
"90","IMS","HESp4",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"10","10","9",NA,NA,NA
"91","IMS","HESp5",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"9","9","7","8",NA,NA
"92","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"15.35","12.1","12.71",NA,NA,NA
"93","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"22","15","15",NA,NA,NA
"94","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"23","21","20","13","14","18"
"95","CF","HESp6",2013,"Salix pulchra","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"18","18","15",NA,NA,NA
"96","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","18","20",NA,NA,NA
"97","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"33","20","35","15","10",NA
"98","SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"13","20","14",NA,NA,NA
"99","IR","HESr16",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"6","3","6",NA,NA,NA
"100","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","26","26",NA,NA,NA
"101","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"40","25","30","15","10","2"
"102","IR","HESr17",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"20","16","16",NA,NA,NA
"103","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"11.27","10.95","11.05",NA,NA,NA
"104","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"15","15","20",NA,NA,NA
"105","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"27","24","25","32","10","9"
"106","LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"10","9","11",NA,NA,NA
"107","IR","HESr20",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"11","8","5",NA,NA,NA
"108","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"10.34","8.62","9.83",NA,NA,NA
"109","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"20","20","15","27","14","12"
"110","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"22","22","21","24","22","10"
"111","AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"17","14","15",NA,NA,NA
"112","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"15.51","13.66","13.3",NA,NA,NA
"113","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"19","20","29",NA,NA,NA
"114","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"27","24","22","14","10","8"
"115","AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"14","18","19",NA,NA,NA
"116","AC","HESr24",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"14","5","4",NA,NA,NA
"117","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","22/05/2015","5","22",2015,NA,NA,NA,NA,"12.13","11.45","9.46",NA,NA,NA
"118","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"22","19","20",NA,NA,NA
"119","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"21","22","23","13","8","6"
"120","AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"15","19","14",NA,NA,NA
"121","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"17.44","21.83","9.11",NA,NA,NA
"122","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"20","15","15",NA,NA,NA
"123","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"36","26","22","14","8","4"
"124","AC","HESr27",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"14","10","13",NA,NA,NA
"125","AC","HESr29",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"15","15","14",NA,NA,NA
"126","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"9.57","7.6","7.32",NA,NA,NA
"127","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"19","10","11","12","3",NA
"128","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"20","16","13","4","15","2"
"129","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"8","6","9",NA,NA,NA
"130","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"18.18","14.41","10.27",NA,NA,NA
"131","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","39","50",NA,NA,NA
"132","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"51","36","34","55",NA,NA
"133","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"9","14","9",NA,NA,NA
"134","LB","HESr4B",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"22","18","18","10",NA,NA
"135","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"14.4","11.68","10.77",NA,NA,NA
"136","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"20","26","20",NA,NA,NA
"137","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"20","19","22","10","12","50"
"138","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"14","13","13",NA,NA,NA
"139","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"13.27","11.35","11.25",NA,NA,NA
"140","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"20","23","25",NA,NA,NA
"141","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"30","27","20","6","18","17"
"142","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"9","9","11",NA,NA,NA
"143","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","18/05/2015","5","18",2015,NA,NA,NA,NA,"11.16","12.04","9.43",NA,NA,NA
"144","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","02/06/2015","6","2",2015,NA,NA,NA,NA,"19","25","25","23","20","20"
"145","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","18/06/2015","6","18",2015,NA,NA,NA,NA,"27","28","29","23","27","23"
"146","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","15/08/2015","8","15",2015,NA,NA,NA,NA,"12","12","23",NA,NA,NA
"147","IMS","KLSPC1",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"14.79","21.38","14.33",NA,NA,NA
"148","IMS","KLSPC1",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","30","28",NA,NA,NA
"149","IMS","KLSPC1",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"43","40","37","45","18","21"
"150","IMS","KLSPC1",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"12","17","10",NA,NA,NA
"151","MG","KLSPC10",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"8.84","9.32","7.91",NA,NA,NA
"152","MG","KLSPC10",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"32","15","26",NA,NA,NA
"153","MG","KLSPC10",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"57","55","55","50","15","1"
"154","MG","KLSPC10",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"21","19","19",NA,NA,NA
"155","AB","KLSPC12",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"12","11","10",NA,NA,NA
"156","AB","KLSPC13",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"30.98","27.09","23.4",NA,NA,NA
"157","AB","KLSPC13",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"40","45","30","54","50","41"
"158","AB","KLSPC13",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"46","47","50","57","42","51"
"159","AB","KLSPC13",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"25","18","14",NA,NA,NA
"160","IMS","KLSPC2",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"17","10","24",NA,NA,NA
"161","IMS","KLSPC2",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"33","37","44","32","20","17"
"162","IMS","KLSPC3",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"11.59","7.88","9.05",NA,NA,NA
"163","IMS","KLSPC3",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"10","20","30","17","15","12"
"164","IMS","KLSPC3",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"36","35","25","30","25","35"
"165","IMS","KLSPC3",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"17","12","10",NA,NA,NA
"166","MG","KLSPC8",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"16.59","15.27","18.06",NA,NA,NA
"167","MG","KLSPC8",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","29","19","6","3","4"
"168","MG","KLSPC8",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"36","35","35","20","15","20"
"169","MG","KLSPC8",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"25","27","12",NA,NA,NA
"170","MG","KLSPC9",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"19.74","15.12","16.28",NA,NA,NA
"171","MG","KLSPC9",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"28","25","20",NA,NA,NA
"172","MG","KLSPC9",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"30","33","32","35","40","50"
"173","MG","KLSPC9",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"13","14","16",NA,NA,NA
"174","IMS","KLSpE1",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"10.67","18.31","12.77",NA,NA,NA
"175","IMS","KLSpE1",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"35","30","35",NA,NA,NA
"176","IMS","KLSpE1",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"40","40","34","48","45","56"
"177","IMS","KLSpE1",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"8","11","10",NA,NA,NA
"178","CF","KLSpE10",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"15.17","16.39","9.19",NA,NA,NA
"179","CF","KLSpE10",2013,"Salix pulchra","Kluane","02/06/2015","6","2",2015,NA,NA,NA,NA,"30","40","39","102","58","42"
"180","CF","KLSpE10",2013,"Salix pulchra","Kluane","18/06/2015","6","18",2015,NA,NA,NA,NA,"44","43","41","91","89","48"
"181","CF","KLSpE10",2013,"Salix pulchra","Kluane","15/08/2015","8","15",2015,NA,NA,NA,NA,"13","14","15",NA,NA,NA
"182","MG","KLSpE11",2013,"Salix pulchra","Kluane","18/05/2015","5","18",2015,NA,NA,NA,NA,"34.93","34.9","26.9",NA,NA,NA
