Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
KP16SP22,19/08/2020,2020,21.8,28,31,33,81,52,88,,,,,,Dead and brown 0% green
KP16SP23,19/08/2020,2020,,,,,,,,,,,,,Dead 
KP16SP24,19/08/2020,2020,26.1,42,31,33,46,56,45,,,,,,1% green
KP16SP25,19/08/2020,2020,,,,,,,,,,,,,
PC16CWSP1,19/08/2020,2020,,,,,,,,,,,,,
PC16CWSP10,19/08/2020,2020,,,,,,,,,,,,,
PC16CWSP2,19/08/2020,2020,,,,,,,,,,,,,
PC16CWSP3,19/08/2020,2020,,,,,,,,,,,,,
PC16CWSP9,19/08/2020,2020,11.1,33,31,34,51,55,39,,,,,,0% green
PC16CWSP6,19/08/2020,2020,8.3,24,22,25,8,14,17,,,,,,0% green
PC16CWSP7,19/08/2020,2020,19.2,41,41,36,21,31,29,,,,,,68% green
PC16CWSP8,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP6,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP7,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP8,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP9,19/08/2020,2020,,,,,,,,,,,,,
H17SP8,19/08/2020,2020,,,,,,,,,,,,,
PC17SP1,19/08/2020,2020,,,,,,,,,,,,,Also kp16sp22
PC17SP2,19/08/2020,2020,,,,,,,,,,,,,Dead 
PC17SP3,19/08/2020,2020,12.4,26,30,30,60,82,61,,,,,,0% green Leaves brown
PC17SP4,19/08/2020,2020,34.7,50,46,52,111,232,169,,,,,,0% green Leaves orange
KP17SP5,19/08/2020,2020,35.3,44,41,52,77,73,74,,,,,,8% green
H18SP15,19/08/2020,2020,9.2,25,24,23,32,24,18,,,,,,0% green
H18SP14,19/08/2020,2020,,,,,,,,,,,,,Dead 
H18SP11,19/08/2020,2020,4.5,25,22,Na,25,29,10,,,,,,0% green
H18SP12,19/08/2020,2020,,,,,,,,,,,,,Dead 
H18SP13,19/08/2020,2020,,,,,,,,,,,,,Dead 
HE16SR17,19/08/2020,2020,,,,,,,,,,,,,
HE16SR18,19/08/2020,2020,,,,,,,,,,,,,
HE16SR19,19/08/2020,2020,,,,,,,,,,,,,Dead 
HE16SR20,19/08/2020,2020,,,,,,,,,,,,,
HE16SR21,19/08/2020,2020,,,,,,,,,,,,,Dead 
HE16SR22,19/08/2020,2020,,,,,,,,,,,,,
HE16SR23,19/08/2020,2020,,,,,,,,,,,,,
HE16SR25,19/08/2020,2020,,,,,,,,,,,,,
KP16SR36,19/08/2020,2020,22.8,39,44,44,82,81,64,,,,,,95% green
KP16SR37,19/08/2020,2020,58.9,50,44,56,155,118,148,,,,,,93% green
KP16SR38,19/08/2020,2020,,,,,,,,,,,,,
KP16SR39,19/08/2020,2020,,,,,,,,,,,,,
KP16SR40,19/08/2020,2020,,,,,,,,,,,,,Dead 
KP16SR51,19/08/2020,2020,17.5,37,36,42,91,78,72,,,,,,88% green
KP16SR52,19/08/2020,2020,40.4,47,51,46,82,137,118,,,,,,72% green
KP16SR53,19/08/2020,2020,13.1,33,30,30,57,42,73,,,,,,34% green
KP16SR54,19/08/2020,2020,,,,,,,,,,,,,Dead
KP16SR55,19/08/2020,2020,,,,,,,,,,,,,
KP16SR8,19/08/2020,2020,,,,,,,,,,,,,
PC16SR5,19/08/2020,2020,,,,,,,,,,,,,
PP16TSR4,19/08/2020,2020,,,,,,,,,,,,,Dead 
PP16TSR5,19/08/2020,2020,,,,,,,,,,,,,
H17SR6,19/08/2020,2020,,,,,,,,,,,,,
H17SR10,19/08/2020,2020,6.8,28,30,30,33,28,45,,,,,,8% green
H17SR9,19/08/2020,2020,14.1,Na ,,,65,62,34,,,,,,0% green
H17SR8,19/08/2020,2020,,,,,,,,,,,,,
H17SR7,19/08/2020,2020,4.8,26,26,Na ,31,29,22,,,,,,0% green
H17SR14,19/08/2020,2020,,,,,,,,,,,,,
H17SR13,19/08/2020,2020,10.9,na ,,,43,18,31,,,,,,0% green
H17SR12,19/08/2020,2020,4.2,na ,,,9,5,15,,,,,,0% green
H17SR11,19/08/2020,2020,,,,,,,,,,,,,
H17SR15,19/08/2020,2020,10.8,na ,,,4,31,45,,,,,,0% green
PC17SR6,19/08/2020,2020,30.7,36,35,33,38,64,53,,,,,,88% green
PC17SR5,19/08/2020,2020,73.1,48,46,44,308,302,139,,,,,,9t% green - not sure whether this is 9% or 90% or some other number!
PC17SR4,19/08/2020,2020,55.2,35,37,37,89,72,58,,,,,,88% green
H18SR6,19/08/2020,2020,1.5,16,,,6,4,4,,,,,,10% green
H18SR7,19/08/2020,2020,,,,,,,,,,,,,Dead 
H18SR10,19/08/2020,2020,5.6,18,,,25,32,22,,,,,,100% green
H18SR9,19/08/2020,2020,,,,,,,,,,,,,
H18SR8,19/08/2020,2020,4.2,Na ,,,18,14,20,,,,,,0% green
H15SR12,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR13,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR14,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR15,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR16,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR17,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR18,19/08/2020,2020,NA,,,,,,,,,,,,
H15SR19,19/08/2020,2020,6.4,Na,Na,Na,11,12,13,,,,,,0% green
H15SR20,19/08/2020,2020,3.5,22,Na,Na,11,8,8,,,,,,0% green
HE-SR 13,19/08/2020,2020,11.1,23,23,24,55,32,22,,,,,,0% green
HE-SR 6,19/08/2020,2020,,,,,,,,,,,,,Dead?
HE-SR 7,19/08/2020,2020,2.2,Na,,,42,21,30,,,,,,0% green
HE-SR 8,19/08/2020,2020,10.7,24,23,Na,25,14,18,,,,,,0% green
K15CSR5,19/08/2020,2020,,,,,,,,,,,,,NA
K15SSR5,19/08/2020,2020,,,,,,,,,,,,,Dead
K15SSR7,19/08/2020,2020,,,,,,,,,,,,,Dead
K15SSR8,19/08/2020,2020,16.8,52,49,50,42,32,41,,,,,,78% green
K15SSR9,19/08/2020,2020,NA,,,,,,,,,,,,
KL-SRE 10,19/08/2020,2020,121.2,50,52,51,118,92,114,,,,,,82% green Male
KL-SRE 6,19/08/2020,2020,83.4,56,36,48,72,103,98,,,,,,76% green
KL-SRE 7,19/08/2020,2020,67.9,51,48,38,82,88,129,,,,,,72% green
KL-SRE 9,19/08/2020,2020,83.8,52,46,64,102,88,106,,,,,,76% green Female
PC16PVSR8,19/08/2020,2020,NA,,,,,,,,,,,,
PC17SR7,19/08/2020,2020,NA,,,,,,,,,,,,
PC17SR8,19/08/2020,2020,NA,,,,,,,,,,,,
PC17SR9,19/08/2020,2020,15.5,67,48,48,98,22,9,,,,,,94% green
PC17SR10,19/08/2020,2020,28.8,42,40,41,46,48,90,,,,,,45% green
K17SR10,19/08/2020,2020,NA,,,,,,,,,,,,
K17SR11,19/08/2020,2020,NA,,,,,,,,,,,,
H18SR12,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR14,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR11,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SR13,19/08/2020,2020,,,,,,,,,,,,,NA
H18SR15,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP10,19/08/2020,2020,7.1,21,22,24,19,15,11,,,,,,0% green
H15SP11,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP12,19/08/2020,2020,,,,,,,,,,,,,
H15SP13,19/08/2020,2020,10.4,21,21,22,11,11,9,,,,,,0% green
H15SP14,19/08/2020,2020,12.1,6,0,,2,1,2,,,,,,
H15SP15,19/08/2020,2020,9.4,31,30,23,41,24,39,,,,,,0% green
H15SP16,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP17,19/08/2020,2020,1.7,Na,Na,Na,3,2,2,,,,,,0% green
H15SP18,19/08/2020,2020,16.7,27,24,24,18,15,18,,,,,,0% green
H15SP19,19/08/2020,2020,6.7,18,Na,Na,11,3,7,,,,,,0% green
H15SP20,19/08/2020,2020,6.5,15,15,Na,13,13,11,,,,,,0% green
H15SP9,19/08/2020,2020,14.1,21,21,21,32,26,25,,,,,,0% green
HE-SP 12,19/08/2020,2020,14.3,27,26,28,31,31,34,,,,,,0% green
HE-SP 6,19/08/2020,2020,15.2,11,16,12,18,21,16,,,,,,0% green dying
KL-SPE 6,19/08/2020,2020,79.4,59,50,42,88,102,46,,,,,,90 Female
KL-SPE 7,19/08/2020,2020,29.6,52,51,52,78,37,35,,,,,,5 Dead looking
KL-SPE 8,19/08/2020,2020,66.4,31,34,32,15,24,38,,,,,,12% green
KL-SPE 9,19/08/2020,2020,32.8,38,43,44,72,24,44,,,,,,
KP-SR 5,19/08/2020,2020,52.9,46,51,47,106,131,94,,,,,,92% green Female
KP16SP1,19/08/2020,2020,,,,,,,,,,,,,
KP16SP2,19/08/2020,2020,,,,,,,,,,,,,
KP16SP3,19/08/2020,2020,,,,,,,,,,,,,
KP16SP42,19/08/2020,2020,,,,,,,,,,,,,
KP16SP43,19/08/2020,2020,19.2,31,31,30,24,31,32,,,,,,17% green
KP16SP44,19/08/2020,2020,,,,,,,,,,,,,
KP16SP45,19/08/2020,2020,,,,,,,,,,,,,Dead
KP16SP46,19/08/2020,2020,27.2,38,38,41,52,55,52,,,,,,25% green
KP16SP5,19/08/2020,2020,,,,,,,,,,,,,
KP16SP51,19/08/2020,2020,24.9,28,32,27,52,21,40,,,,,,7% green
KP16SP52,19/08/2020,2020,11.2,36,43,36,25,17,24,,,,,,87% green
KP16SP53,19/08/2020,2020,,,,,,,,,,,,,
KP16SP54,19/08/2020,2020,,,,,,,,,,,,,
KP16SP55,19/08/2020,2020,26.9,26,24,24,15,14,15,,,,,,14% green
H17SP9,19/08/2020,2020,16.6,25,29,32,24,21,35,,,,,,0% green
PC17SP5,19/08/2020,2020,9.3,23,24,26,85,56,32,,,,,,4% green
PC17SP6,19/08/2020,2020,4,25,22,21,22,15,21,,,,,,12% green
KL-SPE 10,19/08/2020,2020,29.6,37,33,33,29,25,38,,,,,,67% green
H18SP7,19/08/2020,2020,12.1,NA,,,12,11,14,,,,,,0% green Dead looking
H18SP10,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP9,19/08/2020,2020,5.6,16,14,Na,3,4,2,,,,,,0% green
H18SP8,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SA3,19/08/2020,2020,,,,,,,,,,,,,Alive 
KP16SA1,19/08/2020,2020,,,,,,,,,,,,,
KP16SA5,19/08/2020,2020,,,,,,,,,,,,,
PC16CESA2,19/08/2020,2020,,,,,,,,,,,,,Alive 
PC16CWSA1,19/08/2020,2020,,,,,,,,,,,,,
PP16MSA1,19/08/2020,2020,,,,,,,,,,,,,
PP16MSA5,19/08/2020,2020,,,,,,,,,,,,,
K17SA5,19/08/2020,2020,,,,,,,,,,,,,Alive 
KP17SA4,19/08/2020,2020,,,,,,,,,,,,,Alive 
KP17S13,19/08/2020,2020,,,,,,,,,,,,,
KP17SA2,19/08/2020,2020,,,,,,,,,,,,,Alive 
K17SA1,19/08/2020,2020,,,,,,,,,,,,,
PC17SA1,19/08/2020,2020,,,,,,,,,,,,,Alive
PC17SA2,19/08/2020,2020,,,,,,,,,,,,,
PC17SA3,19/08/2020,2020,,,,,,,,,,,,,
PC17SA6,19/08/2020,2020,,,,,,,,,,,,,Alive 
PC17SA7,19/08/2020,2020,,,,,,,,,,,,,Alive 
PC17SA8,19/08/2020,2020,,,,,,,,,,,,,
PC17SA9,19/08/2020,2020,,,,,,,,,,,,,Al
PC17SA10,19/08/2020,2020,,,,,,,,,,,,,
H17SA1,19/08/2020,2020,,,,,,,,,,,,,
H17SA2,19/08/2020,2020,,,,,,,,,,,,,
H17SA3,19/08/2020,2020,,,,,,,,,,,,,
H17SA4,19/08/2020,2020,,,,,,,,,,,,,
H17SA5,19/08/2020,2020,,,,,,,,,,,,,
H17SA6,19/08/2020,2020,,,,,,,,,,,,,Alive 
H17SA7,19/08/2020,2020,,,,,,,,,,,,,
H17SA8,19/08/2020,2020,,,,,,,,,,,,,Alive 
H17SA9,19/08/2020,2020,,,,,,,,,,,,,Alive 
H17SA10,19/08/2020,2020,,,,,,,,,,,,,Alive 
H17SA11,19/08/2020,2020,,,,,,,,,,,,,
H18SA14,19/08/2020,2020,,,,,,,,,,,,,
H18SA18,19/08/2020,2020,,,,,,,,,,,,,
H18SA15,19/08/2020,2020,,,,,,,,,,,,,
H18SA16,19/08/2020,2020,,,,,,,,,,,,,
H18SA17,19/08/2020,2020,,,,,,,,,,,,,
H18SA19,19/08/2020,2020,,,,,,,,,,,,,
H18SA20,19/08/2020,2020,,,,,,,,,,,,,
KP18SA4,19/08/2020,2020,,,,,,,,,,,,,
KP18SA3,19/08/2020,2020,,,,,,,,,,,,,
KP18SA2,19/08/2020,2020,,,,,,,,,,,,,Alive 
KP18SA1,19/08/2020,2020,,,,,,,,,,,,,
HE16SP16,19/08/2020,2020,,,,,,,,,,,,,Dead 
HE16SP17,19/08/2020,2020,4,22,20,19,35,22,44,,,,,,0% green
HE16SP18,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SP19,19/08/2020,2020,,,,,,,,,,,,,Empty
HE16SP20,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SP21,19/08/2020,2020,,,,,,,,,,,,,
HE16SP22,19/08/2020,2020,,,,,,,,,,,,,
HE16SP23,19/08/2020,2020,,,,,,,,,,,,,
HE16SP24,19/08/2020,2020,,,,,,,,,,,,,
HE16SP25,19/08/2020,2020,,,,,,,,,,,,,
HE16SP26,19/08/2020,2020,,,,,,,,,,,,,
HE16SP27,19/08/2020,2020,,,,,,,,,,,,,
HE16SP28,19/08/2020,2020,,,,,,,,,,,,,
HE16SP29,19/08/2020,2020,,,,,,,,,,,,,
HE16SP30,19/08/2020,2020,,,,,,,,,,,,,
KP16SP16,19/08/2020,2020,,,,,,,,,,,,,
KP16SP17,19/08/2020,2020,,,,,,,,,,,,,
KP16SP18,19/08/2020,2020,,,,,,,,,,,,,
KP16SP19,19/08/2020,2020,,,,,,,,,,,,,Empty 
KP16SP36,19/08/2020,2020,,,,,,,,,,,,,
KP16SP37,19/08/2020,2020,,,,,,,,,,,,,
KP16SP38,19/08/2020,2020,,,,,,,,,,,,,
KP16SP39,19/08/2020,2020,,,,,,,,,,,,,Empty 
KP16SP56,19/08/2020,2020,20.2,37,37,41,98,92,94,,,,,,12% green
KP16SP58,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP1,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP2,19/08/2020,2020,,,,,,,,,,,,,
PC16PVSP5,19/08/2020,2020,,,,,,,,,,,,,Empty 
PC17SP7,19/08/2020,2020,26.4,32,28,30,33,24,23,,,,,,28% green
PC17SP8,19/08/2020,2020,8.2,32,34,29,32,28,14,,,,,,38% green
PC17SP9,19/08/2020,2020,15.9,32,33,30,14,12,11,,,,,,15% green
PC17SP10,19/08/2020,2020,7.3,34,32,37,15,18,11,,,,,,2% green
KP16SP57,19/08/2020,2020,,,,,,,,,,,,,Dead 
H18SP17,19/08/2020,2020,,,,,,,,,,,,,Empty 
H18SP18,19/08/2020,2020,1.7,Na,,,10,6,4,,,,,,
H18SP19,19/08/2020,2020,,,,,,,,,,,,,"0% green, Empty "
KP18SP4,19/08/2020,2020,25.4,32,27,25,18,44,20,,,,,,8% green
KP18SP3,19/08/2020,2020,24.1,41,42,36,26,28,27,,,,,,47% green
KP18SP2,19/08/2020,2020,32,54,52,41,65,51,160,,,,,,34% green
KP18SP1,19/08/2020,2020,24.6,43,35,45,144,62,18,,,,,,18% green
H18SP20,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP16,19/08/2020,2020,8.8,Na,,,12,22,15,,,,,,0% green
KP16SP59,19/08/2020,2020,18.9,32,35,45,30,45,42,,,,,,47% green
KP16SP60,19/08/2020,2020,24.3,22,31,31,15,22,42,,,,,,40% green
H15SP21,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP22,19/08/2020,2020,,,,,,,,,,,,,NA
H15SP23,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SP24,19/08/2020,2020,10.25,17,Na,Na,1.7,1,0.8,,,,,,
HER-SP 11,19/08/2020,2020,7.4,29,35,32,31,93,54,,,,,,0% green
HER-SP 12,19/08/2020,2020,25.6,24,28,28,32,34,18,,,,,,0% green
HER-SP 14,19/08/2020,2020,3.8,23,21,30,26,25,14,,,,,,0% green
HE-SP 18,19/08/2020,2020,,,,,,,,,,,,,Dead
HE-SP 20,19/08/2020,2020,10.4,14,23,22,16,14,21,,,,,,0% green
K15ESP6,19/08/2020,2020,,,,,,,,,,,,,NA
K15ESP7,19/08/2020,2020,,,,,,,,,,,,,NA
K15ESP8,19/08/2020,2020,,,,,,,,,,,,,Dead
K15ESP9,19/08/2020,2020,,,,,,,,,,,,,Empty
K15PSP10,19/08/2020,2020,,,,,,,,,,,,,Dead
K15PSP9,19/08/2020,2020,,,,,,,,,,,,,NA
K15PSP8,19/08/2020,2020,,,,,,,,,,,,,NA
K15PSP7,19/08/2020,2020,,,,,,,,,,,,,NA
K15PSP6,19/08/2020,2020,,,,,,,,,,,,,Dead
KL-SPC 10,19/08/2020,2020,,,,,,,,,,,,,Dead?
KL-SPC 8,19/08/2020,2020,10.2,22.2,26,23.5,10.3,9.1,6.5,,,,,,5% green
KL-SPC 9,19/08/2020,2020,39.2,28,27,26,28,22,11,,,,,,33% green
KL-SPE 11,19/08/2020,2020,36.1,33,31,35,22,19,24,,,,,,22% green
KL-SPE 12,19/08/2020,2020,33.1,36,30,32,30,56,24,,,,,,23% green
KL-SPE 14,19/08/2020,2020,43.9,48,39,41,31,26,21,,,,,,7% green
KL-SPE 15,19/08/2020,2020,17.8,31,34,26,9,10,12,,,,,,1% green
PP16TSP10,19/08/2020,2020,,,,,,,,,,,,,NA
PP16TSP6,19/08/2020,2020,,,,,,,,,,,,,NA
PP16TSP7,19/08/2020,2020,,,,,,,,,,,,,Dead?
PP16TSP9,19/08/2020,2020,,,,,,,,,,,,,Dead
KP17SP6,19/08/2020,2020,,,,,,,,,,,,,NA
KP16SP47,19/08/2020,2020,,,,,,,,,,,,,Dead
KP16SP48,19/08/2020,2020,,,,,,,,,,,,,NA
HE-SP 17,19/08/2020,2020,,,,,,,,,,,,,NA
KP17SP7,19/08/2020,2020,,,,,,,,,,,,,NA
KP17SP8,19/08/2020,2020,,,,,,,,,,,,,NA
KP18SP6,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP1,19/08/2020,2020,,,,,,,,,,,,,NA
HE-SP 17,19/08/2020,2020,12.2,9,16,17,4.5,8.2,15.4,,,,,,0% green
H18SP23,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP22,19/08/2020,2020,,,,,,,,,,,,,Dead
KP18SP5,19/08/2020,2020,,,,,,,,,,,,,Dead?
H18SP25,19/08/2020,2020,,,,,,,,,,,,,Dead
H18SP24,19/08/2020,2020,2.2,Na,NA,Na,11,13,10.5,,,,,,0% green
H18SP21,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SR22,19/08/2020,2020,,,,,,,,,,,,,NA
H15SR23,19/08/2020,2020,,,,,,,,,,,,,Dead
H15SR24,19/08/2020,2020,,,,,,,,,,,,,Dead
HE16SR1,19/08/2020,2020,,,,,,,,,,,,,NA
HE16SR2,19/08/2020,2020,,,,,,,,,,,,,Empty
HE16SR4,19/08/2020,2020,,,,,,,,,,,,,NA
HE16SR5,19/08/2020,2020,,,,,,,,,,,,,Dead
