"","X","Date_planted","Year_planted","Mother_Canopy_Height_cm","Mother_Width_cm","Mother_Width_2_cm","Mother_Mother_LS","Mother_Length_1_mm","Mother_Length_2_mm","Mother_Length_3_mm","Mother_Stem_Elongation_1_mm","Mother_Stem_Elongation_2_mm","Mother_Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Mother_biovolume","SampleYear","Mother_mean_stem_elong","Mother_mean_leaf_length","Mother_mean_width","SampleID_standard","Site","Species","max_canopy_height_cm","population.x","max_mean_width_cm","population.y","max_biovol","population"
"11",11,"2017-08-10",2017,5,57,42,11,NA,NA,NA,NA,NA,NA,14.9,8.47,11970,2017,NA,NA,49.5,"KP17SA4","Kluane","Salix arctica",4.4,"Southern",10.95,"Southern",523.6,"Southern"
"12",12,"2017-08-10",2017,5,29,25,8,NA,NA,NA,NA,NA,NA,16.4,12,3625,2017,NA,NA,27,"KP17SA5","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"13",13,"2017-08-10",2017,10,23,11,10,NA,NA,NA,NA,NA,NA,9.7,16.45,2530,2017,NA,NA,17,"KP17SA6","Kluane","Salix arctica",5.5,"Southern",19.25,"Southern",2037.75,"Southern"
"14",14,"2017-08-10",2017,4,45,32,45,NA,NA,NA,NA,NA,NA,14.8,7.71,5760,2017,NA,NA,38.5,"KP17SA7","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"15",15,"2017-08-10",2017,6,61,27,9,NA,NA,NA,NA,NA,NA,17.4,6.42,9882,2017,NA,NA,44,"KP17SA8","Kluane","Salix arctica",2.4,"Southern",NA,NA,NA,NA
"16",16,"2017-08-10",2017,4,45,43,8,NA,NA,NA,NA,NA,NA,13,9.07,7740,2017,NA,NA,44,"KP17SA9","Kluane","Salix arctica",6.8,"Southern",21.5,"Southern",2331.72,"Southern"
"17",17,"2017-08-10",2017,5,44,47,10,NA,NA,NA,NA,NA,NA,12.7,9.9,10340,2017,NA,NA,45.5,"KP17SA10","Kluane","Salix arctica",3.4,"Southern",NA,NA,NA,NA
"18",18,"2017-08-16",2017,38.8,47,24,20.3,49,40,41,75,70,60,32.4,12.2,43766.4,2017,68.3333333333333,43.3333333333333,35.5,"PC17SR1","Kluane","Salix richardsonii",40,"Southern",35.25,"Southern",48800,"Southern"
"19",19,"2017-08-16",2017,55,68,69,10.7,45,44,51,45,38,61,38.2,8.4,258060,2017,48,46.6666666666667,68.5,"PC17SR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"20",20,"2017-08-16",2017,31,45,36,9.4,42,38,41,48,32,33,35.5,11.1,50220,2017,37.6666666666667,40.3333333333333,40.5,"PC17SR4","Kluane","Salix richardsonii",74,"Southern",54,"Southern",209790,"Southern"
"21",21,"2017-08-16",2017,66,112,96,47.5,54,46,56,37,39,50,33.8,11.8,709632,2017,42,52,104,"PC17SR5","Kluane","Salix richardsonii",121,"Southern",73.15,"Southern",559196,"Southern"
