"","X","Date_planted","Year_planted","Mother_Canopy_Height_cm","Mother_Width_cm","Mother_Width_2_cm","Mother_Mother_LS","Mother_Length_1_mm","Mother_Length_2_mm","Mother_Length_3_mm","Mother_Stem_Elongation_1_mm","Mother_Stem_Elongation_2_mm","Mother_Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Mother_biovolume","SampleYear","Mother_mean_stem_elong","Mother_mean_leaf_length","Mother_mean_width","SampleID_standard","Site","Species","max_canopy_height_cm","population.x","max_mean_width_cm","population.y","max_biovol","population"
"116",116,"2016-08-08",2016,124,154,117,50.3,NA,NA,NA,NA,NA,NA,40.4,10.8,2234232,2016,NA,NA,135.5,"PC16PVSR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"117",117,"2016-08-08",2016,22,46,62,10.4,NA,NA,NA,NA,NA,NA,30.5,7.5,62744,2016,NA,NA,54,"PC16PVSR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"118",118,"2016-08-08",2016,174,183,226,69.6,NA,NA,NA,NA,NA,NA,28.5,9.4,7196292,2016,NA,NA,204.5,"PC16PVSR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"119",119,"2016-08-08",2016,100,224,137,47,NA,NA,NA,NA,NA,NA,43.5,10.6,3068800,2016,NA,NA,180.5,"PC16PVSR5","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"120",120,"2016-07-02",2016,108,215,152,38.7,NA,NA,NA,NA,NA,NA,34.8,10.6,3529440,2016,NA,NA,183.5,"PC16PVSR6","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"121",121,"2016-07-02",2016,81,222,108,33.3,NA,NA,NA,NA,NA,NA,33.5,11.6,1942056,2016,NA,NA,165,"PC16PVSR7","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"122",122,"2016-07-02",2016,76,235,154,24.7,NA,NA,NA,NA,NA,NA,39.5,8.4,2750440,2016,NA,NA,194.5,"PC16PVSR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"123",123,"2016-08-08",2016,143,68,163,38.6,NA,NA,NA,NA,NA,NA,35.4,11.4,1585012,2016,NA,NA,115.5,"PC16PVSP1","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"124",124,"2016-08-08",2016,87,174,185,24.4,NA,NA,NA,NA,NA,NA,17,9.2,2800530,2016,NA,NA,179.5,"PC16PVSP2","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"125",125,"2016-08-08",2016,109,44,153,17,NA,NA,NA,NA,NA,NA,23.4,11.5,733788,2016,NA,NA,98.5,"PC16PVSP3","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"126",126,"2016-08-08",2016,40,389,152,21.2,NA,NA,NA,NA,NA,NA,35.2,11.8,2365120,2016,NA,NA,270.5,"PC16PVSP4","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"127",127,"2016-08-08",2016,86,214,236,97.2,NA,NA,NA,NA,NA,NA,36,9.6,4343344,2016,NA,NA,225,"PC16PVSP5","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"128",128,"2016-07-02",2016,78,209,223,45.1,NA,NA,NA,NA,NA,NA,37.2,8.2,3635346,2016,NA,NA,216,"PC16PVSP6","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"129",129,"2016-07-02",2016,67,168,152,19.4,NA,NA,NA,NA,NA,NA,40.9,11.4,1710912,2016,NA,NA,160,"PC16PVSP7","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"130",130,"2016-07-02",2016,63,139,99,21.3,NA,NA,NA,NA,NA,NA,41,10.9,866943,2016,NA,NA,119,"PC16PVSP8","Kluane","Salix pulchra",6.4,"Southern",NA,NA,NA,NA
"131",131,"2016-07-02",2016,94,123,143,16.4,NA,NA,NA,NA,NA,NA,36.5,8,1653366,2016,NA,NA,133,"PC16PVSP9","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"132",132,"2016-07-02",2016,51,116,72,18.6,NA,NA,NA,NA,NA,NA,29,8.9,425952,2016,NA,NA,94,"PC16PVSP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"133",133,"2016-08-09",2016,12,45,18,11.1,NA,NA,NA,NA,NA,NA,21.9,9.3,9720,2016,NA,NA,31.5,"PC16PVSA1","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"134",134,"2016-08-09",2016,12,60,60,8.7,NA,NA,NA,NA,NA,NA,20.3,9.2,43200,2016,NA,NA,60,"PC16PVSA2","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"135",135,"2016-08-09",2016,12,60,60,8.7,NA,NA,NA,NA,NA,NA,15.6,5.3,43200,2016,NA,NA,60,"PC16PVSA3","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"136",136,"2016-08-09",2016,21,197,281,16.5,NA,NA,NA,NA,NA,NA,19.8,9.4,1162497,2016,NA,NA,239,"PC16PVSA4","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"137",137,"2016-08-08",2016,111,330,328,64.8,NA,NA,NA,NA,NA,NA,35.4,9.4,12014640,2016,NA,NA,329,"PC16CWSR1","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"138",138,"2016-08-08",2016,96,160,131,22.9,NA,NA,NA,NA,NA,NA,34.2,11.3,2012160,2016,NA,NA,145.5,"PC16CWSR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"139",139,"2016-08-08",2016,83,174,112,25.6,NA,NA,NA,NA,NA,NA,31.4,10.4,1617504,2016,NA,NA,143,"PC16CWSR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"140",140,"2016-08-08",2016,47,32,36,8.2,NA,NA,NA,NA,NA,NA,29.6,8.3,54144,2016,NA,NA,34,"PC16CWSR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"141",141,"2016-08-08",2016,38,102,58,13.5,NA,NA,NA,NA,NA,NA,33.1,8.5,224808,2016,NA,NA,80,"PC16CWSR5","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"142",142,"2016-07-02",2016,64,111,68,19,NA,NA,NA,NA,NA,NA,36.1,10.7,483072,2016,NA,NA,89.5,"PC16CWSR7","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"143",143,"2016-07-02",2016,52,41,32,17,NA,NA,NA,NA,NA,NA,16.2,7.8,68224,2016,NA,NA,36.5,"PC16CWSR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"144",144,"2016-08-08",2016,83,213,256,25.4,NA,NA,NA,NA,NA,NA,421.7,9.2,4525824,2016,NA,NA,234.5,"PC16CWSP2","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"145",145,"2016-08-08",2016,56,183,171,35.5,NA,NA,NA,NA,NA,NA,32.7,8.4,1752408,2016,NA,NA,177,"PC16CWSP3","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"146",146,"2016-08-08",2016,67,242,205,19,NA,NA,NA,NA,NA,NA,36.3,7.4,3323870,2016,NA,NA,223.5,"PC16CWSP4","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"147",147,"2016-07-02",2016,24,257,156,18.5,NA,NA,NA,NA,NA,NA,31,9.8,962208,2016,NA,NA,206.5,"PC16CWSP6","Kluane","Salix pulchra",10.6,"Southern",NA,NA,NA,NA
"148",148,"2016-07-02",2016,64,111,68,19,NA,NA,NA,NA,NA,NA,34.3,15.5,483072,2016,NA,NA,89.5,"PC16CWSP7","Kluane","Salix pulchra",60,"Southern",36,"Southern",77520,"Southern"
"149",149,"2016-07-02",2016,60,117,81,29,NA,NA,NA,NA,NA,NA,37.8,13.4,568620,2016,NA,NA,99,"PC16CWSP9","Kluane","Salix pulchra",14.7,"Southern",42,"Southern",25517.877,"Southern"
"150",150,"2016-07-02",2016,51,124,96,14,NA,NA,NA,NA,NA,NA,34.4,15.2,607104,2016,NA,NA,110,"PC16CWSP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"151",151,"2016-08-08",2016,75,181,197,20.7,NA,NA,NA,NA,NA,NA,32.2,11,2674275,2016,NA,NA,189,"PC16CESR1","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"152",152,"2016-08-08",2016,67,138,148,22.4,NA,NA,NA,NA,NA,NA,36.6,10.4,1368408,2016,NA,NA,143,"PC16CESR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"153",153,"2016-08-08",2016,59,172,178,33.5,NA,NA,NA,NA,NA,NA,37.9,11.7,1806344,2016,NA,NA,175,"PC16CESR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"154",154,"2016-08-08",2016,46,114,114,40,NA,NA,NA,NA,NA,NA,21.5,11.8,597816,2016,NA,NA,114,"PC16CESR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"155",155,"2016-08-08",2016,28,28,24,100,NA,NA,NA,NA,NA,NA,22.2,11.7,18816,2016,NA,NA,26,"PC16CESR5","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"156",156,"2016-07-02",2016,42,41,34,11,NA,NA,NA,NA,NA,NA,29,10.8,58548,2016,NA,NA,37.5,"PC16CESR6","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"157",157,"2016-07-02",2016,32,35,33,8,NA,NA,NA,NA,NA,NA,19.2,9.9,36960,2016,NA,NA,34,"PC16CESR7","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"158",158,"2016-07-02",2016,41,41,20,9,NA,NA,NA,NA,NA,NA,31.4,5.5,33620,2016,NA,NA,30.5,"PC16CESR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"159",159,"2016-07-02",2016,25,70,62,9,NA,NA,NA,NA,NA,NA,26.6,9.4,108500,2016,NA,NA,66,"PC16CESR9","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"160",160,"2016-08-08",2016,68,108,82,20.4,NA,NA,NA,NA,NA,NA,34.4,8.6,602208,2016,NA,NA,95,"PC16CESP1","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"161",161,"2016-08-08",2016,41,130,143,16.3,NA,NA,NA,NA,NA,NA,35.3,11.9,762190,2016,NA,NA,136.5,"PC16CESP2","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"162",162,"2016-08-08",2016,96,329,238,29.9,NA,NA,NA,NA,NA,NA,34.3,11.4,7516992,2016,NA,NA,283.5,"PC16CESP3","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"163",163,"2016-08-08",2016,34,128,99,11,NA,NA,NA,NA,NA,NA,38.3,11.1,430848,2016,NA,NA,113.5,"PC16CESP5","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"164",164,"2016-07-02",2016,69,145,177,18,NA,NA,NA,NA,NA,NA,22.6,8.8,1770885,2016,NA,NA,161,"PC16CESP6","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"165",165,"2016-07-02",2016,32,233,195,35,NA,NA,NA,NA,NA,NA,28.8,9.5,1453920,2016,NA,NA,214,"PC16CESP7","Kluane","Salix pulchra",35.4,"Southern",70.5,"Southern",175351.776,"Southern"
"166",166,"2016-07-02",2016,40,306,217,22,NA,NA,NA,NA,NA,NA,29.9,9.7,2656080,2016,NA,NA,261.5,"PC16CESP8","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"167",167,"2016-07-02",2016,38,105,83,12,NA,NA,NA,NA,NA,NA,25,9.2,331170,2016,NA,NA,94,"PC16CESP9","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"168",168,"2016-07-02",2016,61,251,209,30,NA,NA,NA,NA,NA,NA,24.8,8.8,3199999,2016,NA,NA,230,"PC16CESP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"169",169,"2016-07-02",2016,7,60,45,8.4,NA,NA,NA,NA,NA,NA,NA,NA,18900,2016,NA,NA,52.5,"PC16CESA2","Kluane","Salix arctica",10.5,"Southern",36.85,"Southern",14133.21,"Southern"
"170",170,"2016-07-02",2016,5,63,54,10,NA,NA,NA,NA,NA,NA,NA,NA,17010,2016,NA,NA,58.5,"PC16CESA5","Kluane","Salix arctica",NA,NA,NA,NA,NA,NA
"171",171,"2016-08-08",2016,27,54,49,12,NA,NA,NA,NA,NA,NA,27.5,6.2,71442,2016,NA,NA,51.5,"PP16TSR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"172",172,"2016-08-08",2016,29,49,30,8,NA,NA,NA,NA,NA,NA,26.4,12.6,42630,2016,NA,NA,39.5,"PP16TSR3","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"173",173,"2016-08-08",2016,14,56,35,21,NA,NA,NA,NA,NA,NA,29.5,9.4,27440,2016,NA,NA,45.5,"PP16TSR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"174",174,"2016-07-02",2016,36,65,32,19,NA,NA,NA,NA,NA,NA,33.7,12.4,74880,2016,NA,NA,48.5,"PP16TSR10","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"175",175,"2016-08-08",2016,48,162,151,17,NA,NA,NA,NA,NA,NA,32.1,9.7,1174176,2016,NA,NA,156.5,"PP16TSP1","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"176",176,"2016-08-08",2016,27,168,89,12,NA,NA,NA,NA,NA,NA,28.1,8.8,403704,2016,NA,NA,128.5,"PP16TSP3","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"177",177,"2016-07-02",2016,45,131,59,10,NA,NA,NA,NA,NA,NA,NA,NA,347805,2016,NA,NA,95,"PP16TSP6","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"178",178,"2016-07-02",2016,39,152,102,25,NA,NA,NA,NA,NA,NA,NA,NA,604656,2016,NA,NA,127,"PP16TSP7","Kluane","Salix pulchra",23,"Southern",NA,NA,NA,NA
"179",179,"2016-07-02",2016,58,141,103,29,NA,NA,NA,NA,NA,NA,NA,NA,842334,2016,NA,NA,122,"PP16TSP8","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"180",180,"2016-07-02",2016,33,226,141,22,NA,NA,NA,NA,NA,NA,NA,NA,1051578,2016,NA,NA,183.5,"PP16TSP9","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"181",181,"2016-07-02",2016,64,104,62,18,NA,NA,NA,NA,NA,NA,NA,NA,412672,2016,NA,NA,83,"PP16TSP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"182",182,"2016-08-08",2016,143,151,139,48.9,NA,NA,NA,NA,NA,NA,33.4,6.7,3001427,2016,NA,NA,145,"KP16SR1","Kluane","Salix richardsonii",7,"Southern",NA,NA,NA,NA
"183",183,"2016-08-08",2016,131,181,230,49.9,NA,NA,NA,NA,NA,NA,34.5,8.4,5453530,2016,NA,NA,205.5,"KP16SR2","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"184",184,"2016-08-09",2016,81,44,52,25.7,NA,NA,NA,NA,NA,NA,40.6,12.1,185328,2016,NA,NA,48,"KP16SR4","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"185",185,"2016-08-08",2016,157,329,323,57.3,NA,NA,NA,NA,NA,NA,36.4,10.2,16683919,2016,NA,NA,326,"KP16SR5","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"186",186,"2016-08-08",2016,54,102,139,18.1,NA,NA,NA,NA,NA,NA,29.9,10.8,765612,2016,NA,NA,120.5,"KP16SR7","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"187",187,"2016-08-08",2016,58,131,81,29.4,NA,NA,NA,NA,NA,NA,35.7,12.4,615438,2016,NA,NA,106,"KP16SR8","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"188",188,"2016-08-08",2016,86,104,71,25.6,NA,NA,NA,NA,NA,NA,33.8,7.5,635024,2016,NA,NA,87.5,"KP16SR9","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"189",189,"2016-08-08",2016,88,68,72,24.6,NA,NA,NA,NA,NA,NA,37.2,10.3,430848,2016,NA,NA,70,"KP16SR10","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"190",190,"2016-08-08",2016,90,173,205,35.6,NA,NA,NA,NA,NA,NA,26,12,3191850,2016,NA,NA,189,"KP16SR11","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"191",191,"2016-08-08",2016,132,173,201,29.7,NA,NA,NA,NA,NA,NA,35.7,8.1,4590036,2016,NA,NA,187,"KP16SR12","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"192",192,"2016-08-08",2016,106,323,199,35.4,NA,NA,NA,NA,NA,NA,30.1,12.9,6813362,2016,NA,NA,261,"KP16SR13","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"193",193,"2016-08-08",2016,130,221,193,41.4,NA,NA,NA,NA,NA,NA,40.3,10.3,5544890,2016,NA,NA,207,"KP16SR14","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"194",194,"2016-08-08",2016,64,100,83,26.2,NA,NA,NA,NA,NA,NA,32.1,10,531200,2016,NA,NA,91.5,"KP16SR15","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"195",195,"2016-08-08",2016,42,62,47,128,NA,NA,NA,NA,NA,NA,33.7,9.2,122388,2016,NA,NA,54.5,"KP16SR17","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"196",196,"2016-08-08",2016,16,311,262,43.3,NA,NA,NA,NA,NA,NA,39.2,9.7,1303712,2016,NA,NA,286.5,"KP16SR18","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"197",197,"2016-08-08",2016,81,191,180,31.7,NA,NA,NA,NA,NA,NA,31.7,10.3,2784780,2016,NA,NA,185.5,"KP16SR19","Kluane","Salix richardsonii",1.6,"Southern",NA,NA,NA,NA
"198",198,"2016-08-08",2016,112,326,295,50,NA,NA,NA,NA,NA,NA,26.6,9.5,10771040,2016,NA,NA,310.5,"KP16SR20","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"199",199,"2016-07-06",2016,91,321,307,36.8,NA,NA,NA,NA,NA,NA,36.2,8.5,8967777,2016,NA,NA,314,"KP16SR21","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"200",200,"2016-07-06",2016,94,152,149,31.4,NA,NA,NA,NA,NA,NA,38.1,12.4,2128912,2016,NA,NA,150.5,"KP16SR22","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"201",201,"2016-07-06",2016,104,241,248,36.6,NA,NA,NA,NA,NA,NA,37.2,10.2,6215872,2016,NA,NA,244.5,"KP16SR23","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"202",202,"2016-07-06",2016,98,300,278,48.4,NA,NA,NA,NA,NA,NA,32.4,10.7,8173200,2016,NA,NA,289,"KP16SR24","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"203",203,"2016-07-06",2016,43,107,101,8,NA,NA,NA,NA,NA,NA,26.1,10.5,464701,2016,NA,NA,104,"KP16SR25","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"204",204,"2016-07-06",2016,87,124,130,40,NA,NA,NA,NA,NA,NA,42.4,16,1402440,2016,NA,NA,127,"KP16SR26","Kluane","Salix richardsonii",31.2,"Southern",11.9,"Southern",4416.984,"Southern"
"205",205,"2016-07-06",2016,102,168,125,20,NA,NA,NA,NA,NA,NA,41.7,16.6,2142000,2016,NA,NA,146.5,"KP16SR27","Kluane","Salix richardsonii",35.6,"Southern",30.5,"Southern",29568,"Southern"
"206",206,"2016-07-06",2016,74,101,93,26,NA,NA,NA,NA,NA,NA,36.9,15.9,695082,2016,NA,NA,97,"KP16SR28","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"207",207,"2016-07-06",2016,86,167,137,39,NA,NA,NA,NA,NA,NA,32.9,14.1,1967594,2016,NA,NA,152,"KP16SR29","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"208",208,"2016-07-06",2016,95,188,98,39,NA,NA,NA,NA,NA,NA,36.5,15.7,1750280,2016,NA,NA,143,"KP16SR30","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"209",209,"2016-07-06",2016,106,208,221,35,NA,NA,NA,NA,NA,NA,37,18.4,4872608,2016,NA,NA,214.5,"KP16SR31","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"210",210,"2016-07-06",2016,97,222,247,27,NA,NA,NA,NA,NA,NA,44.8,21.4,5318898,2016,NA,NA,234.5,"KP16SR32","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"211",211,"2016-07-06",2016,78,179,152,47,NA,NA,NA,NA,NA,NA,43.4,20.7,2122224,2016,NA,NA,165.5,"KP16SR33","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"212",212,"2016-07-06",2016,71,158,122,21,NA,NA,NA,NA,NA,NA,33.9,15.6,1368596,2016,NA,NA,140,"KP16SR34","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"213",213,"2016-07-06",2016,72,170,160,45,NA,NA,NA,NA,NA,NA,38,19.6,1958400,2016,NA,NA,165,"KP16SR35","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"214",214,"2016-07-07",2016,83,130,77,32,NA,NA,NA,NA,NA,NA,37.1,17.4,830830,2016,NA,NA,103.5,"KP16SR36","Kluane","Salix richardsonii",47.4,"Southern",41.65,"Southern",81985.884,"Southern"
"215",215,"2016-07-07",2016,127,157,101,33,NA,NA,NA,NA,NA,NA,49.3,15.1,2013839,2016,NA,NA,129,"KP16SR37","Kluane","Salix richardsonii",83,"Southern",67.5,"Southern",378148,"Southern"
"216",216,"2016-07-07",2016,86,191,173,31,NA,NA,NA,NA,NA,NA,29,17.5,2841698,2016,NA,NA,182,"KP16SR38","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"217",217,"2016-07-07",2016,86,175,119,30,NA,NA,NA,NA,NA,NA,34.2,17.6,1790950,2016,NA,NA,147,"KP16SR39","Kluane","Salix richardsonii",NA,NA,NA,NA,NA,NA
"218",218,"2016-08-08",2016,181,366,405,45.5,NA,NA,NA,NA,NA,NA,36.1,11.1,26829630,2016,NA,NA,385.5,"KP16SP1","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"219",219,"2016-08-08",2016,83,170,115,27.6,NA,NA,NA,NA,NA,NA,34.3,11,1622650,2016,NA,NA,142.5,"KP16SP2","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"220",220,"2016-08-08",2016,133,224,192,30.4,NA,NA,NA,NA,NA,NA,28,7.6,5720064,2016,NA,NA,208,"KP16SP5","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"221",221,"2016-08-08",2016,107,266,158,31.8,NA,NA,NA,NA,NA,NA,33,8.5,4496996,2016,NA,NA,212,"KP16SP7","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"222",222,"2016-08-08",2016,104,323,144,27,NA,NA,NA,NA,NA,NA,44.3,9.1,4837248,2016,NA,NA,233.5,"KP16SP8","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"223",223,"2016-08-08",2016,129,166,178,46.1,NA,NA,NA,NA,NA,NA,34.2,9.9,3811692,2016,NA,NA,172,"KP16SP10","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"224",224,"2016-08-08",2016,209,577,727,92,NA,NA,NA,NA,NA,NA,34.3,9.1,87671111,2016,NA,NA,652,"KP16SP11","Kluane","Salix pulchra",2.7,"Southern",NA,NA,NA,NA
"225",225,"2016-08-08",2016,147,214,206,48.8,NA,NA,NA,NA,NA,NA,25.8,7.4,6480348,2016,NA,NA,210,"KP16SP12","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"226",226,"2016-08-08",2016,131,356,367,36.1,NA,NA,NA,NA,NA,NA,25,9.3,17115412,2016,NA,NA,361.5,"KP16SP13","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"227",227,"2016-08-08",2016,73,218,238,28.1,NA,NA,NA,NA,NA,NA,40.1,9.3,3787532,2016,NA,NA,228,"KP16SP14","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"228",228,"2016-08-08",2016,152,390,303,41.8,NA,NA,NA,NA,NA,NA,43.3,10.1,17961840,2016,NA,NA,346.5,"KP16SP15","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"229",229,"2016-08-08",2016,113,269,166,25.1,NA,NA,NA,NA,NA,NA,35.9,10.5,5045902,2016,NA,NA,217.5,"KP16SP16","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"230",230,"2016-08-08",2016,173,257,330,43.7,NA,NA,NA,NA,NA,NA,36,8.3,14672130,2016,NA,NA,293.5,"KP16SP17","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"231",231,"2016-08-08",2016,82,195,173,18.3,NA,NA,NA,NA,NA,NA,32.5,8.9,2766270,2016,NA,NA,184,"KP16SP18","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"232",232,"2016-08-08",2016,126,232,199,33.5,NA,NA,NA,NA,NA,NA,33.2,11.1,5817168,2016,NA,NA,215.5,"KP16SP19","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"233",233,"2016-08-08",2016,92,245,174,21.1,NA,NA,NA,NA,NA,NA,35.7,10.7,3921960,2016,NA,NA,209.5,"KP16SP20","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"234",234,"2016-07-09",2016,80,172,188,27.6,NA,NA,NA,NA,NA,NA,40.3,7.7,2586880,2016,NA,NA,180,"KP16SP21","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"235",235,"2016-07-09",2016,85,178,168,24,NA,NA,NA,NA,NA,NA,35.2,9.2,2541840,2016,NA,NA,173,"KP16SP22","Kluane","Salix pulchra",21.8,"Southern",NA,NA,NA,NA
"236",236,"2016-07-09",2016,98,261,274,40.4,NA,NA,NA,NA,NA,NA,34.4,10.5,7008372,2016,NA,NA,267.5,"KP16SP23","Kluane","Salix pulchra",19.99,"Southern",NA,NA,NA,NA
"237",237,"2016-07-09",2016,111,352,354,46.9,NA,NA,NA,NA,NA,NA,28.8,11.1,13831488,2016,NA,NA,353,"KP16SP24","Kluane","Salix pulchra",26.1,"Southern",28.5,"Southern",18522,"Southern"
"238",238,"2016-07-09",2016,98,328,292,78.2,NA,NA,NA,NA,NA,NA,32.1,11.3,9386048,2016,NA,NA,310,"KP16SP25","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"239",239,"2016-07-09",2016,71,166,155,31.9,NA,NA,NA,NA,NA,NA,22.1,6.3,1826830,2016,NA,NA,160.5,"KP16SP27","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"240",240,"2016-07-09",2016,72,370,306,30.2,NA,NA,NA,NA,NA,NA,26.6,9.4,8151840,2016,NA,NA,338,"KP16SP28","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"241",241,"2016-07-09",2016,90,189,79,24.6,NA,NA,NA,NA,NA,NA,29.5,14.7,1343790,2016,NA,NA,134,"KP16SP29","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
"242",242,"2016-07-09",2016,66,300,246,19,NA,NA,NA,NA,NA,NA,32.4,12.6,4870800,2016,NA,NA,273,"KP16SP31","Kluane","Salix pulchra",NA,NA,NA,NA,NA,NA
