"","Lat","Lon","Elevation_m","Site","date","Canopy_Height_cm","...8","SampleID","Latitude","Longitude","Elevation","SampleDate","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear","SampleID_standard","...1","Year_measured","Species"
"22",NA,NA,NA,"Qikiqtaruk",NA,14.5,62,"HESP02",NA,NA,NA,2022-07-19,16,11.5,21,11,16,36,31,30,18,16,32.3333333333333,13.75,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP02",NA,NA,"Salix pulchra"
"23",NA,NA,NA,"Qikiqtaruk",NA,24,63,"HESP03",NA,NA,NA,2022-07-19,36,18,24,14,23,35,41,32,NA,20.3333333333333,36,27,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP03",NA,NA,"Salix pulchra"
"24",NA,NA,NA,"Qikiqtaruk",NA,16.4,64,"HESP04",NA,NA,NA,2022-07-20,21,12.6,26,19,43,26,24,17,7,29.3333333333333,22.3333333333333,16.8,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP04",NA,NA,"Salix pulchra"
"25",NA,NA,NA,"Qikiqtaruk",NA,16.2,65,"HESP05",NA,NA,NA,2022-07-20,27.5,9.4,54,31,27,34,25,29,8,37.3333333333333,29.3333333333333,18.45,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP05",NA,NA,"Salix pulchra"
"26",NA,NA,NA,"Qikiqtaruk",NA,16.1,66,"HESP06",NA,NA,NA,2022-07-20,18.5,5.2,13,34,20,34,31,18,5,22.3333333333333,27.6666666666667,11.85,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP06",NA,NA,"Salix pulchra"
"27",NA,NA,NA,"Qikiqtaruk",NA,26.5,67,"HESR01",NA,NA,NA,2022-07-19,93.7,78.1,88,34,38,45,40,36,13,53.3333333333333,40.3333333333333,85.9,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR01",NA,NA,"Salix richardsonii"
"28",NA,NA,NA,"Qikiqtaruk",NA,23.2,68,"HESR02",NA,NA,NA,2022-07-19,88.2,93.4,27,32,34,34,33,34,12,31,33.6666666666667,90.8,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR02",NA,NA,"Salix richardsonii"
"29",NA,NA,NA,"Qikiqtaruk",NA,23.8,69,"HESR03",NA,NA,NA,2022-07-19,58.3,60.9,84,59,86,31,39,39,8,76.3333333333333,36.3333333333333,59.6,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR03",NA,NA,"Salix richardsonii"
"30",NA,NA,NA,"Qikiqtaruk",NA,31.3,70,"HESR04",NA,NA,NA,2022-07-21,130.3,92.1,35,28,41,37,38,22,34,34.6666666666667,32.3333333333333,111.2,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR04",NA,NA,"Salix richardsonii"
"31",NA,NA,NA,"Qikiqtaruk",NA,27.2,71,"HESR05",NA,NA,NA,2022-07-21,63,61.5,32,31,24,34,44,29,26,29,35.6666666666667,62.25,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR05",NA,NA,"Salix richardsonii"
"32",NA,NA,NA,"Qikiqtaruk",NA,61,72,"HESR06",NA,NA,NA,2022-07-21,157,105,66,78,72,44,41,38,35,72,41,131,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR06",NA,NA,"Salix richardsonii"
"33",NA,NA,NA,"Qikiqtaruk",NA,36.7,73,"HESR07",NA,NA,NA,2022-07-21,284,314,39,28,37,51,36,41,12,34.6666666666667,42.6666666666667,299,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR07",NA,NA,"Salix richardsonii"
"34",NA,NA,NA,"Qikiqtaruk",NA,19.4,74,"HESR08",NA,NA,NA,2022-07-21,44,15,44,18,7,41,41,42,10,23,41.3333333333333,29.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR08",NA,NA,"Salix richardsonii"
"35",NA,NA,NA,"Qikiqtaruk",NA,23.2,75,"HESR09",NA,NA,NA,2022-07-21,207,114,22,23,32,29,34,36,11,25.6666666666667,33,160.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR09",NA,NA,"Salix richardsonii"
"36",NA,NA,NA,"Qikiqtaruk",NA,24.5,76,"HESR10",NA,NA,NA,2022-07-21,84,79,16,22,15,30,25,30,15,17.6666666666667,28.3333333333333,81.5,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESR10",NA,NA,"Salix richardsonii"
"37",NA,NA,NA,"Qikiqtaruk",NA,24.5,93,"HESP07",NA,NA,NA,2022-07-25,29,23.5,47,22,18,34,38,41,7,29,37.6666666666667,26.25,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP07",NA,NA,"Salix pulchra"
"38",NA,NA,NA,"Qikiqtaruk",NA,10.3,94,"HESP08",NA,NA,NA,2022-07-25,21.5,16.2,26,16,14,29,34,32,7,18.6666666666667,31.6666666666667,18.85,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP08",NA,NA,"Salix pulchra"
"39",NA,NA,NA,"Qikiqtaruk",NA,13.1,95,"HESP09",NA,NA,NA,2022-07-25,27.6,17.6,33,32,18,31,34,39,7,27.6666666666667,34.6666666666667,22.6,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP09",NA,NA,"Salix pulchra"
"40",NA,NA,NA,"Qikiqtaruk",NA,25.8,96,"HESP10",NA,NA,NA,2022-07-25,49.5,22.1,22,20,33,31,35,46,8,25,37.3333333333333,35.8,NA,NA,NA,NA,NA,NA,NA,NA,2022,"HESP10",NA,NA,"Salix pulchra"
"41",NA,NA,NA,"Kluane",NA,84,NA,"KP17SP1",NA,NA,NA,2017-08-09,113,123,51,97,86,59,62,61,NA,78,60.6666666666667,118,"#N/A","Kluane Plateau",NA,2017-08-10,2017,33,37.8,9.9,2017,"KP17SP1",1,NA,"Salix pulchra"
"42",NA,NA,NA,"Kluane",NA,62,NA,"KP17SP2",NA,NA,NA,2017-08-09,93,84,72,41,30,50,48,60,NA,47.6666666666667,52.6666666666667,88.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,25,25.4,11.24,2017,"KP17SP2",2,NA,"Salix pulchra"
"43",NA,NA,NA,"Kluane",NA,49,NA,"KP17SP3",NA,NA,NA,2017-08-09,55,42,59,59,45,53,59,55,NA,54.3333333333333,55.6666666666667,48.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,12,38.9,10.15,2017,"KP17SP3",3,NA,"Salix pulchra"
"44",NA,NA,NA,"Kluane",NA,54,NA,"KP17SP4",NA,NA,NA,2017-08-09,184,202,48,22,45,56,61,55,NA,38.3333333333333,57.3333333333333,193,"#N/A","Kluane Plateau",NA,2017-08-10,2017,15,42.7,15.18,2017,"KP17SP4",4,NA,"Salix pulchra"
"45",NA,NA,NA,"Kluane",NA,68,NA,"KP17SP5",NA,NA,NA,2017-08-09,115,84,90,58,102,56,56,56,NA,83.3333333333333,56,99.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,20,32.7,10.6,2017,"KP17SP5",5,NA,"Salix pulchra"
"46",NA,NA,NA,"Kluane",NA,108,NA,"KP17SR1",NA,NA,NA,2017-08-09,233,182,68,52,66,61,55,55,NA,62,57,207.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,55,36.3,22.49,2017,"KP17SR1",6,NA,"Salix richardsonii"
"47",NA,NA,NA,"Kluane",NA,60,NA,"KP17SR2",NA,NA,NA,2017-08-09,94,77,31,60,53,41,45,46,NA,48,44,85.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,18,38.6,12.2,2017,"KP17SR2",7,NA,"Salix richardsonii"
"48",NA,NA,NA,"Kluane",NA,44,NA,"KP17SR3",NA,NA,NA,2017-08-09,113,115,51,62,89,52,44,44,NA,67.3333333333333,46.6666666666667,114,"#N/A","Kluane Plateau",NA,2017-08-10,2017,21,34.1,13.24,2017,"KP17SR3",8,NA,"Salix richardsonii"
"49",NA,NA,NA,"Kluane",NA,38,NA,"KP17SR4",NA,NA,NA,2017-08-09,72,65,99,63,66,46,48,47,NA,76,47,68.5,"#N/A","Kluane Plateau",NA,2017-08-10,2017,21,33.7,14.83,2017,"KP17SR4",9,NA,"Salix richardsonii"
"50",NA,NA,NA,"Kluane",NA,106,NA,"KP17SR5",NA,NA,NA,2017-08-09,182,154,57,71,82,45,47,51,NA,70,47.6666666666667,168,"#N/A","Kluane Plateau",NA,2017-08-10,2017,45,39.7,12.87,2017,"KP17SR5",10,NA,"Salix richardsonii"
"51",NA,NA,NA,"Kluane",NA,38.8,NA,"PC17SR1",NA,NA,NA,2017-08-13,47,24,75,70,60,49,40,41,NA,68.3333333333333,43.3333333333333,35.5,"#N/A","Pika Camp",NA,2017-08-16,2017,20.3,32.4,12.2,2017,"PC17SR1",21,NA,"Salix richardsonii"
"52",NA,NA,NA,"Kluane",NA,66,NA,"PC17SR2",NA,NA,NA,2017-08-13,71,48,42,55,40,44,44,39,NA,45.6666666666667,42.3333333333333,59.5,"#N/A","Pika Camp",NA,2017-08-16,2017,25.9,31.2,11.5,2017,"PC17SR2",22,NA,"Salix richardsonii"
