"","Latitude","Longitude","Elevation","Canopy_Height_cm","SampleYear","Site","Species","...8","SampleDate","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","biovolume","Match","SampleSite","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleID_standard"
"99",NA,NA,NA,3.5,2017,"Kluane",NA,NA,2017-08-13,"PC17SA3",53,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,7791,"#N/A","Pika Camp",NA,2017-08-16,2017,5.9,18.1,6.4,"PC17SA3"
"100",NA,NA,NA,5.5,2017,"Kluane",NA,NA,2017-08-13,"PC17SA5",108,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,46332,"#N/A","Pika Camp",NA,2017-08-16,2017,8.9,17.1,8.9,"PC17SA5"
"101",NA,NA,NA,6.3,2017,"Kluane",NA,NA,2017-08-14,"PC17SA6",106,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,69451.2,"#N/A","Pika Camp",NA,2017-08-16,2017,9,29.9,9,"PC17SA6"
"102",NA,NA,NA,5,2017,"Kluane",NA,NA,2017-08-14,"PC17SA7",46,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,11960,"#N/A","Pika Camp",NA,2017-08-16,2017,6,18.9,5.6,"PC17SA7"
"103",NA,NA,NA,6,2017,"Kluane",NA,NA,2017-08-14,"PC17SA8",34,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,13464,"#N/A","Pika Camp",NA,2017-08-16,2017,8,17.5,7.1,"PC17SA8"
"104",NA,NA,NA,8.6,2017,"Kluane",NA,NA,2017-08-14,"PC17SA10",117,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,158.5,201240,"#N/A","Pika Camp",NA,2017-08-16,2017,14,16.3,10.7,"PC17SA10"
"105",NA,NA,NA,93,2017,"Kluane",NA,NA,2017-08-19,"KP17SR8",157,83,62,67,116,56,51,57,NA,81.6666666666667,54.6666666666667,120,1211883,"#N/A","Kluane Plateau",NA,2017-08-19,2017,22.9,30.3,11,"KP17SR8"
"106",NA,NA,NA,57,2017,"Kluane",NA,NA,2017-08-19,"KP17SR9",52,57,74,44,49,63,54,65,NA,55.6666666666667,60.6666666666667,54.5,168948,"#N/A","Kluane Plateau",NA,2017-08-19,2017,16.1,30.6,8,"KP17SR9"
"107",NA,NA,NA,86,2017,"Kluane",NA,NA,2017-08-19,"KP17SR10",200,201,75,63,71,65,62,70,NA,69.6666666666667,65.6666666666667,200.5,3457200,"#N/A","Kluane Plateau",NA,2017-08-19,2017,31.3,29.1,15,"KP17SR10"
"108",NA,NA,NA,65,2017,"Kluane",NA,NA,2017-08-19,"KP17SR11",156,133,193,97,81,46,47,52,NA,123.666666666667,48.3333333333333,144.5,1348620,"#N/A","Kluane Plateau",NA,2017-08-19,2017,38,35.5,16,"KP17SR11"
"109",NA,NA,NA,64,2017,"Kluane",NA,NA,2017-08-19,"KP17SR12",209,199,61,84,92,62,64,61,NA,79,62.3333333333333,204,2661824,"#N/A","Kluane Plateau",NA,2017-08-19,2017,37.3,34.6,20,"KP17SR12"
"110",NA,NA,NA,42,2017,"Kluane",NA,NA,2017-08-19,"KP17SR14",65,32,36,48,49,55,43,52,NA,44.3333333333333,50,48.5,87360,"#N/A","Kluane Plateau",NA,2017-08-19,2017,15.5,24.9,12,"KP17SR14"
"111",NA,NA,NA,77,2017,"Kluane",NA,NA,2017-08-19,"KP17SR15",182,155,73,62,77,67,64,75,NA,70.6666666666667,68.6666666666667,168.5,2172170,"#N/A","Kluane Plateau",NA,2017-08-19,2017,25.9,42.5,19,"KP17SR15"
"112",NA,NA,NA,36,2017,"Kluane",NA,NA,2017-08-19,"KP17SP6",103,67,42,18,28,41,43,42,NA,29.3333333333333,42,85,248436,"#N/A","Kluane Plateau",NA,2017-08-19,2017,18.9,32.6,18,"KP17SP6"
"113",NA,NA,NA,58,2017,"Kluane",NA,NA,2017-08-19,"KP17SP7",47,30,86,45,35,41,46,50,NA,55.3333333333333,45.6666666666667,38.5,81780,"#N/A","Kluane Plateau",NA,2017-08-19,2017,9.3,33,10,"KP17SP7"
"114",NA,NA,NA,67,2017,"Kluane",NA,NA,2017-08-19,"KP17SP8",173,134,55,39,61,45,44,53,NA,51.6666666666667,47.3333333333333,153.5,1553194,"#N/A","Kluane Plateau",NA,2017-08-19,2017,28.5,28.1,13,"KP17SP8"
"115",NA,NA,NA,25,2017,"Kluane",NA,NA,2017-08-19,"KP17SP10",165,122,36,38,30,54,52,51,NA,34.6666666666667,52.3333333333333,143.5,503250,"#N/A","Kluane Plateau",NA,2017-08-19,2017,8.1,30.7,9,"KP17SP10"
"116",NA,NA,NA,65,2017,"Kluane",NA,NA,2017-08-19,"KP17SP11",156,148,56,41,63,54,59,60,NA,53.3333333333333,57.6666666666667,152,1500720,"#N/A","Kluane Plateau",NA,2017-08-19,2017,26.7,33.2,15,"KP17SP11"
"117",NA,NA,NA,85,2017,"Kluane",NA,NA,2017-08-19,"KP17SP12",185,151,138,155,123,59,57,60,NA,138.666666666667,58.6666666666667,168,2374475,"#N/A","Kluane Plateau",NA,2017-08-19,2017,37.1,33.6,11,"KP17SP12"
"118",NA,NA,NA,74,2017,"Kluane",NA,NA,2017-08-19,"KP17SP15",182,142,74,50,43,49,48,51,NA,55.6666666666667,49.3333333333333,162,1912456,"#N/A","Kluane Plateau",NA,2017-08-19,2017,29.8,34.8,15,"KP17SP15"
"119",NA,NA,NA,29.5,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp1",152,79,31,27,26,46,47,41,NA,28,44.6666666666667,115.5,354236,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,5,23.2,6.1,"H17SP1"
"120",NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp2",131,164,38,19,16,38,44,38,NA,24.3333333333333,40,147.5,569326,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,5,26.7,6.3,"H17SP2"
"121",NA,NA,NA,28,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp3",213,126,49,40,29,43,46,41,NA,39.3333333333333,43.3333333333333,169.5,751464,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,25.9,11,"H17SP3"
"122",NA,NA,NA,30.4,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp4",204,118,50,38,35,46,51,52,NA,41,49.6666666666667,161,731788.8,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,29.8,10,"H17SP4"
"123",NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp6",283,112,26,26,27,48,42,46,NA,26.3333333333333,45.3333333333333,197.5,839944,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,40.7,6.8,"H17SP6"
"124",NA,NA,NA,22,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp7",164,77,23,35,24,35,36,38,NA,27.3333333333333,36.3333333333333,120.5,277816,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,6,28.5,7.4,"H17SP7"
"125",NA,NA,NA,36,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp8",262,190,35,38,29,45,40,36,NA,34,40.3333333333333,226,1792080,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,41.9,11.9,"H17SP8"
"126",NA,NA,NA,29,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp9",184,143,57,31,56,51,54,53,NA,48,52.6666666666667,163.5,763048,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,28.9,10.8,"H17SP9"
"127",NA,NA,NA,29,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp10",225,107,18,30,30,38,35,33,NA,26,35.3333333333333,166,698175,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,10,27,9.4,"H17SP10"
"128",NA,NA,NA,24,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp11",197,144,26,19,33,44,45,38,NA,26,42.3333333333333,170.5,680832,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,36.8,12.2,"H17SP11"
"129",NA,NA,NA,26.5,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp12",118,68,17,17,18,38,26,27,NA,17.3333333333333,30.3333333333333,93,212636,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,29.8,6.7,"H17SP12"
"130",NA,NA,NA,25,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp13",138,108,30,21,19,29,32,27,NA,23.3333333333333,29.3333333333333,123,372600,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,37.2,8.3,"H17SP13"
"131",NA,NA,NA,30,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp14",289,185,27,27,25,35,39,34,NA,26.3333333333333,36,237,1603950,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,33.3,8.1,"H17SP14"
"132",NA,NA,NA,29,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp15",175,175,25,33,36,42,36,40,NA,31.3333333333333,39.3333333333333,175,888125,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,7,26.8,8,"H17SP15"
"133",NA,NA,NA,28,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp16",52,93,40,22,37,37,37,33,NA,33,35.6666666666667,72.5,135408,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,35.9,9,"H17SP16"
"134",NA,NA,NA,28,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp17",112,88,53,64,63,37,38,41,NA,60,38.6666666666667,100,275968,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,40.2,9.6,"H17SP17"
"135",NA,NA,NA,23,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp18",162,128,109,53,32,38,36,34,NA,64.6666666666667,36,145,476928,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,6,28.5,7.6,"H17SP18"
"136",NA,NA,NA,18,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp19",215,143,32,41,33,58,47,44,NA,35.3333333333333,49.6666666666667,179,553410,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,8,46.5,8.8,"H17SP19"
"137",NA,NA,NA,29,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sp20",195,122,22,17,20,37,29,38,NA,19.6666666666667,34.6666666666667,158.5,689910,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,30,9,"H17SP20"
"138",NA,NA,NA,38,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr1",245,169,24,30,23,41,44,36,NA,25.6666666666667,40.3333333333333,207,1573390,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,18,35.5,11.5,"H17SR1"
"139",NA,NA,NA,23,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr2",204,165,26,15,23,40,40,37,NA,21.3333333333333,39,184.5,774180,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,14,31.2,9.5,"H17SR2"
"140",NA,NA,NA,27,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr3",152,132,38,32,15,40,42,42,NA,28.3333333333333,41.3333333333333,142,541728,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,32.7,10.7,"H17SR3"
"141",NA,NA,NA,49,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr4",NA,NA,33,29,32,44,40,41,NA,31.3333333333333,41.6666666666667,NA,NA,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,39,39,15.8,"H17SR4"
"142",NA,NA,NA,27,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr5",500,425,24,17,21,49,46,41,NA,20.6666666666667,45.3333333333333,462.5,5737500,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,15,35.2,10.5,"H17SR5"
"143",NA,NA,NA,23,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr6",192,167,21,22,31,47,45,47,NA,24.6666666666667,46.3333333333333,179.5,737472,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,14,30.5,15,"H17SR6"
"144",NA,NA,NA,34,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr7",184,132,24,26,25,44,40,45,NA,25,43,158,825792,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,9,30.5,12,"H17SR7"
"145",NA,NA,NA,32,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr8",305,195,27,21,25,44,39,37,NA,24.3333333333333,40,250,1903200,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,13,31.9,11.4,"H17SR8"
"146",NA,NA,NA,56,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr9",NA,NA,34,41,30,44,44,47,NA,35,45,NA,NA,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,32,37.7,12.1,"H17SR9"
"147",NA,NA,NA,42,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr10",186,154,22,17,36,43,39,40,NA,25,40.6666666666667,170,1203048,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,13,39.2,14,"H17SR10"
"148",NA,NA,NA,67,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr11",NA,412,58,34,47,48,46,58,NA,46.3333333333333,50.6666666666667,NA,NA,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,32,40.5,11.5,"H17SR11"
"149",NA,NA,NA,54,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr12",208,176,20,17,35,41,43,40,NA,24,41.3333333333333,192,1976832,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,25,29.3,11.5,"H17SR12"
"150",NA,NA,NA,35,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr13",261,174,40,29,36,43,50,46,NA,35,46.3333333333333,217.5,1589490,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,20,43.9,10.5,"H17SR13"
"151",NA,NA,NA,24,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr14",228,211,33,24,11,43,46,44,NA,22.6666666666667,44.3333333333333,219.5,1154592,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,28.5,13,"H17SR14"
"152",NA,NA,NA,38,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr15",300,219,32,37,21,35,35,40,NA,30,36.6666666666667,259.5,2496600,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,19,30.5,11.2,"H17SR15"
"153",NA,NA,NA,59,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr16",216,285,45,34,37,41,44,40,NA,38.6666666666667,41.6666666666667,250.5,3632040,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,26,33,15.6,"H17SR16"
"154",NA,NA,NA,48,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr17",208,159,57,52,45,56,49,49,NA,51.3333333333333,51.3333333333333,183.5,1587456,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,25,35.5,12.3,"H17SR17"
"155",NA,NA,NA,72,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr18",NA,NA,32,26,15,43,46,41,NA,24.3333333333333,43.3333333333333,NA,NA,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,36,44,12.1,"H17SR18"
"156",NA,NA,NA,43,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr19",148,153,16,30,27,34,31,32,NA,24.3333333333333,32.3333333333333,150.5,973692,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,23.1,15.1,"H17SR19"
"157",NA,NA,NA,55,2017,"Qikiqtaruk",NA,NA,2017-08-13,"H17Sr20",212,196,22,31,29,47,47,40,NA,27.3333333333333,44.6666666666667,204,2285360,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,21,37.8,10.1,"H17SR20"
"158",NA,NA,NA,52.5,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr21",482,402,46,36,32,50,48,48,NA,38,48.6666666666667,442,10172610,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,30,28.2,11,"H17SR21"
"159",NA,NA,NA,48,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr22",321,307,21,20,26,41,41,38,NA,22.3333333333333,40,314,4730256,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,24,35.3,9.4,"H17SR22"
"160",NA,NA,NA,46.5,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr35",392,339,110,78,111,55,51,59,NA,99.6666666666667,55,365.5,6179292,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,28,39.2,12.2,"H17SR35"
"161",NA,NA,NA,41,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr36",134,117,250,221,88,55,51,58,NA,186.333333333333,54.6666666666667,125.5,642798,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,19,41.1,14.8,"H17SR36"
"162",NA,NA,NA,57,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr37",178,139,92,53,70,51,55,47,NA,71.6666666666667,51,158.5,1410294,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,23,40.9,8.3,"H17SR37"
"163",NA,NA,NA,36,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr39",128,123,48,30,44,44,41,43,NA,40.6666666666667,42.6666666666667,125.5,566784,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,11,35.9,13.6,"H17SR39"
"164",NA,NA,NA,32,2017,"Qikiqtaruk",NA,NA,2017-08-14,"H17Sr40",151,124,24,28,24,36,33,33,NA,25.3333333333333,34,137.5,599168,"#N/A","Qikiqtaruk",NA,2017-08-20,2017,12,31.6,13.1,"H17SR40"
"165",NA,NA,NA,148,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR1",147,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,2240868,"PC16PVSr1","Pika Camp",2016-07-02,2016-08-08,2016,34.1,29.9,10.3,"PC16PVSR1"
"166",NA,NA,NA,124,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR2",154,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.5,2234232,"PC16PVSr2","Pika Camp",2016-07-02,2016-08-08,2016,50.3,40.4,10.8,"PC16PVSR2"
"167",NA,NA,NA,22,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR3",46,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,62744,"PC16PVSr3","Pika Camp",2016-07-02,2016-08-08,2016,10.4,30.5,7.5,"PC16PVSR3"
"168",NA,NA,NA,174,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR4",183,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.5,7196292,"PC16PVSr4","Pika Camp",2016-07-02,2016-08-08,2016,69.6,28.5,9.4,"PC16PVSR4"
"169",NA,NA,NA,100,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR5",224,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.5,3068800,"PC16PVSr5","Pika Camp",2016-07-02,2016-08-08,2016,47,43.5,10.6,"PC16PVSR5"
"170",NA,NA,NA,108,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR6",215,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.5,3529440,"PC16PVSr6","Pika Camp",NA,2016-07-02,2016,38.7,34.8,10.6,"PC16PVSR6"
"171",NA,NA,NA,81,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR7",222,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,1942056,"PC16PVSr7","Pika Camp",NA,2016-07-02,2016,33.3,33.5,11.6,"PC16PVSR7"
"172",NA,NA,NA,76,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSR8",235,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.5,2750440,"PC16PVSr8","Pika Camp",NA,2016-07-02,2016,24.7,39.5,8.4,"PC16PVSR8"
"173",NA,NA,NA,143,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP1",68,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.5,1585012,"PC16PVSp1","Pika Camp",2016-07-02,2016-08-08,2016,38.6,35.4,11.4,"PC16PVSP1"
"174",NA,NA,NA,87,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP2",174,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,179.5,2800530,"PC16PVSp2","Pika Camp",2016-07-02,2016-08-08,2016,24.4,17,9.2,"PC16PVSP2"
"175",NA,NA,NA,109,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP3",44,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5,733788,"PC16PVSp3","Pika Camp",2016-07-02,2016-08-08,2016,17,23.4,11.5,"PC16PVSP3"
"176",NA,NA,NA,40,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP4",389,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,270.5,2365120,"PC16PVSp4","Pika Camp",2016-07-02,2016-08-08,2016,21.2,35.2,11.8,"PC16PVSP4"
"177",NA,NA,NA,86,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP5",214,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,4343344,"PC16PVSp5","Pika Camp",2016-07-02,2016-08-08,2016,97.2,36,9.6,"PC16PVSP5"
"178",NA,NA,NA,78,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP6",209,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,3635346,"PC16PVSp6","Pika Camp",NA,2016-07-02,2016,45.1,37.2,8.2,"PC16PVSP6"
"179",NA,NA,NA,67,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP7",168,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1710912,"PC16PVSp7","Pika Camp",NA,2016-07-02,2016,19.4,40.9,11.4,"PC16PVSP7"
"180",NA,NA,NA,63,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP8",139,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,866943,"PC16PVSp8","Pika Camp",NA,2016-07-02,2016,21.3,41,10.9,"PC16PVSP8"
"181",NA,NA,NA,94,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP9",123,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,1653366,"PC16PVSp9","Pika Camp",NA,2016-07-02,2016,16.4,36.5,8,"PC16PVSP9"
"182",NA,NA,NA,51,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSP10",116,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,425952,"PC16PVSp10","Pika Camp",NA,2016-07-02,2016,18.6,29,8.9,"PC16PVSP10"
"183",NA,NA,NA,12,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSA1",45,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,9720,"PC16PVSa1","Pika Camp",2016-07-02,2016-08-09,2016,11.1,21.9,9.3,"PC16PVSA1"
"184",NA,NA,NA,12,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSA2",60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,43200,"PC16PVSa2","Pika Camp",2016-07-02,2016-08-09,2016,8.7,20.3,9.2,"PC16PVSA2"
"185",NA,NA,NA,12,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSA3",60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,43200,"PC16PVSa3","Pika Camp",2016-07-02,2016-08-09,2016,8.7,15.6,5.3,"PC16PVSA3"
"186",NA,NA,NA,21,2016,"Kluane",NA,NA,2016-06-29,"PC16PVSA4",197,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,1162497,"PC16PVSa4","Pika Camp",2016-07-02,2016-08-09,2016,16.5,19.8,9.4,"PC16PVSA4"
"187",NA,NA,NA,111,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR1",330,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,12014640,"PC16CWSr1","Pika Camp",2016-07-02,2016-08-08,2016,64.8,35.4,9.4,"PC16CWSR1"
"188",NA,NA,NA,96,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR2",160,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.5,2012160,"PC16CWSr2","Pika Camp",2016-07-02,2016-08-08,2016,22.9,34.2,11.3,"PC16CWSR2"
"189",NA,NA,NA,83,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR3",174,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,1617504,"PC16CWSr3","Pika Camp",2016-07-02,2016-08-08,2016,25.6,31.4,10.4,"PC16CWSR3"
"190",NA,NA,NA,47,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR4",32,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,54144,"PC16CWSr4","Pika Camp",2016-07-02,2016-08-08,2016,8.2,29.6,8.3,"PC16CWSR4"
"191",NA,NA,NA,38,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR5",102,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,224808,"PC16CWSr5","Pika Camp",2016-07-02,2016-08-08,2016,13.5,33.1,8.5,"PC16CWSR5"
"192",NA,NA,NA,64,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR7",111,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,483072,"PC16CWSr7","Pika Camp",NA,2016-07-02,2016,19,36.1,10.7,"PC16CWSR7"
"193",NA,NA,NA,52,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSR8",41,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5,68224,"PC16CWSr8","Pika Camp",NA,2016-07-02,2016,17,16.2,7.8,"PC16CWSR8"
"194",NA,NA,NA,83,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP2",213,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,234.5,4525824,"PC16CWSp2","Pika Camp",2016-07-02,2016-08-08,2016,25.4,421.7,9.2,"PC16CWSP2"
"195",NA,NA,NA,56,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP3",183,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,1752408,"PC16CWSp3","Pika Camp",2016-07-02,2016-08-08,2016,35.5,32.7,8.4,"PC16CWSP3"
"196",NA,NA,NA,67,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP4",242,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,223.5,3323870,"PC16CWSp4","Pika Camp",2016-07-02,2016-08-08,2016,19,36.3,7.4,"PC16CWSP4"
"197",NA,NA,NA,24,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP6",257,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,206.5,962208,"PC16CWSp6","Pika Camp",NA,2016-07-02,2016,18.5,31,9.8,"PC16CWSP6"
"198",NA,NA,NA,64,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP7",111,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5,483072,"PC16CWSp7","Pika Camp",NA,2016-07-02,2016,19,34.3,15.5,"PC16CWSP7"
"199",NA,NA,NA,60,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP9",117,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,568620,"PC16CWSp9","Pika Camp",NA,2016-07-02,2016,29,37.8,13.4,"PC16CWSP9"
"200",NA,NA,NA,51,2016,"Kluane",NA,NA,2016-06-29,"PC16CWSP10",124,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,607104,"PC16CWSp10","Pika Camp",NA,2016-07-02,2016,14,34.4,15.2,"PC16CWSP10"
