Species,SLA_mm2_mg,Plant_height_veg_m,Plant_height_repro_m,Seed_mass_dry_mg,LDMC_g_g,Wood_density_mg_mm3,Leaf_area_mm2,Leaf_fresh_mass_g,Leaf_dry_mass_mg,Species_sex,Lat,Lon,Elevation_m,Site,Subsite_name,Treatment,date,DOY,Year_measured,Data_contributor,Data_coPIs,ValueKindName
Salix arctica,,,,,,,74,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,82,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,149,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,329,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,496,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,319,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,385,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,158,,,,61.10549,-138.6618,1693,Kluane,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,607,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
Salix arctica,,,,,,,787,,,,69.5749,-138.8631,76,Qikiqtaruk,,none,Jul,July,2014,Isla Myers-Smith,Jennifer Lowe; Haydn Thomas,Individual Mean
