"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"15","KP17SA5","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,29,25,8,NA,NA,NA,NA,NA,NA,16.4,12,"Kluane",2017,NA,NA,27,"KP17SA5"
"16","KP17SA6","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,10,23,11,10,NA,NA,NA,NA,NA,NA,9.7,16.45,"Kluane",2017,NA,NA,17,"KP17SA6"
"17","KP17SA7","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4,45,32,45,NA,NA,NA,NA,NA,NA,14.8,7.71,"Kluane",2017,NA,NA,38.5,"KP17SA7"
"18","KP17SA8","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,6,61,27,9,NA,NA,NA,NA,NA,NA,17.4,6.42,"Kluane",2017,NA,NA,44,"KP17SA8"
"19","KP17SA9","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,4,45,43,8,NA,NA,NA,NA,NA,NA,13,9.07,"Kluane",2017,NA,NA,44,"KP17SA9"
"20","KP17SA10","#N/A","Kluane Plateau",2017-08-09,NA,2017-08-10,2017,5,44,47,10,NA,NA,NA,NA,NA,NA,12.7,9.9,"Kluane",2017,NA,NA,45.5,"KP17SA10"
"21","PC17SR1","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,38.8,47,24,20.3,49,40,41,75,70,60,32.4,12.2,"Kluane",2017,68.3333333333333,43.3333333333333,35.5,"PC17SR1"
"22","PC17SR2","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,66,71,48,25.9,44,44,39,42,55,40,31.2,11.5,"Kluane",2017,45.6666666666667,42.3333333333333,59.5,"PC17SR2"
"23","PC17SR3","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,55,68,69,10.7,45,44,51,45,38,61,38.2,8.4,"Kluane",2017,48,46.6666666666667,68.5,"PC17SR3"
"24","PC17SR4","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,31,45,36,9.4,42,38,41,48,32,33,35.5,11.1,"Kluane",2017,37.6666666666667,40.3333333333333,40.5,"PC17SR4"
