"","Species","Latitude","Longitude","Elevation","Site","SampleDate","Canopy_Height_cm","SampleID","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","mean_stem_elong","mean_leaf_length","mean_width","Match","Date_propagated","Date_planted","Year_planted","Mother_LS","Cutting_length","Cutting_diameter","SampleYear"
"29","Salix arctica",69.57632,138.86952,59,"Qikiqtaruk",2015-07-28,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"30","Salix arctica",69.57632,138.86952,59,"Qikiqtaruk",2015-07-28,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
"31","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2016-07-24,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"32","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2016-07-24,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"33","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2016-07-24,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"34","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2016-07-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"35","Salix arctica",69.57645,-138.994435,49,"Qikiqtaruk",2016-07-24,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"36","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2016-07-26,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"37","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2016-07-26,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"38","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2016-07-26,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"39","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2016-07-26,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"40","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk",2016-07-26,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"41","Salix arctica",61.21649,-138.28606,1631,"Kluane",2016-06-28,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"42","Salix arctica",61.21649,-138.28606,1631,"Kluane",2016-06-28,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"43","Salix arctica",61.21649,-138.28606,1631,"Kluane",2016-06-28,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"44","Salix arctica",61.21649,-138.28606,1631,"Kluane",2016-06-28,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"45","Salix arctica",61.21649,-138.28606,1631,"Kluane",2016-06-28,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"46","Salix arctica",61.219,-138.28477,1577,"Kluane",2016-06-29,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"47","Salix arctica",61.219,-138.28477,1577,"Kluane",2016-06-29,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"48","Salix arctica",61.219,-138.28477,1577,"Kluane",2016-06-29,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
"49","Salix arctica",61.219,-138.28477,1577,"Kluane",2016-06-29,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
