"","max_mean_width_cm","SampleID_standard","Year","Site","population","Species"
"87",18.85,"H18SR8",2023,"Common_garden","Northern","Salix richardsonii"
"88",23.75,"HE16SA14",2023,"Common_garden","Northern","Salix arctica"
"89",22.4,"HE16SA3",2023,"Common_garden","Northern","Salix arctica"
"90",8.25,"HE16SA6",2023,"Common_garden","Northern","Salix arctica"
"91",26.6,"HE16SA7",2023,"Common_garden","Northern","Salix arctica"
"92",17.8,"HE16SP15",2023,"Common_garden","Northern","Salix pulchra"
"93",13.25,"HE16SP17",2022,"Common_garden","Northern","Salix pulchra"
"94",28.75,"HERSP11",2023,"Common_garden","Northern","Salix pulchra"
"95",34.7,"HERSP12",2023,"Common_garden","Northern","Salix pulchra"
"96",5.65,"HERSP14",2023,"Common_garden","Northern","Salix pulchra"
"97",25.95,"HERSP24",2023,"Common_garden","Northern","Salix pulchra"
"98",20.3,"HERSP29",2023,"Common_garden","Northern","Salix pulchra"
"99",37.5,"HERSP3",2023,"Common_garden","Northern","Salix pulchra"
"100",8.85,"HERSP4",2023,"Common_garden","Northern","Salix pulchra"
"101",9.55,"HERSR4",2023,"Common_garden","Northern",NA
"102",26,"HESP11",2022,"Common_garden","Northern","Salix pulchra"
"103",29.5,"HESP12",2022,"Common_garden","Northern","Salix pulchra"
"104",9.05,"HESP14",2021,"Common_garden","Northern","Salix pulchra"
"105",8.55,"HESP17",2021,"Common_garden","Northern","Salix pulchra"
"106",9.25,"HESP2",2022,"Common_garden","Northern","Salix pulchra"
"107",8.45,"HESP20",2021,"Common_garden","Northern","Salix pulchra"
"108",24.5,"HESP24",2022,"Common_garden","Northern","Salix pulchra"
"109",17.5,"HESP29",2022,"Common_garden","Northern","Salix pulchra"
"110",30,"HESP3",2021,"Common_garden","Northern","Salix pulchra"
"111",12.75,"HESP4",2021,"Common_garden","Northern","Salix pulchra"
"112",8.15,"HESR13",2023,"Common_garden","Northern","Salix richardsonii"
"113",19.95,"HESR2",2023,"Common_garden","Northern","Salix richardsonii"
"114",9.9,"HESR23",2023,"Common_garden","Northern","Salix richardsonii"
"115",3.9,"HESR26",2021,"Common_garden","Northern","Salix richardsonii"
"116",23.85,"HESR3",2023,"Common_garden","Northern","Salix richardsonii"
"117",16.75,"HESR4",2021,"Common_garden","Northern","Salix richardsonii"
"118",22.45,"HESR7",2023,"Common_garden","Northern","Salix richardsonii"
"119",21.5,"HESR8",2022,"Common_garden","Northern","Salix richardsonii"
"120",13.5,"K15PSA10",2022,"Common_garden","Southern","Salix arctica"
"121",30.2,"K15PSA11",2023,"Common_garden","Southern","Salix arctica"
"122",33.5,"K15PSA12",2023,"Common_garden","Southern","Salix arctica"
"123",21.35,"K15PSA15",2023,"Common_garden","Southern","Salix arctica"
"124",23.45,"K15PSA2",2023,"Common_garden","Southern","Salix arctica"
"125",30.6,"K15PSA6",2023,"Common_garden","Southern","Salix arctica"
"126",53.75,"K15PSA7",2023,"Common_garden","Southern","Salix arctica"
"127",25.5,"K15PSA8",2022,"Common_garden","Southern","Salix arctica"
"128",37.05,"K15PSA9",2023,"Common_garden","Southern","Salix arctica"
"129",27.65,"K15SSR8",2023,"Common_garden","Southern","Salix richardsonii"
"130",8.75,"K17SA5",2023,"Common_garden","Southern","Salix arctica"
"131",24.8,"K17SR6",2023,"Common_garden","Southern","Salix richardsonii"
"132",9.6,"KLSPC1",2021,"Common_garden","Southern","Salix pulchra"
"133",105.9,"KLSPC13",2021,"Common_garden","Southern","Salix pulchra"
"134",10,"KLSPC2",2022,"Common_garden","Southern","Salix pulchra"
"135",44.5,"KLSPC3",2022,"Common_garden","Southern","Salix pulchra"
"136",24.4,"KLSPC8",2021,"Common_garden","Southern","Salix pulchra"
"137",44.25,"KLSPC9",2021,"Common_garden","Southern","Salix pulchra"
"138",60.5,"KLSPE1",2021,"Common_garden","Southern","Salix pulchra"
"139",90.25,"KLSPE11",2021,"Common_garden","Southern","Salix pulchra"
"140",94.5,"KLSPE12",2023,"Common_garden","Southern","Salix pulchra"
"141",99.65,"KLSPE14",2021,"Common_garden","Southern","Salix pulchra"
"142",44.75,"KLSPE15",2021,"Common_garden","Southern","Salix pulchra"
"143",113.5,"KLSPE2",2022,"Common_garden","Southern","Salix pulchra"
"144",9.7,"KLSPE3",2023,"Common_garden","Southern","Salix pulchra"
"145",81.5,"KLSPE4",2022,"Common_garden","Southern","Salix pulchra"
"146",42.75,"KLSPE5",2022,"Common_garden","Southern","Salix pulchra"
"147",209.5,"KLSPE6",2021,"Common_garden","Southern","Salix pulchra"
"148",31.05,"KLSPE7",2023,"Common_garden","Southern","Salix pulchra"
"149",65,"KLSPE8",2022,"Common_garden","Southern","Salix pulchra"
"150",108.85,"KLSPE9",2023,"Common_garden","Southern","Salix pulchra"
"151",145.45,"KLSRC10",2023,"Common_garden","Southern","Salix richardsonii"
"152",146.75,"KLSRC13",2023,"Common_garden","Southern","Salix richardsonii"
"153",125,"KLSRC2",2022,"Common_garden","Southern","Salix richardsonii"
"154",124.45,"KLSRC6",2023,"Common_garden","Southern","Salix richardsonii"
"155",141.5,"KLSRE10",2022,"Common_garden","Southern","Salix richardsonii"
"156",183.25,"KLSRE11",2021,"Common_garden","Southern","Salix richardsonii"
"157",124,"KLSRE13",2023,"Common_garden","Southern","Salix richardsonii"
"158",87.3,"KLSRE14",2023,"Common_garden","Southern","Salix richardsonii"
"159",135.1,"KLSRE15",2021,"Common_garden","Southern","Salix richardsonii"
"160",256.25,"KLSRE4",2023,"Common_garden","Southern","Salix richardsonii"
"161",113,"KLSRE6",2022,"Common_garden","Southern","Salix richardsonii"
"162",77.5,"KLSRE7",2021,"Common_garden","Southern","Salix richardsonii"
"163",125.85,"KLSRE9",2023,"Common_garden","Southern","Salix richardsonii"
"164",11.15,"KP16SA6",2023,"Common_garden","Southern","Salix arctica"
"165",28.5,"KP16SP24",2021,"Common_garden","Southern","Salix pulchra"
"166",54.5,"KP16SP33",2022,"Common_garden","Southern","Salix pulchra"
"167",8.95,"KP16SP39",2023,"Common_garden","Southern","Salix pulchra"
"168",22.5,"KP16SP43",2021,"Common_garden","Southern","Salix pulchra"
"169",30.5,"KP16SP46",2022,"Common_garden","Southern","Salix pulchra"
"170",15.65,"KP16SP51",2023,"Common_garden","Southern","Salix pulchra"
"171",42.75,"KP16SP52",2023,"Common_garden","Southern","Salix pulchra"
"172",8.7,"KP16SP55",2023,"Common_garden","Southern","Salix pulchra"
"173",58.85,"KP16SP56",2023,"Common_garden","Southern","Salix pulchra"
"174",56.9,"KP16SP59",2023,"Common_garden","Southern","Salix pulchra"
"175",36.75,"KP16SP60",2023,"Common_garden","Southern","Salix pulchra"
"176",11.9,"KP16SR26",2021,"Common_garden","Southern","Salix richardsonii"
"177",30.5,"KP16SR27",2022,"Common_garden","Southern","Salix richardsonii"
"178",41.65,"KP16SR36",2023,"Common_garden","Southern","Salix richardsonii"
"179",67.5,"KP16SR37",2022,"Common_garden","Southern","Salix richardsonii"
"180",32.5,"KP16SR41",2022,"Common_garden","Southern","Salix richardsonii"
"181",33,"KP16SR51",2022,"Common_garden","Southern","Salix richardsonii"
"182",53.75,"KP16SR52",2022,"Common_garden","Southern","Salix richardsonii"
"183",41.4,"KP16SR53",2023,"Common_garden","Southern","Salix richardsonii"
"184",66.5,"KP16SR57",2022,"Common_garden","Southern","Salix richardsonii"
"185",65.3,"KP16SR58",2023,"Common_garden","Southern","Salix richardsonii"
"186",43.25,"KP16SR60",2023,"Common_garden","Southern","Salix richardsonii"
"187",16.8,"KP17SA2",2023,"Common_garden","Southern","Salix arctica"
"188",10.95,"KP17SA4",2023,"Common_garden","Southern","Salix arctica"
"189",19.25,"KP17SA6",2022,"Common_garden","Southern","Salix arctica"
"190",21.5,"KP17SA9",2022,"Common_garden","Southern","Salix arctica"
"191",18.8,"KP17SP1",2023,"Common_garden","Southern","Salix pulchra"
"192",41.45,"KP17SP12",2023,"Common_garden","Southern","Salix pulchra"
"193",73.6,"KP17SP2",2023,"Common_garden","Southern","Salix pulchra"
"194",65.85,"KP17SP5",2023,"Common_garden","Southern","Salix pulchra"
"195",23.75,"KP17SP9",2023,"Common_garden","Southern","Salix pulchra"
"196",39,"KP17SR1",2022,"Common_garden","Southern","Salix richardsonii"
"197",29.5,"KP17SR2",2022,"Common_garden","Southern","Salix richardsonii"
"198",42.5,"KP17SR3",2022,"Common_garden","Southern","Salix richardsonii"
"199",32,"KP17SR4",2022,"Common_garden","Southern","Salix richardsonii"
"200",13,"KP18SA10",2022,"Common_garden","Southern","Salix arctica"
"201",12.7,"KP18SA2",2023,"Common_garden","Southern","Salix arctica"
"202",18.8,"KP18SA4",2023,"Common_garden","Southern","Salix arctica"
"203",21.25,"KP18SA8",2023,"Common_garden","Southern","Salix arctica"
"204",8.5,"KP18SA9",2023,"Common_garden","Southern","Salix arctica"
"205",45.5,"KP18SP1",2022,"Common_garden","Southern","Salix pulchra"
"206",71.95,"KP18SP2",2023,"Common_garden","Southern","Salix pulchra"
"207",13.5,"KP18SP3",2023,"Common_garden","Southern","Salix pulchra"
"208",38,"KP18SP4",2022,"Common_garden","Southern","Salix pulchra"
"209",97.25,"KPSR5",2023,"Common_garden","Southern","Salix richardsonii"
"210",36.85,"PC16CESA2",2023,"Common_garden","Southern","Salix arctica"
"211",70.5,"PC16CESP7",2023,"Common_garden","Southern","Salix pulchra"
"212",36,"PC16CWSP7",2022,"Common_garden","Southern","Salix pulchra"
"213",42,"PC16CWSP9",2023,"Common_garden","Southern","Salix pulchra"
"214",33.75,"PC17SA1",2023,"Common_garden","Southern","Salix arctica"
"215",12,"PC17SA6",2022,"Common_garden","Southern","Salix arctica"
"216",26.6,"PC17SA7",2023,"Common_garden","Southern","Salix arctica"
"217",12,"PC17SA9",2022,"Common_garden","Southern","Salix arctica"
"218",49,"PC17SP1",2022,"Common_garden","Southern","Salix pulchra"
"219",19.5,"PC17SP10",2023,"Common_garden","Southern","Salix pulchra"
"220",13.35,"PC17SP3",2023,"Common_garden","Southern","Salix pulchra"
