"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","X","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","biovolume","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"25","HESR21",17,14,15,8,15,2015,"Common_garden","Northern","Salix richardsonii",15.3333333333333,16,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"26","HESR23",14,18,19,8,15,2015,"Common_garden","Northern","Salix richardsonii",17,17,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"27","HESR24",14,5,4,8,15,2015,"Common_garden","Northern","Salix richardsonii",7.66666666666667,18,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"28","HESR26",15,19,14,8,15,2015,"Common_garden","Northern","Salix richardsonii",16,19,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"29","HESR27",14,10,13,8,15,2015,"Common_garden","Northern","Salix richardsonii",12.3333333333333,20,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","HESR29",15,15,14,8,15,2015,"Common_garden","Northern","Salix richardsonii",14.6666666666667,21,"AC",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"31","HESR3",8,6,9,8,15,2015,"Common_garden","Northern","Salix richardsonii",7.66666666666667,22,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"32","HESR4",9,14,9,8,15,2015,"Common_garden","Northern","Salix richardsonii",10.6666666666667,23,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","HESR6",14,13,13,8,15,2015,"Common_garden","Northern","Salix richardsonii",13.3333333333333,24,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","HESR7",9,9,11,8,15,2015,"Common_garden","Northern","Salix richardsonii",9.66666666666667,25,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","HESR8",12,12,23,8,15,2015,"Common_garden","Northern","Salix richardsonii",15.6666666666667,26,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"36","KLSPC1",12,17,10,8,15,2015,"Common_garden","Southern","Salix pulchra",13,27,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"37","KLSPC10",21,19,19,8,15,2015,"Common_garden","Southern","Salix pulchra",19.6666666666667,28,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"38","KLSPC12",12,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",11,29,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","KLSPC13",25,18,14,8,15,2015,"Common_garden","Southern","Salix pulchra",19,30,"AB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","KLSPC3",17,12,10,8,15,2015,"Common_garden","Southern","Salix pulchra",13,31,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","KLSPC8",25,27,12,8,15,2015,"Common_garden","Southern","Salix pulchra",21.3333333333333,32,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"42","KLSPC9",13,14,16,8,15,2015,"Common_garden","Southern","Salix pulchra",14.3333333333333,33,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43","KLSPE1",8,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",9.66666666666667,34,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"44","KLSPE10",13,14,15,8,15,2015,"Common_garden","Southern","Salix pulchra",14,35,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"45","KLSPE11",18,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",13,36,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"46","KLSPE12",15,10,11,8,15,2015,"Common_garden","Southern","Salix pulchra",12,37,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","KLSPE13",6,10,5,8,15,2015,"Common_garden","Southern","Salix pulchra",7,38,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48","KLSPE14",15,14,16,8,15,2015,"Common_garden","Southern","Salix pulchra",15,39,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"49","KLSPE15",26,15,15,8,15,2015,"Common_garden","Southern","Salix pulchra",18.6666666666667,40,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50","KLSPE2",31,24,21,8,15,2015,"Common_garden","Southern","Salix pulchra",25.3333333333333,41,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"51","KLSPE4",5,5,NA,8,15,2015,"Common_garden","Southern","Salix pulchra",NA,42,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"52","KLSPE5",11,9,13,8,15,2015,"Common_garden","Southern","Salix pulchra",11,43,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"53","KLSPE6",17,15,12,8,15,2015,"Common_garden","Southern","Salix pulchra",14.6666666666667,44,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
