"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","X","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","biovolume","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"1447","H17SP3",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1438,"IMS",2017,NA,4.4,NA,NA,NA,8.33,8.34,10.05,NA,8.90666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1448","H17SP4",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1439,"IMS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1449","H17SP5",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1440,"IMS",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1450","H17SP6",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1441,"IMS",2017,NA,4.5,NA,NA,NA,34.02,13.09,10.1,NA,19.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1451","H17SP7",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1442,"IMS",2017,NA,1.8,NA,NA,NA,17.11,11.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1452","H17SP8",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1443,"SL",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1453","H17SP9",27.11,26.28,25.31,8,23,2019,"Common_garden","Northern","Salix pulchra",26.2333333333333,1444,"CF",2017,NA,15.2,NA,NA,NA,31.07,26.18,28.4,NA,28.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1454","H17SR1",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1445,"LB",2017,NA,19.2,NA,NA,NA,14.35,10.96,17.33,NA,14.2133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1455","H17SR10",30,27.6,31.2,8,23,2019,"Common_garden","Northern","Salix richardsonii",29.6,1446,"GD",2017,NA,9.6,NA,NA,NA,24.37,30.91,33.5,NA,29.5933333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1456","H17SR11",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1447,"GD",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1457","H17SR12",26.76,16.81,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1448,"GD",2017,NA,2,NA,NA,NA,41.69,24.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1458","H17SR13",28.61,31.19,25.39,8,23,2019,"Common_garden","Northern","Salix richardsonii",28.3966666666667,1449,"GD",2017,NA,12,NA,NA,NA,40.88,14.45,21.5,NA,25.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1459","H17SR14",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1450,"GD",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1460","H17SR15",30.5,19.6,21.6,8,23,2019,"Common_garden","Northern","Salix richardsonii",23.9,1451,"GD",2017,NA,11,NA,NA,NA,24.4,13.34,21.6,NA,19.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1461","H17SR16",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1452,"IR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1462","H17SR17",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1453,"IR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1463","H17SR18",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1454,"IR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1464","H17SR19",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1455,"IR",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1465","H17SR2",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1456,"LB",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1466","H17SR20",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1457,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1467","H17SR21",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1458,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1468","H17SR21_CLONE",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1459,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1469","H17SR22",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1460,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1470","H17SR23",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1461,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1471","H17SR24",17.12,15.28,12.25,8,23,2019,"Common_garden","Northern","Salix richardsonii",14.8833333333333,1462,"AC",2017,NA,13.4,NA,NA,NA,13.76,16.65,10.38,NA,13.5966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1472","H17SR25",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1463,"AC",2017,NA,2.6,NA,NA,NA,15.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1473","H17SR26",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1464,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1474","H17SR27",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1465,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1475","H17SR28",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1466,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1476","H17SR29",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1467,"AC",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1477","H17SR3",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1468,"LB",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1478","H17SR30",32.16,36.96,32.82,8,23,2019,"Common_garden","Northern","Salix richardsonii",33.98,1469,"EW",2017,NA,7.9,NA,NA,NA,22.22,30.97,19.73,NA,24.3066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1479","H17SR31",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1470,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1480","H17SR32",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1471,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1481","H17SR33",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1472,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1482","H17SR34",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1473,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1483","H17SR35",27.45,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1474,"EW",2017,NA,3.6,NA,NA,NA,18.74,13.29,15.98,NA,16.0033333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1484","H17SR36",32.22,28.15,28.69,8,23,2019,"Common_garden","Northern","Salix richardsonii",29.6866666666667,1475,"EW",2017,NA,10.2,NA,NA,NA,54.89,43.2,27.37,NA,41.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1485","H17SR37",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1476,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1486","H17SR38",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1477,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1487","H17SR39",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1478,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1488","H17SR4",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1479,"LB",2017,NA,7.8,NA,NA,NA,39.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1489","H17SR40",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1480,"EW",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1490","H17SR5",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1481,"LB",2017,NA,14.4,NA,NA,NA,31.29,22.58,53.25,NA,35.7066666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1491","H17SR6",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1482,"GD",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1492","H17SR7",24.28,22.94,24.92,8,23,2019,"Common_garden","Northern","Salix richardsonii",24.0466666666667,1483,"GD",2017,NA,3.7,NA,NA,NA,19.3,13.91,13.62,NA,15.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1493","H17SR8",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1484,"GD",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1494","H17SR9",32.91,39.01,40,8,23,2019,"Common_garden","Northern","Salix richardsonii",37.3066666666667,1485,"GD",2017,NA,12.4,NA,NA,NA,49.79,27.38,17.32,NA,31.4966666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"1495","H18SA1",11.36,10.32,11.78,8,23,2019,"Common_garden","Northern","Salix arctica",11.1533333333333,1486,"SAB",2018,NA,0.6,NA,NA,NA,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1496","H18SA10",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1487,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1497","H18SA11",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1488,"JB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1498","H18SA12",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1489,"JB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1499","H18SA13",9.56,7.2,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1490,"JB",2018,NA,0.4,NA,NA,NA,56.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1500","H18SA14",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1491,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1501","H18SA15",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1492,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1502","H18SA16",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1493,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1503","H18SA17",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1494,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1504","H18SA18",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1495,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1505","H18SA19",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1496,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1506","H18SA2",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1497,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1507","H18SA20",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1498,"JA",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1508","H18SA3",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1499,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1509","H18SA4",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1500,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1510","H18SA5",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1501,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1511","H18SA6",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1502,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1512","H18SA7",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1503,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1513","H18SA8",29.18,28.39,23.4,8,23,2019,"Common_garden","Northern","Salix arctica",26.99,1504,"SAB",2018,NA,2.5,NA,NA,NA,11.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1514","H18SA9",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix arctica",NA,1505,"SAB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1515","H18SP1",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1506,"IMS",2018,NA,3.4,NA,NA,NA,4.18,3.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1516","H18SP1",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1507,"IMS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1517","H18SP10",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1508,"CF",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1518","H18SP11",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1509,"SL",2018,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1519","H18SP12",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1510,"SL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1520","H18SP13",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1511,"SL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1521","H18SP14",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1512,"SL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1522","H18SP15",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1513,"SL",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1523","H18SP16",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1514,"JG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1524","H18SP17",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1515,"JG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1525","H18SP18",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1516,"JG",2018,NA,1.5,NA,NA,NA,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1526","H18SP19",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1517,"JG",2018,NA,2.4,NA,NA,NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1527","H18SP2",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1518,"IMS",2018,NA,8.3,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1528","H18SP20",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1519,"JG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1529","H18SP22",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1520,"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1530","H18SP23",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1521,"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1531","H18SP24",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1522,"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1532","H18SP25",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1523,"MG",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1533","H18SP26",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1524,"AB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1534","H18SP27",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1525,"AB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1535","H18SP28",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1526,"AB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1536","H18SP29",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1527,"AB",2018,NA,8.89,NA,NA,NA,14.87,19.7,12.92,NA,15.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1537","H18SP3",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1528,"IMS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1538","H18SP30",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1529,"AB",2018,NA,7.6,NA,NA,NA,9.79,21.5,25.19,NA,18.8266666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1539","H18SP4",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1530,"IMS",2018,NA,18.1,NA,NA,NA,26.77,33.61,22.77,NA,27.7166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1540","H18SP5",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1531,"IMS",2018,NA,10.9,NA,NA,NA,26.87,31.27,14.19,NA,24.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1541","H18SP6",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1532,"IMS",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1542","H18SP7",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1533,"CF",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1543","H18SP8",20.69,18.7,16.02,8,23,2019,"Common_garden","Northern","Salix pulchra",18.47,1534,"CF",2018,NA,1.2,NA,NA,NA,8.51,9.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1544","H18SP9",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix pulchra",NA,1535,"CF",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1545","H18SR1",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1536,"LB",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1546","H18SR10",18.5,17.08,22.65,8,23,2019,"Common_garden","Northern","Salix richardsonii",19.41,1537,"GD",2018,NA,1.4,NA,NA,NA,14.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1547","H18SR11",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1538,"SW",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1548","H18SR12",10.89,9.14,10.45,8,23,2019,"Common_garden","Northern","Salix richardsonii",10.16,1539,"SW",2018,NA,0.7,NA,NA,NA,8.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1549","H18SR13",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1540,"SW",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1550","H18SR14",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1541,"SW",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1551","H18SR15",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1542,"SW",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1552","H18SR16",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1543,"IR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1553","H18SR17",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1544,"IR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1554","H18SR18",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1545,"IR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"1555","H18SR19",NA,NA,NA,8,23,2019,"Common_garden","Northern","Salix richardsonii",NA,1546,"IR",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
