"","max_biovol","SampleID_standard","Year","Site","population","Species"
"86",86.258,"H18SR6",2023,"Common_garden","Northern","Salix richardsonii"
"87",2267.008,"H18SR8",2023,"Common_garden","Northern","Salix richardsonii"
"88",3585.664,"HE16SA14",2023,"Common_garden","Northern","Salix arctica"
"89",3791.412,"HE16SA3",2023,"Common_garden","Northern","Salix arctica"
"90",268.212,"HE16SA6",2023,"Common_garden","Northern","Salix arctica"
"91",4134.42,"HE16SA7",2023,"Common_garden","Northern","Salix arctica"
"92",1912.266,"HE16SP15",2023,"Common_garden","Northern","Salix pulchra"
"93",1023,"HE16SP17",2022,"Common_garden","Northern","Salix pulchra"
"94",13108.914,"HERSP11",2023,"Common_garden","Northern","Salix pulchra"
"95",25280.64,"HERSP12",2023,"Common_garden","Northern","Salix pulchra"
"96",105.27,"HERSP14",2023,"Common_garden","Northern","Salix pulchra"
"97",6964.2,"HERSP24",2023,"Common_garden","Northern","Salix pulchra"
"98",5307.705,"HERSP29",2023,"Common_garden","Northern","Salix pulchra"
"99",22294.272,"HERSP3",2023,"Common_garden","Northern","Salix pulchra"
"100",597.52,"HERSP4",2023,"Common_garden","Northern","Salix pulchra"
"101",675.75,"HERSR4",2023,"Common_garden","Northern",NA
"102",12150,"HESP11",2022,"Common_garden","Northern","Salix pulchra"
"103",17280,"HESP12",2022,"Common_garden","Northern","Salix pulchra"
"104",326.4,"HESP14",2021,"Common_garden","Northern","Salix pulchra"
"105",902.5,"HESP17",2021,"Common_garden","Northern","Salix pulchra"
"106",213.75,"HESP2",2022,"Common_garden","Northern","Salix pulchra"
"107",389.62,"HESP20",2021,"Common_garden","Northern","Salix pulchra"
"108",7410,"HESP24",2021,"Common_garden","Northern","Salix pulchra"
"109",3648,"HESP29",2022,"Common_garden","Northern","Salix pulchra"
"110",12958,"HESP3",2021,"Common_garden","Northern","Salix pulchra"
"111",2208.492,"HESP4",2023,"Common_garden","Northern","Salix pulchra"
"112",839.52,"HESR13",2023,"Common_garden","Northern","Salix richardsonii"
"113",4474.494,"HESR2",2023,"Common_garden","Northern","Salix richardsonii"
"114",879.84,"HESR23",2023,"Common_garden","Northern","Salix richardsonii"
"115",153.52,"HESR26",2021,"Common_garden","Northern","Salix richardsonii"
"116",8746.92,"HESR3",2023,"Common_garden","Northern","Salix richardsonii"
"117",2296,"HESR4",2021,"Common_garden","Northern","Salix richardsonii"
"118",5665.572,"HESR7",2023,"Common_garden","Northern","Salix richardsonii"
"119",6380.856,"HESR8",2023,"Common_garden","Northern","Salix richardsonii"
"120",867.36,"K15PSA10",2023,"Common_garden","Southern","Salix arctica"
"121",6731.424,"K15PSA11",2023,"Common_garden","Southern","Salix arctica"
"122",6841.821,"K15PSA12",2023,"Common_garden","Southern","Salix arctica"
"123",5426.4,"K15PSA15",2022,"Common_garden","Southern","Salix arctica"
"124",3563.868,"K15PSA2",2023,"Common_garden","Southern","Salix arctica"
"125",9456.327,"K15PSA6",2023,"Common_garden","Southern","Salix arctica"
"126",29588.398,"K15PSA7",2023,"Common_garden","Southern","Salix arctica"
"127",2925,"K15PSA8",2022,"Common_garden","Southern","Salix arctica"
"128",12903.192,"K15PSA9",2023,"Common_garden","Southern","Salix arctica"
"129",29718.044,"K15SSR8",2023,"Common_garden","Southern","Salix richardsonii"
"130",264.11,"K17SA5",2023,"Common_garden","Southern","Salix arctica"
"131",8733.648,"K17SR6",2023,"Common_garden","Southern","Salix richardsonii"
"132",838.672,"KLSPC1",2021,"Common_garden","Southern","Salix pulchra"
"133",446966.208,"KLSPC13",2021,"Common_garden","Southern","Salix pulchra"
"134",675,"KLSPC2",2022,"Common_garden","Southern","Salix pulchra"
"135",39200,"KLSPC3",2022,"Common_garden","Southern","Salix pulchra"
"136",4296.176,"KLSPC8",2021,"Common_garden","Southern","Salix pulchra"
"137",71525.916,"KLSPC9",2021,"Common_garden","Southern","Salix pulchra"
"138",245700,"KLSPE1",2021,"Common_garden","Southern","Salix pulchra"
"139",250628.728,"KLSPE11",2021,"Common_garden","Southern","Salix pulchra"
"140",298027.521,"KLSPE12",2023,"Common_garden","Southern","Salix pulchra"
"141",466096.89,"KLSPE14",2021,"Common_garden","Southern","Salix pulchra"
"142",38445.312,"KLSPE15",2021,"Common_garden","Southern","Salix pulchra"
"143",391230,"KLSPE2",2022,"Common_garden","Southern","Salix pulchra"
"144",1212.6,"KLSPE3",2023,"Common_garden","Southern","Salix pulchra"
"145",296370,"KLSPE4",2022,"Common_garden","Southern","Salix pulchra"
"146",39183.75,"KLSPE5",2022,"Common_garden","Southern","Salix pulchra"
"147",3466362,"KLSPE6",2021,"Common_garden","Southern","Salix pulchra"
"148",27287.386,"KLSPE7",2023,"Common_garden","Southern","Salix pulchra"
"149",102960,"KLSPE8",2021,"Common_garden","Southern","Salix pulchra"
"150",338752,"KLSPE9",2022,"Common_garden","Southern","Salix pulchra"
"151",2275975.818,"KLSRC10",2023,"Common_garden","Southern","Salix richardsonii"
