"Date","mean_moist","sd_moist"
2022-07-28,56.5591613247863,14.0348552595296
2022-07-29,58.4566139155983,13.100967562405
2022-07-30,56.9837434339387,12.9187266924237
2022-07-31,56.3713886663105,12.7937507546801
2022-08-01,56.940438034188,13.0160017549891
2022-08-02,58.824549835292,12.7337414779192
2022-08-03,57.9953063790954,13.0106671039057
2022-08-04,57.2467336627493,13.5462558739945
2022-08-05,56.9009303774929,13.7390652801029
2022-08-06,60.0256938879986,14.0241763633609
2022-08-07,58.7955760532091,13.7382162156467
2022-08-08,56.0474816849817,13.9337449124252
2022-08-09,54.391563538699,14.5685800850357
2022-08-10,53.9158271841393,14.1207952697382
2022-08-11,54.0493493292972,14.0427240332459
2022-08-12,52.688514586301,14.8494263367875
2022-08-13,52.3075810185185,15.123870584655
2022-08-14,54.7496519121953,16.0412987842237
2022-08-15,55.6123594046771,16.2550376484378
2022-08-16,54.758678700736,15.9083250960843
2022-08-17,55.0357540423766,16.9952561838822
2022-08-18,59.9886228801297,18.6147826288037
2022-08-19,61.8011194454337,19.19580270817
2022-08-20,60.2469352198085,18.5101836656477
2022-08-21,58.635127933088,18.0461252623906
2022-08-22,56.8591382013691,18.67310367566
2022-08-23,53.4957475170149,20.6067834807602
2022-08-24,52.8066356788145,21.4131949643189
2022-08-25,53.4384799630025,21.4966188833853
2022-08-26,52.9014787858104,21.4848679027655
2022-08-27,53.1263756578427,20.8456209043913
2022-08-28,53.1382774167062,21.0011783115813
2022-08-29,53.0489060274217,21.0364702542655
2022-08-30,52.8882168259338,21.2847718383496
2022-08-31,52.5730211548354,21.613511680594
2022-09-01,52.3521430585233,21.7824372090164
2022-09-02,52.0161888651472,21.6336379029744
2022-09-03,52.9482202388018,21.1771039937036
2022-09-04,53.3942116027619,21.5870256860697
2022-09-05,52.8908908574707,22.0213939575781
2022-09-06,52.2958956552707,22.3470588401128
2022-09-07,52.1303993797483,21.902835463016
2022-09-08,52.1688559720244,21.3891209441752
2022-09-09,51.7358483450063,21.8542429294309
2022-09-10,52.3099149998022,20.7462350466384
2022-09-11,53.235794555239,19.8997380834784
2022-09-12,53.4847886247626,19.7685250916052
2022-09-13,53.387364227208,20.1757976853807
2022-09-14,51.3871886376227,20.6325804673328
2022-09-15,52.7094276768756,18.9657496709736
2022-09-16,49.1214028865939,20.8564117809998
2022-09-17,48.414948485478,21.5767954684818
2022-09-18,48.3875744400918,21.6236794832779
2022-09-19,48.1444075953625,20.8774716233964
2022-09-20,47.9838884190013,20.7944262590566
2022-09-21,49.40349002849,19.1134253566688
2022-09-22,50.622384704416,17.7959341241287
2022-09-23,50.2660429526749,18.4830354002332
2022-09-24,51.2420180931466,18.0329309825275
2022-09-25,48.8774786572096,21.1443696957077
2022-09-26,48.0080783574707,21.129517884742
2022-09-27,47.6077773820829,20.0095376815918
2022-09-28,47.699390011673,20.4115997898241
2022-09-29,46.7387171325973,20.7588917738718
2022-09-30,45.5384324796217,20.6715119835206
2022-10-01,44.192776343384,20.1481137506774
2022-10-02,42.1768657011713,19.5310537780469
2022-10-03,40.513200750831,18.4518798745786
2022-10-04,39.0692700914055,17.2716872886634
2022-10-05,39.0066544743194,15.895789970235
2022-10-06,40.5874708175055,16.1063638628054
2022-10-07,41.4247672819721,15.8415469648389
2022-10-08,39.832373773346,15.9969424243645
2022-10-09,39.7319662076607,15.4373081186995
2022-10-10,39.1678537511871,15.4762428584961
2022-10-11,38.2949447511079,15.2827219002228
2022-10-12,35.682941471787,14.4711148233301
2022-10-13,33.1271546820592,13.0920220286709
2022-10-14,31.4316950330405,12.4178207751085
2022-10-15,30.1038142509497,11.6556109462572
2022-10-16,29.9225674659702,11.3478914186802
2022-10-17,29.6658140679408,11.2067982568505
2022-10-18,29.6919361101219,11.1109934875219
2022-10-19,29.6123643508626,10.9459867572328
2022-10-20,29.4191230660415,10.666519827381
2022-10-21,29.0388695987654,10.2591379105919
2022-10-22,28.6525879679091,9.88445879554599
2022-10-23,28.3132023583412,9.63423885590934
2022-10-24,27.7789988673235,9.3138512256354
2022-10-25,27.4110644933128,8.98242215534481
2022-10-26,27.3420033782447,8.84906371330412
2022-10-27,27.4948868807376,8.84561244962035
2022-10-28,27.5997150997151,8.85698542786314
2022-10-29,27.4030269418724,8.84073969160117
2022-10-30,27.1309403687876,8.73055005557674
2022-10-31,26.9757537986705,8.70012639222097
2022-11-01,26.3441722805872,8.68106582965227
2022-11-02,26.0265962577161,8.41067934609083
2022-11-03,26.2996875247309,8.31831207984268
2022-11-04,26.327973523069,8.38636309131837
2022-11-05,25.9699778905508,8.37447261421212
2022-11-06,25.7090047780152,8.22475861749538
2022-11-07,25.7740162037037,8.0594284057803
2022-11-08,26.0567370756173,8.09626378655498
2022-11-09,26.2380920584046,8.04534084746483
2022-11-10,26.6069538421969,8.13727110780916
2022-11-11,26.3859520912472,8.20990145911024
2022-11-12,26.1204655844413,8.16261287371057
2022-11-13,26.1988007973251,8.12100745753545
2022-11-14,26.2439347400285,8.16625464764905
2022-11-15,26.140111214981,8.16388544462617
2022-11-16,26.2155250870529,8.12478111640459
2022-11-17,26.3497831097657,8.12381098741782
2022-11-18,27.3817274305556,8.18755714760573
2022-11-19,27.3402876701488,8.28405226251107
2022-11-20,27.1949625573758,8.31924767809788
2022-11-21,27.114308820038,8.30561160522712
2022-11-22,26.8989178982669,8.26809965493624
2022-11-23,26.8274455177667,8.23780480697665
2022-11-24,26.7411036671019,8.19033455092291
2022-11-25,26.7509960381054,8.14726786720839
2022-11-26,26.7140233014799,8.15131390960921
