"Plot Title: Phenology"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)","Good Battery (LGR S/N: 10737643)","Host Connected (LGR S/N: 10737643)","End Of File (LGR S/N: 10737643)"
82,07/30/17 12:00:00  PM,13.642,14.026,4.376,7.770,,,
83,07/30/17 01:00:00  PM,12.364,13.329,4.376,7.895,,,
84,07/30/17 02:00:00  PM,8.792,9.336,4.376,7.870,,,
85,07/30/17 03:00:00  PM,7.870,8.120,4.350,7.544,,,
86,07/30/17 04:00:00  PM,8.941,9.312,4.324,7.318,,,
87,07/30/17 05:00:00  PM,9.435,9.632,4.272,7.242,,,
88,07/30/17 06:00:00  PM,8.668,8.841,4.194,7.142,,,
89,07/30/17 07:00:00  PM,9.534,9.509,4.141,7.041,,,
90,07/30/17 08:00:00  PM,9.040,9.287,4.115,7.015,,,
91,07/30/17 09:00:00  PM,8.220,8.419,4.063,6.940,,,
92,07/30/17 10:00:00  PM,8.295,8.319,4.011,6.788,,,
93,07/30/17 11:00:00  PM,7.895,7.970,3.958,6.636,,,
94,07/31/17 12:00:00  AM,7.920,7.970,3.906,6.509,,,
95,07/31/17 01:00:00  AM,7.393,7.343,3.854,6.357,,,
96,07/31/17 02:00:00  AM,7.066,6.839,3.801,6.179,,,
97,07/31/17 03:00:00  AM,7.368,7.066,3.749,6.000,,,
98,07/31/17 04:00:00  AM,7.945,7.619,3.696,5.898,,,
99,07/31/17 05:00:00  AM,8.045,7.720,3.670,5.821,,,
100,07/31/17 06:00:00  AM,8.295,7.995,3.617,5.796,,,
101,07/31/17 07:00:00  AM,8.519,8.220,3.591,5.770,,,
102,07/31/17 08:00:00  AM,8.543,8.369,3.538,5.745,,,
103,07/31/17 09:00:00  AM,8.965,8.841,3.485,5.745,,,
104,07/31/17 10:00:00  AM,9.780,9.534,3.459,5.745,,,
105,07/31/17 11:00:00  AM,10.785,10.956,3.433,5.821,,,
106,07/31/17 12:00:00  PM,14.290,15.127,3.406,6.026,,,
