#,"Date Time, GMT-06:00","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Air Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Canopy Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Ground Temp)","Temp, °C (LGR S/N: 10737643, SEN S/N: 10737643, LBL: Soil Temp)",Good Battery (LGR S/N: 10737643),Host Connected (LGR S/N: 10737643),End Of File (LGR S/N: 10737643)
182,2008-03-17 16:00,18.033,19.698,4.246,9.188,,,
183,2008-03-17 17:00,17.13,18.033,4.272,9.262,,,
184,2008-03-17 18:00,15.819,16.654,4.324,9.213,,,
185,2008-03-17 19:00,15.581,16.106,4.35,9.064,,,
186,2008-03-17 20:00,13.594,14.05,4.402,8.891,,,
187,2008-03-17 21:00,12.775,13.064,4.402,8.668,,,
188,2008-03-17 22:00,11.856,12.05,4.454,8.444,,,
189,2008-03-17 23:00,11.102,10.98,4.454,8.22,,,
190,2008-04-17 0:00,10.222,10.247,4.454,7.97,,,
191,2008-04-17 1:00,9.46,9.287,4.454,7.77,,,
192,2008-04-17 2:00,9.015,8.767,4.428,7.544,,,
193,2008-04-17 3:00,8.742,8.568,4.402,7.368,,,
194,2008-04-17 4:00,8.593,8.444,4.376,7.217,,,
195,2008-04-17 5:00,8.419,8.295,4.35,6.484,,,
196,2008-04-17 6:00,8.245,7.97,4.298,9.952,,,
197,2008-04-17 7:00,8.07,7.845,4.272,9.41,,,
198,2008-04-17 8:00,7.895,7.619,4.22,9.287,,,
199,2008-04-17 9:00,7.544,7.293,4.168,9.188,,,
200,2008-04-17 10:00,7.745,7.594,4.115,9.139,,,
201,2008-04-17 11:00,7.242,7.015,4.063,9.114,,,
202,2008-04-17 12:00,7.72,7.569,4.011,9.163,,,
203,2008-04-17 13:00,7.67,7.569,3.958,9.262,,,
204,2008-04-17 14:00,7.945,8.045,3.906,9.238,,,
205,2008-04-17 15:00,8.145,8.344,3.854,9.238,,,
206,2008-04-17 16:00,8.519,8.717,3.827,9.213,,,
207,2008-04-17 17:00,8.693,9.287,3.775,7.745,,,
