"","X.5","X.4","X.3","X.2","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.1"
"51",2683,2683,2683,2683,2683,"JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.1,35,30.5,14,39,36,34,22,14,12,"H17SA20",4,16,36.3333333333333,32.75,"Northern",2683
"52",863,863,863,863,863,"JA","H17Sa3",2017,"Salix arctica","Qikiqtaruk","2018-08-18",8,18,2018,1.8,NA,NA,NA,22.18,11.43,NA,6.07,3.42,NA,"H17SA3",1,NA,NA,NA,"Northern",NA
"53",2684,2684,2684,2684,2684,"JA","H17Sa6",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,5.5,25,16.5,7,51,58,59,16,21,26,"H17SA6",4,21,56,20.75,"Northern",2684
"54",2685,2685,2685,2685,2685,"JA","H17Sa8",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,4.4,16.5,12.5,9,24,23,24,6,5,10,"H17SA8",4,7,23.6666666666667,14.5,"Northern",2685
"55",2686,2686,2686,2686,2686,"JA","H17Sa9",2017,"Salix arctica","Qikiqtaruk","2021-08-11",8,11,2021,7.8,15,20.5,6,33,35,28,6,7,5,"H17SA9",4,6,32,17.75,"Northern",2686
"56",871,871,871,871,871,"AB","H17Sp10",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,11.8,NA,NA,NA,24.57,25.04,21.98,5.56,4.35,2.06,"H17SP10",1,3.99,23.8633333333333,NA,"Northern",NA
"57",873,873,873,873,873,"AB","H17Sp12",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,5.3,NA,NA,NA,21.45,13.96,15.51,6.05,4.47,4.5,"H17SP12",1,5.00666666666667,16.9733333333333,NA,"Northern",NA
"58",874,874,874,874,874,"AB","H17Sp13",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,24.6,NA,NA,NA,20.81,17.54,16.59,4.46,3.86,2.88,"H17SP13",1,3.73333333333333,18.3133333333333,NA,"Northern",NA
"59",875,875,875,875,875,"AB","H17Sp14",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,23.3,NA,NA,NA,12.6,15.19,11.03,1.91,2,0.86,"H17SP14",1,1.59,12.94,NA,"Northern",NA
"60",2085,2085,2085,2085,2085,"AB","H17Sp15",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,9,NA,NA,NA,16.15,9.11,7.98,11.14,12.28,18.24,"H17SP15",3,13.8866666666667,11.08,NA,"Northern",NA
"61",1434,1434,1434,1434,1434,"AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,4.5,NA,NA,NA,20.91,20.13,17.23,11.85,19.37,18,"H17SP18",2,16.4066666666667,19.4233333333333,NA,"Northern",NA
"62",882,882,882,882,882,"AB","H17Sp20",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,5.5,NA,NA,NA,28.18,21.23,15.28,1.95,7.02,0.39,"H17SP20",1,3.12,21.5633333333333,NA,"Northern",NA
"63",2092,2092,2092,2092,2092,"IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,42,NA,NA,NA,NA,NA,NA,6,10,4,"H17SP3",3,6.66666666666667,NA,NA,"Northern",NA
"64",886,886,886,886,886,"IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,9.3,NA,NA,NA,33.08,34.26,29.9,2.8,2.61,2.21,"H17SP6",1,2.54,32.4133333333333,NA,"Northern",NA
"65",2695,2695,2695,2695,2695,"IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,3.6,4.3,1.2,7,16,17,17,16,13,6,"H17SP7",4,11.6666666666667,16.6666666666667,2.75,"Northern",2695
"66",2098,2098,2098,2098,2098,"CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,16.6,NA,NA,NA,25,29,32,24,21,35,"H17SP9",3,26.6666666666667,28.6666666666667,NA,"Northern",NA
"67",1445,1445,1445,1445,1445,"LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,19.2,NA,NA,NA,NA,NA,NA,14.35,10.96,17.33,"H17SR1",2,14.2133333333333,NA,NA,"Northern",NA
"68",2698,2698,2698,2698,2698,"GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,12,20,19,11,30,29,28,42,40,23,"H17SR10",4,35,29,19.5,"Northern",2698
"69",2970,2970,2970,2970,2970,"GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,11,9,12,21,26,16,37,41,19,"H17SR12",5,32.3333333333333,21,10,"Northern",2970
"70",894,894,894,894,894,"GD","H17Sr13",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,14.4,NA,NA,NA,25.56,20.91,17.42,9.32,4.61,3.84,"H17SR13",1,5.92333333333333,21.2966666666667,NA,"Northern",NA
"71",896,896,896,896,896,"GD","H17Sr15",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,20.9,NA,NA,NA,26.25,29.52,27.32,25.1,NA,NA,"H17SR15",1,NA,27.6966666666667,NA,"Northern",NA
"72",899,899,899,899,899,"IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,22.2,NA,NA,NA,20.33,23.85,27.24,13.72,12.61,NA,"H17SR18",1,NA,23.8066666666667,NA,"Northern",NA
"73",2703,2703,2703,2703,2703,"IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,6.8,10.4,5,12,17,18,19,18,10,14,"H17SR19",4,14,18,7.7,"Northern",2703
"74",902,902,902,902,902,"AC","H17Sr20",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,2.2,NA,NA,NA,11.67,10.84,NA,5.14,NA,NA,"H17SR20",1,NA,NA,NA,"Northern",NA
"75",904,904,904,904,904,"AC","H17Sr21_clone",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR21_CLONE",1,NA,NA,NA,"Northern",NA
"76",907,907,907,907,907,"AC","H17Sr24",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,16.6,NA,NA,NA,27.05,25.76,23.32,12.48,15.4,8.06,"H17SR24",1,11.98,25.3766666666667,NA,"Northern",NA
"77",2117,2117,2117,2117,2117,"AC","H17Sr25",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,24.93,NA,NA,NA,NA,NA,NA,9.02,7.32,7.36,"H17SR25",3,7.9,NA,NA,"Northern",NA
"78",911,911,911,911,911,"AC","H17Sr28",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,6.9,NA,NA,NA,NA,NA,NA,3.8,NA,NA,"H17SR28",1,NA,NA,NA,"Northern",NA
"79",913,913,913,913,913,"LB","H17Sr3",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,1.4,NA,NA,NA,NA,NA,NA,7.44,NA,NA,"H17SR3",1,NA,NA,NA,"Northern",NA
"80",3150,3150,3150,3150,3150,"EW","H17Sr30",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,14,27,22,18,38,32,28,24,25,13,"H17SR30",5,20.6666666666667,32.6666666666667,24.5,"Northern",3150
"81",915,915,915,915,915,"EW","H17Sr31",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,2.1,NA,NA,NA,NA,NA,NA,11.31,NA,NA,"H17SR31",1,NA,NA,NA,"Northern",NA
"82",916,916,916,916,916,"EW","H17Sr32",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,1.9,NA,NA,NA,NA,NA,NA,7.9,NA,NA,"H17SR32",1,NA,NA,NA,"Northern",NA
"83",3155,3155,3155,3155,3155,"EW","H17Sr35",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,19,23,24,16,27,26,28,36,35,25,"H17SR35",5,32,27,23.5,"Northern",3155
"84",2129,2129,2129,2129,2129,"EW","H17Sr36",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,14.6,NA,NA,NA,32,28,38,68,56,64,"H17SR36",3,62.6666666666667,32.6666666666667,NA,"Northern",NA
"85",2709,2709,2709,2709,2709,"EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,5.9,8.4,6.8,8,23,18,20,6,10,9,"H17SR37",4,8.33333333333333,20.3333333333333,7.6,"Northern",2709
"86",2133,2133,2133,2133,2133,"LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,12,NA,NA,NA,NA,NA,NA,44,23,18,"H17SR4",3,28.3333333333333,NA,NA,"Northern",NA
"87",926,926,926,926,926,"LB","H17Sr5",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,19.2,NA,NA,NA,25.34,26.82,20.96,15.11,11.04,9.97,"H17SR5",1,12.04,24.3733333333333,NA,"Northern",NA
"88",2968,2968,2968,2968,2968,"GD","H17Sr7",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,9,12,15,8,24,25,26,27,32,24,"H17SR7",5,27.6666666666667,25,13.5,"Northern",2968
"89",930,930,930,930,930,"GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,19.8,NA,NA,NA,18.12,22.11,23.68,9.42,10.32,5.31,"H17SR9",1,8.35,21.3033333333333,NA,"Northern",NA
"90",3094,3094,3094,3094,3094,"SAB","H18Sa1",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,4,9.5,7.5,9,25,35,27,12,11,7,"H18SA1",4,10,29,8.5,"Northern",3094
"91",1490,1490,1490,1490,1490,"JB","H18Sa13",2018,"Salix arctica","Qikiqtaruk","2019-08-23",8,23,2019,0.4,NA,NA,NA,9.56,7.2,NA,56.05,NA,NA,"H18SA13",1,NA,NA,NA,"Northern",NA
"92",3095,3095,3095,3095,3095,"SAB","H18Sa8",2018,"Salix arctica","Qikiqtaruk","2022-08-16",8,17,2022,5,14.5,13.5,8,30,39,22,18,16,12,"H18SA8",4,15.3333333333333,30.3333333333333,14,"Northern",3095
"93",2932,2932,2932,2932,2932,"IMS","H18Sp1",2018,"Salix pulchra","Qikiqtaruk","2022-08-16",8,17,2022,4.5,5,3.2,5,22,11,14,7,8,3,"H18SP1",4,6,15.6666666666667,4.1,"Northern",2932
"94",2959,2959,2959,2959,2959,"SL","H18Sp11",2018,"Salix pulchra","Qikiqtaruk","2022-07-22",7,23,2022,8.5,8,12,8.5,25,18,22,12,15,11,"H18SP11",4,12.6666666666667,21.6666666666667,10,"Northern",2959
"95",2167,2167,2167,2167,2167,"SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,9.2,NA,NA,NA,25,24,23,32,24,18,"H18SP15",2,24.6666666666667,24,NA,"Northern",NA
"96",2722,2722,2722,2722,2722,"JG","H18Sp16",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,11,6.2,4,4,15,16,11,9,5,3,"H18SP16",3,5.66666666666667,14,5.1,"Northern",2722
"97",2723,2723,2723,2723,2723,"JG","H18Sp18",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,3.7,5.6,3.5,5,21,23,25,7,6,7,"H18SP18",3,6.66666666666667,23,4.55,"Northern",2723
"98",1517,1517,1517,1517,1517,"JG","H18Sp19",2018,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,2.4,NA,NA,NA,NA,NA,NA,6.42,NA,NA,"H18SP19",1,NA,NA,NA,"Northern",NA
"99",1518,1518,1518,1518,1518,"IMS","H18Sp2",2018,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,8.3,NA,NA,NA,NA,NA,NA,6.8,NA,NA,"H18SP2",1,NA,NA,NA,"Northern",NA
"100",2726,2726,2726,2726,2726,"MG","H18Sp24",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,2.7,3.6,2.4,3,NA,NA,NA,4,6,5,"H18SP24",3,5,NA,3,"Northern",2726
"101",1527,1527,1527,1527,1527,"AB","H18Sp29",2018,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,8.89,NA,NA,NA,NA,NA,NA,14.87,19.7,12.92,"H18SP29",1,15.83,NA,NA,"Northern",NA
"102",1529,1529,1529,1529,1529,"AB","H18Sp30",2018,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,7.6,NA,NA,NA,NA,NA,NA,9.79,21.5,25.19,"H18SP30",1,18.8266666666667,NA,NA,"Northern",NA
"103",2185,2185,2185,2185,2185,"IMS","H18Sp4",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,19.4,NA,NA,NA,NA,NA,NA,23,22,30,"H18SP4",2,25,NA,NA,"Northern",NA
"104",2730,2730,2730,2730,2730,"IMS","H18Sp5",2018,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,13.6,10.6,2.4,5,NA,NA,NA,9,8,17,"H18SP5",3,11.3333333333333,NA,6.5,"Northern",2730
"105",2188,2188,2188,2188,2188,"CF","H18Sp7",2018,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,12.1,NA,NA,NA,NA,NA,NA,12,11,14,"H18SP7",2,12.3333333333333,NA,NA,"Northern",NA
"106",2731,2731,2731,2731,2731,"CF","H18Sp8",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,1.5,3,0.9,2,15,19,NA,5,NA,NA,"H18SP8",3,NA,NA,1.95,"Northern",2731
"107",2732,2732,2732,2732,2732,"CF","H18Sp9",2018,"Salix pulchra","Qikiqtaruk","2021-08-11",8,11,2021,7.5,5,8.5,4,NA,12,9,2.5,4,10,"H18SP9",3,5.5,NA,6.75,"Northern",2732
"108",2976,2976,2976,2976,2976,"GD","H18Sr10",2018,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,14,9,10,20,24,13,NA,NA,NA,"H18SR10",4,NA,19,11.5,"Northern",2976
"109",1539,1539,1539,1539,1539,"SW","H18Sr12",2018,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,0.7,NA,NA,NA,10.89,9.14,10.45,8.74,NA,NA,"H18SR12",1,NA,10.16,NA,"Northern",NA
