"","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"29",29,"AB","KLSPC12",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12",NA,2,NA,11,NA,"Southern"
"30",30,"AB","KLSPC13",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13",NA,2,NA,19,NA,"Southern"
"31",31,"IMS","KLSPC3",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,17,12,10,NA,NA,NA,"KLSPC3",NA,2,NA,13,NA,"Southern"
"32",32,"MG","KLSPC8",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,25,27,12,NA,NA,NA,"KLSPC8",NA,2,NA,21.3333333333333,NA,"Southern"
"33",33,"MG","KLSPC9",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,13,14,16,NA,NA,NA,"KLSPC9",NA,2,NA,14.3333333333333,NA,"Southern"
"34",34,"IMS","KLSpE1",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,8,11,10,NA,NA,NA,"KLSPE1",NA,2,NA,9.66666666666667,NA,"Southern"
"35",35,"CF","KLSpE10",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,13,14,15,NA,NA,NA,"KLSPE10",NA,2,NA,14,NA,"Southern"
"36",36,"MG","KLSpE11",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,18,11,10,NA,NA,NA,"KLSPE11",NA,2,NA,13,NA,"Southern"
"37",37,"MG","KLSpE12",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,15,10,11,NA,NA,NA,"KLSPE12",NA,2,NA,12,NA,"Southern"
"38",38,"MG","KLSpE13",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,6,10,5,NA,NA,NA,"KLSPE13",NA,2,NA,7,NA,"Southern"
"39",39,"MG","KLSpE14",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSPE14",NA,2,NA,15,NA,"Southern"
"40",40,"MG","KLSpE15",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,26,15,15,NA,NA,NA,"KLSPE15",NA,2,NA,18.6666666666667,NA,"Southern"
"41",41,"IMS","KLSpE2",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,31,24,21,NA,NA,NA,"KLSPE2",NA,2,NA,25.3333333333333,NA,"Southern"
"42",42,"IMS","KLSpE4",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"KLSPE4",NA,2,NA,NA,NA,"Southern"
"43",43,"IMS","KLSpE5",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,11,9,13,NA,NA,NA,"KLSPE5",NA,2,NA,11,NA,"Southern"
"44",44,"CF","KLSpE6",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,17,15,12,NA,NA,NA,"KLSPE6",NA,2,NA,14.6666666666667,NA,"Southern"
"45",45,"CF","KLSpE7",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,7,6,8,NA,NA,NA,"KLSPE7",NA,2,NA,7,NA,"Southern"
"46",46,"CF","KLSpE8",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPE8",NA,2,NA,11,NA,"Southern"
"47",47,"CF","KLSpE9",2013,"Salix pulchra","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,19,20,23,NA,NA,NA,"KLSPE9",NA,2,NA,20.6666666666667,NA,"Southern"
"48",48,"IR","KLSrC10",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"KLSRC10",NA,2,NA,9.66666666666667,NA,"Southern"
"49",49,"LB","KLSrC2",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,22,14,15,NA,NA,NA,"KLSRC2",NA,2,NA,17,NA,"Southern"
"50",50,"IR","KLSrC6",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,11,15,15,NA,NA,NA,"KLSRC6",NA,2,NA,13.6666666666667,NA,"Southern"
"51",51,"SW","KLSrE10",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,15,13,13,NA,NA,NA,"KLSRE10",NA,2,NA,13.6666666666667,NA,"Southern"
"52",52,"IR","KLSrE11",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,13,15,10,NA,NA,NA,"KLSRE11",NA,2,NA,12.6666666666667,NA,"Southern"
"53",53,"IR","KLSrE13",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,13,15,14,NA,NA,NA,"KLSRE13",NA,2,NA,14,NA,"Southern"
"54",54,"IR","KLSrE14",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,16,17,8,NA,NA,NA,"KLSRE14",NA,2,NA,13.6666666666667,NA,"Southern"
"55",55,"IR","KLSrE15",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,12,13,14,NA,NA,NA,"KLSRE15",NA,2,NA,13,NA,"Southern"
"56",56,"LB","KLSrE4",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,10,12,12,NA,NA,NA,"KLSRE4",NA,2,NA,11.3333333333333,NA,"Southern"
"57",57,"SW","KLSrE6",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,17,15,17,NA,NA,NA,"KLSRE6",NA,2,NA,16.3333333333333,NA,"Southern"
"58",58,"SW","KLSrE7",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,18,15,14,NA,NA,NA,"KLSRE7",NA,2,NA,15.6666666666667,NA,"Southern"
"59",59,"SW","KLSrE9",2013,"Salix richardsonii","Kluane","2015-08-15",8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSRE9",NA,2,NA,15,NA,"Southern"
"60",60,"IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,5.5,NA,NA,NA,26,21,22,13,6,NA,"H15SP1",NA,1,NA,23,NA,"Northern"
"61",61,"CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,5,NA,NA,NA,38,30,25,29,NA,NA,"H15SP10",NA,1,NA,31,NA,"Northern"
"62",62,"CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,1.6,NA,NA,NA,26,19,14,11,NA,NA,"H15SP11",NA,1,NA,19.6666666666667,NA,"Northern"
"63",63,"CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12",NA,1,NA,NA,NA,"Northern"
"64",64,"CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,1,36.6666666666667,41,NA,"Northern"
"65",65,"CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",NA,1,NA,28.3333333333333,NA,"Northern"
"66",66,"CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2016-08-11",8,11,2016,21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",NA,1,NA,37.3333333333333,NA,"Northern"
