"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","effect","nobs","Species"
"Intercept",3.00153244267807,1.97244537639667,-0.747516709306456,6.95481976853098,"1.00",2623.95876105612,3075.51388763085,"fixed",42,"Salix richardsonii"
"log(Cutting length)",0.18228512735426,0.547387681054795,-0.906007273188964,1.22052695135507,"1.00",2641.24654175887,3073.41986803618,"fixed",42,"Salix richardsonii"
"Site:Qikiqtaruk",-0.182698894384616,3.38628227884033,-6.90341647937822,6.41610753250219,"1.00",2235.57646585984,2614.26170761148,"fixed",42,"Salix richardsonii"
"log(Cutting length) * Site",-0.202462820862488,0.937686499873315,-2.02077506299049,1.65173776187821,"1.00",2237.52773852436,2584.91036425902,"fixed",42,"Salix richardsonii"
"Sigma",0.564876172626757,0.0665355376433869,0.453762542813813,0.712667663628523,"1.00",3211.76000122097,3336.56642991048,"residual",42,"Salix richardsonii"
" Intercept",2.13751335607456,2.78658126217397,-3.27336547933536,7.72761877368866,"1.00",1701.09831137178,1883.80403493187,"fixed",57,"Salix pulchra"
" log(Cutting length)",0.377002940953781,0.777976536909675,-1.18843733923931,1.90076070737694,"1.00",1708.46357092061,1969.11302878741,"fixed",57,"Salix pulchra"
" Site:Qikiqtaruk",0.238471302888531,2.85733752431716,-5.48305366599581,5.81731332184043,"1.00",1683.39563941416,2031.0069872034,"fixed",57,"Salix pulchra"
" log(Cutting length) * Site",-0.353587474162026,0.794416141661681,-1.90299073198621,1.23094792177313,"1.00",1684.5792484692,1959.04318408028,"fixed",57,"Salix pulchra"
" Sigma",0.603527022623925,0.0608279594801623,0.497087103379417,0.735360947963873,"1.00",2881.38707625686,2942.43878067397,"residual",57,"Salix pulchra"
"Intercept ",2.28064265787124,1.11800093421036,0.193076387248893,4.48818999758978,"1.00",2751.81772009546,3297.91038082772,"fixed",23,"Salix arctica"
"log(Cutting length) ",0.270524989446604,0.36684266685081,-0.459244110080979,0.961780589095171,"1.00",2759.29831334711,3613.38489961967,"fixed",23,"Salix arctica"
"Site:Qikiqtaruk ",-0.0816643127205561,2.11225205602095,-4.33119137639146,3.97060275596782,"1.00",2013.90986042418,2655.55367649416,"fixed",23,"Salix arctica"
"log(Cutting length) * Site ",-0.0608230274492072,0.645889836466794,-1.30997718298003,1.2622790635158,"1.00",1964.78543470693,2695.76048052582,"fixed",23,"Salix arctica"
"Sigma ",0.534009501072932,0.0955080825299914,0.386225977623205,0.753582233397868,"1.00",3097.68862723298,3297.93625215633,"residual",23,"Salix arctica"
