"Date","mean_temp"
2021-07-29,12.2243381076389
2021-07-30,10.1614583333333
2021-07-31,12.2536892361111
2021-08-01,14.0018988715278
2021-08-02,12.5951605902778
2021-08-03,9.71549479166667
2021-08-04,10.5761176215278
2021-08-05,12.5461154513889
2021-08-06,9.93484157986111
2021-08-07,12.2371419270833
2021-08-08,7.44194878472222
2021-08-09,7.95464409722222
2021-08-10,8.96200042517007
2021-08-11,7.47998046875
2021-08-12,10.0687391493056
2021-08-13,5.89073350694444
2021-08-14,5.99896918402778
2021-08-15,4.34608289930556
2021-08-16,5.58414713541667
2021-08-17,7.04020182291667
2021-08-18,4.208984375
2021-08-19,6.10910373263889
2021-08-20,3.64198133680556
2021-08-21,1.47178819444444
2021-08-22,3.61219618055556
2021-08-23,5.62266710069444
2021-08-24,7.06797960069444
2021-08-25,4.63557942708333
2021-08-26,3.79931640625
2021-08-27,4.78314887152778
2021-08-28,0.883626302083333
2021-08-29,0.17041015625
2021-08-30,0.856336805555556
2021-08-31,1.33235677083333
2021-09-01,1.62863498263889
2021-09-02,4.62424045138889
2021-09-03,3.77924262152778
2021-09-04,3.15869140625
2021-09-05,4.81456163194444
2021-09-06,4.10036892361111
2021-09-07,4.26161024305556
2021-09-08,4.57682291666667
2021-09-09,3.26101345486111
2021-09-10,4.62982855902778
2021-09-11,2.19927300347222
2021-09-12,2.78135850694444
2021-09-13,3.76638454861111
2021-09-14,0.26318359375
2021-09-15,-0.321234809027778
2021-09-16,0.103515625
2021-09-17,-0.743977864583333
2021-09-18,0.0309787326388889
2021-09-19,0.557942708333333
2021-09-20,-0.810492621527778
2021-09-21,-3.81911892361111
2021-09-22,-6.07850477430556
2021-09-23,-3.11398654513889
2021-09-24,-1.66813151041667
2021-09-25,-5.19189453125
2021-09-26,-4.02376302083333
2021-09-27,-2.14208984375
2021-09-28,-1.74137369791667
2021-09-29,-1.67930772569444
2021-09-30,-1.68787977430556
2021-10-01,-1.62868923611111
2021-10-02,-1.23594835069444
2021-10-03,-1.11637369791667
2021-10-04,-1.01329210069444
2021-10-05,-1.01171875
2021-10-06,-1.1015625
2021-10-07,-1.20415581597222
2021-10-08,-1.15587022569444
2021-10-09,-1.41042751736111
2021-10-10,-1.97298177083333
2021-10-11,-2.052734375
2021-10-12,-1.77978515625
2021-10-13,-1.83740234375
2021-10-14,-2.02593315972222
2021-10-15,-2.44297960069444
2021-10-16,-3.06667751736111
2021-10-17,-3.09879557291667
2021-10-18,-2.89567057291667
2021-10-19,-2.62065972222222
2021-10-20,-2.20654296875
2021-10-21,-2.11724175347222
2021-10-22,-1.80799696180556
2021-10-23,-1.86442057291667
2021-10-24,-2.56087239583333
2021-10-25,-2.82991536458333
2021-10-26,-3.04264322916667
2021-10-27,-2.86984592013889
2021-10-28,-2.83924696180556
2021-10-29,-3.04188368055556
2021-10-30,-2.73567708333333
2021-10-31,-2.56439887152778
2021-11-01,-2.55289713541667
2021-11-02,-2.11783854166667
2021-11-03,-2.15999348958333
2021-11-04,-2.80181206597222
2021-11-05,-2.78445095486111
2021-11-06,-2.91970486111111
2021-11-07,-3.73681640625
2021-11-08,-4.66878255208333
2021-11-09,-4.73036024305556
2021-11-10,-4.62483723958333
2021-11-11,-4.7021484375
2021-11-12,-4.42469618055556
2021-11-13,-4.38481987847222
2021-11-14,-5.08827593537415
2021-11-15,-5.51582532051282
2021-11-16,-5.17976334951456
2021-11-17,-5.14138454861111
2021-11-18,-5.69303385416667
2021-11-19,-5.94986979166667
2021-11-20,-5.85465494791667
2021-11-21,-5.40793185763889
2021-11-22,-5.41433376736111
2021-11-23,-5.44417317708333
2021-11-24,-5.13644748263889
2021-11-25,-4.66682942708333
2021-11-26,-4.83116319444444
2021-11-27,-5.05289713541667
2021-11-28,-5.06141493055556
2021-11-29,-4.99620225694444
2021-11-30,-5.17241753472222
2021-12-01,-4.92453342013889
2021-12-02,-5.51898871527778
2021-12-03,-6.34581163194444
2021-12-04,-6.58452690972222
2021-12-05,-6.6015625
2021-12-06,-5.63742404513889
2021-12-07,-4.96511501736111
2021-12-08,-4.95540364583333
2021-12-09,-4.95713975694444
2021-12-10,-4.82834201388889
2021-12-11,-5.73383246527778
2021-12-12,-6.76209852430556
2021-12-13,-7.33317057291667
2021-12-14,-6.89008246527778
2021-12-15,-7.62565104166667
2021-12-16,-7.30197482638889
2021-12-17,-6.68098958333333
2021-12-18,-6.59803602430556
2021-12-19,-6.08268229166667
2021-12-20,-5.23470052083333
2021-12-21,-4.8681640625
2021-12-22,-4.89621310763889
2021-12-23,-5.08702256944444
2021-12-24,-5.66102430555556
2021-12-25,-5.37071397569444
2021-12-26,-4.40161535125759
2021-12-27,-3.81646050347222
2021-12-28,-3.69829644097222
2021-12-29,-3.50043402777778
2021-12-30,-3.876953125
2021-12-31,-3.74235026041667
2022-01-01,-3.75732421875
2022-01-02,-4.16509331597222
2022-01-03,-4.36838107638889
2022-01-04,-4.78184678819444
2022-01-05,-5.05262586805556
2022-01-06,-5.17811414930556
2022-01-07,-5.24527994791667
2022-01-08,-5.79161241319444
2022-01-09,-5.61843532986111
2022-01-10,-5.11512586805556
2022-01-11,-4.68809678819444
2022-01-12,-4.50206163194444
2022-01-13,-4.2015837585034
2022-01-14,-3.67177483974359
2022-01-15,-3.67497996794872
2022-01-16,-3.79222534602076
2022-01-17,-4.22064887152778
2022-01-18,-4.16682942708333
2022-01-19,-4.12201605902778
2022-01-20,-3.94189453125
2022-01-21,-3.31857638888889
2022-01-22,-3.15483940972222
2022-01-23,-3.19439019097222
