"Date","mean_temp"
2021-07-30,7.99522569444444
2021-07-31,9.01361762152778
2021-08-01,10.1912977430556
2021-08-02,9.61702473958333
2021-08-03,8.97140842013889
2021-08-04,8.64420572916667
2021-08-05,10.4463975694444
2021-08-06,9.23849826388889
2021-08-07,10.7776692708333
2021-08-08,7.13384331597222
2021-08-09,6.6015625
2021-08-10,7.23857355442177
2021-08-11,6.44585503472222
2021-08-12,7.88997395833333
2021-08-13,5.80767144097222
2021-08-14,6.21337890625
2021-08-15,4.50748697916667
2021-08-16,4.88009982638889
2021-08-17,5.92784288194444
2021-08-18,4.39518229166667
2021-08-19,5.76833767361111
2021-08-20,3.828125
2021-08-21,2.49321831597222
2021-08-22,2.89957682291667
2021-08-23,4.34076605902778
2021-08-24,5.68977864583333
2021-08-25,4.30913628472222
2021-08-26,3.47412109375
2021-08-27,3.8095703125
2021-08-28,1.35427517361111
2021-08-29,0.685384114583333
2021-08-30,0.629069010416667
2021-08-31,0.683485243055556
2021-09-01,0.762641059027778
2021-09-02,1.80588107638889
2021-09-03,2.0166015625
2021-09-04,2.28786892361111
2021-09-05,3.71685112847222
2021-09-06,2.87592230902778
2021-09-07,2.95155164930556
2021-09-08,2.90782335069444
2021-09-09,2.39219835069444
2021-09-10,3.970703125
2021-09-11,2.20703125
2021-09-12,1.82731119791667
2021-09-13,2.45149739583333
2021-09-14,0.362738715277778
2021-09-15,-0.238389756944444
2021-09-16,0.285101996527778
2021-09-17,-0.0602213541666667
2021-09-18,0.541883680555556
2021-09-19,0.701334635416667
2021-09-20,-0.437174479166667
2021-09-21,-0.469618055555556
2021-09-22,-0.811143663194444
2021-09-23,-0.611219618055556
2021-09-24,-0.279947916666667
2021-09-25,-1.06678602430556
2021-09-26,-0.893988715277778
2021-09-27,-0.384331597222222
2021-09-28,-0.298122829861111
2021-09-29,-0.282769097222222
2021-09-30,-0.288845486111111
2021-10-01,-0.351182725694444
2021-10-02,-0.236328125
2021-10-03,-0.2001953125
2021-10-04,-0.178168402777778
2021-10-05,-0.17041015625
2021-10-06,-0.184353298611111
2021-10-07,-0.205729166666667
2021-10-08,-0.200141059027778
2021-10-09,-0.236219618055556
2021-10-10,-0.386881510416667
2021-10-11,-0.463812934027778
2021-10-12,-0.369683159722222
2021-10-13,-0.402886284722222
2021-10-14,-0.443142361111111
2021-10-15,-0.572265625
2021-10-16,-0.76416015625
2021-10-17,-0.836642795138889
2021-10-18,-0.779459635416667
2021-10-19,-0.728135850694444
2021-10-20,-0.621744791666667
2021-10-21,-0.594455295138889
2021-10-22,-0.538791232638889
2021-10-23,-0.530056423611111
2021-10-24,-0.730740017361111
2021-10-25,-0.858344184027778
2021-10-26,-0.950358072916667
2021-10-27,-0.889268663194444
2021-10-28,-0.913791232638889
2021-10-29,-0.993272569444444
2021-10-30,-0.922797309027778
2021-10-31,-0.853298611111111
2021-11-01,-0.919379340277778
2021-11-02,-0.777506510416667
2021-11-03,-0.764539930555556
2021-11-04,-0.974934895833333
2021-11-05,-0.986111111111111
2021-11-06,-1.01790364583333
2021-11-07,-1.29351128472222
2021-11-08,-1.64827473958333
2021-11-09,-1.69672309027778
2021-11-10,-1.70789930555556
2021-11-11,-1.74777560763889
2021-11-12,-1.61219618055556
2021-11-13,-1.62630208333333
2021-11-14,-1.89981930272109
2021-11-15,-2.05639022435897
2021-11-16,-2.05587580906149
2021-11-17,-2.00737847222222
2021-11-18,-2.16693793402778
2021-11-19,-2.31190321180556
2021-11-20,-2.42198350694444
2021-11-21,-2.25618489583333
2021-11-22,-2.19845920138889
2021-11-23,-2.25390625
2021-11-24,-2.19764539930556
2021-11-25,-2.03651258680556
2021-11-26,-2.08040364583333
2021-11-27,-2.25602213541667
2021-11-28,-2.29725477430556
2021-11-29,-2.32318793402778
2021-11-30,-2.42252604166667
2021-12-01,-2.35492621527778
2021-12-02,-2.37944878472222
2021-12-03,-2.71565755208333
2021-12-04,-2.89404296875
2021-12-05,-3.02680121527778
2021-12-06,-2.82595486111111
2021-12-07,-2.53396267361111
2021-12-08,-2.38623046875
2021-12-09,-2.43684895833333
2021-12-10,-2.45182291666667
2021-12-11,-2.72184244791667
2021-12-12,-3.13145616319444
2021-12-13,-3.55501302083333
2021-12-14,-3.47048611111111
2021-12-15,-3.69704861111111
2021-12-16,-3.80246310763889
2021-12-17,-3.51627604166667
2021-12-18,-3.55924479166667
2021-12-19,-3.32790798611111
2021-12-20,-3.02528211805556
2021-12-21,-2.77495659722222
2021-12-22,-2.73291015625
2021-12-23,-2.77224392361111
2021-12-24,-3.00813802083333
2021-12-25,-3.04633246527778
2021-12-26,-2.71720511708586
2021-12-27,-2.36187065972222
2021-12-28,-2.25
2021-12-29,-2.13503689236111
2021-12-30,-2.19949001736111
2021-12-31,-2.24826388888889
2022-01-01,-2.19900173611111
2022-01-02,-2.31711154513889
2022-01-03,-2.44650607638889
2022-01-04,-2.58902994791667
2022-01-05,-2.74755859375
2022-01-06,-2.84586588541667
2022-01-07,-2.87282986111111
2022-01-08,-3.05588107638889
2022-01-09,-3.14122178819444
2022-01-10,-3.00710720486111
2022-01-11,-2.82785373263889
2022-01-12,-2.70627170138889
2022-01-13,-2.60634566326531
2022-01-14,-2.34880809294872
2022-01-15,-2.33338341346154
2022-01-16,-2.41663062283737
2022-01-17,-2.49549696180556
2022-01-18,-2.52175564236111
2022-01-19,-2.52663845486111
2022-01-20,-2.53309461805556
2022-01-21,-2.32557508680556
2022-01-22,-2.19010416666667
2022-01-23,-2.18901909722222
2022-01-24,-2.08468967013889
