Sample_ID,Match,Species,Sample_location,Sample_location_full,Year_planted
KLSpE7,KL-SPE 7,Salix pulchra,Kluane,Pika Camp,2013
KLSpE8,KL-SPE 8,Salix pulchra,Kluane,Pika Camp,2013
KLSpE9,KL-SPE 9,Salix pulchra,Kluane,Pika Camp,2013
KLSrC1,KL-SRC 1,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC10,KL-SRC 10,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC11,KL-SRC 11,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC12,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC13,KL-SRC 13,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC14,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC15,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC2,KL-SRC 2,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC3,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC4,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC5,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC6,KL-SRC 6,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC7,KL-SRC 7,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC8,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrC9,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE1,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE10,KL-SRE 10,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE11,KL-SRE 11,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE12,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE13,KL-SRE 13,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE14,KL-SRE 14,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE15,KL-SRE 15,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE2,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE3,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE4,KL-SRE 4,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE5,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE6,KL-SRE 6,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE7,KL-SRE 7,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE8,NA,Salix richardsonii,Kluane,Pika Camp,2013
KLSrE9,KL-SRE 9,Salix richardsonii,Kluane,Pika Camp,2013
HEFSr1,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr10,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr11,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr12,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr13,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr14,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
HEFSr15,NA,Salix richardsonii,Qikiqtaruk,QHI,2014
