"Date","mean_moist"
2022-06-01,44.0506585612969
2022-06-02,43.2273197399527
2022-06-03,40.8691637115839
2022-06-04,38.2860520094563
2022-06-05,37.0423315602837
2022-06-06,35.8939125295508
2022-06-07,46.6430260047281
2022-06-08,45.2419473995272
2022-06-09,47.8021572104019
2022-06-10,47.7567228132388
2022-06-11,46.6179078014184
2022-06-12,46.2064125295508
2022-06-13,44.6852836879433
2022-06-14,43.9675679669031
2022-06-15,43.7596040189125
2022-06-16,43.3595596926714
2022-06-17,40.9149674940898
2022-06-18,38.4847813238771
2022-06-19,33.4748079196217
2022-06-20,30.254506501182
2022-06-21,29.7972074468085
2022-06-22,30.4310726950355
2022-06-23,31.051640070922
2022-06-24,34.8995271867612
2022-06-25,39.3690898345154
2022-06-26,39.0155880614657
2022-06-27,36.9536790780142
2022-06-28,35.9537529550827
2022-06-29,34.7152039007092
2022-06-30,34.0451388888889
2022-07-01,34.5227541371158
2022-07-02,32.754506501182
2022-07-03,31.2625591016548
2022-07-04,29.6867612293144
2022-07-05,28.4818262411348
2022-07-06,28.6602393617021
2022-07-07,28.2184544917258
2022-07-08,27.6514479905437
2022-07-09,26.9795360520095
2022-07-10,26.1676270685579
2022-07-11,27.1609042553192
2022-07-12,39.9242760047281
2022-07-13,47.2990543735225
2022-07-14,51.0158096926714
2022-07-15,50.8492169030733
2022-07-16,51.2536938534279
2022-07-17,51.5159574468085
2022-07-18,52.3692375886525
2022-07-19,52.34375
2022-07-20,53.153073286052
2022-07-21,52.9912825059102
2022-07-22,52.9100177304964
2022-07-23,53.0418882978723
2022-07-24,53.6114804964539
2022-07-25,53.8039302600473
2022-07-26,52.9118646572104
2022-07-27,54.181811465721
2022-07-28,54.3402777777778
2022-07-29,54.3561613475177
2022-07-30,54.1515218676123
2022-07-31,62.8435283687943
2022-08-01,63.4227245862884
2022-08-02,67.0600620567376
2022-08-03,66.3109485815603
2022-08-04,64.8371010638298
2022-08-05,63.692006501182
2022-08-06,63.1637854609929
2022-08-07,64.7698729314421
2022-08-08,63.3665780141844
2022-08-09,62.8856382978723
2022-08-10,65.2216312056738
2022-08-11,64.2161643026005
2022-08-12,64.3938386524823
2022-08-13,64.3724143026005
2022-08-14,63.9812352245863
2022-08-15,63.7307919621749
2022-08-16,63.4400856973995
2022-08-17,63.7897294457578
