"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","mean_width","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"26","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,12,12,23,NA,NA,NA,"HESR8",NA,NA,15.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"27","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,12,17,10,NA,NA,NA,"KLSPC1",NA,NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"28","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,21,19,19,NA,NA,NA,"KLSPC10",NA,NA,19.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"29","AB",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12",NA,NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"30","AB",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13",NA,NA,19,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"31","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,17,12,10,NA,NA,NA,"KLSPC3",NA,NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"32","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,25,27,12,NA,NA,NA,"KLSPC8",NA,NA,21.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,13,14,16,NA,NA,NA,"KLSPC9",NA,NA,14.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,8,11,10,NA,NA,NA,"KLSPE1",NA,NA,9.666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","CF",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,13,14,15,NA,NA,NA,"KLSPE10",NA,NA,14,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"36","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,18,11,10,NA,NA,NA,"KLSPE11",NA,NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"37","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,15,10,11,NA,NA,NA,"KLSPE12",NA,NA,12,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"38","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,6,10,5,NA,NA,NA,"KLSPE13",NA,NA,7,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSPE14",NA,NA,15,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","MG",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,26,15,15,NA,NA,NA,"KLSPE15",NA,NA,18.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,31,24,21,NA,NA,NA,"KLSPE2",NA,NA,25.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"42","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,5,5,NA,NA,NA,NA,"KLSPE4",NA,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43","IMS",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,11,9,13,NA,NA,NA,"KLSPE5",NA,NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"44","CF",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,17,15,12,NA,NA,NA,"KLSPE6",NA,NA,14.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"45","CF",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,7,6,8,NA,NA,NA,"KLSPE7",NA,NA,7,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"46","CF",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPE8",NA,NA,11,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","CF",2013,"Salix pulchra","Common_garden",NA,8,15,2015,NA,NA,NA,NA,19,20,23,NA,NA,NA,"KLSPE9",NA,NA,20.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,"KLSRC10",NA,NA,9.666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"49","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,22,14,15,NA,NA,NA,"KLSRC2",NA,NA,17,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,11,15,15,NA,NA,NA,"KLSRC6",NA,NA,13.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"51","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,15,13,13,NA,NA,NA,"KLSRE10",NA,NA,13.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"52","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,13,15,10,NA,NA,NA,"KLSRE11",NA,NA,12.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"53","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,13,15,14,NA,NA,NA,"KLSRE13",NA,NA,14,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"54","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,16,17,8,NA,NA,NA,"KLSRE14",NA,NA,13.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"55","IR",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,12,13,14,NA,NA,NA,"KLSRE15",NA,NA,13,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"56","LB",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,10,12,12,NA,NA,NA,"KLSRE4",NA,NA,11.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"57","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,17,15,17,NA,NA,NA,"KLSRE6",NA,NA,16.33333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"58","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,18,15,14,NA,NA,NA,"KLSRE7",NA,NA,15.66666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"59","SW",2013,"Salix richardsonii","Common_garden",NA,8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSRE9",NA,NA,15,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"60","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,5.5,NA,NA,NA,26,21,22,13,6,NA,"H15SP1",NA,NA,23,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"61","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,5,NA,NA,NA,38,30,25,29,NA,NA,"H15SP10",NA,NA,31,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"62","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,1.6,NA,NA,NA,26,19,14,11,NA,NA,"H15SP11",NA,NA,19.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"63","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP12",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"64","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,13.8,NA,NA,NA,37,42,44,53,47,10,"H15SP13",NA,36.66666667,41,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"65","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,16.3,NA,NA,NA,48,19,18,19,15,NA,"H15SP14",NA,NA,28.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"66","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,21.3,NA,NA,NA,31,41,40,46,30,NA,"H15SP15",NA,NA,37.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"67","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,17.8,NA,NA,NA,33,32,32,16,14,6,"H15SP16",NA,12,32.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"68","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,19,NA,NA,NA,27,24,16,18,15,8,"H15SP17",NA,13.66666667,22.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"69","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,10.6,NA,NA,NA,46,44,35,40,NA,NA,"H15SP18",NA,NA,41.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"70","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,5.3,NA,NA,NA,35,27,30,42,NA,NA,"H15SP19",NA,NA,30.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"71","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,31,NA,NA,NA,17,21,14,23,22,18,"H15SP2",NA,21,17.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"72","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,3.2,NA,NA,NA,33,NA,NA,29,NA,NA,"H15SP20",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"73","MG",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"74","MG",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"75","MG",2015,"Salix pulchra","Common_garden",NA,8,11,2016,9.5,NA,NA,NA,NA,NA,NA,19,16,NA,"H15SP23",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"76","MG",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP24",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"77","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,3.6,NA,NA,NA,23,21,19,22,NA,NA,"H15SP25",NA,NA,21,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"78","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP26",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"79","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,19,NA,NA,NA,21,17,15,18,13,NA,"H15SP27",NA,NA,17.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"80","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP28",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"81","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,4.3,NA,NA,NA,22,17,21,20,NA,NA,"H15SP29",NA,NA,20,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"82","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,5.7,NA,NA,NA,24,23,10,23,NA,NA,"H15SP29",NA,NA,19,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"83","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP3",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"84","AB",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"85","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"86","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,1,NA,NA,NA,11,NA,NA,16,NA,NA,"H15SP5",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"87","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP6",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"88","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"89","IMS",2015,"Salix pulchra","Common_garden",NA,8,11,2016,17,NA,NA,NA,30,28,21,11,9,12,"H15SP8",NA,10.66666667,26.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"90","CF",2015,"Salix pulchra","Common_garden",NA,8,11,2016,31.3,NA,NA,NA,33,36,42,27,9,NA,"H15SP9",NA,NA,37,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"91","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"H15SR1",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"92","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR10",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"93","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"94","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"95","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"96","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"97","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"98","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"99","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"100","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"101","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,5.4,NA,NA,NA,29,31,10,15,NA,NA,"H15SR19",NA,NA,23.33333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"102","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR2",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"103","SW",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,5.4,NA,NA,NA,21,25,19,7,NA,NA,"H15SR20",NA,NA,21.66666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"104","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR21",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"105","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"106","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"107","IR",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"108","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"109","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR28",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"110","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"111","AC",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"112","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"113","LB",2015,"Salix richardsonii","Common_garden",NA,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR5",NA,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
