,X,Bed,Year_planted,Species,Site,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter,Length_1_mm,Length_2_mm,Length_3_mm,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,SampleID_standard,biovolume,mean_stem_elong,mean_leaf_length,mean_width,population,Latitude,Longitude,Elevation,Date_propagated,Date_planted,Mother_LS,Cutting_length,Cutting_diameter,Sample_ID,July_2023_notes,Sample_age
1229,1229,IMS,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SP3,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1230,1230,IMS,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SP4,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1231,1231,SL,2017,Salix pulchra,Common_garden,NA,8,18,2018,25.4,NA,NA,NA,48.46,49.23,47.35,5.66,4.55,3.52,KP17SP5,NA,4.576666667,48.34666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1232,1232,MG,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SP6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1233,1233,MG,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SP7,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1234,1234,MG,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SP8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1235,1235,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,12.5,NA,NA,NA,21.99,24.94,18.16,3.85,3,2.52,KP17SP9,NA,3.123333333,21.69666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1236,1236,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,7,NA,NA,NA,29.25,29.31,26.09,8.26,16.88,18.66,KP17SR1,NA,14.6,28.21666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1237,1237,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,5.9,NA,NA,NA,28.7,33.51,25.74,9.28,12.04,7.32,KP17SR2,NA,9.546666667,29.31666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1238,1238,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,15.4,NA,NA,NA,37.62,29.47,32.23,44.9,24.79,59.4,KP17SR3,NA,43.03,33.10666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1239,1239,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,18.6,NA,NA,NA,29.03,34.68,33.87,36.54,31.74,32.13,KP17SR4,NA,33.47,32.52666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1240,1240,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KP17SR5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1241,1241,AB,2013,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KPSP14,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1242,1242,AB,2013,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KPSP15,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1243,1243,CF,2013,Salix richardsonii,Common_garden,NA,8,18,2018,37.8,NA,NA,NA,40.49,39.42,46.28,260,255,270,KPSR5,NA,261.6666667,42.06333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
1244,1244,JA,2016,Salix arctica,Common_garden,NA,8,18,2018,2.4,NA,NA,NA,23.84,23.2,26.88,10.44,7.28,5.63,PC16CESA2,NA,7.783333333,24.64,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1245,1245,IMS,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESP1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1246,1246,IMS,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESP2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1247,1247,IMS,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESP5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1248,1248,AB,2016,Salix pulchra,Common_garden,NA,8,18,2018,6.7,NA,NA,NA,40.34,37.61,35.25,4.78,3.97,3.58,PC16CESP7,NA,4.11,37.73333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1249,1249,IR,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESR10,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1250,1250,IR,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESR6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1251,1251,IR,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESR8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1252,1252,IR,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CESR9,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1253,1253,JA,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSA1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1254,1254,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSP1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1255,1255,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSP10,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1256,1256,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSP2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1257,1257,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSP3,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1258,1258,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,9.9,NA,NA,NA,20.06,22.01,15.52,3.28,6.04,2.84,PC16CWSP6,NA,4.053333333,19.19666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1259,1259,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,10.4,NA,NA,NA,29.63,28.13,27.56,4.11,3.86,5.96,PC16CWSP7,NA,4.643333333,28.44,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1260,1260,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSP8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1261,1261,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,5.8,NA,NA,NA,41.12,39.1,33.14,5.17,4.67,4.46,PC16CWSP9,NA,4.766666667,37.78666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1262,1262,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSR10,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1263,1263,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSR6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1264,1264,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16CWSR8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1265,1265,SAB,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSA1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1266,1266,SAB,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSA2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1267,1267,SAB,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSA3,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1268,1268,SAB,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSA4,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1269,1269,SAB,2016,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSA5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1270,1270,JG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1271,1271,JG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1272,1272,JG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1273,1273,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1274,1274,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP7,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1275,1275,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1276,1276,SL,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSP9,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1277,1277,EW,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSR1,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1278,1278,SW,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16PVSR8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1279,1279,GD,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC16SR5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1280,1280,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,3.5,NA,NA,NA,14.73,17.24,9.39,6.35,3.4,3.62,PC17SA1,NA,4.456666667,13.78666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1281,1281,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SA10,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1282,1282,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SA2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1283,1283,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SA3,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1284,1284,JB,2017,Salix arctica,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SA4,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1285,1285,JB,2017,Salix arctica,Common_garden,NA,8,18,2018,0.8,NA,NA,NA,13.05,NA,NA,2.02,NA,NA,PC17SA5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1286,1286,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,0.9,NA,NA,NA,21.86,18.33,17.63,3.21,4.4,3.81,PC17SA6,NA,3.806666667,19.27333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1287,1287,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,1.7,NA,NA,NA,14.94,18.16,15.92,3.55,4.81,2.61,PC17SA7,NA,3.656666667,16.34,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1288,1288,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,1.7,NA,NA,NA,5.91,3.92,3.06,1.49,0.88,0.7,PC17SA8,NA,1.023333333,4.296666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1289,1289,JA,2017,Salix arctica,Common_garden,NA,8,18,2018,1.5,NA,NA,NA,15.63,8.42,12.58,5.35,3.72,3.33,PC17SA9,NA,4.133333333,12.21,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1290,1290,SL,2017,Salix pulchra,Common_garden,NA,8,18,2018,27.5,NA,NA,NA,34.66,30.89,29.85,5.71,3.83,3.48,PC17SP1,NA,4.34,31.8,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1291,1291,JG,2017,Salix pulchra,Common_garden,NA,8,18,2018,2.9,NA,NA,NA,30.36,29.12,26.32,3.43,2.31,2.73,PC17SP10,NA,2.823333333,28.6,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1292,1292,SL,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SP2,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1293,1293,SL,2017,Salix pulchra,Common_garden,NA,8,18,2018,7.3,NA,NA,NA,56.58,35.88,43.07,6.14,4.83,3.45,PC17SP3,NA,4.806666667,45.17666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1294,1294,SL,2017,Salix pulchra,Common_garden,NA,8,18,2018,23.4,NA,NA,NA,69.06,72.91,74.8,44.69,240,11.76,PC17SP4,NA,98.81666667,72.25666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1295,1295,CF,2017,Salix pulchra,Common_garden,NA,8,18,2018,16.4,NA,NA,NA,37.99,37.54,47.34,38.62,47.56,51.7,PC17SP5,NA,45.96,40.95666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1296,1296,CF,2017,Salix pulchra,Common_garden,NA,8,18,2018,17.3,NA,NA,NA,51.7,43.34,42.78,28.71,33.68,34.89,PC17SP6,NA,32.42666667,45.94,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1297,1297,JG,2017,Salix pulchra,Common_garden,NA,8,18,2018,23.7,NA,NA,NA,29.11,31.43,30.17,5.69,4.23,6.29,PC17SP7,NA,5.403333333,30.23666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1298,1298,JG,2017,Salix pulchra,Common_garden,NA,8,18,2018,6.4,NA,NA,NA,29.56,33.89,28.09,2.48,1.62,0.93,PC17SP8,NA,1.676666667,30.51333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1299,1299,JG,2017,Salix pulchra,Common_garden,NA,8,18,2018,12.2,NA,NA,NA,43.06,35.52,32.22,6.91,6.05,3.35,PC17SP9,NA,5.436666667,36.93333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1300,1300,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,18.9,NA,NA,NA,24.91,23.81,28.31,39.16,11.34,10.22,PC17SR1,NA,20.24,25.67666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1301,1301,SW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,13.5,NA,NA,NA,47.64,53.14,39.12,73.59,59.53,35.69,PC17SR10,NA,56.27,46.63333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1302,1302,IR,2017,Salix richardsonii,Common_garden,NA,8,18,2018,3.2,NA,NA,NA,19.17,NA,NA,19.88,NA,NA,PC17SR11,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1303,1303,IR,2017,Salix richardsonii,Common_garden,NA,8,18,2018,4.6,NA,NA,NA,27.02,28.77,19.35,32.78,NA,NA,PC17SR12,NA,NA,25.04666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1304,1304,IR,2017,Salix richardsonii,Common_garden,NA,8,18,2018,7.1,NA,NA,NA,30.91,33.15,40.39,54.77,69.36,12.45,PC17SR13,NA,45.52666667,34.81666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1305,1305,AC,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SR14,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1306,1306,AC,2017,Salix richardsonii,Common_garden,NA,8,18,2018,12.9,NA,NA,NA,46.46,51.96,38.81,23.11,18.08,NA,PC17SR15,NA,NA,45.74333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1307,1307,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,16.8,NA,NA,NA,37.44,38.47,41.35,122.62,9.2,1.54,PC17SR2,NA,44.45333333,39.08666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1308,1308,LB,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SR3,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1309,1309,GD,2017,Salix richardsonii,Common_garden,NA,8,18,2018,28.2,NA,NA,NA,33.65,27.53,26.47,30.49,15.17,5.03,PC17SR4,NA,16.89666667,29.21666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1310,1310,GD,2017,Salix richardsonii,Common_garden,NA,8,18,2018,11.3,NA,NA,NA,40.2,32.26,30.91,60.56,12.67,4.1,PC17SR5,NA,25.77666667,34.45666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1311,1311,GD,2017,Salix richardsonii,Common_garden,NA,8,18,2018,11.9,NA,NA,NA,44.93,61.44,58.62,110.09,NA,NA,PC17SR6,NA,NA,54.99666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1312,1312,SW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SR7,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1313,1313,SW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PC17SR8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1314,1314,SW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,23.5,NA,NA,NA,44.37,49.42,35.73,31.92,31.48,34.3,PC17SR9,NA,32.56666667,43.17333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1315,1315,JA,2016,Salix arctica,Common_garden,NA,8,18,2018,0.5,NA,NA,NA,6.78,9.53,6.44,2.16,1.51,1.09,PP16MSA1,NA,1.586666667,7.583333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1316,1316,JA,2016,Salix arctica,Common_garden,NA,8,18,2018,1.8,NA,NA,NA,17.68,13.93,15.92,5.79,4.86,4.1,PP16MSA5,NA,4.916666667,15.84333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1317,1317,MG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSP10,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1318,1318,MG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSP6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1319,1319,MG,2016,Salix pulchra,Common_garden,NA,8,18,2018,17.1,NA,NA,NA,40.6,36.26,33.4,56.91,33.89,8.81,PP16TSP7,NA,33.20333333,36.75333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1320,1320,MG,2016,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSP9,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1321,1321,GD,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR4,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1322,1322,GD,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR5,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1323,1323,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR6,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1324,1324,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR7,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1325,1325,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR8,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1326,1326,AC,2016,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP16TSR9,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1327,1327,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,9.8,NA,NA,NA,16.72,15.2,12.68,1.85,3.31,2.15,PP17SP11,NA,2.436666667,14.86666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1328,1328,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,19,NA,NA,NA,30.1,25.93,25.17,37.87,24.13,20.35,PP17SP12,NA,27.45,27.06666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1329,1329,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,16.1,NA,NA,NA,23.47,25.87,24.37,20.6,10.01,4.32,PP17SP13,NA,11.64333333,24.57,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1330,1330,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP17SP14,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1331,1331,AB,2017,Salix pulchra,Common_garden,NA,8,18,2018,21.5,NA,NA,NA,36.95,28.12,30.83,28.67,27.6,24.78,PP17SP15,NA,27.01666667,31.96666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1332,1332,EW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,4.7,NA,NA,NA,47,26.11,27.96,40.34,23.25,NA,PP17SR16,NA,NA,33.69,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1333,1333,EW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PP17SR17,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1334,1334,EW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,1.2,NA,NA,NA,NA,NA,NA,5.26,NA,NA,PP17SR18,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1335,1335,EW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,16.2,NA,NA,NA,30.85,23.74,25.55,14.69,8.38,11.84,PP17SR19,NA,11.63666667,26.71333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1336,1336,EW,2017,Salix richardsonii,Common_garden,NA,8,18,2018,2.2,NA,NA,NA,29.76,26.17,23.57,19.41,10.31,10.69,PP17SR20,NA,13.47,26.5,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
