,X,Bed,Year_planted,Species,Site,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter,Length_1_mm,Length_2_mm,Length_3_mm,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,SampleID_standard,biovolume,mean_stem_elong,mean_leaf_length,mean_width,population,Latitude,Longitude,Elevation,Date_propagated,Date_planted,Mother_LS,Cutting_length,Cutting_diameter,Sample_ID,July_2023_notes,Sample_age
26,26,SW,2013,Salix richardsonii,Common_garden,NA,8,15,2015,NA,NA,NA,NA,12,12,23,NA,NA,NA,HESR8,NA,NA,15.66666667,NA,Northern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
27,27,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,12,17,10,NA,NA,NA,KLSPC1,NA,NA,13,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
28,28,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,21,19,19,NA,NA,NA,KLSPC10,NA,NA,19.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
29,29,AB,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,12,11,10,NA,NA,NA,KLSPC12,NA,NA,11,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
30,30,AB,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,25,18,14,NA,NA,NA,KLSPC13,NA,NA,19,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
31,31,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,17,12,10,NA,NA,NA,KLSPC3,NA,NA,13,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
32,32,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,25,27,12,NA,NA,NA,KLSPC8,NA,NA,21.33333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
33,33,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,14,16,NA,NA,NA,KLSPC9,NA,NA,14.33333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
34,34,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,8,11,10,NA,NA,NA,KLSPE1,NA,NA,9.666666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
35,35,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,13,14,15,NA,NA,NA,KLSPE10,NA,NA,14,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
36,36,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,18,11,10,NA,NA,NA,KLSPE11,NA,NA,13,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
37,37,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,15,10,11,NA,NA,NA,KLSPE12,NA,NA,12,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
38,38,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,6,10,5,NA,NA,NA,KLSPE13,NA,NA,7,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
39,39,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,15,14,16,NA,NA,NA,KLSPE14,NA,NA,15,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
40,40,MG,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,26,15,15,NA,NA,NA,KLSPE15,NA,NA,18.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
41,41,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,31,24,21,NA,NA,NA,KLSPE2,NA,NA,25.33333333,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
42,42,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,5,5,NA,NA,NA,NA,KLSPE4,NA,NA,NA,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
43,43,IMS,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,11,9,13,NA,NA,NA,KLSPE5,NA,NA,11,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
44,44,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,17,15,12,NA,NA,NA,KLSPE6,NA,NA,14.66666667,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
45,45,CF,2013,Salix pulchra,Common_garden,NA,8,15,2015,NA,NA,NA,NA,7,6,8,NA,NA,NA,KLSPE7,NA,NA,7,NA,Southern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
