"","max_canopy_height_cm","SampleID_standard","Year","Site","population","Species"
"87",19.2,"H17SR5",2018,"Common_garden","Northern","Salix richardsonii"
"88",12.3,"H17SR7",2023,"Common_garden","Northern","Salix richardsonii"
"89",19.8,"H17SR9",2018,"Common_garden","Northern","Salix richardsonii"
"90",4,"H18SA1",2022,"Common_garden","Northern","Salix arctica"
"91",0.4,"H18SA13",2019,"Common_garden","Northern","Salix arctica"
"92",3.3,"H18SA29",2023,"Common_garden","Northern",NA
"93",5.6,"H18SA8",2023,"Common_garden","Northern","Salix arctica"
"94",4.5,"H18SP1",2022,"Common_garden","Northern","Salix pulchra"
"95",8.5,"H18SP11",2022,"Common_garden","Northern","Salix pulchra"
"96",9.2,"H18SP15",2020,"Common_garden","Northern","Salix pulchra"
"97",11,"H18SP16",2021,"Common_garden","Northern","Salix pulchra"
"98",4.2,"H18SP18",2023,"Common_garden","Northern","Salix pulchra"
"99",2.4,"H18SP19",2019,"Common_garden","Northern","Salix pulchra"
"100",8.3,"H18SP2",2019,"Common_garden","Northern","Salix pulchra"
"101",7.1,"H18SP24",2023,"Common_garden","Northern","Salix pulchra"
"102",8.89,"H18SP29",2019,"Common_garden","Northern","Salix pulchra"
"103",7.6,"H18SP30",2019,"Common_garden","Northern","Salix pulchra"
"104",19.4,"H18SP4",2020,"Common_garden","Northern","Salix pulchra"
"105",13.6,"H18SP5",2021,"Common_garden","Northern","Salix pulchra"
"106",12.1,"H18SP7",2020,"Common_garden","Northern","Salix pulchra"
"107",1.5,"H18SP8",2021,"Common_garden","Northern","Salix pulchra"
"108",7.5,"H18SP9",2021,"Common_garden","Northern","Salix pulchra"
"109",6.2,"H18SR10",2023,"Common_garden","Northern","Salix richardsonii"
"110",0.7,"H18SR12",2019,"Common_garden","Northern","Salix richardsonii"
"111",19.6,"H18SR2",2019,"Common_garden","Northern","Salix richardsonii"
"112",10.2,"H18SR24",2019,"Common_garden","Northern","Salix richardsonii"
"113",16.9,"H18SR27",2023,"Common_garden","Northern","Salix richardsonii"
"114",5.4,"H18SR29",2020,"Common_garden","Northern","Salix richardsonii"
"115",17.6,"H18SR30",2023,"Common_garden","Northern","Salix richardsonii"
"116",4.3,"H18SR6",2023,"Common_garden","Northern","Salix richardsonii"
"117",6.4,"H18SR8",2023,"Common_garden","Northern","Salix richardsonii"
"118",4.7,"HE15SP26",2019,"Common_garden","Northern","Salix pulchra"
"119",4,"HE16SA10",2017,"Common_garden","Northern","Salix arctica"
"120",6.4,"HE16SA14",2023,"Common_garden","Northern","Salix arctica"
"121",7.6,"HE16SA3",2023,"Common_garden","Northern","Salix arctica"
"122",4.5,"HE16SA6",2018,"Common_garden","Northern","Salix arctica"
"123",6,"HE16SA7",2023,"Common_garden","Northern","Salix arctica"
