"","max_stem_elong","SampleID_standard","Year","Site","population","Species"
"82",6.66666666666667,"H18SP18",2020,"Common_garden","Northern","Salix pulchra"
"83",14.6666666666667,"H18SP24",2023,"Common_garden","Northern","Salix pulchra"
"84",15.83,"H18SP29",2019,"Common_garden","Northern","Salix pulchra"
"85",18.8266666666667,"H18SP30",2019,"Common_garden","Northern","Salix pulchra"
"86",27.7166666666667,"H18SP4",2019,"Common_garden","Northern","Salix pulchra"
"87",24.11,"H18SP5",2019,"Common_garden","Northern","Salix pulchra"
"88",12.3333333333333,"H18SP7",2020,"Common_garden","Northern","Salix pulchra"
"89",5.5,"H18SP9",2021,"Common_garden","Northern","Salix pulchra"
"90",26.3333333333333,"H18SR10",2020,"Common_garden","Northern","Salix richardsonii"
"91",17,"H18SR2",2022,"Common_garden","Northern","Salix richardsonii"
"92",23.4033333333333,"H18SR24",2019,"Common_garden","Northern","Salix richardsonii"
"93",36.3333333333333,"H18SR27",2021,"Common_garden","Northern","Salix richardsonii"
"94",41.6666666666667,"H18SR29",2020,"Common_garden","Northern","Salix richardsonii"
"95",33.6666666666667,"H18SR30",2022,"Common_garden","Northern","Salix richardsonii"
"96",6.66666666666667,"H18SR6",2021,"Common_garden","Northern","Salix richardsonii"
"97",17.3333333333333,"H18SR8",2020,"Common_garden","Northern","Salix richardsonii"
"98",15.6266666666667,"HE15SP26",2019,"Common_garden","Northern","Salix pulchra"
"99",16.9,"HE16SA14",2019,"Common_garden","Northern","Salix arctica"
"100",39,"HE16SA3",2022,"Common_garden","Northern","Salix arctica"
"101",6.33333333333333,"HE16SA6",2017,"Common_garden","Northern","Salix arctica"
"102",24.5033333333333,"HE16SA7",2019,"Common_garden","Northern","Salix arctica"
"103",31.3333333333333,"HE16SP15",2020,"Common_garden","Northern","Salix pulchra"
"104",33.6666666666667,"HE16SP17",2020,"Common_garden","Northern","Salix pulchra"
"105",3.33333333333333,"HE16SP25",2017,"Common_garden","Northern","Salix pulchra"
"106",14,"HERSP11",2023,"Common_garden","Northern","Salix pulchra"
"107",23.3333333333333,"HERSP12",2023,"Common_garden","Northern","Salix pulchra"
"108",4.33333333333333,"HERSP14",2023,"Common_garden","Northern","Salix pulchra"
"109",15.6666666666667,"HERSP24",2023,"Common_garden","Northern","Salix pulchra"
"110",15.6666666666667,"HERSP29",2023,"Common_garden","Northern","Salix pulchra"
"111",27.3333333333333,"HERSP3",2023,"Common_garden","Northern","Salix pulchra"
"112",15.6666666666667,"HERSP4",2023,"Common_garden","Northern","Salix pulchra"
"113",59.3333333333333,"HESP11",2020,"Common_garden","Northern","Salix pulchra"
"114",48.3333333333333,"HESP12",2017,"Common_garden","Northern","Salix pulchra"
"115",28.6666666666667,"HESP14",2017,"Common_garden","Northern","Salix pulchra"
"116",20.6666666666667,"HESP17",2016,"Common_garden","Northern","Salix pulchra"
"117",33,"HESP18",2016,"Common_garden","Northern","Salix pulchra"
"118",29,"HESP2",2016,"Common_garden","Northern","Salix pulchra"
"119",37.6666666666667,"HESP20",2016,"Common_garden","Northern","Salix pulchra"
"120",37.6666666666667,"HESP23",2016,"Common_garden","Northern","Salix pulchra"
"121",79.3333333333333,"HESP24",2016,"Common_garden","Northern","Salix pulchra"
"122",16.3333333333333,"HESP26",2016,"Common_garden","Northern","Salix pulchra"
"123",38.6933333333333,"HESP29",2019,"Common_garden","Northern","Salix pulchra"
"124",63.14,"HESP3",2019,"Common_garden","Northern","Salix pulchra"
"125",271.333333333333,"HESP4",2016,"Common_garden","Northern","Salix pulchra"
"126",37,"HESP6",2016,"Common_garden","Northern","Salix pulchra"
"127",36.3333333333333,"HESR13",2020,"Common_garden","Northern","Salix richardsonii"
"128",39,"HESR2",2020,"Common_garden","Northern","Salix richardsonii"
"129",37.3333333333333,"HESR21",2016,"Common_garden","Northern","Salix richardsonii"
"130",29.3333333333333,"HESR23",2021,"Common_garden","Northern","Salix richardsonii"
"131",33.3333333333333,"HESR26",2017,"Common_garden","Northern","Salix richardsonii"
"132",46.6666666666667,"HESR27",2016,"Common_garden","Northern","Salix richardsonii"
"133",32.3333333333333,"HESR3",2017,"Common_garden","Northern","Salix richardsonii"
"134",52,"HESR4",2016,"Common_garden","Northern","Salix richardsonii"
"135",7.33333333333333,"HESR4B",2017,"Common_garden","Northern","Salix richardsonii"
"136",6.73333333333333,"HESR4B_CLONE",2018,"Common_garden","Northern","Salix richardsonii"
"137",40.3333333333333,"HESR6",2017,"Common_garden","Northern","Salix richardsonii"
"138",38.6666666666667,"HESR7",2016,"Common_garden","Northern","Salix richardsonii"
"139",44.3333333333333,"HESR8",2017,"Common_garden","Northern","Salix richardsonii"
"140",9,"K15PSA10",2023,"Common_garden","Southern","Salix arctica"
"141",39,"K15PSA11",2022,"Common_garden","Southern","Salix arctica"
"142",31.3333333333333,"K15PSA12",2023,"Common_garden","Southern","Salix arctica"
"143",7.66666666666667,"K15PSA13",2017,"Common_garden","Southern","Salix arctica"
"144",18.6666666666667,"K15PSA15",2022,"Common_garden","Southern","Salix arctica"
"145",24.3333333333333,"K15PSA2",2022,"Common_garden","Southern","Salix arctica"
"146",24,"K15PSA6",2022,"Common_garden","Southern","Salix arctica"
"147",32.6666666666667,"K15PSA7",2021,"Common_garden","Southern","Salix arctica"
"148",43.77,"K15PSA8",2018,"Common_garden","Southern","Salix arctica"
"149",43,"K15PSA9",2023,"Common_garden","Southern","Salix arctica"
"150",116.666666666667,"K15SSR8",2023,"Common_garden","Southern","Salix richardsonii"
"151",2.76666666666667,"K17SA10",2018,"Common_garden","Southern","Salix arctica"
"152",6.31666666666667,"K17SA5",2019,"Common_garden","Southern","Salix arctica"
"153",66,"K17SR6",2020,"Common_garden","Southern","Salix richardsonii"
"154",123.333333333333,"KLSPC1",2017,"Common_garden","Southern","Salix pulchra"
"155",37.3333333333333,"KLSPC10",2016,"Common_garden","Southern","Salix pulchra"
"156",253.333333333333,"KLSPC13",2017,"Common_garden","Southern","Salix pulchra"
"157",75,"KLSPC2",2017,"Common_garden","Southern","Salix pulchra"
"158",100.666666666667,"KLSPC3",2017,"Common_garden","Southern","Salix pulchra"
"159",302,"KLSPC8",2016,"Common_garden","Southern","Salix pulchra"
"160",497.333333333333,"KLSPC9",2016,"Common_garden","Southern","Salix pulchra"
"161",243.333333333333,"KLSPE1",2017,"Common_garden","Southern","Salix pulchra"
"162",178.333333333333,"KLSPE10",2017,"Common_garden","Southern","Salix pulchra"
"163",333.333333333333,"KLSPE11",2016,"Common_garden","Southern","Salix pulchra"
"164",457,"KLSPE12",2016,"Common_garden","Southern","Salix pulchra"
"165",375,"KLSPE14",2016,"Common_garden","Southern","Salix pulchra"
"166",145,"KLSPE15",2017,"Common_garden","Southern","Salix pulchra"
"167",714.666666666667,"KLSPE2",2016,"Common_garden","Southern","Salix pulchra"
"168",15,"KLSPE3",2023,"Common_garden","Southern","Salix pulchra"
"169",996.666666666667,"KLSPE4",2016,"Common_garden","Southern","Salix pulchra"
"170",168,"KLSPE5",2018,"Common_garden","Southern","Salix pulchra"
"171",523.333333333333,"KLSPE6",2017,"Common_garden","Southern","Salix pulchra"
