Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
K15PBG17,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15BN13,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16BN1,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16BN2,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16BN3,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PBg12,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PBg4,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Bn11,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Bn2,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Bn30,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP18,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP20,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP58,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp1,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp2,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp3,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp4,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp5,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP21,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP22,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP23,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP24,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP16,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP17,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP18,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP19,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP20,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP26,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP27,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP28,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP29,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP30,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp36,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp37,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp38,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp39,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp40,11/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSp6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSp8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSp9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSp10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSp6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSp7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSp8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSp9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSp10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP47,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sp21,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESp10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESp6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP48,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESp7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KPSp11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESp9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sp22,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESp8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr28,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr29,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr30,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr21,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR46,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE-SR 17,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR47,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr22,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR48,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr23,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR49,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr24,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR50,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSa1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSa2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSa3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSa4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSa5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa16,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa17,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa18,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa19,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa20,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA16,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA17,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA18,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA19,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SA20,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSr6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSr7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSr8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSr9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSr10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr31,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr25,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSR13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr32,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr28,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr33,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr26,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15SR29,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSR14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr34,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr27,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15SR30,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSR15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr35,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSP1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSP2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSP3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSP4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSP5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP49,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HER-SP 30,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP50,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp31,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KPSP12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15SP28,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp32,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KPSP13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP7,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KPSP14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP9,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15SP30,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp35,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KPSP15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP10,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSa1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSa3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSa4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSa5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa6,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa8,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSa14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa16,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sa17,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR56,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR59,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr1,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr2,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr3,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr4,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSr5,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr11,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr12,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr13,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr14,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr15,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr26,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr27,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr28,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr29,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sr30,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR16,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR17,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR18,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR20,12/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp26,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sp4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sp7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp27,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp28,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp29,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSp1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp30,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSp2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HER-SP 5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESp5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr25,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr25,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr23,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr22,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr21,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr8,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR42,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR43,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR44,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PSr5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr11,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR45,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp8,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp21,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp22,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp23,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sp25,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP8,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSp5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP11,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP12,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP13,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP14,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP15,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSp10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP12,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP13,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SP14,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR16,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR17,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR18,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR19,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR20,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR8,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr38,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr39,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sr40,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESr5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR21,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR22,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR24,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16SR25,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSR1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSR2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSR3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSR4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16TSR5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR54,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SR55,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr8,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16PVSr10,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr17,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr18,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr14,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15ESr1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr7,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr15,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sr16,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15CSr6,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15SSr9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP53,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP54,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP42,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP44,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HER-SP 9,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15Sp16,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16SP5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
KP16Sa4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16MSa2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16MSa3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PP16MSa4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSa1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSa2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSa3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSa4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CWSa5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sa1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sa2,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sa4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
HE16Sa5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESa1,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESa3,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESa4,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
PC16CESa5,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
K15PBG17,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
H15BN13,19/07/2017,2017,-,-,-,-,-,-,-,,,,,,
