Sample_ID,Sample_Date,Year,Height,LL1,LL2,LL3,SE1,SE2,SE3,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes
K15PSa10,26/07/2017,2017,1.7,17,21,21,30,26,28,,,,,,Light herbivory 
HE16SP17,02/08/2017,2017,1.7,18,15,-,19,-,-,,,,,,Slightly yellowing 
H15Sa19,02/08/2017,2017,1.7,29,16,19,11,16,4,,,,,,30% herbivory
KP16Sa5,13/08/2017,2017,1.7,12,11,8,5,6,3,,,,,,
PC16CESa2,13/08/2017,2017,1.7,25,20,15,11,7,-,,,,,,
H15Sa12,14/08/2017,2017,1.7,18,13,17,12,12,-,,,,,,Light herbivory 
H15Sr12,26/06/2016,2016,1.8,20.3,15.7,17.9,11.2,,,,,,,,Light herbivory 
HE16SA6,12/07/2017,2017,1.8,13,14,13,16,17,-,,,,,,
H15Sa14,12/07/2017,2017,1.8,17,21,19,23,34,17,,,,,,Some dead leaves 
PP16MSa5,19/07/2017,2017,1.8,27,18,16,32,13,19,,,,,,
H15Sa9,20/07/2017,2017,1.8,27,29,7,30,-,-,,,,,,
H15Sa12,20/07/2017,2017,1.8,20,21,12,26,16,24,,,,,,Light herbivory 
H15Sa18,26/07/2017,2017,1.8,15,19,12,18,19,21,,,,,,Herbivory 
H15Sr11,26/06/2016,2016,1.9,10.1,12.8,,4.8,,,,,,,,
H15Sp12,11/07/2017,2017,1.9,27,-,-,30,-,-,,,,,,Herbivory 
PC16CESa2,11/07/2017,2017,1.9,17,20,10,24,-,-,,,,,,
PC16CESa2,19/07/2017,2017,1.9,26,18,11,29,20,-,,,,,,
HE16SA14,20/07/2017,2017,1.9,21,18,13,39,26,-,,,,,,Herbivory and some dead leaves 
HE16SP16,24/07/2017,2017,1.9,22,15,21,29,-,-,,,,,,Leaves dying 
H15SR29,26/07/2017,2017,1.9,22,25,23,32,-,-,,,,,,
HER-SP 26,26/07/2017,2017,1.9,-,-,-,23,-,-,,,,,,Dead 
H15Sa9,26/07/2017,2017,1.9,26,25,5,33,-,-,,,,,,One leaf dying 
H15Sa15,02/08/2017,2017,1.9,,,,11,22,,,,,,,
HE16SP16,13/08/2017,2017,1.9,18,20,17,17,-,-,,,,,,Browning 
K15PSa7,14/08/2017,2017,1.9,44,45,35,13,12,11,,,,,,Light herbivory 
H15Sa11,14/08/2017,2017,1.9,-,-,-,26,-,-,,,,,,Dead
H15Sa12,12/07/2017,2017,2,19,20,21,24,21,22,,,,,,Herbivory 
KP16Sa5,19/07/2017,2017,2,11,11,10,13,9,-,,,,,,
HE-SR 23,20/07/2017,2017,2,10,11,16,20,21,21,,,,,,"Most leaves gone, looks like due to herbivory "
HER-SP 26,20/07/2017,2017,2,-,-,-,39,-,-,,,,,,All leaves dead and gone 
