"","Species","population","SLA","LA","LDMC_percent","group_color","group_shape"
"74","Salix richardsonii","S. Source",23.9904929577465,6813.3,21.5151515151515,"south","source"
"75","Salix richardsonii","S. Source",20.146394984326,6426.7,23.015873015873,"south","source"
"76","Salix richardsonii","S. Source",23.3665369649805,6005.2,20.2044025157233,"south","source"
"77","Salix richardsonii","S. Source",18.5632323232323,9188.8,23.6051502145923,"south","source"
"78","Salix richardsonii","S. Source",20.4673796791444,7654.8,22.3684210526316,"south","source"
"79","Salix richardsonii","S. Source",22.7507853403141,4345.4,20.8287895310796,"south","source"
"80","Salix richardsonii","S. Source",20.5364016736402,4908.2,21.3583556747096,"south","source"
"81","Salix richardsonii","S. Source",20.5741525423729,4855.5,22.0560747663551,"south","source"
"82","Salix richardsonii","S. Source",20.8785714285714,4676.8,21.5384615384615,"south","source"
"83","Salix richardsonii","S. Source",20.6335714285714,5777.4,20.8643815201192,"south","source"
"84","Salix richardsonii","S. Source",23.5374193548387,3648.3,22.3665223665224,"south","source"
"85","Salix richardsonii","S. Source",20.4802955665025,4157.5,22.8861330326945,"south","source"
"86","Salix richardsonii","S. Source",16.0605263157895,4882.4,24.6553122465531,"south","source"
"87","Salix richardsonii","S. Source",22.8206214689266,8078.5,22.3626026531901,"south","source"
"88","Salix richardsonii","S. Source",20.2637809187279,11469.3,22.5587883618972,"south","source"
"89","Salix richardsonii","S. Source",18.5508021390374,10407,25.6515775034294,"south","source"
"90","Salix richardsonii","S. Source",15.8306226175349,12458.7,25.3707285622179,"south","source"
"91","Salix richardsonii","S. Source",16.263539445629,7627.6,25.5864702673213,"south","source"
"92","Salix richardsonii","S. Source",14.993916755603,14049.3,26.9562715765247,"south","source"
"93","Salix richardsonii","S. Source",14.916338028169,10590.6,28.0521532990913,"south","source"
"94","Salix richardsonii","S. Source",13.1804,9885.3,29.1375291375291,"south","source"
"95","Salix richardsonii","S. Source",14.0203539823009,9505.8,29.6069868995633,"south","source"
"96","Salix richardsonii","S. Source",16.3035511363636,11477.7,28.0813721579577,"south","source"
"97","Salix richardsonii","S. Source",13.8803361344538,8258.8,27.6358569437994,"south","source"
"98","Salix richardsonii","S. Source",10.588534107402,7295.5,35.2249488752556,"south","source"
"99","Salix richardsonii","S. Source",10.80112,6750.7,34.1157205240175,"south","source"
"100","Salix richardsonii","S. Source",10.5035182679296,7762.1,33.4995466908432,"south","source"
"101","Salix richardsonii","S. Source",11.1458123107972,11045.5,33.6388323150034,"south","source"
"102","Salix richardsonii","S. Source",11.3749336870027,8576.7,33.6607142857143,"south","source"
"103","Salix richardsonii","S. Source",10.3364306784661,7008.1,34.9304482225657,"south","source"
"104","Salix richardsonii","S. Source",9.80134730538922,6547.3,31.4205079962371,"south","source"
"105","Salix richardsonii","S. Source",13.8338624338624,7843.8,30.3695768612748,"south","source"
"106","Salix richardsonii","S. Source",14.6262948207171,7342.4,29.512051734274,"south","source"
"107","Salix richardsonii","S. Source",10.8723333333333,9785.1,31.5015750787539,"south","source"
"108","Salix richardsonii","S. Source",10.7296851574213,7156.7,33.1181727904667,"south","source"
"109","Salix richardsonii","S. Source",16.0073800738007,4338,28.2881002087683,"south","source"
"110","Salix richardsonii","S. Source",15.1079096045198,5348.2,27.9400157853197,"south","source"
"111","Salix richardsonii","S. Source",11.7484337349398,4875.6,30.1818181818182,"south","source"
"112","Salix richardsonii","N. Source",12.822861887628,4632.9,28.3372549019608,"north","source"
"113","Salix richardsonii","N. Source",NA,5707.7,NA,"north","source"
"114","Salix richardsonii","N. Source",15.5254817987152,3625.2,25.8296460176991,"north","source"
"115","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"116","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"117","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"118","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
"119","Salix richardsonii","S. Source",NA,NA,NA,"south","source"
