"","population","trait","type","value","Species","group_color","group_shape"
"72","S. Garden","LDMC","error",3.6936690333553,"Salix pulchra","south","garden"
"73","N. Garden","LDMC","lwr",30.938432246432,"Salix pulchra","north","garden"
"74","N. Source","LDMC","lwr",27.8390519271628,"Salix pulchra","north","source"
"75","S. Source","LDMC","lwr",29.8909147138448,"Salix pulchra","south","source"
"76","S. Garden","LDMC","lwr",31.3494920995027,"Salix pulchra","south","garden"
"77","N. Garden","LDMC","upr",47.0040220887938,"Salix pulchra","north","garden"
"78","N. Source","LDMC","upr",43.9328454764767,"Salix pulchra","north","source"
"79","S. Source","LDMC","upr",45.8280597948963,"Salix pulchra","south","source"
"80","S. Garden","LDMC","upr",47.1635536688624,"Salix pulchra","south","garden"
"81","N. Garden","LA","fit",19.0953657144225,"Salix pulchra","north","garden"
"82","N. Source","LA","fit",39.2613256930803,"Salix pulchra","north","source"
"83","S. Source","LA","fit",56.7914686308924,"Salix pulchra","south","source"
"84","S. Garden","LA","fit",33.1667130009823,"Salix pulchra","south","garden"
"85","N. Garden","LA","error",5.19428749521147,"Salix pulchra","north","garden"
"86","N. Source","LA","error",5.76483592773034,"Salix pulchra","north","source"
"87","S. Source","LA","error",3.7657339986406,"Salix pulchra","south","source"
"88","S. Garden","LA","error",4.88884996166417,"Salix pulchra","south","garden"
"89","N. Garden","LA","lwr",7.75306324803871,"Salix pulchra","north","garden"
"90","N. Source","LA","lwr",26.9147108789766,"Salix pulchra","north","source"
"91","S. Source","LA","lwr",47.2397801672948,"Salix pulchra","south","source"
"92","S. Garden","LA","lwr",21.8008061710342,"Salix pulchra","south","garden"
"93","N. Garden","LA","upr",30.5753605216369,"Salix pulchra","north","garden"
"94","N. Source","LA","upr",52.4968670141145,"Salix pulchra","north","source"
"95","S. Source","LA","upr",66.2758610705049,"Salix pulchra","south","source"
"96","S. Garden","LA","upr",44.2923388362836,"Salix pulchra","south","garden"
"97","N. Garden","SLA","fit",11.2024289304843,"Salix arctica","north","garden"
"98","N. Source","SLA","fit",12.089902594441,"Salix arctica","north","source"
"99","S. Source","SLA","fit",13.3932468275922,"Salix arctica","south","source"
"100","S. Garden","SLA","fit",10.4492612582984,"Salix arctica","south","garden"
"101","N. Garden","SLA","error",0.0853735706572369,"Salix arctica","north","garden"
"102","N. Source","SLA","error",0.0721621449371194,"Salix arctica","north","source"
"103","S. Source","SLA","error",0.0758317225614327,"Salix arctica","south","source"
"104","S. Garden","SLA","error",0.0868640048098521,"Salix arctica","south","garden"
"105","N. Garden","SLA","lwr",9.14303643000619,"Salix arctica","north","garden"
"106","N. Source","SLA","lwr",10.0557594112869,"Salix arctica","north","source"
"107","S. Source","SLA","lwr",11.0099916161294,"Salix arctica","south","source"
"108","S. Garden","SLA","lwr",8.46045841528536,"Salix arctica","south","garden"
"109","N. Garden","SLA","upr",13.9138985844752,"Salix arctica","north","garden"
"110","N. Source","SLA","upr",14.5577533621935,"Salix arctica","north","source"
"111","S. Source","SLA","upr",16.0736434213653,"Salix arctica","south","source"
"112","S. Garden","SLA","upr",12.7393079560894,"Salix arctica","south","garden"
"113","N. Garden","LDMC","fit",31.5871090514823,"Salix arctica","north","garden"
"114","N. Source","LDMC","fit",32.409145600289,"Salix arctica","north","source"
"115","S. Source","LDMC","fit",29.5889956359307,"Salix arctica","south","source"
"116","S. Garden","LDMC","fit",34.2758525065262,"Salix arctica","south","garden"
"117","N. Garden","LDMC","error",2.33096402819338,"Salix arctica","north","garden"
"118","N. Source","LDMC","error",2.13155039158103,"Salix arctica","north","source"
"119","S. Source","LDMC","error",2.28369444965275,"Salix arctica","south","source"
"120","S. Garden","LDMC","error",2.34728669088704,"Salix arctica","south","garden"
"121","N. Garden","LDMC","lwr",26.6468640916913,"Salix arctica","north","garden"
"122","N. Source","LDMC","lwr",27.4586356336463,"Salix arctica","north","source"
"123","S. Source","LDMC","lwr",24.7669682829936,"Salix arctica","south","source"
"124","S. Garden","LDMC","lwr",29.3851624182958,"Salix arctica","south","garden"
"125","N. Garden","LDMC","upr",36.5994695450586,"Salix arctica","north","garden"
"126","N. Source","LDMC","upr",36.8873033546721,"Salix arctica","north","source"
"127","S. Source","LDMC","upr",34.4846450015134,"Salix arctica","south","source"
"128","S. Garden","LDMC","upr",39.3431693689346,"Salix arctica","south","garden"
"129","N. Garden","LA","fit",36.9156658027472,"Salix arctica","north","garden"
"130","N. Source","LA","fit",55.4317758542367,"Salix arctica","north","source"
"131","S. Source","LA","fit",56.1744469398788,"Salix arctica","south","source"
"132","S. Garden","LA","fit",49.1683401950967,"Salix arctica","south","garden"
"133","N. Garden","LA","error",5.4330860472539,"Salix arctica","north","garden"
"134","N. Source","LA","error",4.03237367062351,"Salix arctica","north","source"
"135","S. Source","LA","error",5.41822348291623,"Salix arctica","south","source"
"136","S. Garden","LA","error",5.2663681142849,"Salix arctica","south","garden"
"137","N. Garden","LA","lwr",25.987424422711,"Salix arctica","north","garden"
"138","N. Source","LA","lwr",47.325030261156,"Salix arctica","north","source"
"139","S. Source","LA","lwr",45.887417726062,"Salix arctica","south","source"
"140","S. Garden","LA","lwr",38.7663535194778,"Salix arctica","south","garden"
"141","N. Garden","LA","upr",47.0827522561541,"Salix arctica","north","garden"
"142","N. Source","LA","upr",63.4463473321089,"Salix arctica","north","source"
"143","S. Source","LA","upr",66.6599784410739,"Salix arctica","south","source"
"144","S. Garden","LA","upr",59.5717075539243,"Salix arctica","south","garden"
