"","Species","Site","Canopy_Height_cm"
"1211","Salix arctica","Qikiqtaruk",5.5
"1221","Salix arctica","Qikiqtaruk",7.6
"1231","Salix arctica","Qikiqtaruk",3.8
"1241","Salix arctica","Qikiqtaruk",4.2
"1251","Salix arctica","Qikiqtaruk",6.6
"1261","Salix arctica","Qikiqtaruk",7.5
"1271","Salix arctica","Qikiqtaruk",9.4
"1281","Salix arctica","Qikiqtaruk",4.2
"1291","Salix arctica","Qikiqtaruk",10.1
"1301","Salix arctica","Qikiqtaruk",8.4
"1311","Salix pulchra","Qikiqtaruk",14.5
"1321","Salix pulchra","Qikiqtaruk",14.1
"1331","Salix pulchra","Qikiqtaruk",18.5
"1341","Salix pulchra","Qikiqtaruk",16.4
"1351","Salix pulchra","Qikiqtaruk",18.9
"1361","Salix pulchra","Qikiqtaruk",29.4
"1371","Salix pulchra","Qikiqtaruk",11.5
"1381","Salix pulchra","Qikiqtaruk",12
"1391","Salix pulchra","Qikiqtaruk",8.4
"1401","Salix pulchra","Qikiqtaruk",8.5
"1411","Salix richardsonii","Qikiqtaruk",32.5
"1421","Salix richardsonii","Qikiqtaruk",23.5
"1431","Salix richardsonii","Qikiqtaruk",20.5
"1441","Salix richardsonii","Qikiqtaruk",32.5
"1451","Salix richardsonii","Qikiqtaruk",26.5
"1461","Salix richardsonii","Qikiqtaruk",57.3
"1471","Salix richardsonii","Qikiqtaruk",33.7
"1481","Salix richardsonii","Qikiqtaruk",21.2
"1491","Salix richardsonii","Qikiqtaruk",16.4
"1501","Salix richardsonii","Qikiqtaruk",19.6
"1511","Salix arctica","Qikiqtaruk",5.2
"152","Salix arctica","Qikiqtaruk",6
"153","Salix arctica","Qikiqtaruk",5.2
"154","Salix arctica","Qikiqtaruk",6.7
"155","Salix arctica","Qikiqtaruk",7.2
"156","Salix arctica","Qikiqtaruk",5.2
"1571","Salix arctica","Qikiqtaruk",10.1
"1581","Salix arctica","Qikiqtaruk",8.9
"1591","Salix arctica","Qikiqtaruk",9.1
"1601","Salix arctica","Qikiqtaruk",5.6
"1611","Salix pulchra","Qikiqtaruk",19
"1621","Salix pulchra","Qikiqtaruk",14.5
"1631","Salix pulchra","Qikiqtaruk",24
"1641","Salix pulchra","Qikiqtaruk",16.4
"1651","Salix pulchra","Qikiqtaruk",16.2
"1661","Salix pulchra","Qikiqtaruk",16.1
"167","Salix richardsonii","Qikiqtaruk",26.5
"168","Salix richardsonii","Qikiqtaruk",23.2
"169","Salix richardsonii","Qikiqtaruk",23.8
"170","Salix richardsonii","Qikiqtaruk",31.3
"171","Salix richardsonii","Qikiqtaruk",27.2
"172","Salix richardsonii","Qikiqtaruk",61
"173","Salix richardsonii","Qikiqtaruk",36.7
"174","Salix richardsonii","Qikiqtaruk",19.4
"175","Salix richardsonii","Qikiqtaruk",23.2
"176","Salix richardsonii","Qikiqtaruk",24.5
"177","Salix arctica","Qikiqtaruk",4.5
"178","Salix arctica","Qikiqtaruk",6.4
"179","Salix arctica","Qikiqtaruk",4.2
"180","Salix arctica","Qikiqtaruk",5.6
"181","Salix arctica","Qikiqtaruk",4
"182","Salix arctica","Qikiqtaruk",6.4
"183","Salix arctica","Qikiqtaruk",7.4
"184","Salix arctica","Qikiqtaruk",10.2
"185","Salix arctica","Qikiqtaruk",9.1
"186","Salix arctica","Qikiqtaruk",6.5
"187","Salix pulchra","Qikiqtaruk",19.2
"188","Salix pulchra","Qikiqtaruk",22.1
"189","Salix pulchra","Qikiqtaruk",23.5
"190","Salix pulchra","Qikiqtaruk",17.2
"191","Salix pulchra","Qikiqtaruk",6.8
"192","Salix pulchra","Qikiqtaruk",26.7
"193","Salix pulchra","Qikiqtaruk",24.5
"194","Salix pulchra","Qikiqtaruk",10.3
"195","Salix pulchra","Qikiqtaruk",13.1
"196","Salix pulchra","Qikiqtaruk",25.8
"197","Salix richardsonii","Qikiqtaruk",34.5
"198","Salix richardsonii","Qikiqtaruk",71
"199","Salix richardsonii","Qikiqtaruk",26
"200","Salix richardsonii","Qikiqtaruk",27.3
"201","Salix richardsonii","Qikiqtaruk",20.1
"202","Salix richardsonii","Qikiqtaruk",57.5
"203","Salix richardsonii","Qikiqtaruk",34.8
"204","Salix richardsonii","Qikiqtaruk",18.3
"205","Salix richardsonii","Qikiqtaruk",28.1
"206","Salix richardsonii","Qikiqtaruk",18.7
"207","Salix arctica","Qikiqtaruk",5.1
"208","Salix arctica","Qikiqtaruk",7.2
"209","Salix arctica","Qikiqtaruk",3.2
"210","Salix arctica","Qikiqtaruk",3.9
"211","Salix arctica","Qikiqtaruk",6.6
"212","Salix arctica","Qikiqtaruk",6.9
"213","Salix arctica","Qikiqtaruk",9.1
"214","Salix arctica","Qikiqtaruk",4.1
"215","Salix arctica","Qikiqtaruk",9.4
"216","Salix arctica","Qikiqtaruk",8.2
