"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","max_stem_elong","mean_leaf_length","mean_width","population"
"260",1304,1304,1304,"IR","PC17Sr13",2017,"Salix richardsonii","Kluane","2018-08-18",8,18,2018,7.1,NA,NA,NA,30.91,33.15,40.39,54.77,69.36,12.45,"PC17SR13",NA,1,45.5266666666667,34.8166666666667,NA,"Southern"
"261",1959,1959,1959,"AC","PC17Sr15",2017,"Salix richardsonii","Kluane","2019-08-23",8,23,2019,13.7,NA,NA,NA,34.21,38.03,34.89,53.47,25.47,29.15,"PC17SR15",NA,2,36.03,35.71,NA,"Southern"
"262",2627,2885,2885,"LB","PC17Sr2",2017,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,23.4,15.2,11.6,12,38,35,41,63,61,40,"PC17SR2",4125.888,3,54.6666666666667,38,13.4,"Southern"
"263",1962,1962,1962,"GD","PC17Sr4",2017,"Salix richardsonii","Kluane","2019-08-23",8,23,2019,46.6,NA,NA,NA,52.94,61.48,55.59,439.9,294.9,228.9,"PC17SR4",NA,2,321.233333333333,56.67,NA,"Southern"
"264",2985,2985,2985,"GD","PC17Sr5",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,121,62,72,40,52,38,50,395,465,310,"PC17SR5",540144,5,390,46.6666666666667,67,"Southern"
"265",2984,2984,2984,"GD","PC17Sr6",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,41,63,49,16,42,40,40,290,260,195,"PC17SR6",126567,5,248.333333333333,40.6666666666667,56,"Southern"
"266",2634,2892,2892,"SW","PC17Sr9",2017,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,15.5,12.5,8.6,13,67,48,48,98,22,9,"PC17SR9",1666.25,3,43,54.3333333333333,10.55,"Southern"
"267",1315,1315,1315,"JA","PP16MSa1",2016,"Salix arctica","Kluane","2018-08-18",8,18,2018,0.5,NA,NA,NA,6.78,9.53,6.44,2.16,1.51,1.09,"PP16MSA1",NA,2,1.58666666666667,7.58333333333333,NA,"Southern"
"268",1969,1969,1969,"JA","PP16MSa5",2016,"Salix arctica","Kluane","2019-08-23",8,23,2019,3.2,NA,NA,NA,25.17,30.11,19.78,10.9,15,6.58,"PP16MSA5",NA,3,10.8266666666667,25.02,NA,"Southern"
"269",1319,1319,1319,"MG","PP16TSp7",2016,"Salix pulchra","Kluane","2018-08-18",8,18,2018,17.1,NA,NA,NA,40.6,36.26,33.4,56.91,33.89,8.81,"PP16TSP7",NA,2,33.2033333333333,36.7533333333333,NA,"Southern"
"270",1327,1327,1327,"AB","PP17Sp11",2017,"Salix pulchra","Kluane","2018-08-18",8,18,2018,9.8,NA,NA,NA,16.72,15.2,12.68,1.85,3.31,2.15,"PP17SP11",NA,1,2.43666666666667,14.8666666666667,NA,"Southern"
"271",2648,2906,2906,"AB","PP17Sp12",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,17.9,17.6,8.3,13.3,33.48,38.32,37.36,21.68,43.77,41.08,"PP17SP12",2614.832,3,35.51,36.3866666666667,12.95,"Southern"
"272",1982,1982,1982,"AB","PP17Sp13",2017,"Salix pulchra","Kluane","2019-08-23",8,23,2019,13,NA,NA,NA,31.95,38.45,41.39,26.56,35.38,36.7,"PP17SP13",NA,2,32.88,37.2633333333333,NA,"Southern"
"273",3133,3133,3133,"AB","PP17Sp15",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,29,57,58,23,74,64,31,320,250,370,"PP17SP15",95874,5,313.333333333333,56.3333333333333,57.5,"Southern"
"274",3166,3166,3166,"EW","PP17Sr16",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,44,46,47,29,43,37,42,150,130,100,"PP17SR16",95128,5,126.666666666667,40.6666666666667,46.5,"Southern"
"275",3170,3170,3170,"EW","PP17Sr19",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,37,36,33,28,34,38,50,80,70,170,"PP17SR19",43956,5,106.666666666667,40.6666666666667,34.5,"Southern"
"276",3169,3169,3169,"EW","PP17Sr20",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,39,51,69,23,40,42,38,95,80,200,"PP17SR20",137241,5,125,40,60,"Southern"
