"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"110",2773,2106,2106,"SW","HESr13",2013,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,11,5.5,6,14,NA,NA,NA,10,40,NA,"HESR13",363,8,NA,NA,5.75,"Northern"
"111",2774,2107,2107,"LB","HESr2",2013,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,10.5,16.5,9.8,16,NA,NA,NA,31,20,38,"HESR2",1697.85,8,29.6666666666667,NA,13.15,"Northern"
"112",2312,2570,2570,"AC","HESr21",2013,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,9.5,12.7,13,9.99,NA,NA,NA,22.08,26.73,21.4,"HESR21",1568.45,7,23.4033333333333,NA,12.85,"Northern"
"113",2775,2108,2108,"AC","HESr23",2013,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,6.2,8,8.2,6,21,23,22,25,33,30,"HESR23",406.72,8,29.3333333333333,22,8.1,"Northern"
"114",2314,2572,2572,"AC","HESr26",2013,"Salix richardsonii","Qikiqtaruk","2020-08-19",8,19,2020,9.8,10.9,9.5,11.63,40.73,34.94,30.64,12.68,17.29,12.61,"HESR26",1014.79,7,14.1933333333333,35.4366666666667,10.2,"Northern"
"115",2777,2110,2110,"LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,13.8,21,18,10,27,25,28,13,25,6,"HESR3",5216.4,8,14.6666666666667,26.6666666666667,19.5,"Northern"
"116",2778,2111,2111,"LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","2021-08-06",8,6,2021,8.2,17.5,16,15,27,25,29,24,20,12,"HESR4",2296,8,18.6666666666667,27,16.75,"Northern"
"117",2993,2993,2993,"SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,11.5,20,14,25,25,21,21,22,10,15,"HESR7",3220,9,15.6666666666667,22.3333333333333,17,"Northern"
"118",2994,2994,2994,"SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","2022-07-22",7,23,2022,12,24,19,23,23,20,20,18,8,6,"HESR8",5472,9,10.6666666666667,21,21.5,"Northern"
"119",3144,3144,3144,"JB","K15PSa10",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,4,16,11,6,22,23,36,7,3,6,"K15PSA10",704,7,5.33333333333333,27,13.5,"Southern"
"120",2782,2115,2115,"JB","K15PSa11",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,4.8,22.7,15.8,12,47,41,37,7,33,20,"K15PSA11",1721.568,6,20,41.6666666666667,19.25,"Southern"
"121",3146,3146,3146,"JB","K15PSa12",2015,"Salix arctica","Kluane","2022-08-16",8,17,2022,7,29,27,13,46,39,34,19,9,18,"K15PSA12",5481,7,15.3333333333333,39.6666666666667,28,"Southern"
"122",2784,2117,2117,"JB","K15PSa15",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,5.3,16.3,12.9,12,31,29,41,12,12,5,"K15PSA15",1114.431,6,9.66666666666667,33.6666666666667,14.6,"Southern"
"123",2785,2118,2118,"JB","K15PSa2",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,5.5,10.7,12.3,12,26,28,32,11,12,4,"K15PSA2",723.855,6,9,28.6666666666667,11.5,"Southern"
"124",2786,2119,2119,"JB","K15PSa6",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,6,24.1,20.6,16,34,36,29,30,7,17,"K15PSA6",2978.76,6,18,33,22.35,"Southern"
"125",2787,2120,2120,"JB","K15PSa7",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,5.5,46.2,34.1,25,42,47,48,35,38,25,"K15PSA7",8664.81,6,32.6666666666667,45.6666666666667,40.15,"Southern"
"126",2788,2121,2121,"JB","K15PSa8",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,4.5,20.1,19.6,9,34,33,29,13,9,11,"K15PSA8",1772.82,6,11,32,19.85,"Southern"
"127",2789,2122,2122,"JB","K15PSa9",2015,"Salix arctica","Kluane","2021-08-11",8,11,2021,6.9,25.2,22.1,12,42,43,49,24,10,8,"K15PSA9",3842.748,6,14,44.6666666666667,23.65,"Southern"
"128",2353,2611,2611,"SW","K15SSr8",2015,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,16.8,24.8,9.4,24,52,49,50,42,32,41,"K15SSR8",3916.416,5,38.3333333333333,50.3333333333333,17.1,"Southern"
"129",3032,3032,3032,"JA","K17Sa5",2017,"Salix arctica","Kluane","2022-08-16",8,17,2022,2.5,7,8,5,29,28,20,8,3,3,"K17SA5",140,5,4.66666666666667,25.6666666666667,7.5,"Southern"
"130",2365,2623,2623,"LB","K17Sr6",2017,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,20.1,26.4,13,12,64,61,48,109,51,38,"K17SR6",6898.32,3,66,57.6666666666667,19.7,"Southern"
"131",2793,2126,2126,"IMS","KLSPC1",2013,"Salix pulchra","Kluane","2021-08-09",8,9,2021,9.2,8.6,10.6,34,44,50,46,59,43,NA,"KLSPC1",838.672,8,NA,46.6666666666667,9.6,"Southern"
"132",2795,2128,2128,"AB","KLSPC13",2013,"Salix pulchra","Kluane","2021-08-11",8,11,2021,40.4,93.6,118.2,35,34,39,41,75,51,20,"KLSPC13",446966.208,8,48.6666666666667,38,105.9,"Southern"
"133",2796,2129,2129,"IMS","KLSPC2",2013,"Salix pulchra","Kluane","2021-08-09",8,9,2021,14,9.5,3.4,12,20,21,21,9,13,18,"KLSPC2",452.2,8,13.3333333333333,20.6666666666667,6.45,"Southern"
"134",2929,2929,2929,"IMS","KLSpC3",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,20,49,40,18,35,34,45,17,21,33,"KLSPC3",39200,9,23.6666666666667,38,44.5,"Southern"
"135",3068,3068,3068,"MG","KLSpC8",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,9,24,18,22,46,34,50,24,45,71,"KLSPC8",3888,9,46.6666666666667,43.3333333333333,21,"Southern"
"136",2375,2633,2633,"MG","KLSPC9",2013,"Salix pulchra","Kluane","2020-08-19",8,19,2020,39.2,83.2,59.6,16,28,27,26,28,22,11,"KLSPC9",194381.824,7,20.3333333333333,27,71.4,"Southern"
"137",2930,2930,2930,"IMS","KLSpE1",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,25.1,23.5,18,36,33,27,24,112,210,120,"KLSPE1",10617.3,9,147.333333333333,28,20.75,"Southern"
"138",2377,2635,2635,"CF","KLSpE10",2013,"Salix pulchra","Kluane","2020-08-19",8,19,2020,29.6,32.1,22.3,22,37,33,33,29,25,38,"KLSPE10",21188.568,7,30.6666666666667,34.3333333333333,27.2,"Southern"
"139",2802,2135,2135,"MG","KLSpE11",2013,"Salix pulchra","Kluane","2021-08-11",8,11,2021,34.3,119.2,61.3,23,27,26,28,6,11,9,"KLSPE11",250628.728,8,8.66666666666667,27,90.25,"Southern"
"140",3071,3071,3071,"MG","KLSpE12",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,38,96,63,45,31,38,48,260,220,20,"KLSPE12",229824,9,166.666666666667,39,79.5,"Southern"
"141",2804,2137,2137,"MG","KLSpE14",2013,"Salix pulchra","Kluane","2021-08-11",8,11,2021,47.1,105.5,93.8,20,34,29,37,11,17,9,"KLSPE14",466096.89,8,12.3333333333333,33.3333333333333,99.65,"Southern"
"142",2381,2639,2639,"MG","KLSpE15",2013,"Salix pulchra","Kluane","2020-08-19",8,19,2020,17.8,57.3,49.2,14,31,34,26,9,10,12,"KLSPE15",50181.048,7,10.3333333333333,30.3333333333333,53.25,"Southern"
"143",2931,2931,2931,"IMS","KLSpE2",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,31.5,135,92,51,30,29,45,91,43,35,"KLSPE2",391230,9,56.3333333333333,34.6666666666667,113.5,"Southern"
"144",2932,2932,2932,"IMS","KLSpE3",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,10,9,10,11,28,25,21,10,9,8,"KLSPE3",900,9,9,24.6666666666667,9.5,"Southern"
"145",2933,2933,2933,"IMS","KLSpE4",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,45,74,89,45,33,28,31,15,13,23,"KLSPE4",296370,9,17,30.6666666666667,81.5,"Southern"
"146",2934,2934,2934,"IMS","KLSpE5",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,21.5,45,40.5,22,45,43,26,130,36,27,"KLSPE5",39183.75,9,64.3333333333333,38,42.75,"Southern"
"147",3011,3011,3011,"CF","KLSpE6",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,81,170,172,98,60,55,93,430,450,660,"KLSPE6",2368440,9,513.333333333333,69.3333333333333,171,"Southern"
"148",2811,2144,2144,"CF","KLSpE7",2013,"Salix pulchra","Kluane","2021-08-11",8,11,2021,27,29,27.5,26,34,35,32,20,49,42,"KLSPE7",21532.5,8,37,33.6666666666667,28.25,"Southern"
"149",3013,3013,3013,"CF","KLSpE8",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,17,106,24,67,37,40,35,43,71,19,"KLSPE8",43248,9,44.3333333333333,37.3333333333333,65,"Southern"
"150",3014,3014,3014,"CF","KLSpE9",2013,"Salix pulchra","Kluane","2022-08-16",8,17,2022,32,134,79,47,64,31,61,440,370,220,"KLSPE9",338752,9,343.333333333333,52,106.5,"Southern"
"151",3082,3082,3082,"IR","KLSrC10",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,110,160,122,87,45,50,53,57,98,30,"KLSRC10",2147200,9,61.6666666666667,49.3333333333333,141,"Southern"
"152",3114,3114,3114,"AC","KLSrC13",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,75,150,128,110,50,49,76,50,70,170,"KLSRC13",1440000,9,96.6666666666667,58.3333333333333,139,"Southern"
"153",2393,2651,2651,"LB","KLSrC2",2013,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,111.2,108.2,105.1,82,52,51,60,115,118,116,"KLSRC2",1264546.384,7,116.333333333333,54.3333333333333,106.65,"Southern"
"154",3083,3083,3083,"IR","KLSrC6",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,94,135,83,53,40,41,42,93,36,55,"KLSRC6",1053270,9,61.3333333333333,41,109,"Southern"
"155",2996,2996,2996,"SW","KLSrE10",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,110,128,155,43,41,50,40,30,21,35,"KLSRE10",2182400,9,28.6666666666667,43.6666666666667,141.5,"Southern"
"156",3084,3084,3084,"IR","KLSrE11",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,96,150,165,67,45,53,55,36,27,46,"KLSRE11",2376000,9,36.3333333333333,51,157.5,"Southern"
"157",2821,2154,2154,"IR","KLSrE13",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,103.5,118.8,117.6,67,36,49,44,36,83,137,"KLSRE13",1445986.08,8,85.3333333333333,43,118.2,"Southern"
"158",3086,3086,3086,"IR","KLSrE14",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,25,95,43,33,37,36,49,16,18,13,"KLSRE14",102125,9,15.6666666666667,40.6666666666667,69,"Southern"
"159",3087,3087,3087,"IR","KLSrE15",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,78,156,70,41,50,40,42,120,150,200,"KLSRE15",851760,9,156.666666666667,44,113,"Southern"
"160",2946,2946,2946,"LB","KLSrE4",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,113,245,235,120,48,45,34,60,60,100,"KLSRE4",6505975,9,73.3333333333333,42.3333333333333,240,"Southern"
"161",2997,2997,2997,"SW","KLSrE6",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,80,120,106,41,37,36,23,27,24,45,"KLSRE6",1017600,9,32,32,113,"Southern"
"162",2826,2159,2159,"SW","KLSrE7",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,68,87,68,58,52,42,43,136,73,68,"KLSRE7",402288,8,92.3333333333333,45.6666666666667,77.5,"Southern"
"163",2999,2999,2999,"SW","KLSrE9",2013,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,79,120,110,63,65,43,50,130,31,30,"KLSRE9",1042800,9,63.6666666666667,52.6666666666667,115,"Southern"
"164",3101,3101,3101,"SAB","KP16Sa6",2016,"Salix arctica","Kluane","2022-08-16",8,17,2022,5.5,11,9.5,7,22,30,28,8,6,NA,"KP16SA6",574.75,6,NA,26.6666666666667,10.25,"Southern"
"165",2430,2688,2688,"SL","KP16Sp22",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,21.8,32.6,29.8,5,28,31,33,81,52,88,"KP16SP22",21178.264,4,73.6666666666667,30.6666666666667,31.2,"Southern"
"166",2432,2690,2690,"SL","KP16Sp24",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,26.1,37.2,17,14,42,31,33,46,56,45,"KP16SP24",16505.64,4,49,35.3333333333333,27.1,"Southern"
"167",3124,3124,3124,"AB","KP16Sp33",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,33,65,44,35,35,33,45,20,50,145,"KP16SP33",94380,6,71.6666666666667,37.6666666666667,54.5,"Southern"
"168",2442,2700,2700,"AB","KP16Sp34",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,12.5,15,1,13.44,15.18,16.2,10.83,19.04,NA,NA,"KP16SP34",187.5,4,NA,14.07,8,"Southern"
"169",3047,3047,3047,"JG","KP16Sp39",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,4.5,9.5,8,9,32,21,22,22,10,19,"KP16SP39",342,6,17,25,8.75,"Southern"
"170",2448,2706,2706,"IMS","KP16Sp41",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,11.3,7.6,8.2,8,28,30,30,18,17,14,"KP16SP41",704.216,4,16.3333333333333,29.3333333333333,7.9,"Southern"
"171",2450,2708,2708,"CF","KP16Sp43",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,19.2,24.2,10.9,28,31,31,30,24,31,32,"KP16SP43",5064.576,4,29,30.6666666666667,17.55,"Southern"
"172",3017,3017,3017,"CF","KP16Sp46",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,22,41,20,19,64,51,47,230,50,70,"KP16SP46",18040,6,116.666666666667,54,30.5,"Southern"
"173",2457,2715,2715,"CF","KP16Sp51",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,24.9,15.8,12,9,28,32,27,52,21,40,"KP16SP51",4721.04,4,37.6666666666667,29,13.9,"Southern"
"174",2839,2172,2172,"CF","KP16Sp52",2016,"Salix pulchra","Kluane","2021-08-11",8,11,2021,16.5,25.5,17.3,12,42,38,33,12,14,17,"KP16SP52",7278.975,5,14.3333333333333,37.6666666666667,21.4,"Southern"
"175",2461,2719,2719,"CF","KP16Sp55",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,26.9,88,10.2,8,26,24,24,15,14,15,"KP16SP55",24145.44,4,14.6666666666667,24.6666666666667,49.1,"Southern"
"176",3048,3048,3048,"JG","KP16Sp56",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,27,49,45,16,33,30,40,43,62,82,"KP16SP56",59535,6,62.3333333333333,34.3333333333333,47,"Southern"
"177",3059,3059,3059,"JG","KP16Sp59",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,18,61,33,20,28,21,24,74,37,16,"KP16SP59",36234,6,42.3333333333333,24.3333333333333,47,"Southern"
"178",3060,3060,3060,"JG","KP16Sp60",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,20,31,30,25,25,25,23,63,47,25,"KP16SP60",18600,6,45,24.3333333333333,30.5,"Southern"
"179",2484,2742,2742,"IR","KP16Sr26",2016,"Salix richardsonii","Kluane","2020-08-19",8,19,2020,30.4,16.4,12.2,22,31,38,33,62,45,68,"KP16SR26",6082.432,4,58.3333333333333,34,14.3,"Southern"
"180",2845,2178,2178,"IR","KP16Sr27",2016,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,35.6,28.8,17.5,24,43,42,46,52,44,34,"KP16SR27",17942.4,5,43.3333333333333,43.6666666666667,23.15,"Southern"
"181",2973,2973,2973,"GD","KP16Sr36",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,40,44,36,31,48,29,46,250,220,210,"KP16SR36",63360,6,226.666666666667,41,40,"Southern"
"182",2974,2974,2974,"GD","KP16Sr37",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,83,67,68,35,34,37,41,175,560,180,"KP16SR37",378148,6,305,37.3333333333333,67.5,"Southern"
"183",2848,2181,2181,"LB","KP16Sr41",2016,"Salix richardsonii","Kluane","2021-08-09",8,9,2021,28,27.5,16.5,16,40,33,35,39,29,63,"KP16SR41",12705,5,43.6666666666667,36,22,"Southern"
"184",2849,2182,2182,"GD","KP16Sr51",2016,"Salix richardsonii","Kluane","2021-08-09",8,9,2021,20.5,26,22,14,43,40,35,57,19,42,"KP16SR51",11726,5,39.3333333333333,39.3333333333333,24,"Southern"
"185",2976,2976,2976,"GD","KP16Sr52",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,45,56,51.5,25,42,40,31,100,105,65,"KP16SR52",129780,6,90,37.6666666666667,53.75,"Southern"
"186",2977,2977,2977,"GD","KP16Sr53",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,17,40,32,18,36,26,33,120,45,90,"KP16SR53",21760,6,85,31.6666666666667,36,"Southern"
"187",3165,3165,3165,"EW","KP16Sr57",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,76,77,56,35,49,48,45,240,250,150,"KP16SR57",327712,6,213.333333333333,47.3333333333333,66.5,"Southern"
"188",3164,3164,3164,"EW","KP16Sr58",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,46,66,51,31,43,41,41,200,170,180,"KP16SR58",154836,6,183.333333333333,41.6666666666667,58.5,"Southern"
"189",3163,3163,3163,"EW","KP16Sr60",2016,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,55,45,32,18,45,29,51,120,90,70,"KP16SR60",79200,6,93.3333333333333,41.6666666666667,38.5,"Southern"
"190",3034,3034,3034,"JA","KP17Sa2",2017,"Salix arctica","Kluane","2022-08-16",8,17,2022,3,12,10.5,10,37,19,16,12,5,10,"KP17SA2",378,5,9,24,11.25,"Southern"
"191",3033,3033,3033,"JA","KP17Sa4",2017,"Salix arctica","Kluane","2022-08-16",8,17,2022,2.5,7,10,8,24,17,17,4,7,11,"KP17SA4",175,5,7.33333333333333,19.3333333333333,8.5,"Southern"
"192",3105,3105,3105,"SAB","KP17Sa6",2017,"Salix arctica","Kluane","2022-08-16",8,17,2022,5.5,19,19.5,10,42,33,33,9,17,24,"KP17SA6",2037.75,5,16.6666666666667,36,19.25,"Southern"
"193",2858,2191,2191,"JB","KP17Sa9",2017,"Salix arctica","Kluane","2021-08-11",8,11,2021,2.5,14.4,5,8,22,23,21,7,4,5,"KP17SA9",180,4,5.33333333333333,22,9.7,"Southern"
"194",2523,2781,2781,"IMS","KP17Sp1",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,19.1,14,11.8,12,34,38,34,35,25,23,"KP17SP1",3155.32,3,27.6666666666667,35.3333333333333,12.9,"Southern"
"195",3131,3131,3131,"AB","KP17Sp12",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,31,33,20,15,38,43,40,48,35,64,"KP17SP12",20460,5,49,40.3333333333333,26.5,"Southern"
"196",2528,2786,2786,"AB","KP17Sp14",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,7.8,17,8.5,13.84,NA,NA,NA,37.16,30.15,41.46,"KP17SP14",1127.1,3,36.2566666666667,NA,12.75,"Southern"
"197",2939,2939,2939,"IMS","KP17Sp2",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,16,25,16.5,18,22,18,50,46,19,13,"KP17SP2",6600,5,26,30,20.75,"Southern"
"198",2969,2969,2969,"SL","KP17Sp5",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,35.5,61,32,14,34,34,37,170,110,70,"KP17SP5",69296,5,116.666666666667,35,46.5,"Southern"
"199",3132,3132,3132,"AB","KP17Sp9",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,9.5,23,19,18,39,24,31,58,22,45,"KP17SP9",4151.5,5,41.6666666666667,31.3333333333333,21,"Southern"
"200",2864,2197,2197,"LB","KP17Sr1",2017,"Salix richardsonii","Kluane","2021-08-09",8,9,2021,22.5,33,18,27,42,44,40,37,17,35,"KP17SR1",13365,4,29.6666666666667,42,25.5,"Southern"
"201",2953,2953,2953,"LB","KP17Sr2",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,34.5,25,34,16,20,17,17,40,25,49,"KP17SR2",29325,5,38,18,29.5,"Southern"
"202",2954,2954,2954,"LB","KP17Sr3",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,34.5,40,45,17,31,29,29,45,23,21,"KP17SR3",62100,5,29.6666666666667,29.6666666666667,42.5,"Southern"
"203",2955,2955,2955,"LB","KP17Sr4",2017,"Salix richardsonii","Kluane","2022-08-16",8,17,2022,27,28,36,20,24,23,24,26,32,18,"KP17SR4",27216,5,25.3333333333333,23.6666666666667,32,"Southern"
"204",3175,3175,3175,"EW","KP18Sa10",2018,"Salix arctica","Kluane","2022-08-16",8,17,2022,4.5,17,9,7,38,25,46,13,5,4,"KP18SA10",688.5,4,7.33333333333333,36.3333333333333,13,"Southern"
"205",2869,2202,2202,"JA","KP18Sa2",2018,"Salix arctica","Kluane","2021-08-11",8,11,2021,3.2,11.5,9.8,9,27,35,29,8,5,7,"KP18SA2",360.64,3,6.66666666666667,30.3333333333333,10.65,"Southern"
"206",3043,3043,3043,"JA","KP18Sa4",2018,"Salix arctica","Kluane","2022-08-16",8,17,2022,3,9.5,13,9,43,36,30,12,5,9,"KP18SA4",370.5,4,8.66666666666667,36.3333333333333,11.25,"Southern"
"207",3172,3172,3172,"EW","KP18Sa8",2018,"Salix arctica","Kluane","2022-08-16",8,17,2022,7,18,4,7,17,20,16,8,6,8,"KP18SA8",504,4,7.33333333333333,17.6666666666667,11,"Southern"
"208",2873,2206,2206,"EW","KP18Sa9",2018,"Salix arctica","Kluane","2021-08-11",8,11,2021,2.1,8.4,5.7,6,31,30,26,8,3,2,"KP18SA9",100.548,3,4.33333333333333,29,7.05,"Southern"
"209",3057,3057,3057,"JG","KP18Sp1",2018,"Salix pulchra","Kluane","2022-08-16",8,17,2022,27,49,42,17,48,41,21,102,83,50,"KP18SP1",55566,4,78.3333333333333,36.6666666666667,45.5,"Southern"
"210",3056,3056,3056,"JG","KP18Sp2",2018,"Salix pulchra","Kluane","2022-08-16",8,17,2022,68,66,61,22,41,44,43,375,420,460,"KP18SP2",273768,4,418.333333333333,42.6666666666667,63.5,"Southern"
"211",2557,2815,2815,"JG","KP18Sp3",2018,"Salix pulchra","Kluane","2020-08-19",8,19,2020,24.1,9.1,5.4,12,41,42,36,26,28,27,"KP18SP3",1184.274,2,27,39.6666666666667,7.25,"Southern"
"212",3054,3054,3054,"JG","KP18Sp4",2018,"Salix pulchra","Kluane","2022-08-16",8,17,2022,26,45,31,12,50,41,38,130,150,200,"KP18SP4",36270,4,160,43,38,"Southern"
"213",2880,2213,2213,"CF","KPSr5",2013,"Salix richardsonii","Kluane","2021-08-11",8,11,2021,54,89,49,36,42,44,48,54,42,66,"KPSR5",235494,8,54,44.6666666666667,69,"Southern"
"214",2881,2214,2214,"JA","PC16CESa2",2016,"Salix arctica","Kluane","2021-08-11",8,11,2021,9.1,26.5,22,10,49,66,59,21,10,12,"PC16CESA2",5305.3,5,14.3333333333333,58,24.25,"Southern"
"215",2882,2215,2215,"AB","PC16CESp7",2016,"Salix pulchra","Kluane","2021-08-11",8,11,2021,22.5,47.3,32.8,23,18,23,25,9,14,9,"PC16CESP7",34907.4,5,10.6666666666667,22,40.05,"Southern"
"216",2578,2836,2836,"SL","PC16CWSp6",2016,"Salix pulchra","Kluane","2020-08-19",8,19,2020,8.3,8.3,9,7,24,22,25,8,14,17,"PC16CWSP6",620.01,4,13,23.6666666666667,8.65,"Southern"
"217",2966,2966,2966,"SL","PC16CWSp7",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,60,38,34,15,54,51,45,390,245,150,"PC16CWSP7",77520,6,261.666666666667,50,36,"Southern"
"218",2965,2965,2965,"SL","PC16CWSp9",2016,"Salix pulchra","Kluane","2022-08-16",8,17,2022,12,39,25,15,24,20,23,23,25,43,"PC16CWSP9",11700,6,30.3333333333333,22.3333333333333,32,"Southern"
"219",2885,2218,2218,"JA","PC17Sa1",2017,"Salix arctica","Kluane","2021-08-11",8,11,2021,5.8,16,18,12,38,48,43,11,13,7,"PC17SA1",1670.4,4,10.3333333333333,43,17,"Southern"
"220",2886,2219,2219,"JA","PC17Sa6",2017,"Salix arctica","Kluane","2021-08-11",8,11,2021,3.6,10,7.8,7,24,28,23,4,3,3,"PC17SA6",280.8,4,3.33333333333333,25,8.9,"Southern"
"221",2887,2220,2220,"JA","PC17Sa7",2017,"Salix arctica","Kluane","2021-08-11",8,11,2021,6.6,20,16.5,9,33,39,40,15,13,9,"PC17SA7",2178,4,12.3333333333333,37.3333333333333,18.25,"Southern"
"222",3038,3038,3038,"JA","PC17Sa9",2017,"Salix arctica","Kluane","2022-08-16",8,17,2022,3.5,14,10,9,24,36,44,10,7,12,"PC17SA9",490,5,9.66666666666667,34.6666666666667,12,"Southern"
"223",2889,2222,2222,"SL","PC17Sp1",2017,"Salix pulchra","Kluane","2021-08-09",8,9,2021,23.6,30.5,24.5,9,29,29,28,7,39,29,"PC17SP1",17635.1,4,25,28.6666666666667,27.5,"Southern"
"224",3052,3052,3052,"JG","PC17Sp10",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,6.5,19.5,14,18,32,21,31,17,12,13,"PC17SP10",1774.5,5,14,28,16.75,"Southern"
"225",2613,2871,2871,"SL","PC17Sp3",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,12.4,29.4,18.2,12,26,30,30,60,82,61,"PC17SP3",6634.992,3,67.6666666666667,28.6666666666667,23.8,"Southern"
"226",2614,2872,2872,"SL","PC17Sp4",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,34.7,57.1,58.8,15,50,46,52,111,232,169,"PC17SP4",116504.556,3,170.666666666667,49.3333333333333,57.95,"Southern"
"227",3022,3022,3022,"CF","PC17Sp5",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,8,29,22,27,20,14,21,6,7,12,"PC17SP5",5104,5,8.33333333333333,18.3333333333333,25.5,"Southern"
"228",3023,3023,3023,"CF","PC17Sp6",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,8.5,12,8,19,38,25,39,29,21,6,"PC17SP6",816,5,18.6666666666667,34,10,"Southern"
"229",2617,2875,2875,"JG","PC17Sp7",2017,"Salix pulchra","Kluane","2020-08-19",8,19,2020,26.4,17.1,10.5,8,32,28,30,33,24,23,"PC17SP7",4740.12,3,26.6666666666667,30,13.8,"Southern"
"230",3050,3050,3050,"JG","PC17Sp8",2017,"Salix pulchra","Kluane","2022-08-16",8,17,2022,15.5,51,41,13,29,37,35,320,100,110,"PC17SP8",32410.5,5,176.666666666667,33.6666666666667,46,"Southern"
