"","Species","plant_tag_id","sample_id","date_sampled","site_id","sample_remarks","total_leaf_dry_mass_g","dried_leaf_sample_remarks","SLA","leaf_mass_per_area_g_m2","LDMC","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","rehydrated_leaf_sample_remarks","LA","leaf_fresh_mass_g","number_leaves","Site"
"120","Salix arctica","SARC3","139632634","2022-07-25","Qikiqtaruk","",0.6604,NA,13.1246214415506,76.1926737813672,294.427106553723,30.1414879050662,0.0176590712431497,2.243,NA,86.675,2.191,6,"Qikiqtaruk"
"121","Salix richardsonii","SRIC2","139721322","2022-07-26","Qikiqtaruk","",0.3613,NA,12.822861887628,77.9857108938246,283.372549019608,30.2596314907873,0.0179736234324073,1.275,NA,46.329,1.194,6,"Qikiqtaruk"
"122","Salix richardsonii","SRIC3","139721384","2022-07-26","Qikiqtaruk","",NA,NA,NA,NA,NA,NA,NA,1.457,NA,57.077,1.383,6,"Qikiqtaruk"
"123","Salix pulchra","SPUL1","139721537","2022-07-26","Qikiqtaruk","",0.4177,NA,12.2786689011252,81.4420527218843,335.232744783307,34.8083333333333,0.0152530806426455,1.246,NA,51.288,1.2,6,"Qikiqtaruk"
"124","Salix pulchra","SPUL2","139721606","2022-07-26","Qikiqtaruk","",0.2254,NA,12.9560780834073,77.183850974215,349.457364341085,36.4135702746365,0.0134780673218505,0.645,NA,29.203,0.619,6,"Qikiqtaruk"
"125","Salix pulchra","SPUL3","139721663","2022-07-26","Qikiqtaruk","",0.222,NA,13.572972972973,73.6758263639984,321.739130434783,33.2335329341317,0.0148015398911456,0.69,NA,30.132,0.668,6,"Qikiqtaruk"
"126","Salix arctica","","139632391","2022-07-25","Qikiqtaruk","",0.6489,NA,9.24487594390507,108.168028004667,300.555812876332,30.7389862624349,0.0243723953992332,2.159,NA,59.99,2.111,6,"Qikiqtaruk"
"127","Salix richardsonii","SRIC1","139721255","2022-07-26","Qikiqtaruk","",0.2335,NA,15.5254817987152,64.4102394350656,258.296460176991,28.756157635468,0.0159577402626062,0.904,NA,36.252,0.812,6,"Qikiqtaruk"
"128","Salix arctica","SARC5","140771564","2022-08-07","Qikiqtaruk","",0.2754,NA,13.6205519244735,73.4184639172509,269.471624266145,29.5810955961332,0.017477539921623,1.022,NA,37.511,0.931,6,"Qikiqtaruk"
"129","Salix richardsonii","SRIC6","140927589","2022-08-09","Qikiqtaruk","",0.1681,NA,14.0333135038667,71.2590080542603,239.458689458689,24.3976777939042,0.0220813904196693,0.702,NA,23.59,0.689,6,"Qikiqtaruk"
"130","Salix richardsonii","SRIC5","140927538","2022-08-09","Qikiqtaruk","",0.1213,NA,17.59604286892,56.8309595202399,229.734848484848,23.64522417154,0.0183517616191904,0.528,NA,21.344,0.513,6,"Qikiqtaruk"
"131","Salix richardsonii","SRIC4","140927512","2022-08-09","Qikiqtaruk","",0.1903,NA,13.7955859169732,72.4869538719384,242.729591836735,25.4072096128171,0.0212813773663962,0.784,NA,26.253,0.749,6,"Qikiqtaruk"
"132","Salix arctica","SARC4","140776428","2022-08-07","Qikiqtaruk","",0.2141,NA,14.5030359645026,68.9510804804998,311.644832605531,33.7697160883281,0.0135229139158159,0.687,NA,31.051,0.634,6,"Qikiqtaruk"
"133","Salix arctica","SARC6","140928190","2022-08-09","Qikiqtaruk","",0.3335,NA,17.2224887556222,58.0636175287707,257.131842713955,28.7005163511188,0.0144244998868325,1.297,NA,57.437,1.162,6,"Qikiqtaruk"
"134","Salix pulchra","SPUL4","140950010","2022-08-09","Qikiqtaruk","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225,6,"Qikiqtaruk"
"135","Salix pulchra","SPUL4","140950010","2022-08-09","Qikiqtaruk","",0.1242,NA,9.56843800322061,104.510265903736,526.271186440678,55.2,0.00848199259508583,0.236,NA,11.884,0.225,6,"Qikiqtaruk"
"136","Salix pulchra","SPUL5","141036992","2022-08-10","Qikiqtaruk","",0.1004,NA,15.4541832669323,64.7073988141274,309.876543209877,32.1794871794872,0.0136375354472802,0.324,NA,15.516,0.312,5,"Qikiqtaruk"
