"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"49","Salix richardsonii","HESR8",107251563,"2021-07-15",0.184,14.3358695652174,69.7550989460914,31.2393887945671,0.0153537038441125,0.617,26.378,0.589,"07","2021","196","Northern",0.298217179902755,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"50","Salix richardsonii","KLSRE10",107251609,"2021-07-15",0.484,13.0863636363636,76.4154220215353,35.8253145817913,0.0136884650604692,1.426,63.338,1.351,"07","2021","196","Southern",0.339410939691445,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"51","Salix pulchra","HESP12",107251655,"2021-07-15",0.151,14.7615894039735,67.7433826828174,37.1007371007371,0.0114849708389412,0.423,22.29,0.407,"07","2021","196","Northern",0.356973995271868,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"52","Salix pulchra","KP16SP59",107251839,"2021-07-15",0.242,11.445867768595,87.3677750099282,39.8026315789474,0.0132134734105924,0.629,27.699,0.608,"07","2021","196","Southern",0.384737678855326,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"53","Salix richardsonii","KLSRE11",107251889,"2021-07-15",0.54,12.9875925925926,76.9965636718806,33.9836375078666,0.0149572954244079,1.671,70.133,1.589,"07","2021","196","Southern",0.323159784560144,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"54","Salix richardsonii","KLSRE14",107251936,"2021-07-15",0.374,11.7355614973262,85.2110911120731,34.3434343434343,0.0162903556537787,1.143,43.891,1.089,"07","2021","196","Southern",0.327209098862642,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"55","Salix arctica","HE16SA7",107251975,"2021-07-15",0.179,12.3899441340782,80.710614122103,32.368896925859,0.0168635584813779,0.62,22.178,0.553,"07","2021","196","Northern",0.288709677419355,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"56","Salix arctica","KP17SA6",107252021,"2021-07-15",0.288,12.1708333333333,82.1636425881547,36.734693877551,0.0141504051124044,0.822,35.052,0.784,"07","2021","196","Southern",0.35036496350365,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"57","Salix richardsonii","KLSRC13",107252077,"2021-07-15",1.074,12.0776536312849,82.7975392016282,32.7439024390244,0.0170066453890868,3.447,129.714,3.28,"07","2021","196","Southern",0.311575282854656,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"58","Salix richardsonii","KP16SR58",107252154,"2021-07-15",0.524,11.9950381679389,83.367804753874,32.2461538461538,0.0175167849301556,1.751,62.854,1.625,"07","2021","196","Southern",0.299257567104512,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
