"","Species","plant_tag_id","sample_id","date_sampled","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","month","year","DOY","population","LDMC_g_g","Site","site_id","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"129","Salix pulchra","HERSP29",137058430,"2022-06-25",0.103,16.2631067961165,61.4888663363381,29.0140845070423,0.0150438779774342,0.4,16.751,0.355,"06","2022","176","Northern",0.2575,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"130","Salix pulchra","KLSPC13",137058520,"2022-06-25",0.237,11.3392405063291,88.1893279749944,39.5,0.0135074793480688,0.655,26.874,0.6,"06","2022","176","Southern",0.361832061068702,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"131","Salix pulchra","KP16SP33",137058598,"2022-06-25",0.208,12.8899038461538,77.5800977210846,34.0983606557377,0.0149938458095558,0.645,26.811,0.61,"06","2022","176","Southern",0.322480620155039,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"132","Salix arctica","H15SA10",137058669,"2022-06-25",0.385,10.0987012987013,99.022633744856,33.5365853658537,0.0196244855967078,1.24,38.88,1.148,"06","2022","176","Northern",0.310483870967742,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"133","Salix arctica","H15SA12",137058742,"2022-06-25",0.347,9.38616714697406,106.539760515812,29.8366294067068,0.0250537304267731,1.25,32.57,1.163,"06","2022","176","Northern",0.2776,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"134","Salix arctica","K15PSA2",137058910,"2022-06-25",0.481,9.73825363825364,102.687816229372,34.113475177305,0.0198330522405585,1.497,46.841,1.41,"06","2022","176","Southern",0.321309285237141,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"135","Salix arctica","K15PSA7",137059001,"2022-06-25",0.767,9.27314211212516,107.838312829525,35.0228310502283,0.0200070298769772,2.24,71.125,2.19,"06","2022","176","Southern",0.342410714285714,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"136","Salix arctica","K15PSA9",137059095,"2022-06-25",1.001,10.087012987013,99.1373760782799,32.1864951768489,0.0208871854294798,3.321,100.971,3.11,"06","2022","176","Southern",0.301415236374586,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"137","Salix arctica","H17SA18",137059182,"2022-06-25",0.402,10.8067164179104,92.5350459222429,31.6535433070866,0.0199802039453997,1.383,43.443,1.27,"06","2022","176","Northern",0.290672451193059,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"138","Salix arctica","H17SA20",137059251,"2022-06-25",0.781,10.164404609475,98.3825456011287,29.4716981132076,0.0235437871611408,2.807,79.384,2.65,"06","2022","176","Northern",0.278232988956181,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"139","Salix richardsonii","KP16SR58",137059314,"2022-06-25",0.482,12.3265560165975,81.1256606187094,30.125,0.0188171138115596,1.791,59.414,1.6,"06","2022","176","Southern",0.269123394751535,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"140","Salix richardsonii","H17SR35",137059383,"2022-06-25",0.219,12.1461187214612,82.3308270676692,28.8157894736842,0.0203383458646617,0.826,26.6,0.76,"06","2022","176","Northern",0.265133171912833,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"141","Salix richardsonii","KLSRE4",137059469,"2022-06-25",0.606,12.6310231023102,79.1701505016722,35.626102292769,0.0143054974916388,1.91,76.544,1.701,"06","2022","176","Southern",0.317277486910995,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"142","Salix pulchra","KLSPE6",137059569,"2022-06-25",0.598,10.1638795986622,98.387627509049,37.8481012658228,0.0161566304705495,1.634,60.78,1.58,"06","2022","176","Southern",0.365973072215422,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"143","Salix arctica","K15PSA12",137059659,"2022-06-25",0.554,10.0664259927798,99.3401233682399,33.3734939759036,0.0198321618132262,1.806,55.768,1.66,"06","2022","176","Southern",0.306755260243632,"Common_garden",NA,NA,NA,NA,NA,NA,NA,NA
"144","Salix pulchra","KP5-2021-SAPU",105500231,"2021-06-25",NA,19.5752895752896,51.0848126232742,27.2918861959958,0.0136094674556213,0.988,5070,0.949,NA,"2021","176","source",0.262145748987854,"Kluane","KP_mid",259,NA,NA,NA,NA,NA,NA
"145","Salix richardsonii","KP5-2021-SARI",105500938,"2021-06-25",NA,18.6760416666667,53.5445367839813,26.5376641326883,0.0148223548441073,1.555,7171.6,1.447,NA,"2021","176","source",0.246945337620579,"Kluane","KP_mid",384,NA,NA,NA,NA,NA,NA
"146","Salix richardsonii","KP3-2021-SARI",105501123,"2021-06-25",NA,23.9904929577465,41.6831784891316,22.2048475371384,0.0146037896467204,1.32,6813.3,1.279,NA,"2021","176","source",0.215151515151515,"Kluane","KP_mid",284,NA,NA,NA,NA,NA,NA
"147","Salix pulchra","KP3-2021-SAPU",105501233,"2021-06-25",NA,20.7248322147651,48.2512953367876,24.7097844112769,0.0147020725388601,0.614,3088,0.603,NA,"2021","176","source",0.242671009771987,"Kluane","KP_mid",149,NA,NA,NA,NA,NA,NA
"148","Salix pulchra","KP9-2021-SAPU",105501373,"2021-06-25",NA,22.5017699115044,44.4409485979471,25.0554323725055,0.0132929563062886,0.454,2542.7,0.451,NA,"2021","176","source",0.248898678414097,"Kluane","KP_mid",113,NA,NA,NA,NA,NA,NA
"149","Salix richardsonii","KP9-2021-SARI",105501502,"2021-06-25",NA,20.146394984326,49.6366720089626,24.0573152337858,0.0156690058661522,1.386,6426.7,1.326,NA,"2021","176","source",0.23015873015873,"Kluane","KP_mid",319,NA,NA,NA,NA,NA,NA
"150","Salix richardsonii","KP7-2021-SARI-2",105510746,"2021-06-25",NA,23.3665369649805,42.7962432558449,20.5929487179487,0.0165023646173316,1.272,6005.2,1.248,NA,"2021","176","source",0.202044025157233,"Kluane","KP_low",257,NA,NA,NA,NA,NA,NA
"151","Salix pulchra","KP2-2021-SAPU",105510871,"2021-06-25",NA,17.4877022653722,57.1830412495142,29.4005708848716,0.0137313322353202,1.086,5403.7,1.051,NA,"2021","176","source",0.284530386740332,"Kluane","KP_low",309,NA,NA,NA,NA,NA,NA
"152","Salix richardsonii","KP2-2021-SARI",105510983,"2021-06-25",NA,18.5632323232323,53.8699286087411,26.0526315789474,0.0152903534737942,2.097,9188.8,1.9,NA,"2021","176","source",0.236051502145923,"Kluane","KP_low",495,NA,NA,NA,NA,NA,NA
"153","Salix pulchra","KP1-2021-SAPU-1",105516629,"2021-06-25",NA,19.903488372093,50.2424490272828,28.1505728314239,0.0128235087924286,0.625,3423.4,0.611,NA,"2021","176","source",0.2752,"Kluane","KP_low",172,NA,NA,NA,NA,NA,NA
"154","Salix pulchra","KP1-2021-SAPU-2",105516733,"2021-06-25",NA,20.9542857142857,47.7229342787019,23.3022636484687,0.0157076629397328,0.77,3667,0.751,NA,"2021","176","source",0.227272727272727,"Kluane","KP_low",175,NA,NA,NA,NA,NA,NA
"155","Salix richardsonii","KP7-2021-SARI-1",105516878,"2021-06-25",NA,20.4673796791444,48.8582327428542,23.0012300123001,0.0163557506401212,1.672,7654.8,1.626,NA,"2021","176","source",0.223684210526316,"Kluane","KP_low",374,NA,NA,NA,NA,NA,NA
"156","Salix pulchra","KP4-2021-SAPU",105523122,"2021-06-25",NA,21.4986577181208,46.5145318889895,24.1100323624595,0.0146411513127088,0.654,3203.3,0.618,NA,"2021","176","source",0.22782874617737,"Kluane","KP_high",149,NA,NA,NA,NA,NA,NA
"157","Salix richardsonii","KP8-2021-SARI-2",105523254,"2021-06-25",NA,22.7507853403141,43.9545266258572,21.1986681465039,0.0163391172274129,0.917,4345.4,0.901,NA,"2021","176","source",0.208287895310796,"Kluane","KP_high",191,NA,NA,NA,NA,NA,NA
"158","Salix richardsonii","KP8-2021-SARI-1",105523386,"2021-06-25",NA,20.5364016736402,48.6940222484821,22.2325581395349,0.0170327207530256,1.119,4908.2,1.075,NA,"2021","176","source",0.213583556747096,"Kluane","KP_high",239,NA,NA,NA,NA,NA,NA
"159","Salix richardsonii","KP4-2021-SARI",105523539,"2021-06-25",NA,20.5741525423729,48.6046751106992,22.3062381852552,0.0169292554834724,1.07,4855.5,1.058,NA,"2021","176","source",0.220560747663551,"Kluane","KP_high",236,NA,NA,NA,NA,NA,NA
"160","Salix richardsonii","KP6-2021-SARI-2",105523668,"2021-06-25",NA,20.8785714285714,47.8959972630859,21.7898832684825,0.0171912418747862,1.04,4676.8,1.028,NA,"2021","176","source",0.215384615384615,"Kluane","KP_high",224,NA,NA,NA,NA,NA,NA
"161","Salix richardsonii","KP6-2021-SARI-1",105523789,"2021-06-25",NA,20.6335714285714,48.4647073077855,21.3740458015267,0.0178280887596497,1.342,5777.4,1.31,NA,"2021","176","source",0.208643815201192,"Kluane","KP_high",280,NA,NA,NA,NA,NA,NA
"162","Salix arctica","KP-ALP-SAAR1",106364431,"2021-07-05",NA,16.2395973154362,61.5778815555647,27.115559599636,0.0165516386328884,1.165,4839.4,1.099,NA,"2021","186","source",0.255793991416309,"Kluane","KP_alpine",298,NA,NA,NA,NA,NA,NA
"163","Salix richardsonii","KP-ALP-SARI1",106364470,"2021-07-05",NA,23.5374193548387,42.485541210975,24.3328100470958,0.0132116328152838,0.693,3648.3,0.637,NA,"2021","186","source",0.223665223665224,"Kluane","KP_alpine",155,NA,NA,NA,NA,NA,NA
"164","Salix arctica","KP-ALP-SAAR2",106364506,"2021-07-05",NA,18.1751322751323,55.0202323076475,23.4782608695652,0.0179325201595296,0.829,3435.1,0.805,NA,"2021","186","source",0.227985524728589,"Kluane","KP_alpine",189,NA,NA,NA,NA,NA,NA
"165","Salix richardsonii","KP-ALP-SARI2",106364529,"2021-07-05",NA,20.4802955665025,48.8274203247144,24.7259439707674,0.0148647023451593,0.887,4157.5,0.821,NA,"2021","186","source",0.228861330326945,"Kluane","KP_alpine",203,NA,NA,NA,NA,NA,NA
"166","Salix arctica","KP-ALP-SAAR3",106364556,"2021-07-05",NA,19.3154017857143,51.7721562871968,24.2818428184282,0.0161441299850924,1.868,8653.3,1.845,NA,"2021","186","source",0.23982869379015,"Kluane","KP_alpine",448,NA,NA,NA,NA,NA,NA
"167","Salix richardsonii","KP-ALP-SARI3",106364575,"2021-07-05",NA,16.0605263157895,62.2644601015894,26.2295081967213,0.017511879403572,1.233,4882.4,1.159,NA,"2021","186","source",0.246553122465531,"Kluane","KP_alpine",304,NA,NA,NA,NA,NA,NA
"168","Salix pulchra","KP4-2021-SAPU",106381694,"2021-07-05",NA,14.6013966480447,68.486599200352,33.489242282507,0.0136016681652096,2.263,10454.6,2.138,NA,"2021","186","source",0.316394167034909,"Kluane","KP_high",716,NA,NA,NA,NA,NA,NA
"169","Salix richardsonii","KP6-2021-SARI-2",106381730,"2021-07-05",NA,22.8206214689266,43.8200160920963,25.2857142857143,0.0129479482577211,1.583,8078.5,1.4,NA,"2021","186","source",0.223626026531901,"Kluane","KP_high",354,NA,NA,NA,NA,NA,NA
"170","Salix richardsonii","KP6-2021-SARI-1",106381773,"2021-07-05",NA,20.2637809187279,49.3491320307255,24.9889624724062,0.0148134585371383,2.509,11469.3,2.265,NA,"2021","186","source",0.225587883618972,"Kluane","KP_high",566,NA,NA,NA,NA,NA,NA
"171","Salix richardsonii","KP8-2021-SARI-2",106381796,"2021-07-05",NA,18.5508021390374,53.9060247910061,28.695652173913,0.0133948304026136,2.187,10407,1.955,NA,"2021","186","source",0.256515775034294,"Kluane","KP_high",561,NA,NA,NA,NA,NA,NA
"172","Salix richardsonii","KP8-2021-SARI-1",106381846,"2021-07-05",NA,15.8306226175349,63.1687094159102,28.1775868242034,0.0161011983593794,3.102,12458.7,2.793,NA,"2021","186","source",0.253707285622179,"Kluane","KP_high",787,NA,NA,NA,NA,NA,NA
"173","Salix richardsonii","KP4-2021-SARI",106381873,"2021-07-05",NA,16.263539445629,61.4872305836698,28.7377450980392,0.0152472599507053,1.833,7627.6,1.632,NA,"2021","186","source",0.255864702673213,"Kluane","KP_high",469,NA,NA,NA,NA,NA,NA
"174","Salix pulchra","KP3-2021-SAPU",106381902,"2021-07-05",NA,16.3967914438503,60.9875415824147,30.7565789473684,0.0137303502706934,1.246,6132.4,1.216,NA,"2021","186","source",0.30016051364366,"Kluane","KP_mid",374,NA,NA,NA,NA,NA,NA
"175","Salix richardsonii","KP3-2021-SARI",106382017,"2021-07-05",NA,14.993916755603,66.6937142775797,27.9284649776453,0.0172108218914821,3.476,14049.3,3.355,NA,"2021","186","source",0.269562715765247,"Kluane","KP_mid",937,NA,NA,NA,NA,NA,NA
"176","Salix pulchra","KP5-2021-SAPU",106382038,"2021-07-05",NA,15.572745490982,64.2147526638184,32.4658425504229,0.0133576980491069,1.594,7770.8,1.537,NA,"2021","186","source",0.313048933500627,"Kluane","KP_mid",499,NA,NA,NA,NA,NA,NA
"177","Salix richardsonii","KP5-2021-SARI",106382062,"2021-07-05",NA,14.916338028169,67.0405831586501,30.1230377598642,0.0155515268256756,2.531,10590.6,2.357,NA,"2021","186","source",0.280521532990913,"Kluane","KP_mid",710,NA,NA,NA,NA,NA,NA
"178","Salix richardsonii","KP9-2021-SARI",106382085,"2021-07-05",NA,13.1804,75.8702315559467,30.8896210873147,0.0169746998067838,2.574,9885.3,2.428,NA,"2021","186","source",0.291375291375291,"Kluane","KP_mid",750,NA,NA,NA,NA,NA,NA
"179","Salix pulchra","KP9-2021-SAPU",106382104,"2021-07-05",NA,NA,NA,NA,NA,NA,NA,0.952,NA,"2021","186","source",NA,"Kluane","KP_mid",NA,NA,NA,NA,NA,NA,NA
"180","Salix pulchra","KP1-2021-SAPU-2",106382127,"2021-07-05",NA,15.3254512635379,65.250933418136,32.1718931475029,0.0137568754932099,1.746,8490.3,1.722,NA,"2021","186","source",0.31729667812142,"Kluane","KP_low",554,NA,NA,NA,NA,NA,NA
"181","Salix richardsonii","KP2-2021-SARI",106382266,"2021-07-05",NA,14.0203539823009,71.3248753392666,32.209026128266,0.0150118874792232,2.29,9505.8,2.105,NA,"2021","186","source",0.296069868995633,"Kluane","KP_low",678,NA,NA,NA,NA,NA,NA
"182","Salix pulchra","KP2-2021-SAPU",106382289,"2021-07-05",NA,12.3850828729282,80.7422937948878,39.2057761732852,0.0125202599217855,1.466,6725.1,1.385,NA,"2021","186","source",0.370395634379263,"Kluane","KP_low",543,NA,NA,NA,NA,NA,NA
"183","Salix richardsonii","KP7-2021-SARI-1",106382317,"2021-07-05",NA,16.3035511363636,61.3363304494803,30.3056392595781,0.0141056134939927,2.507,11477.7,2.323,NA,"2021","186","source",0.280813721579577,"Kluane","KP_low",704,NA,NA,NA,NA,NA,NA
"184","Salix richardsonii","KP7-2021-SARI-2",106382343,"2021-07-05",NA,13.8803361344538,72.0443647987601,31.4648334214701,0.0156923523998644,2.153,8258.8,1.891,NA,"2021","186","source",0.276358569437994,"Kluane","KP_low",595,NA,NA,NA,NA,NA,NA
"185","Salix pulchra","KP1-2021-SAPU-1",106382373,"2021-07-05",NA,16.9629343629344,58.9520644603269,33.0779054916986,0.0119269813811627,0.815,4393.4,0.783,NA,"2021","186","source",0.317791411042945,"Kluane","KP_low",259,NA,NA,NA,NA,NA,NA
"186","Salix pulchra","KP6-2021-SAPU",106482783,"2021-07-06",NA,16.9619565217391,58.9554629926306,33.0935251798561,0.0119192566485101,1.208,6242,1.112,NA,"2021","187","source",0.304635761589404,"Kluane","KP_high",368,NA,NA,NA,NA,NA,NA
"187","Salix richardsonii","KP7-2021-SARI-1",107572254,"2021-07-19",NA,10.588534107402,94.4417791789459,35.8294331773271,0.0169145363580289,1.956,7295.5,1.923,NA,"2021","200","source",0.352249488752556,"Kluane","KP_low",689,NA,NA,NA,NA,NA,NA
"188","Salix pulchra","KP2-2021-SAPU",107572296,"2021-07-19",NA,10.5001879699248,95.2363903259877,40.3030303030303,0.0141064427776087,1.357,5586.1,1.32,NA,"2021","200","source",0.392041267501842,"Kluane","KP_low",532,NA,NA,NA,NA,NA,NA
"189","Salix pulchra","KP1-2021-SAPU-1",107572335,"2021-07-19",NA,11.2892561983471,88.5797950219619,39.5424836601307,0.0135431918008785,1.252,5464,1.224,NA,"2021","200","source",0.386581469648562,"Kluane","KP_low",484,NA,NA,NA,NA,NA,NA
"190","Salix pulchra","KP1-2021-SAPU-2",107572361,"2021-07-19",NA,11.8799011532125,84.1757845543676,38.985228002569,0.0131741343207,1.617,7211.1,1.557,NA,"2021","200","source",0.375386518243661,"Kluane","KP_low",607,NA,NA,NA,NA,NA,NA
"191","Salix richardsonii","KP2-2021-SARI",107572388,"2021-07-19",NA,10.80112,92.5829913934851,35.2708803611738,0.0169908305805324,1.832,6750.7,1.772,NA,"2021","200","source",0.341157205240175,"Kluane","KP_low",625,NA,NA,NA,NA,NA,NA
"192","Salix richardsonii","KP7-2021-SARI-2",107572415,"2021-07-19",NA,10.5035182679296,95.2061942000232,34.6135831381733,0.0179848236946187,2.206,7762.1,2.135,NA,"2021","200","source",0.334995466908432,"Kluane","KP_low",739,NA,NA,NA,NA,NA,NA
"193","Salix pulchra","KP3-2021-SAPU",107572453,"2021-07-19",NA,10.7559585492228,92.9717231080495,39.5762132604238,0.0141946464987074,1.52,6227.7,1.463,NA,"2021","200","source",0.380921052631579,"Kluane","KP_mid",579,NA,NA,NA,NA,NA,NA
"194","Salix richardsonii","KP3-2021-SARI",107572488,"2021-07-19",NA,11.1458123107972,89.7197953917885,35.0052984811021,0.0166583676610384,2.946,11045.5,2.831,NA,"2021","200","source",0.336388323150034,"Kluane","KP_mid",991,NA,NA,NA,NA,NA,NA
"195","Salix pulchra","KP5-2021-SAPU",107572532,"2021-07-19",NA,11.9189504373178,83.9000048921286,36.5282215122471,0.0145785431241133,1.917,8176.4,1.878,NA,"2021","200","source",0.357850808555034,"Kluane","KP_mid",686,NA,NA,NA,NA,NA,NA
"196","Salix richardsonii","KP5-2021-SARI",107572569,"2021-07-19",NA,11.3749336870027,87.91260041741,34.6666666666667,0.0165681439248196,2.24,8576.7,2.175,NA,"2021","200","source",0.336607142857143,"Kluane","KP_mid",754,NA,NA,NA,NA,NA,NA
"197","Salix pulchra","KP9-2021-SAPU",107572592,"2021-07-19",NA,13.2205962059621,75.6395539521154,38.801261829653,0.0119301410298458,0.986,4878.4,0.951,NA,"2021","200","source",0.374239350912779,"Kluane","KP_mid",369,NA,NA,NA,NA,NA,NA
"198","Salix richardsonii","KP9-2021-SARI",107572621,"2021-07-19",NA,10.3364306784661,96.745194845964,36.5301724137931,0.0168091208744167,1.941,7008.1,1.856,NA,"2021","200","source",0.349304482225657,"Kluane","KP_mid",678,NA,NA,NA,NA,NA,NA
"199","Salix richardsonii","KP4-2021-SARI",107572678,"2021-07-19",NA,9.80134730538922,102.026789669024,33.2835077229696,0.0204511783483268,2.126,6547.3,2.007,NA,"2021","200","source",0.314205079962371,"Kluane","KP_high",668,NA,NA,NA,NA,NA,NA
"200","Salix pulchra","KP4-2021-SAPU",107572700,"2021-07-19",NA,11.5676998368679,86.4476096460302,38.8959390862944,0.0135805951205754,1.578,7091,1.576,NA,"2021","200","source",0.388466413181242,"Kluane","KP_high",613,NA,NA,NA,NA,NA,NA
"201","Salix richardsonii","KP6-2021-SARI-2",107572722,"2021-07-19",NA,13.8338624338624,72.2863917998929,31.6936836221353,0.0155791835589893,1.867,7843.8,1.789,NA,"2021","200","source",0.303695768612748,"Kluane","KP_high",567,NA,NA,NA,NA,NA,NA
"202","Salix richardsonii","KP6-2021-SARI-1",107572748,"2021-07-19",NA,14.6262948207171,68.3700152538679,30.0418910831837,0.0159212246676836,1.701,7342.4,1.671,NA,"2021","200","source",0.29512051734274,"Kluane","KP_high",502,NA,NA,NA,NA,NA,NA
"203","Salix pulchra","KP6-2021-SAPU",107572784,"2021-07-19",NA,12.3343195266272,81.074598224994,37.5555555555556,0.0134804509474694,1.381,6253.5,1.35,NA,"2021","200","source",0.367125271542361,"Kluane","KP_high",507,NA,NA,NA,NA,NA,NA
"204","Salix richardsonii","KP8-2021-SARI-1",107572830,"2021-07-19",NA,10.8723333333333,91.9765766318178,32.4558240173098,0.0191413475590439,2.857,9785.1,2.773,NA,"2021","200","source",0.315015750787539,"Kluane","KP_high",900,NA,NA,NA,NA,NA,NA
"205","Salix richardsonii","KP8-2021-SARI-2",107572855,"2021-07-19",NA,10.7296851574213,93.1993796023307,35.3283898305085,0.0170609359062138,2.014,7156.7,1.888,NA,"2021","200","source",0.331181727904667,"Kluane","KP_high",667,NA,NA,NA,NA,NA,NA
"206","Salix arctica","KP-ALP-SAAR1",107572873,"2021-07-19",NA,11.7053050397878,85.4313489995241,32.0851063829787,0.0180833465521539,1.196,4412.9,1.175,NA,"2021","200","source",0.315217391304348,"Kluane","KP_alpine",377,NA,NA,NA,NA,NA,NA
"207","Salix richardsonii","KP-ALP-SARI1",107572895,"2021-07-19",NA,16.0073800738007,62.4711848778239,28.4663865546219,0.0156984785615491,0.958,4338,0.952,NA,"2021","200","source",0.282881002087683,"Kluane","KP_alpine",271,NA,NA,NA,NA,NA,NA
"208","Salix arctica","KP-ALP-SAAR2",107572917,"2021-07-19",NA,13.6334190231362,73.349172229136,28.9219330855019,0.0180261718897311,1.397,5303.4,1.345,NA,"2021","200","source",0.278453829634932,"Kluane","KP_alpine",389,NA,NA,NA,NA,NA,NA
"209","Salix richardsonii","KP-ALP-SARI2",107572939,"2021-07-19",NA,15.1079096045198,66.1904939979806,28.0729579698652,0.016958976852025,1.267,5348.2,1.261,NA,"2021","200","source",0.279400157853197,"Kluane","KP_alpine",354,NA,NA,NA,NA,NA,NA
"210","Salix arctica","KP-ALP-SAAR3",107572966,"2021-07-19",NA,11.7888888888889,84.8256361922714,34.4846195358878,0.0161155434017868,1.888,7533.1,1.853,NA,"2021","200","source",0.338453389830508,"Kluane","KP_alpine",639,NA,NA,NA,NA,NA,NA
"211","Salix richardsonii","KP-ALP-SARI3",107572986,"2021-07-19",NA,11.7484337349398,85.1177291000082,30.8550185873606,0.0190745754368693,1.375,4875.6,1.345,NA,"2021","200","source",0.301818181818182,"Kluane","KP_alpine",415,NA,NA,NA,NA,NA,NA
"212","Salix arctica","SARC2",139632532,"2022-07-25",NA,12,83.3333333333333,33.6231884057971,0.0164511494252874,1.742,6681.6,1.656,NA,"2022","206","source",0.31963260619977,"Qikiqtaruk","Qikiqtaruk",556.8,NA,NA,NA,NA,NA,NA
"213","Salix arctica","SARC3",139632634,"2022-07-25",NA,13.1246214415506,76.1926737813672,30.1414879050662,0.0176590712431497,2.243,8667.5,2.191,NA,"2022","206","source",0.294427106553723,"Qikiqtaruk","Qikiqtaruk",660.4,NA,NA,NA,NA,NA,NA
"214","Salix richardsonii","SRIC2",139721322,"2022-07-26",NA,12.822861887628,77.9857108938246,30.2596314907873,0.0179736234324073,1.275,4632.9,1.194,NA,"2022","207","source",0.283372549019608,"Qikiqtaruk","Qikiqtaruk",361.3,NA,NA,NA,NA,NA,NA
"215","Salix richardsonii","SRIC3",139721384,"2022-07-26",NA,NA,NA,NA,NA,1.457,5707.7,1.383,NA,"2022","207","source",NA,"Qikiqtaruk","Qikiqtaruk",NA,NA,NA,NA,NA,NA,NA
"216","Salix pulchra","SPUL1",139721537,"2022-07-26",NA,12.2786689011252,81.4420527218843,34.8083333333333,0.0152530806426455,1.246,5128.8,1.2,NA,"2022","207","source",0.335232744783307,"Qikiqtaruk","Qikiqtaruk",417.7,NA,NA,NA,NA,NA,NA
"217","Salix pulchra","SPUL2",139721606,"2022-07-26",NA,12.9560780834073,77.183850974215,36.4135702746365,0.0134780673218505,0.645,2920.3,0.619,NA,"2022","207","source",0.349457364341085,"Qikiqtaruk","Qikiqtaruk",225.4,NA,NA,NA,NA,NA,NA
"218","Salix pulchra","SPUL3",139721663,"2022-07-26",NA,13.572972972973,73.6758263639984,33.2335329341317,0.0148015398911456,0.69,3013.2,0.668,NA,"2022","207","source",0.321739130434783,"Qikiqtaruk","Qikiqtaruk",222,NA,NA,NA,NA,NA,NA
"219","Salix arctica","",139632391,"2022-07-25",NA,9.24487594390507,108.168028004667,30.7389862624349,0.0243723953992332,2.159,5999,2.111,NA,"2022","206","source",0.300555812876332,"Qikiqtaruk","Qikiqtaruk",648.9,NA,NA,NA,NA,NA,NA
"220","Salix richardsonii","SRIC1",139721255,"2022-07-26",NA,15.5254817987152,64.4102394350656,28.756157635468,0.0159577402626062,0.904,3625.2,0.812,NA,"2022","207","source",0.258296460176991,"Qikiqtaruk","Qikiqtaruk",233.5,NA,NA,NA,NA,NA,NA
"221","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","188","source",NA,"Kluane","",NA,NA,61.10549,-138.6618,1693,"07-Jul",7
"222","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","188","source",NA,"Kluane","",NA,NA,61.10549,-138.6618,1693,"07-Jul",7
"223","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","188","source",NA,"Kluane","",NA,NA,61.10549,-138.6618,1693,"07-Jul",7
"224","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","188","source",NA,"Kluane","",NA,NA,61.10549,-138.6618,1693,"07-Jul",7
"225","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","188","source",NA,"Kluane","",10,NA,61.10549,-138.6618,1693,"07-Jul",7
"226","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","189","source",NA,"Kluane","",25,NA,61.10549,-138.6618,1693,"08-Jul",7
"227","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","189","source",NA,"Kluane","",30,NA,61.10549,-138.6618,1693,"08-Jul",7
"228","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","189","source",NA,"Kluane","",25,NA,61.10549,-138.6618,1693,"08-Jul",7
"229","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","189","source",NA,"Kluane","",30,NA,61.10549,-138.6618,1693,"08-Jul",7
"230","Salix arctica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2014","189","source",NA,"Kluane","",5,NA,61.10549,-138.6618,1693,"08-Jul",7
"231","Salix arctica",NA,NA,NA,NA,13.93,NA,NA,NA,NA,96,NA,NA,"2014","July","source",NA,"Kluane","",7,NA,61.10549,-138.6618,1693,"Jul",7
"232","Salix arctica",NA,NA,NA,NA,14.67,NA,NA,NA,NA,127,NA,NA,"2014","July","source",NA,"Kluane","",9,NA,61.10549,-138.6618,1693,"Jul",7
"233","Salix arctica",NA,NA,NA,NA,12.8,NA,NA,NA,NA,54,NA,NA,"2014","July","source",NA,"Kluane","",5,NA,61.10549,-138.6618,1693,"Jul",7
"234","Salix arctica",NA,NA,NA,NA,12.85,NA,NA,NA,NA,85,NA,NA,"2014","July","source",NA,"Kluane","",6.5,NA,61.10549,-138.6618,1693,"Jul",7
"235","Salix arctica",NA,NA,NA,NA,12.3,NA,NA,NA,NA,134,NA,NA,"2014","July","source",NA,"Kluane","",11.5,NA,61.10549,-138.6618,1693,"Jul",7
"236","Salix arctica",NA,NA,NA,NA,13.05,NA,NA,NA,NA,480,NA,NA,"2014","July","source",NA,"Kluane","",31,NA,61.10549,-138.6618,1693,"Jul",7
