"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"1",255,255,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA1",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",256,256,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",3.4,NA,NA,NA,30,22,17,31,10,16,"H15SA10",NA,"2",19,23,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",257,257,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.9,NA,NA,NA,NA,NA,NA,26,NA,NA,"H15SA11",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",258,258,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.7,NA,NA,NA,18,13,17,12,12,NA,"H15SA12",NA,"2",NA,16,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",259,259,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA13",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",260,260,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",2,NA,NA,NA,22,14,NA,8,5,4,"H15SA14",NA,"2",5.66666666666667,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",261,261,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.3,NA,NA,NA,NA,NA,NA,21,11,NA,"H15SA15",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",262,262,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA16",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",263,263,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA17",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",264,264,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",2.5,NA,NA,NA,14,14,13,10,8,12,"H15SA18",NA,"2",10,13.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",265,265,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.6,NA,NA,NA,9,7,11,17,5,NA,"H15SA19",NA,"2",NA,9,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",266,266,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA2",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",267,267,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.1,NA,NA,NA,12,11,NA,10,11,NA,"H15SA20",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",268,268,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",1.4,NA,NA,NA,28,26,11,20,15,NA,"H15SA3",NA,"2",NA,21.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",269,269,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA4",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",270,270,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",0.7,NA,NA,NA,NA,NA,NA,4,NA,NA,"H15SA5",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",271,271,"JB",2015,"Salix arctica","Common_garden",NA,8,14,"2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA6",NA,"2",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
