"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"22","LB","HESr3",2013,"Salix richardsonii","Qikiqtaruk","2015",NA,NA,NA,NA,8,6,9,NA,NA,NA,"HESR3",NA,2,7.66666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","LB","HESr4",2013,"Salix richardsonii","Qikiqtaruk","2015",NA,NA,NA,NA,9,14,9,NA,NA,NA,"HESR4",NA,2,10.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","SW","HESr6",2013,"Salix richardsonii","Qikiqtaruk","2015",NA,NA,NA,NA,14,13,13,NA,NA,NA,"HESR6",NA,2,13.3333333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","SW","HESr7",2013,"Salix richardsonii","Qikiqtaruk","2015",NA,NA,NA,NA,9,9,11,NA,NA,NA,"HESR7",NA,2,9.66666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","SW","HESr8",2013,"Salix richardsonii","Qikiqtaruk","2015",NA,NA,NA,NA,12,12,23,NA,NA,NA,"HESR8",NA,2,15.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","IMS","KLSPC1",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,12,17,10,NA,NA,NA,"KLSPC1",NA,2,13,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","MG","KLSPC10",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,21,19,19,NA,NA,NA,"KLSPC10",NA,2,19.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AB","KLSPC12",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPC12",NA,2,11,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","AB","KLSPC13",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,25,18,14,NA,NA,NA,"KLSPC13",NA,2,19,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","IMS","KLSPC3",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,17,12,10,NA,NA,NA,"KLSPC3",NA,2,13,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","MG","KLSPC8",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,25,27,12,NA,NA,NA,"KLSPC8",NA,2,21.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MG","KLSPC9",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,13,14,16,NA,NA,NA,"KLSPC9",NA,2,14.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","IMS","KLSpE1",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,8,11,10,NA,NA,NA,"KLSPE1",NA,2,9.66666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","CF","KLSpE10",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,13,14,15,NA,NA,NA,"KLSPE10",NA,2,14,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MG","KLSpE11",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,18,11,10,NA,NA,NA,"KLSPE11",NA,2,13,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","MG","KLSpE12",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,15,10,11,NA,NA,NA,"KLSPE12",NA,2,12,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","MG","KLSpE13",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,6,10,5,NA,NA,NA,"KLSPE13",NA,2,7,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","MG","KLSpE14",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSPE14",NA,2,15,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","MG","KLSpE15",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,26,15,15,NA,NA,NA,"KLSPE15",NA,2,18.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","IMS","KLSpE2",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,31,24,21,NA,NA,NA,"KLSPE2",NA,2,25.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","IMS","KLSpE4",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,5,5,NA,NA,NA,NA,"KLSPE4",NA,2,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","IMS","KLSpE5",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,11,9,13,NA,NA,NA,"KLSPE5",NA,2,11,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CF","KLSpE6",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,17,15,12,NA,NA,NA,"KLSPE6",NA,2,14.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CF","KLSpE7",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,7,6,8,NA,NA,NA,"KLSPE7",NA,2,7,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CF","KLSpE8",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,12,11,10,NA,NA,NA,"KLSPE8",NA,2,11,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CF","KLSpE9",2013,"Salix pulchra","Kluane","2015",NA,NA,NA,NA,19,20,23,NA,NA,NA,"KLSPE9",NA,2,20.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","IR","KLSrC10",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,10,10,9,NA,NA,NA,"KLSRC10",NA,2,9.66666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","LB","KLSrC2",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,22,14,15,NA,NA,NA,"KLSRC2",NA,2,17,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","IR","KLSrC6",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,11,15,15,NA,NA,NA,"KLSRC6",NA,2,13.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","SW","KLSrE10",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,15,13,13,NA,NA,NA,"KLSRE10",NA,2,13.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IR","KLSrE11",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,13,15,10,NA,NA,NA,"KLSRE11",NA,2,12.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IR","KLSrE13",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,13,15,14,NA,NA,NA,"KLSRE13",NA,2,14,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IR","KLSrE14",2013,"Salix richardsonii","Kluane","2015",NA,NA,NA,NA,16,17,8,NA,NA,NA,"KLSRE14",NA,2,13.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
