"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"527","IR","KLSrC7",2013,"Salix richardsonii","Kluane","2017",82,NA,NA,NA,31,32,30,175,240,220,"KLSRC7",NA,4,31,211.666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","SW","KLSrE10",2013,"Salix richardsonii","Kluane","2017",102,NA,NA,NA,66,55,55,505,390,375,"KLSRE10",NA,4,58.6666666666667,423.333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","IR","KLSrE11",2013,"Salix richardsonii","Kluane","2017",68,NA,NA,NA,57,53,58,310,300,315,"KLSRE11",NA,4,56,308.333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530","IR","KLSrE13",2013,"Salix richardsonii","Kluane","2017",64,NA,NA,NA,45,43,41,235,275,335,"KLSRE13",NA,4,43,281.666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531","IR","KLSrE14",2013,"Salix richardsonii","Kluane","2017",58,NA,NA,NA,60,51,50,345,390,395,"KLSRE14",NA,4,53.6666666666667,376.666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"532","IR","KLSrE15",2013,"Salix richardsonii","Kluane","2017",87,NA,NA,NA,49,47,52,265,265,205,"KLSRE15",NA,4,49.3333333333333,245,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","LB","KLSrE4",2013,"Salix richardsonii","Kluane","2017",88,NA,NA,NA,71,65,75,430,454,425,"KLSRE4",NA,4,70.3333333333333,436.333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","SW","KLSrE6",2013,"Salix richardsonii","Kluane","2017",65,NA,NA,NA,50,55,57,425,125,70,"KLSRE6",NA,4,54,206.666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","SW","KLSrE7",2013,"Salix richardsonii","Kluane","2017",61,NA,NA,NA,45,51,40,400,300,280,"KLSRE7",NA,4,45.3333333333333,326.666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536","SW","KLSrE9",2013,"Salix richardsonii","Kluane","2017",70.5,NA,NA,NA,59,57,54,310,295,185,"KLSRE9",NA,4,56.6666666666667,263.333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","JA","KP16Sa1",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA1",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","SAB","KP16Sa10",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA10",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"539","SAB","KP16Sa11",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA11",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"540","SAB","KP16Sa12",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA12",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"541","SAB","KP16Sa13",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA13",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","SAB","KP16Sa14",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA14",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","SAB","KP16Sa15",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA15",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"544","SAB","KP16Sa16",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA16",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"545","SAB","KP16Sa17",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA17",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"546","SAB","KP16Sa18",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA18",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"547","SAB","KP16Sa19",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA19",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"548","JA","KP16Sa2",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA2",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"549","SAB","KP16Sa20",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA20",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550","JA","KP16Sa3",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA3",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551","JA","KP16Sa4",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA4",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552","JA","KP16Sa5",2016,"Salix arctica","Kluane","2017",1.7,NA,NA,NA,12,11,8,5,6,3,"KP16SA5",NA,1,10.3333333333333,4.66666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"553","SAB","KP16Sa6",2016,"Salix arctica","Kluane","2017",2.9,NA,NA,NA,18,10,10,7,4,NA,"KP16SA6",NA,1,12.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","SAB","KP16Sa7",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA7",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","SAB","KP16Sa8",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA8",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"556","SAB","KP16Sa9",2016,"Salix arctica","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SA9",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"557","CF","KP16Sp1",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP1",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558","SL","KP16Sp10",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP10",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"559","SL","KP16Sp11",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP11",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","SL","KP16Sp12",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP12",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","SL","KP16Sp13",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP13",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","SL","KP16Sp14",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP14",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","SL","KP16Sp15",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP15",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"564","JG","KP16Sp16",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP16",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","JG","KP16Sp17",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP17",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","JG","KP16Sp18",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP18",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","JG","KP16Sp19",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP19",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568","CF","KP16Sp2",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP2",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","JG","KP16Sp20",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP20",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"570","SL","KP16Sp21",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP21",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","SL","KP16Sp22",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP22",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","SL","KP16Sp23",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP23",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","SL","KP16Sp24",2016,"Salix pulchra","Kluane","2017",11.5,NA,NA,NA,46,43,43,55,45,31,"KP16SP24",NA,1,44,43.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"574","SL","KP16Sp25",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP25",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","IMS","KP16Sp26",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP26",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"576","IMS","KP16Sp27",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP27",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"577","IMS","KP16Sp28",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP28",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","IMS","KP16Sp29",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP29",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"579","CF","KP16Sp3",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP3",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580","IMS","KP16Sp30",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP30",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","AB","KP16Sp31",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP31",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","AB","KP16Sp32",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP32",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","AB","KP16Sp33",2016,"Salix pulchra","Kluane","2017",23.5,NA,NA,NA,44,48,32,52,39,43,"KP16SP33",NA,1,41.3333333333333,44.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","AB","KP16Sp34",2016,"Salix pulchra","Kluane","2017",17,NA,NA,NA,46,60,61,150,27,26,"KP16SP34",NA,1,55.6666666666667,67.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","AB","KP16Sp35",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP35",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","JG","KP16Sp36",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP36",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","JG","KP16Sp37",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP37",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","JG","KP16Sp38",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP38",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","JG","KP16Sp39",2016,"Salix pulchra","Kluane","2017",2.9,NA,NA,NA,10,10,11,31,NA,NA,"KP16SP39",NA,1,10.3333333333333,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","CF","KP16Sp4",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP4",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","JG","KP16Sp40",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP40",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","IMS","KP16Sp41",2016,"Salix pulchra","Kluane","2017",11,NA,NA,NA,30,34,34,44,38,1,"KP16SP41",NA,1,32.6666666666667,27.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","CF","KP16Sp42",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP42",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","CF","KP16Sp43",2016,"Salix pulchra","Kluane","2017",24.5,NA,NA,NA,26,26,32,32,13,10,"KP16SP43",NA,1,28,18.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","CF","KP16Sp44",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP44",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","CF","KP16Sp45",2016,"Salix pulchra","Kluane","2017",25.5,NA,NA,NA,5,5,5,26,6,14,"KP16SP45",NA,1,5,15.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","CF","KP16Sp46",2016,"Salix pulchra","Kluane","2017",27.5,NA,NA,NA,27,30,28,12,11,11,"KP16SP46",NA,1,28.3333333333333,11.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","MG","KP16Sp47",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP47",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","MG","KP16Sp48",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP48",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","MG","KP16Sp49",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP49",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","CF","KP16Sp5",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP5",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","CF","KP16Sp50",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP50",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","CF","KP16Sp51",2016,"Salix pulchra","Kluane","2017",32,NA,NA,NA,32,34,31,65,29,17,"KP16SP51",NA,1,32.3333333333333,37,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","CF","KP16Sp52",2016,"Salix pulchra","Kluane","2017",24.5,NA,NA,NA,27,35,21,29,33,21,"KP16SP52",NA,1,27.6666666666667,27.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","CF","KP16Sp53",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP53",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","CF","KP16Sp54",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP54",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","CF","KP16Sp55",2016,"Salix pulchra","Kluane","2017",23.5,NA,NA,NA,26,20,20,25,5,10,"KP16SP55",NA,1,22,13.3333333333333,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","JG","KP16Sp56",2016,"Salix pulchra","Kluane","2017",31,NA,NA,NA,25,24,19,15,13,10,"KP16SP56",NA,1,22.6666666666667,12.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","JG","KP16Sp57",2016,"Salix pulchra","Kluane","2017",18.5,NA,NA,NA,50,46,45,49,NA,NA,"KP16SP57",NA,1,47,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","JG","KP16Sp58",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP58",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","JG","KP16Sp59",2016,"Salix pulchra","Kluane","2017",11,NA,NA,NA,45,39,35,38,22,NA,"KP16SP59",NA,1,39.6666666666667,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","SL","KP16Sp6",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP6",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","JG","KP16Sp60",2016,"Salix pulchra","Kluane","2017",18,NA,NA,NA,42,45,39,36,58,22,"KP16SP60",NA,1,42,38.6666666666667,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","SL","KP16Sp7",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP7",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","SL","KP16Sp8",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP8",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","SL","KP16Sp9",2016,"Salix pulchra","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP9",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","LB","KP16Sr1",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR1",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","GD","KP16Sr10",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR10",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","EW","KP16Sr11",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR11",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","EW","KP16Sr12",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR12",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","EW","KP16Sr13",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR13",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","EW","KP16Sr14",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR14",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","EW","KP16Sr15",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR15",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","EW","KP16Sr16",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR16",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","EW","KP16Sr17",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR17",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","EW","KP16Sr18",2016,"Salix richardsonii","Kluane","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR18",NA,1,NA,NA,NA,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
