"","Species","plant_tag_id","sample_id","date_sampled","site_id","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","leaf_status","year","month","DOY","total_leaf_dry_mass_mg","LDMC_g_g","population","X","Sample_Date","Dry_mass","Wood_density_mg_mm3","Lat","Lon","Elevation_m","date","MONTH"
"19","Salix arctica","SALARC-KP-1",169951583,"2023-07-11","KP_alpine",0.488,14.8553278688525,67.3159157999283,26.5940054495913,0.0185808480701851,1.962,7249.4,1.835,6,"Kluane","green",2023,7,"192",488,0.248725790010194,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Salix arctica","SALARC-KP-3",169951664,"2023-07-11","KP_alpine",0.393,13.1055979643766,76.3032715270362,28.1115879828326,0.0195126686729444,1.482,5150.5,1.398,6,"Kluane","green",2023,7,"192",393,0.265182186234818,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Salix arctica","SALARC-KP-4",169951699,"2023-07-11","KP_alpine",0.468,13.3149572649573,75.1035080399268,31.3883299798793,0.0164168565651379,1.5,6231.4,1.491,6,"Kluane","green",2023,7,"192",468,0.312,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Salix arctica","SALARC-KP-6",169951782,"2023-07-11","KP_alpine",0.23,16.6760869565217,59.9661061139356,27.0906949352179,0.0161387042106635,0.893,3835.5,0.849,10,"Kluane","green",2023,7,"192",230,0.257558790593505,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Salix arctica","SALARC-KP-7",169951868,"2023-07-11","KP_alpine",0.565,12.9576991150442,77.1741951346109,32.3226544622426,0.0161587739547336,1.821,7321.1,1.748,6,"Kluane","green",2023,7,"192",565,0.310269082921472,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Salix pulchra","SALPUL-KP-1",169952260,"2023-07-11","KP_high",0.34,13.6517647058824,73.250603240262,35.6768100734523,0.0132066528783178,1.006,4641.6,0.953,10,"Kluane","green",2023,7,"192",340,0.337972166998012,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Salix pulchra","SALPUL-KP-2",169952343,"2023-07-11","KP_high",NA,NA,NA,NA,NA,NA,NA,1.726,10,"Kluane","green",2023,7,"192",NA,NA,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Salix pulchra","SALPUL-KP-3",169952451,"2023-07-11","KP_high",0.594,12.8511784511785,77.8138754977992,48.1751824817518,0.00837088660658143,1.787,7633.6,1.233,10,"Kluane","green",2023,7,"192",594,0.332400671516508,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Salix pulchra","SALPUL-KP-4",169952532,"2023-07-11","KP_high",0.408,11.1933823529412,89.3385009525061,40.0785854616896,0.0133569817600561,1.082,4566.9,1.018,10,"Kluane","green",2023,7,"192",408,0.377079482439926,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Salix pulchra","SALPUL-KP-5",169952615,"2023-07-11","KP_high",0.527,10.9229601518027,91.5502744771038,41.7922283901665,0.0127510249461469,1.332,5756.4,1.261,10,"Kluane","green",2023,7,"192",527,0.395645645645646,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Salix pulchra","SALPUL-KP-6",169952698,"2023-07-11","KP_high",0.417,10.8146282973621,92.4673481606315,39.4886363636364,0.0141694569483558,1.109,4509.7,1.056,10,"Kluane","green",2023,7,"192",417,0.376014427412083,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Salix pulchra","SALPUL-KP-7",169952761,"2023-07-11","KP_high",0.572,10.8374125874126,92.2729472495564,37.1428571428571,0.0156154218422326,1.633,6199,1.54,10,"Kluane","green",2023,7,"192",572,0.350275566442131,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Salix richardsonii","SALRIC-KP-1",169952713,"2023-07-11","KP_high",0.48,11.6395833333333,85.9137282978342,31.7040951122853,0.0185072489708251,1.59,5587,1.514,6,"Kluane","green",2023,7,"192",480,0.30188679245283,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Salix richardsonii","SALRIC-KP-2",169952826,"2023-07-11","KP_high",0.538,12.7951672862454,78.154507684709,32.7649208282582,0.0160376536215462,1.675,6883.8,1.642,6,"Kluane","green",2023,7,"192",538,0.321194029850746,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Salix richardsonii","SALRIC-KP-3",169953173,"2023-07-11","KP_high",0.369,13.6317073170732,73.3583825371265,30.8528428093646,0.0164410250293235,1.322,5030.1,1.196,6,"Kluane","green",2023,7,"192",369,0.279122541603631,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Salix richardsonii","SALRIC-KP-4",169953247,"2023-07-11","KP_high",0.482,12.101867219917,82.6318767036396,33.1955922865014,0.0166292365980354,1.592,5833.1,1.452,6,"Kluane","green",2023,7,"192",482,0.302763819095477,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Salix richardsonii","SALRIC-KP-5",169953300,"2023-07-11","KP_high",0.328,11.9125,83.9454354669465,33.6410256410256,0.0165587490082666,1.074,3907.3,0.975,6,"Kluane","green",2023,7,"192",328,0.305400372439479,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Salix richardsonii","SALRIC-KP-6",169953348,"2023-07-11","KP_high",0.646,12.090866873065,82.7070557056346,33.4195550957062,0.0164773963921287,2.081,7810.7,1.933,6,"Kluane","green",2023,7,"192",646,0.310427679000481,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Salix richardsonii","SALRIC-KP-7",169953403,"2023-07-11","KP_high",0.504,11.8755952380952,84.2063054483485,31.3627878033603,0.0184284831169699,1.719,5985.3,1.607,6,"Kluane","green",2023,7,"192",504,0.293193717277487,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Salix arctica","SALARC-KP-5",169956230,"2023-07-11","KP_alpine",0.299,12.6511705685619,79.0440690512068,29.4871794871795,0.0189018425992016,1.067,3782.7,1.014,6,"Kluane","green",2023,7,"192",299,0.280224929709466,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Salix richardsonii","SALRIC-KP-8",170557102,"2023-07-18","KP_mid",0.709,9.98956276445698,100.104481405134,36.1734693877551,0.0176630051111174,2.133,7082.6,1.96,6,"Kluane","green",2023,7,"199",709,0.332395686826067,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Salix richardsonii","SALRIC-KP-9",170557192,"2023-07-18","KP_mid",0.44,11.2709090909091,88.7239877399581,33.6134453781513,0.0175229875786417,1.397,4959.2,1.309,6,"Kluane","green",2023,7,"199",440,0.31496062992126,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Salix richardsonii","SALRIC-KP-10",170557288,"2023-07-18","KP_mid",1.249,10.0218574859888,99.7819018478426,36.0774119006355,0.0176795315283647,3.632,12517.3,3.462,6,"Kluane","green",2023,7,"199",1249,0.343887665198238,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Salix richardsonii","SALRIC-KP-11",170557390,"2023-07-18","KP_mid",0.5,10.1386,98.6329473497327,36.6032210834553,0.0170832264809737,1.427,5069.3,1.366,6,"Kluane","green",2023,7,"199",500,0.350385423966363,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Salix pulchra","SALPUL-KP-8",170557648,"2023-07-18","KP_mid",0.518,10.476833976834,95.4486825133591,41.70692431562,0.0133407038879676,1.305,5427,1.242,10,"Kluane","green",2023,7,"199",518,0.396934865900383,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Salix pulchra","SALPUL-KP-9",170557709,"2023-07-18","KP_mid",0.569,9.75483304042179,102.513287091253,41.1722141823444,0.0146473290694532,1.428,5550.5,1.382,10,"Kluane","green",2023,7,"199",569,0.398459383753501,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Salix pulchra","SALPUL-KP-10",170557759,"2023-07-18","KP_mid",0.474,9.65042194092827,103.622412172354,43.5661764705882,0.0134228187919463,1.151,4574.3,1.088,10,"Kluane","green",2023,7,"199",474,0.411815812337098,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Salix pulchra","SALPUL-KP-11",170557825,"2023-07-18","KP_mid",0.597,10.1554438860972,98.469354093818,40.2020202020202,0.0146466978953619,1.562,6062.8,1.485,6,"Kluane","green",2023,7,"199",597,0.382202304737516,"source_south",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Salix arctica","SALARC-2023-7",171949639,"2023-08-03","Qikiqtaruk",0.21,17.4485714285714,57.3112821352546,32.7102803738318,0.0117897494678238,0.663,3664.2,0.642,6,"Qikiqtaruk","green",2023,8,"215",210,0.316742081447964,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Salix arctica","SALARC-2023-8",171949777,"2023-08-03","Qikiqtaruk",0.323,13.3541795665635,74.8829229841888,35.1468988030468,0.0138174062224695,0.958,4313.4,0.919,10,"Qikiqtaruk","green",2023,8,"215",323,0.337160751565762,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Salix arctica","SALARC-2023-9",171949924,"2023-08-03","Qikiqtaruk",0.457,10.3553610503282,96.5683374186459,34.3867569601204,0.0184261685402755,1.377,4732.4,1.329,6,"Qikiqtaruk","green",2023,8,"215",457,0.331880900508352,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Salix arctica","SALARC-2023-10",171950002,"2023-08-03","Qikiqtaruk",0.312,11.2320512820513,89.0309325419473,34.9775784753363,0.0165506220751056,0.935,3504.4,0.892,6,"Qikiqtaruk","green",2023,8,"215",312,0.333689839572192,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Salix arctica","SALARC-2023-11",171950082,"2023-08-03","Qikiqtaruk",0.321,10.1065420560748,98.9458109857592,37.1958285052144,0.0167067381789039,0.903,3244.2,0.863,6,"Qikiqtaruk","green",2023,8,"215",321,0.355481727574751,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Salix arctica","SALARC-2023-12",171950174,"2023-08-03","Qikiqtaruk",0.402,12.3119402985075,81.2219662989453,33.9240506329114,0.0158200994059886,1.197,4949.4,1.185,9,"Qikiqtaruk","green",2023,8,"215",402,0.335839598997494,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Salix richardsonii","SALRIC-2023-7",171950269,"2023-08-03","Qikiqtaruk",0.294,11.4384353741497,87.4245442921288,30.625,0.0198043355437271,0.997,3362.9,0.96,6,"Qikiqtaruk","green",2023,8,"215",294,0.294884653961886,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Salix richardsonii","SALRIC-2023-8",171950349,"2023-08-03","Qikiqtaruk",0.326,12.7886503067485,78.194334508647,31.4671814671815,0.0170300544482022,1.068,4169.1,1.036,6,"Qikiqtaruk","green",2023,8,"215",326,0.305243445692884,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Salix richardsonii","SALRIC-2023-9",171950422,"2023-08-03","Qikiqtaruk",0.372,12.9534946236559,77.199244609542,31.1036789297659,0.0171000477307158,1.262,4818.7,1.196,6,"Qikiqtaruk","green",2023,8,"215",372,0.294770206022187,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Salix richardsonii","SALRIC-2023-10",171950521,"2023-08-03","Qikiqtaruk",0.32,13.1546875,76.0185295165697,32.8205128205128,0.0155600427604229,1.038,4209.5,0.975,6,"Qikiqtaruk","green",2023,8,"215",320,0.308285163776493,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Salix richardsonii","SALRIC-2023-11",171950738,"2023-08-03","Qikiqtaruk",0.362,11.8367403314917,84.4827183831595,33.029197080292,0.0171299213517235,1.166,4284.9,1.096,6,"Qikiqtaruk","green",2023,8,"215",362,0.310463121783877,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Salix richardsonii","SALRIC-2023-12",171950870,"2023-08-03","Qikiqtaruk",0.369,13.340108401084,74.9619095987811,32.4538258575198,0.0156018283392585,1.227,4922.5,1.137,6,"Qikiqtaruk","green",2023,8,"215",369,0.300733496332518,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Salix arctica","SALARC-2023-13",172390011,"2023-08-08","Qikiqtaruk",0.338,12.4576923076923,80.2716887928373,34.4195519348269,0.0152943691072743,1.005,4210.7,0.982,6,"Qikiqtaruk","green",2023,8,"220",338,0.336318407960199,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Salix arctica","SALARC-2023-14",172390077,"2023-08-08","Qikiqtaruk",0.288,12.6732638888889,78.906271404696,30.3157894736842,0.0181374832187183,0.969,3649.9,0.95,6,"Qikiqtaruk","green",2023,8,"220",288,0.297213622291022,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Salix arctica","SALARC-2023-15",172390108,"2023-08-08","Qikiqtaruk",0.357,12.9831932773109,77.0226537216828,30.1011804384486,0.0178856526429342,1.218,4635,1.186,6,"Qikiqtaruk","green",2023,8,"220",357,0.293103448275862,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Salix arctica","SALARC-2023-16",172390155,"2023-08-08","Qikiqtaruk",0.742,13.4036388140162,74.6066060027148,24.824355971897,0.0225931325725202,3.028,9945.5,2.989,6,"Qikiqtaruk","green",2023,8,"220",742,0.245046235138705,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Salix arctica","SALARC-2023-17",172390199,"2023-08-08","Qikiqtaruk",0.499,12.2372745490982,81.7175422507533,29.6494355317885,0.0193894929909603,1.728,6106.4,1.683,6,"Qikiqtaruk","green",2023,8,"220",499,0.288773148148148,"source_north",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Salix richardsonii","H17SR9",105239782,"2021-06-22",NA,0.15,13.7566666666667,72.6920281075842,34.0136054421769,0.0141022534528713,0.532,2063.5,0.441,NA,"Common_garden",NA,2021,6,"173",NA,0.281954887218045,"Northern",1,NA,NA,NA,NA,NA,NA,NA,NA
"65","Salix pulchra","KLSPE4",105240861,"2021-06-22",NA,0.097,12.8886597938144,77.5875859862422,40.2489626556017,0.0115181570948648,0.254,1250.2,0.241,NA,"Common_garden",NA,2021,6,"173",NA,0.381889763779528,"Southern",2,NA,NA,NA,NA,NA,NA,NA,NA
"66","Salix richardsonii","KLSRE10",105242530,"2021-06-22",NA,0.216,15.237962962963,65.6255696664034,32.8267477203647,0.0134289360150696,0.731,3291.4,0.658,NA,"Common_garden",NA,2021,6,"173",NA,0.295485636114911,"Southern",3,NA,NA,NA,NA,NA,NA,NA,NA
"67","Salix arctica","K15PSA7",105242585,"2021-06-22",NA,0.48,10.0679166666667,99.3254148905351,40.4040404040404,0.0146504986963539,1.283,4832.6,1.188,NA,"Common_garden",NA,2021,6,"173",NA,0.374123148869836,"Southern",4,NA,NA,NA,NA,NA,NA,NA,NA
"68","Salix pulchra","HERSP12",105248474,"2021-06-22",NA,0.131,12.8381679389313,77.8927339755024,36.6946778711485,0.013437983113331,0.378,1681.8,0.357,NA,"Common_garden",NA,2021,6,"173",NA,0.346560846560847,"Northern",5,NA,NA,NA,NA,NA,NA,NA,NA
"69","Salix richardsonii","KLSRC13",105248949,"2021-06-22",NA,0.431,9.19419953596288,108.764226411285,30.5240793201133,0.02475584828526,1.562,3962.7,1.412,NA,"Common_garden",NA,2021,6,"173",NA,0.275928297055058,"Southern",6,NA,NA,NA,NA,NA,NA,NA,NA
"70","Salix arctica","K15PSA9",105249284,"2021-06-22",NA,0.455,10.5738461538462,94.5729666812164,34.5220030349014,0.0179376857683274,1.397,4811.1,1.318,NA,"Common_garden",NA,2021,6,"173",NA,0.325697924123121,"Southern",7,NA,NA,NA,NA,NA,NA,NA,NA
"71","Salix richardsonii","KLSRE14",105249699,"2021-06-22",NA,0.276,13.5119565217391,74.0085270694232,32.2429906542056,0.0155525165580672,0.907,3729.3,0.856,NA,"Common_garden",NA,2021,6,"173",NA,0.304299889746417,"Southern",8,NA,NA,NA,NA,NA,NA,NA,NA
"72","Salix arctica","KP17SA6",105249832,"2021-06-22",NA,0.28,12.3503571428571,80.9693184118446,34.6534653465347,0.0152685000433764,0.857,3458.1,0.808,NA,"Common_garden",NA,2021,6,"173",NA,0.326721120186698,"Southern",9,NA,NA,NA,NA,NA,NA,NA,NA
"73","Salix richardsonii","KP17SR2",105250450,"2021-06-22",NA,0.281,15.5345195729537,64.3727664253642,31.8955732122588,0.0137450746815724,0.99,4365.2,0.881,NA,"Common_garden",NA,2021,6,"173",NA,0.283838383838384,"Southern",10,NA,NA,NA,NA,NA,NA,NA,NA
"74","Salix pulchra","KP16SP59",105250566,"2021-06-22",NA,0.323,12.7693498452012,78.3125227300279,37.7777777777778,0.012898533155534,0.933,4124.5,0.855,NA,"Common_garden",NA,2021,6,"173",NA,0.346195069667738,"Southern",11,NA,NA,NA,NA,NA,NA,NA,NA
"75","Salix richardsonii","H17SR35",105272478,"2021-06-22",NA,0.182,15.9115384615385,62.8474740149867,29.3548387096774,0.0151248316585517,0.701,2895.9,0.62,NA,"Common_garden",NA,2021,6,"173",NA,0.25962910128388,"Northern",12,NA,NA,NA,NA,NA,NA,NA,NA
"76","Salix arctica","K15PSA2",105272603,"2021-06-22",NA,0.391,10.6186700767263,94.1737517762952,37.3447946513849,0.0157999951829283,1.132,4151.9,1.047,NA,"Common_garden",NA,2021,6,"173",NA,0.345406360424028,"Southern",13,NA,NA,NA,NA,NA,NA,NA,NA
"77","Salix arctica","H17SA20",105272707,"2021-06-22",NA,0.287,12.4101045296167,80.5794985540613,34.7037484885127,0.0151612993795098,0.914,3561.7,0.827,NA,"Common_garden",NA,2021,6,"173",NA,0.314004376367615,"Northern",14,NA,NA,NA,NA,NA,NA,NA,NA
"78","Salix arctica","H15SA12",105272799,"2021-06-22",NA,0.315,10.7295238095238,93.2007811113084,35.15625,0.0171903662938635,0.994,3379.8,0.896,NA,"Common_garden",NA,2021,6,"173",NA,0.316901408450704,"Northern",15,NA,NA,NA,NA,NA,NA,NA,NA
"79","Salix arctica","PC17SA1",105341831,"2021-06-23",NA,0.348,10.941091954023,91.3985554826001,34.5238095238095,0.0173342087984242,1.102,3807.5,1.008,NA,"Common_garden",NA,2021,6,"174",NA,0.31578947368421,"Southern",16,NA,NA,NA,NA,NA,NA,NA,NA
"80","Salix pulchra","PC17SP1",105341963,"2021-06-23",NA,0.128,13.4171875,74.5312681961104,37.8698224852071,0.0122277861884244,0.36,1717.4,0.338,NA,"Common_garden",NA,2021,6,"174",NA,0.355555555555556,"Southern",17,NA,NA,NA,NA,NA,NA,NA,NA
"81","Salix arctica","HE16SA3",105342070,"2021-06-23",NA,0.235,13.9540425531915,71.6638204440107,32.016348773842,0.015217126128324,0.803,3279.2,0.734,NA,"Common_garden",NA,2021,6,"174",NA,0.292652552926526,"Northern",18,NA,NA,NA,NA,NA,NA,NA,NA
"82","Salix richardsonii","H17SR13",105342196,"2021-06-23",NA,0.179,13.0256983240223,76.77131583462,33.8374291115312,0.0150111511408475,0.586,2331.6,0.529,NA,"Common_garden",NA,2021,6,"174",NA,0.305460750853242,"Northern",19,NA,NA,NA,NA,NA,NA,NA,NA
"83","Salix pulchra","HERSP24",105342324,"2021-06-23",NA,0.127,15.1874015748032,65.8440481128162,38.719512195122,0.0104209871422646,0.351,1928.8,0.328,NA,"Common_garden",NA,2021,6,"174",NA,0.361823361823362,"Northern",20,NA,NA,NA,NA,NA,NA,NA,NA
"84","Salix richardsonii","HEFSR4",105342479,"2021-06-23",NA,0.188,14.5462765957447,68.7461147475043,30.42071197411,0.015723845394376,0.675,2734.7,0.618,NA,"Common_garden",NA,2021,6,"174",NA,0.278518518518518,"Northern",21,NA,NA,NA,NA,NA,NA,NA,NA
