"","...1","X.x","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","X.y","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter"
"24",55,55,"IR",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,12,13,14,NA,NA,NA,"KLSRE15",NA,"2",NA,13,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",56,56,"LB",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,10,12,12,NA,NA,NA,"KLSRE4",NA,"2",NA,11.3333333333333,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",57,57,"SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,17,15,17,NA,NA,NA,"KLSRE6",NA,"2",NA,16.3333333333333,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",58,58,"SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,18,15,14,NA,NA,NA,"KLSRE7",NA,"2",NA,15.6666666666667,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",59,59,"SW",2013,"Salix richardsonii","Common_garden",NA,8,15,"2015",NA,NA,NA,NA,15,14,16,NA,NA,NA,"KLSRE9",NA,"2",NA,15,NA,"Southern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",91,91,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"H15SR1",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",92,92,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR10",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",93,93,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",94,94,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR12",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",95,95,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR13",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",96,96,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",97,97,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",98,98,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",99,99,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",100,100,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",101,101,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.4,NA,NA,NA,29,31,10,15,NA,NA,"H15SR19",NA,"1",NA,23.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",102,102,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR2",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",103,103,"SW",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.4,NA,NA,NA,21,25,19,7,NA,NA,"H15SR20",NA,"1",NA,21.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",104,104,"IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR21",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",105,105,"IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",106,106,"IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",107,107,"IR",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",108,108,"AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",109,109,"AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR28",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",110,110,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",1.7,NA,NA,NA,11,16,NA,14,NA,NA,"H15SR3",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",111,111,"AC",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",112,112,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",113,113,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR5",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",114,114,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",115,115,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR7",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",116,116,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",117,117,"LB",2015,"Salix richardsonii","Common_garden",NA,8,11,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9",NA,"1",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",137,137,"SW",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",8.2,NA,NA,NA,32,25,22,35,29,12,"HESR13",NA,"3",25.3333333333333,26.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",138,138,"IR",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HESR17",NA,"3",NA,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",139,139,"LB",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",4.4,NA,NA,NA,30,22,32,27,30,21,"HESR2",NA,"3",26,28,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",140,140,"AC",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",22,NA,NA,NA,15,16,21,54,25,33,"HESR21",NA,"3",37.3333333333333,17.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",141,141,"AC",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",3,NA,NA,NA,21,24,21,30,26,29,"HESR23",NA,"3",28.3333333333333,22,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",142,142,"AC",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",12.5,NA,NA,NA,33,30,26,25,18,19,"HESR26",NA,"3",20.6666666666667,29.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",143,143,"AC",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",8,NA,NA,NA,25,17,NA,65,26,49,"HESR27",NA,"3",46.6666666666667,NA,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",144,144,"LB",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.6,NA,NA,NA,27,26,30,28,31,19,"HESR3",NA,"3",26,27.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",145,145,"LB",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",5.2,NA,NA,NA,31,31,33,40,54,62,"HESR4",NA,"3",52,31.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",146,146,"LB",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",2.5,NA,NA,NA,20,18,21,16,25,NA,"HESR4B",NA,"3",NA,19.6666666666667,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",147,147,"SW",2013,"Salix richardsonii","Common_garden",NA,8,11,"2016",15.3,NA,NA,NA,27,25,30,26,45,23,"HESR6",NA,"3",31.3333333333333,27.3333333333333,NA,"Northern Garden",NA,NA,NA,NA,NA,NA,NA,NA,NA
