"","Bed","SampleID","Year_planted","Species","Site","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population","total_leaf_dry_mass_g","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","LDMC_g_g","Dry_mass","total_leaf_dry_mass_mg","Wood_density_mg_mm3","Lat","Lon","Elevation_m"
"271","JB","H15Sa6",2015,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA6",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk","2017",4.8,NA,NA,NA,22,20,11,5,4,5,"H15SA7",2,4.66666666666667,17.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","JB","H15Sa8",2015,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SA8",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","JB","H15Sa9",2015,"Salix arctica","Qikiqtaruk","2017",0.8,NA,NA,NA,NA,NA,NA,18,NA,NA,"H15SA9",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","IMS","H15Sp1",2015,"Salix pulchra","Qikiqtaruk","2017",3.4,NA,NA,NA,NA,NA,NA,7,10,10,"H15SP1",2,9,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","CF","H15Sp10",2015,"Salix pulchra","Qikiqtaruk","2017",5.8,NA,NA,NA,20,18,6,27,24,16,"H15SP10",2,22.3333333333333,14.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","CF","H15Sp11",2015,"Salix pulchra","Qikiqtaruk","2017",2.6,NA,NA,NA,NA,NA,NA,13,7,NA,"H15SP11",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","CF","H15Sp12",2015,"Salix pulchra","Qikiqtaruk","2017",0.8,NA,NA,NA,NA,NA,NA,6,6,17,"H15SP12",2,9.66666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","CF","H15Sp13",2015,"Salix pulchra","Qikiqtaruk","2017",7.5,NA,NA,NA,27,16,18,40,42,19,"H15SP13",2,33.6666666666667,20.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","CF","H15Sp14",2015,"Salix pulchra","Qikiqtaruk","2017",8.7,NA,NA,NA,26,NA,NA,30,7,7,"H15SP14",2,14.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","CF","H15Sp15",2015,"Salix pulchra","Qikiqtaruk","2017",6.4,NA,NA,NA,24,18,15,40,22,21,"H15SP15",2,27.6666666666667,19,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","CF","H15Sp16",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP16",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","CF","H15Sp17",2015,"Salix pulchra","Qikiqtaruk","2017",2.2,NA,NA,NA,NA,NA,NA,19,13,23,"H15SP17",2,18.3333333333333,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","CF","H15Sp18",2015,"Salix pulchra","Qikiqtaruk","2017",13.5,NA,NA,NA,NA,NA,NA,22,13,9,"H15SP18",2,14.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","CF","H15Sp19",2015,"Salix pulchra","Qikiqtaruk","2017",6.5,NA,NA,NA,NA,NA,NA,48,27,27,"H15SP19",2,34,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","IMS","H15Sp2",2015,"Salix pulchra","Qikiqtaruk","2017",3.3,NA,NA,NA,16,11,14,19,18,16,"H15SP2",2,17.6666666666667,13.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","CF","H15Sp20",2015,"Salix pulchra","Qikiqtaruk","2017",3.6,NA,NA,NA,13,NA,NA,39,14,7,"H15SP20",2,20,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","MG","H15Sp21",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP21",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","MG","H15Sp22",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP22",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","MG","H15Sp23",2015,"Salix pulchra","Qikiqtaruk","2017",9,NA,NA,NA,7,9,12,10,9,13,"H15SP23",2,10.6666666666667,9.33333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","MG","H15Sp24",2015,"Salix pulchra","Qikiqtaruk","2017",6,NA,NA,NA,18,19,NA,13,9,NA,"H15SP24",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","AB","H15Sp25",2015,"Salix pulchra","Qikiqtaruk","2017",4.9,NA,NA,NA,20,17,18,18,22,5,"H15SP25",2,15,18.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","AB","H15Sp26",2015,"Salix pulchra","Qikiqtaruk","2017",4.3,NA,NA,NA,NA,NA,NA,25,NA,NA,"H15SP26",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","AB","H15Sp27",2015,"Salix pulchra","Qikiqtaruk","2017",14,NA,NA,NA,58,50,30,20,42,9,"H15SP27",2,23.6666666666667,46,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","AB","H15Sp28",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP28",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","AB","H15Sp29",2015,"Salix pulchra","Qikiqtaruk","2017",6,NA,NA,NA,14,8,12,31,12,14,"H15SP29",2,19,11.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","IMS","H15Sp3",2015,"Salix pulchra","Qikiqtaruk","2017",2.1,NA,NA,NA,NA,NA,NA,9,NA,NA,"H15SP3",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","AB","H15Sp30",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP30",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","IMS","H15Sp4",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP4",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","IMS","H15Sp5",2015,"Salix pulchra","Qikiqtaruk","2017",5.1,NA,NA,NA,NA,NA,NA,32,11,19,"H15SP5",2,20.6666666666667,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","IMS","H15Sp6",2015,"Salix pulchra","Qikiqtaruk","2017",2.1,NA,NA,NA,NA,NA,NA,30,10,NA,"H15SP6",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","IMS","H15Sp7",2015,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SP7",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","IMS","H15Sp8",2015,"Salix pulchra","Qikiqtaruk","2017",17,NA,NA,NA,28,30,35,19,43,21,"H15SP8",2,27.6666666666667,31,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","CF","H15Sp9",2015,"Salix pulchra","Qikiqtaruk","2017",27.5,NA,NA,NA,25,22,32,14,19,12,"H15SP9",2,15,26.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","LB","H15Sr10",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR10",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","LB","H15Sr11",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR11",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","SW","H15Sr12",2015,"Salix richardsonii","Qikiqtaruk","2017",1,NA,NA,NA,NA,NA,NA,31,15,NA,"H15SR12",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","SW","H15Sr13",2015,"Salix richardsonii","Qikiqtaruk","2017",1.2,NA,NA,NA,NA,NA,NA,7,8,NA,"H15SR13",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","SW","H15Sr14",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR14",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","SW","H15Sr15",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR15",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","SW","H15Sr16",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR16",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","SW","H15Sr17",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR17",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","SW","H15Sr18",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR18",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk","2017",4.6,NA,NA,NA,21,19,25,29,24,12,"H15SR19",2,21.6666666666667,21.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","LB","H15Sr2",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR2",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","SW","H15Sr20",2015,"Salix richardsonii","Qikiqtaruk","2017",5.5,NA,NA,NA,22,17,16,8,14,8,"H15SR20",2,10,18.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","IR","H15Sr21",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR21",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","IR","H15Sr22",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR22",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","IR","H15Sr23",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR23",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","IR","H15Sr24",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR24",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","AC","H15Sr25",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR25",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","AC","H15Sr26",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR26",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","AC","H15Sr27",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR27",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","AC","H15Sr28",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR28",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","AC","H15Sr29",2015,"Salix richardsonii","Qikiqtaruk","2017",3.2,NA,NA,NA,22,15,20,18,21,NA,"H15SR29",2,NA,19,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","LB","H15Sr3",2015,"Salix richardsonii","Qikiqtaruk","2017",0.7,NA,NA,NA,NA,NA,NA,5,NA,NA,"H15SR3",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","AC","H15Sr30",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR30",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","LB","H15Sr4",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR4",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","LB","H15Sr5",2015,"Salix richardsonii","Qikiqtaruk","2017",4.8,NA,NA,NA,27,17,NA,37,NA,NA,"H15SR5",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","LB","H15Sr6",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR6",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","LB","H15Sr7",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR7",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","LB","H15Sr8",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR8",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","LB","H15Sr9",2015,"Salix richardsonii","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H15SR9",2,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","JA","HE16Sa1",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA1",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","SAB","HE16Sa10",2016,"Salix arctica","Qikiqtaruk","2017",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA10",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","SAB","HE16Sa11",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA11",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"337","SAB","HE16Sa12",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA12",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338","SAB","HE16Sa13",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA13",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","SAB","HE16Sa14",2016,"Salix arctica","Qikiqtaruk","2017",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA14",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","SAB","HE16Sa15",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA15",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","SAB","HE16Sa16",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA16",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","SAB","HE16Sa17",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA17",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","SAB","HE16Sa18",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA18",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","SAB","HE16Sa19",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA19",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","JA","HE16Sa2",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA2",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","SAB","HE16Sa20",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA20",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","JA","HE16Sa3",2016,"Salix arctica","Qikiqtaruk","2017",4,NA,NA,NA,26,35,21,13,NA,NA,"HE16SA3",1,NA,27.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","JA","HE16Sa4",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA4",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","JA","HE16Sa5",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA5",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","SAB","HE16Sa6",2016,"Salix arctica","Qikiqtaruk","2017",3.5,NA,NA,NA,17,14,6,10,5,4,"HE16SA6",1,6.33333333333333,12.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","SAB","HE16Sa7",2016,"Salix arctica","Qikiqtaruk","2017",4,NA,NA,NA,17,16,6,7,NA,NA,"HE16SA7",1,NA,13,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","SAB","HE16Sa8",2016,"Salix arctica","Qikiqtaruk","2017",2.9,NA,NA,NA,10,17,NA,13,NA,NA,"HE16SA8",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353","SAB","HE16Sa9",2016,"Salix arctica","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SA9",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","AB","HE16Sp1",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP1",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","SL","HE16Sp10",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP10",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","SL","HE16Sp11",2016,"Salix pulchra","Qikiqtaruk","2017",6.5,NA,NA,NA,NA,NA,NA,11,NA,NA,"HE16SP11",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","SL","HE16Sp12",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP12",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","SL","HE16Sp13",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP13",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","SL","HE16Sp14",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP14",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","SL","HE16Sp15",2016,"Salix pulchra","Qikiqtaruk","2017",0.4,NA,NA,NA,21,20,15,12,NA,NA,"HE16SP15",1,NA,18.6666666666667,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","JG","HE16Sp16",2016,"Salix pulchra","Qikiqtaruk","2017",1.9,NA,NA,NA,18,20,17,17,NA,NA,"HE16SP16",1,NA,18.3333333333333,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","JG","HE16Sp17",2016,"Salix pulchra","Qikiqtaruk","2017",2.3,NA,NA,NA,19,NA,NA,16,NA,NA,"HE16SP17",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","JG","HE16Sp18",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP18",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","JG","HE16Sp19",2016,"Salix pulchra","Qikiqtaruk","2017",9,NA,NA,NA,12,7,NA,12,6,NA,"HE16SP19",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","AB","HE16Sp2",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP2",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","JG","HE16Sp20",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP20",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","JG","HE16Sp21",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP21",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"368","JG","HE16Sp22",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP22",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","JG","HE16Sp23",2016,"Salix pulchra","Qikiqtaruk","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HE16SP23",1,NA,NA,NA,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
