"","PhenocamID","Year","Species","First_bud_burst","First_leaf_yellow","All_leaves_yellow","First_bud_burst_DOY","First_leaf_yellow_DOY","All_leaves_yellow_DOY","population"
"163","KP2-2021",2021,"Salix pulchra",NA,2021-07-19,2021-08-11,NA,200,223,"Southern Source"
"164","KP7-2021",2021,"Salix richardsonii",NA,2021-07-21,2021-08-27,NA,202,239,"Southern Source"
"165","KP3-2021",2021,"Salix richardsonii",NA,2021-07-18,2021-09-12,NA,199,255,"Southern Source"
"166","KP5-2021",2021,"Salix pulchra",NA,2021-08-11,NA,NA,223,NA,"Southern Source"
"167","KP9-2021",2021,"Salix richardsonii",NA,2021-07-12,2021-09-08,NA,193,251,"Southern Source"
"168","KP4-2021",2021,"Salix pulchra",NA,2021-08-13,2021-09-13,NA,225,256,"Southern Source"
"169","KP6-2021",2021,"Salix richardsonii",NA,2021-08-03,2021-09-03,NA,215,246,"Southern Source"
"170","KP8-2021",2021,"Salix richardsonii",NA,2021-08-04,2021-09-03,NA,216,246,"Southern Source"
"171","KP1-2021",2022,"Salix pulchra",2022-06-23,NA,NA,174,NA,NA,"Southern Source"
"172","KP2-2021",2022,"Salix pulchra",2022-06-22,2022-08-14,NA,173,226,NA,"Southern Source"
"173","KP7-2021",2022,"Salix richardsonii",2022-06-19,2022-08-12,NA,170,224,NA,"Southern Source"
"174","KP3-2021",2022,"Salix richardsonii",2022-06-23,2022-07-27,NA,174,208,NA,"Southern Source"
"175","KP5-2021",2022,"Salix pulchra",2022-06-26,NA,NA,177,NA,NA,"Southern Source"
"176","KP9-2021",2022,"Salix richardsonii",2022-06-24,NA,NA,175,NA,NA,"Southern Source"
"177","KP4-2021",2022,"Salix pulchra",2022-06-24,2022-08-14,NA,175,226,NA,"Southern Source"
"178","KP6-2021",2022,"Salix richardsonii",2022-06-25,NA,NA,176,NA,NA,"Southern Source"
"179","KP8-2021",2022,"Salix richardsonii",2022-06-27,NA,NA,178,NA,NA,"Southern Source"
