"","Species","plant_tag_id","sample_id","date_sampled","site_id","SLA","leaf_mass_per_area_g_m2","actual_leaf_dry_matter_content_perc","equivalent_water_thickness_cm","total_rehydrated_leaf_mass_g","LA","leaf_fresh_mass_g","number_leaves","Site","year","DOY","total_leaf_dry_mass_mg","LDMC_g_g","Plant_height_veg_m","Plant_height_repro_m","Seed_mass_dry_mg","Wood_density_mg_mm3","Species_sex","Lat","Lon","Elevation_m","date","Data_contributor","Data_coPIs","ValueKindName","MONTH"
"20","Salix richardsonii","KP-ALP-SARI1",106364470,"2021-07-05","KP_alpine",23.5374193548387,42.485541210975,24.3328100470958,0.0132116328152838,0.693,3648.3,0.637,12,"Kluane","2021","186",155,0.223665223665224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Salix arctica","KP-ALP-SAAR2",106364506,"2021-07-05","KP_alpine",18.1751322751323,55.0202323076475,23.4782608695652,0.0179325201595296,0.829,3435.1,0.805,12,"Kluane","2021","186",189,0.227985524728589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Salix richardsonii","KP-ALP-SARI2",106364529,"2021-07-05","KP_alpine",20.4802955665025,48.8274203247144,24.7259439707674,0.0148647023451593,0.887,4157.5,0.821,12,"Kluane","2021","186",203,0.228861330326945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Salix arctica","KP-ALP-SAAR3",106364556,"2021-07-05","KP_alpine",19.3154017857143,51.7721562871968,24.2818428184282,0.0161441299850924,1.868,8653.3,1.845,12,"Kluane","2021","186",448,0.23982869379015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Salix richardsonii","KP-ALP-SARI3",106364575,"2021-07-05","KP_alpine",16.0605263157895,62.2644601015894,26.2295081967213,0.017511879403572,1.233,4882.4,1.159,12,"Kluane","2021","186",304,0.246553122465531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Salix pulchra","KP4-2021-SAPU",106381694,"2021-07-05","KP_high",14.6013966480447,68.486599200352,33.489242282507,0.0136016681652096,2.263,10454.6,2.138,12,"Kluane","2021","186",716,0.316394167034909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Salix richardsonii","KP6-2021-SARI-2",106381730,"2021-07-05","KP_high",22.8206214689266,43.8200160920963,25.2857142857143,0.0129479482577211,1.583,8078.5,1.4,12,"Kluane","2021","186",354,0.223626026531901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Salix richardsonii","KP6-2021-SARI-1",106381773,"2021-07-05","KP_high",20.2637809187279,49.3491320307255,24.9889624724062,0.0148134585371383,2.509,11469.3,2.265,12,"Kluane","2021","186",566,0.225587883618972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Salix richardsonii","KP8-2021-SARI-2",106381796,"2021-07-05","KP_high",18.5508021390374,53.9060247910061,28.695652173913,0.0133948304026136,2.187,10407,1.955,12,"Kluane","2021","186",561,0.256515775034294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Salix richardsonii","KP8-2021-SARI-1",106381846,"2021-07-05","KP_high",15.8306226175349,63.1687094159102,28.1775868242034,0.0161011983593794,3.102,12458.7,2.793,12,"Kluane","2021","186",787,0.253707285622179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
