"","Species","Lat","Lon","Elevation_m","Site","date","Year_measured","Canopy_Height_cm"
"123","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk","26/07/2016",2016,14.1
"124","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk","26/07/2016",2016,14.3
"125","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk","26/07/2016",2016,18
"126","Salix arctica",69.56985,138.89821,-4,"Qikiqtaruk","26/07/2016",2016,13.9
"127","Salix arctica",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,8.5
"128","Salix arctica",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,6.7
"129","Salix arctica",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,2.8
"130","Salix arctica",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,5.9
"131","Salix arctica",61.21649,-138.28606,1631,"Kluane","28/06/2016",2016,4.1
"132","Salix arctica",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,6.7
"133","Salix arctica",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,6.5
"134","Salix arctica",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,12.8
"135","Salix arctica",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,4.9
"136","Salix arctica",61.219,-138.28477,1577,"Kluane","29/06/2016",2016,5.7
"137","Salix arctica",60.95528,-138.41401,1875,"Kluane","08/07/2016",2016,3.8
"138","Salix arctica",60.95528,-138.41401,1875,"Kluane","08/07/2016",2016,7
"139","Salix arctica",60.95528,-138.41401,1875,"Kluane","08/07/2016",2016,5
"140","Salix arctica",60.95528,-138.41401,1875,"Kluane","08/07/2016",2016,5.4
"141","Salix arctica",60.95528,-138.41401,1875,"Kluane","08/07/2016",2016,6
"142","Salix arctica",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,4.8
"143","Salix arctica",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,5
"144","Salix arctica",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,3
"145","Salix arctica",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,5
"146","Salix arctica",60.96206,-138.41288,1716,"Kluane","07/08/2017",2017,5
"147","Salix arctica",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,9.8
"148","Salix arctica",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,2.8
"149","Salix arctica",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,3.5
"150","Salix arctica",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,6.6
"151","Salix arctica",61.21222,-138.27775,1649,"Kluane","13/08/2017",2017,5.5
"157","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,54.8
"158","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,37.4
"159","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,53
"160","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,66.3
"161","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,32.5
"162","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,50.5
"163","Salix pulchra",61.10549,-138.6618,1693,"Kluane","07-Jul",2014,37.3
