"","SampleID","Match","SampleSite","SampleDate","Date_propagated","Date_planted","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Mother_LS","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Cutting_length","Cutting_diameter","biovolume","Site","SampleYear","mean_stem_elong","mean_leaf_length","mean_width","SampleID_standard"
"45","PP17SP13","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,58,174,52,17,51,41,45,46,44,42,31.6,13.2,524784,"Kluane",2017,44,45.6666666666667,113,"PP17SP13"
"46","PP17SP14","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,74,148,137,25,43,38,42,34,65,42,37,10.1,1500424,"Kluane",2017,47,41,142.5,"PP17SP14"
"47","PP17SP15","#N/A","Printers Pass",2017-08-15,NA,2017-08-16,2017,47,225,205,23,50,51,50,43,77,80,34.6,11.9,2167875,"Kluane",2017,66.6666666666667,50.3333333333333,215,"PP17SP15"
"48","PC17SA1","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,9.8,102,109,5.8,NA,NA,NA,NA,NA,NA,12.1,7.6,108956.4,"Kluane",2017,NA,NA,105.5,"PC17SA1"
"49","PC17SA3","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,3.5,53,42,5.9,NA,NA,NA,NA,NA,NA,18.1,6.4,7791,"Kluane",2017,NA,NA,47.5,"PC17SA3"
"50","PC17SA5","#N/A","Pika Camp",2017-08-13,NA,2017-08-16,2017,5.5,108,78,8.9,NA,NA,NA,NA,NA,NA,17.1,8.9,46332,"Kluane",2017,NA,NA,93,"PC17SA5"
"51","PC17SA6","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,6.3,106,104,9,NA,NA,NA,NA,NA,NA,29.9,9,69451.2,"Kluane",2017,NA,NA,105,"PC17SA6"
"52","PC17SA7","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,5,46,52,6,NA,NA,NA,NA,NA,NA,18.9,5.6,11960,"Kluane",2017,NA,NA,49,"PC17SA7"
"53","PC17SA8","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,6,34,66,8,NA,NA,NA,NA,NA,NA,17.5,7.1,13464,"Kluane",2017,NA,NA,50,"PC17SA8"
"54","PC17SA10","#N/A","Pika Camp",2017-08-14,NA,2017-08-16,2017,8.6,117,200,14,NA,NA,NA,NA,NA,NA,16.3,10.7,201240,"Kluane",2017,NA,NA,158.5,"PC17SA10"
"55","KP17SR8","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,93,157,83,22.9,56,51,57,62,67,116,30.3,11,1211883,"Kluane",2017,81.6666666666667,54.6666666666667,120,"KP17SR8"
"56","KP17SR9","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,57,52,57,16.1,63,54,65,74,44,49,30.6,8,168948,"Kluane",2017,55.6666666666667,60.6666666666667,54.5,"KP17SR9"
"57","KP17SR10","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,86,200,201,31.3,65,62,70,75,63,71,29.1,15,3457200,"Kluane",2017,69.6666666666667,65.6666666666667,200.5,"KP17SR10"
"58","KP17SR11","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,65,156,133,38,46,47,52,193,97,81,35.5,16,1348620,"Kluane",2017,123.666666666667,48.3333333333333,144.5,"KP17SR11"
"59","KP17SR12","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,64,209,199,37.3,62,64,61,61,84,92,34.6,20,2661824,"Kluane",2017,79,62.3333333333333,204,"KP17SR12"
"60","KP17SR14","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,42,65,32,15.5,55,43,52,36,48,49,24.9,12,87360,"Kluane",2017,44.3333333333333,50,48.5,"KP17SR14"
"61","KP17SR15","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,77,182,155,25.9,67,64,75,73,62,77,42.5,19,2172170,"Kluane",2017,70.6666666666667,68.6666666666667,168.5,"KP17SR15"
"62","KP17SP6","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,36,103,67,18.9,41,43,42,42,18,28,32.6,18,248436,"Kluane",2017,29.3333333333333,42,85,"KP17SP6"
"63","KP17SP7","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,58,47,30,9.3,41,46,50,86,45,35,33,10,81780,"Kluane",2017,55.3333333333333,45.6666666666667,38.5,"KP17SP7"
"64","KP17SP8","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,67,173,134,28.5,45,44,53,55,39,61,28.1,13,1553194,"Kluane",2017,51.6666666666667,47.3333333333333,153.5,"KP17SP8"
"65","KP17SP10","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,25,165,122,8.1,54,52,51,36,38,30,30.7,9,503250,"Kluane",2017,34.6666666666667,52.3333333333333,143.5,"KP17SP10"
"66","KP17SP11","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,65,156,148,26.7,54,59,60,56,41,63,33.2,15,1500720,"Kluane",2017,53.3333333333333,57.6666666666667,152,"KP17SP11"
"67","KP17SP12","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,85,185,151,37.1,59,57,60,138,155,123,33.6,11,2374475,"Kluane",2017,138.666666666667,58.6666666666667,168,"KP17SP12"
"68","KP17SP15","#N/A","Kluane Plateau",2017-08-19,NA,2017-08-19,2017,74,182,142,29.8,49,48,51,74,50,43,34.8,15,1912456,"Kluane",2017,55.6666666666667,49.3333333333333,162,"KP17SP15"
"69","H17Sp1","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29.5,152,79,5,46,47,41,31,27,26,23.2,6.1,354236,"Qikiqtaruk",2017,28,44.6666666666667,115.5,"H17SP1"
"70","H17Sp2","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,131,164,5,38,44,38,38,19,16,26.7,6.3,569326,"Qikiqtaruk",2017,24.3333333333333,40,147.5,"H17SP2"
"71","H17Sp3","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,213,126,11,43,46,41,49,40,29,25.9,11,751464,"Qikiqtaruk",2017,39.3333333333333,43.3333333333333,169.5,"H17SP3"
"72","H17Sp4","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,30.4,204,118,9,46,51,52,50,38,35,29.8,10,731788.8,"Qikiqtaruk",2017,41,49.6666666666667,161,"H17SP4"
"73","H17Sp6","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,283,112,11,48,42,46,26,26,27,40.7,6.8,839944,"Qikiqtaruk",2017,26.3333333333333,45.3333333333333,197.5,"H17SP6"
"74","H17Sp7","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,22,164,77,6,35,36,38,23,35,24,28.5,7.4,277816,"Qikiqtaruk",2017,27.3333333333333,36.3333333333333,120.5,"H17SP7"
"75","H17Sp8","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,36,262,190,12,45,40,36,35,38,29,41.9,11.9,1792080,"Qikiqtaruk",2017,34,40.3333333333333,226,"H17SP8"
"76","H17Sp9","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,184,143,8,51,54,53,57,31,56,28.9,10.8,763048,"Qikiqtaruk",2017,48,52.6666666666667,163.5,"H17SP9"
"77","H17Sp10","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,225,107,10,38,35,33,18,30,30,27,9.4,698175,"Qikiqtaruk",2017,26,35.3333333333333,166,"H17SP10"
"78","H17Sp11","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,24,197,144,8,44,45,38,26,19,33,36.8,12.2,680832,"Qikiqtaruk",2017,26,42.3333333333333,170.5,"H17SP11"
"79","H17Sp12","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,26.5,118,68,11,38,26,27,17,17,18,29.8,6.7,212636,"Qikiqtaruk",2017,17.3333333333333,30.3333333333333,93,"H17SP12"
"80","H17Sp13","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,25,138,108,8,29,32,27,30,21,19,37.2,8.3,372600,"Qikiqtaruk",2017,23.3333333333333,29.3333333333333,123,"H17SP13"
"81","H17Sp14","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,30,289,185,9,35,39,34,27,27,25,33.3,8.1,1603950,"Qikiqtaruk",2017,26.3333333333333,36,237,"H17SP14"
"82","H17Sp15","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,175,175,7,42,36,40,25,33,36,26.8,8,888125,"Qikiqtaruk",2017,31.3333333333333,39.3333333333333,175,"H17SP15"
"83","H17Sp16","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,52,93,8,37,37,33,40,22,37,35.9,9,135408,"Qikiqtaruk",2017,33,35.6666666666667,72.5,"H17SP16"
"84","H17Sp17","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,28,112,88,8,37,38,41,53,64,63,40.2,9.6,275968,"Qikiqtaruk",2017,60,38.6666666666667,100,"H17SP17"
"85","H17Sp18","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,162,128,6,38,36,34,109,53,32,28.5,7.6,476928,"Qikiqtaruk",2017,64.6666666666667,36,145,"H17SP18"
"86","H17Sp19","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,18,215,143,8,58,47,44,32,41,33,46.5,8.8,553410,"Qikiqtaruk",2017,35.3333333333333,49.6666666666667,179,"H17SP19"
"87","H17Sp20","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,29,195,122,12,37,29,38,22,17,20,30,9,689910,"Qikiqtaruk",2017,19.6666666666667,34.6666666666667,158.5,"H17SP20"
"88","H17Sr1","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,38,245,169,18,41,44,36,24,30,23,35.5,11.5,1573390,"Qikiqtaruk",2017,25.6666666666667,40.3333333333333,207,"H17SR1"
"89","H17Sr2","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,204,165,14,40,40,37,26,15,23,31.2,9.5,774180,"Qikiqtaruk",2017,21.3333333333333,39,184.5,"H17SR2"
"90","H17Sr3","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,27,152,132,9,40,42,42,38,32,15,32.7,10.7,541728,"Qikiqtaruk",2017,28.3333333333333,41.3333333333333,142,"H17SR3"
"91","H17Sr4","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,49,NA,NA,39,44,40,41,33,29,32,39,15.8,NA,"Qikiqtaruk",2017,31.3333333333333,41.6666666666667,NA,"H17SR4"
"92","H17Sr5","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,27,500,425,15,49,46,41,24,17,21,35.2,10.5,5737500,"Qikiqtaruk",2017,20.6666666666667,45.3333333333333,462.5,"H17SR5"
"93","H17Sr6","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,23,192,167,14,47,45,47,21,22,31,30.5,15,737472,"Qikiqtaruk",2017,24.6666666666667,46.3333333333333,179.5,"H17SR6"
"94","H17Sr7","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,34,184,132,9,44,40,45,24,26,25,30.5,12,825792,"Qikiqtaruk",2017,25,43,158,"H17SR7"
"95","H17Sr8","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,32,305,195,13,44,39,37,27,21,25,31.9,11.4,1903200,"Qikiqtaruk",2017,24.3333333333333,40,250,"H17SR8"
"96","H17Sr9","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,56,NA,NA,32,44,44,47,34,41,30,37.7,12.1,NA,"Qikiqtaruk",2017,35,45,NA,"H17SR9"
"97","H17Sr10","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,42,186,154,13,43,39,40,22,17,36,39.2,14,1203048,"Qikiqtaruk",2017,25,40.6666666666667,170,"H17SR10"
"98","H17Sr11","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,67,NA,412,32,48,46,58,58,34,47,40.5,11.5,NA,"Qikiqtaruk",2017,46.3333333333333,50.6666666666667,NA,"H17SR11"
"99","H17Sr12","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,54,208,176,25,41,43,40,20,17,35,29.3,11.5,1976832,"Qikiqtaruk",2017,24,41.3333333333333,192,"H17SR12"
"100","H17Sr13","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,35,261,174,20,43,50,46,40,29,36,43.9,10.5,1589490,"Qikiqtaruk",2017,35,46.3333333333333,217.5,"H17SR13"
"101","H17Sr14","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,24,228,211,12,43,46,44,33,24,11,28.5,13,1154592,"Qikiqtaruk",2017,22.6666666666667,44.3333333333333,219.5,"H17SR14"
"102","H17Sr15","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,38,300,219,19,35,35,40,32,37,21,30.5,11.2,2496600,"Qikiqtaruk",2017,30,36.6666666666667,259.5,"H17SR15"
"103","H17Sr16","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,59,216,285,26,41,44,40,45,34,37,33,15.6,3632040,"Qikiqtaruk",2017,38.6666666666667,41.6666666666667,250.5,"H17SR16"
"104","H17Sr17","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,48,208,159,25,56,49,49,57,52,45,35.5,12.3,1587456,"Qikiqtaruk",2017,51.3333333333333,51.3333333333333,183.5,"H17SR17"
"105","H17Sr18","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,72,NA,NA,36,43,46,41,32,26,15,44,12.1,NA,"Qikiqtaruk",2017,24.3333333333333,43.3333333333333,NA,"H17SR18"
"106","H17Sr19","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,43,148,153,12,34,31,32,16,30,27,23.1,15.1,973692,"Qikiqtaruk",2017,24.3333333333333,32.3333333333333,150.5,"H17SR19"
"107","H17Sr20","#N/A","Qikiqtaruk",2017-08-13,NA,2017-08-20,2017,55,212,196,21,47,47,40,22,31,29,37.8,10.1,2285360,"Qikiqtaruk",2017,27.3333333333333,44.6666666666667,204,"H17SR20"
"108","H17Sr21","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,52.5,482,402,30,50,48,48,46,36,32,28.2,11,10172610,"Qikiqtaruk",2017,38,48.6666666666667,442,"H17SR21"
"109","H17Sr22","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,48,321,307,24,41,41,38,21,20,26,35.3,9.4,4730256,"Qikiqtaruk",2017,22.3333333333333,40,314,"H17SR22"
"110","H17Sr35","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,46.5,392,339,28,55,51,59,110,78,111,39.2,12.2,6179292,"Qikiqtaruk",2017,99.6666666666667,55,365.5,"H17SR35"
"111","H17Sr36","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,41,134,117,19,55,51,58,250,221,88,41.1,14.8,642798,"Qikiqtaruk",2017,186.333333333333,54.6666666666667,125.5,"H17SR36"
"112","H17Sr37","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,57,178,139,23,51,55,47,92,53,70,40.9,8.3,1410294,"Qikiqtaruk",2017,71.6666666666667,51,158.5,"H17SR37"
"113","H17Sr39","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,36,128,123,11,44,41,43,48,30,44,35.9,13.6,566784,"Qikiqtaruk",2017,40.6666666666667,42.6666666666667,125.5,"H17SR39"
"114","H17Sr40","#N/A","Qikiqtaruk",2017-08-14,NA,2017-08-20,2017,32,151,124,12,36,33,33,24,28,24,31.6,13.1,599168,"Qikiqtaruk",2017,25.3333333333333,34,137.5,"H17SR40"
"115","PC16PVSR1","PC16PVSr1","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,148,147,103,34.1,NA,NA,NA,NA,NA,NA,29.9,10.3,2240868,"Kluane",2016,NA,NA,125,"PC16PVSR1"
"116","PC16PVSR2","PC16PVSr2","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,124,154,117,50.3,NA,NA,NA,NA,NA,NA,40.4,10.8,2234232,"Kluane",2016,NA,NA,135.5,"PC16PVSR2"
"117","PC16PVSR3","PC16PVSr3","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,22,46,62,10.4,NA,NA,NA,NA,NA,NA,30.5,7.5,62744,"Kluane",2016,NA,NA,54,"PC16PVSR3"
"118","PC16PVSR4","PC16PVSr4","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,174,183,226,69.6,NA,NA,NA,NA,NA,NA,28.5,9.4,7196292,"Kluane",2016,NA,NA,204.5,"PC16PVSR4"
"119","PC16PVSR5","PC16PVSr5","Pika Camp",2016-06-29,2016-07-02,2016-08-08,2016,100,224,137,47,NA,NA,NA,NA,NA,NA,43.5,10.6,3068800,"Kluane",2016,NA,NA,180.5,"PC16PVSR5"
"120","PC16PVSR6","PC16PVSr6","Pika Camp",2016-06-29,NA,2016-07-02,2016,108,215,152,38.7,NA,NA,NA,NA,NA,NA,34.8,10.6,3529440,"Kluane",2016,NA,NA,183.5,"PC16PVSR6"
"121","PC16PVSR7","PC16PVSr7","Pika Camp",2016-06-29,NA,2016-07-02,2016,81,222,108,33.3,NA,NA,NA,NA,NA,NA,33.5,11.6,1942056,"Kluane",2016,NA,NA,165,"PC16PVSR7"
"122","PC16PVSR8","PC16PVSr8","Pika Camp",2016-06-29,NA,2016-07-02,2016,76,235,154,24.7,NA,NA,NA,NA,NA,NA,39.5,8.4,2750440,"Kluane",2016,NA,NA,194.5,"PC16PVSR8"
