"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes"
"27","SW","HESr8",NA,"HESr8",2013,"Salix richardsonii","Qikiqtaruk",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,14,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","IMS","KLSPC1",NA,"KLSpC1",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","MG","KLSPC10",NA,"KLSpC10",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,13,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","MG","KLSPC8",NA,"KLSpC8",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","MG","KLSPC9",NA,"KLSpC9",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","IMS","KLSpE1",NA,"KLSpE1",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","MG","KLSpE11",NA,"KLSpE11",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","MG","KLSpE13",NA,"KLSpE13",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","MG","KLSpE14",NA,"KLSpE14",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","MG","KLSpE15",NA,"KLSpE15",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,12,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","IMS","KLSpE2",NA,"KLSpE2",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,20,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","IMS","KLSpE5",NA,"KLSpE5",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","CF","KLSpE6",NA,"KLSpE6",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,4,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","CF","KLSpE8",NA,"KLSpE8",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","CF","KLSpE9",NA,"KLSpE9",2013,"Salix pulchra","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,14,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","LB","KLSrC2",NA,"KLSrC2",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","IR","KLSrC6",NA,"KLSrC6",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","SW","KLSrE10",NA,"KLSrE10",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,11,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","IR","KLSrE11",NA,"KLSrE11",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,13,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","IR","KLSrE14",NA,"KLSrE14",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,11,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","SW","KLSrE6",NA,"KLSrE6",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","SW","KLSrE7",NA,"KLSrE7",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","SW","KLSrE9",NA,"KLSrE9",2013,"Salix richardsonii","Kluane",NA,"15/05/2014","5","15",2014,NA,NA,NA,NA,9,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","IMS","HESp1",NA,"HESp1",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","MG","HESp11",NA,"HERSp11",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,25,34,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","MG","HESp11",NA,"HERSp11",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,45,43,50,45,40,25,NA,NA,NA,NA,NA,"Herb 5",NA,NA
"53","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,12.61,14.89,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,25,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,30,28,26,28,25,21,NA,NA,NA,NA,NA,NA,NA,NA
"56","CF","HESp12",NA,"HESp12",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,13,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","MG","HESp12",NA,"HERSp12",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,45,36,43,30,25,25,NA,NA,NA,NA,NA,"Herb 5",NA,NA
"58","MG","HESp14",NA,"HERSp14",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,30,14,15,10,1,NA,NA,NA,NA,NA,NA,"Herb 50 ",NA,NA
"59","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,11.25,10.36,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,17,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,18,20,17,19,15,10,NA,NA,NA,NA,NA,"N or P deficiency, scene fence",NA,NA
"62","MG","HESp17",NA,"HESp17",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,10,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,30.3,29.36,34.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,27,30,21,26,30,10,NA,NA,NA,NA,NA,NA,NA,NA
"65","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"18/06/2015","6","18",2015,NA,NA,NA,NA,38,32,28,31,40,15,NA,NA,NA,NA,NA,NA,NA,NA
"66","MG","HESp18",NA,"HESp18",2013,"Salix pulchra","Qikiqtaruk",NA,"15/08/2015","8","15",2015,NA,NA,NA,NA,19,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"18/05/2015","5","18",2015,NA,NA,NA,NA,14.68,13.11,14.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","IMS","HESp2",NA,"HESp2",2013,"Salix pulchra","Qikiqtaruk",NA,"02/06/2015","6","2",2015,NA,NA,NA,NA,15,20,19,29,25,5,NA,NA,NA,NA,NA,NA,NA,NA
