Sample_ID,Match,Species,Sample_location,Sample_location_full,Date_sampled,Date_propagated,Date_planted,Year_planted,Mother_height,Mother_CW_1,Mother_CW_2,Mother_LS,Mother_LL1,Mother_LL2,Mother_LL3,Mother_SE1,Mother_SE2,Mother_SE3,Mother_Sex,Cutting_length,Cutting_diameter,Cutting_age,Year_dead,Survived_2014,Survived_2015,Survived_2016,Survived_2017,Survived_2018,Survived_2019,Survived_2020,Survived_2021,Bed,Row,Column,Notes,Field_notes,Data_notes
HESr1,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,5,3,NA,,
HESr10,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,4,6,NA,,
HESr11,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,3,2,NA,,
HESr12,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,3,3,NA,,
HESr14,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,3,6,NA,,
HESr15,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,3,4,NA,,
HESr18,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,7,5,5,NA,,
HESr19,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,7,5,6,NA,,
HESr22,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,31.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,4,4,NA,,
HESr25,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,4,7,NA,,
HESr28,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,3,5,NA,,
HESr30,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,3,7,NA,,
HESr5,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,5,7,NA,,
HESr9,#N/A,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,49.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,4,5,NA,,
KLSpC11,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,83,397,298,3.2,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,8,3,3,NA,,
KLSpC14,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,166,345,157,6.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,8,3,6,NA,,
KLSpC15,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,111,490,500+,3.3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,8,3,7,NA,,
KLSpC4,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,95,462,155,3.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,1,2,5,NA,,
KLSpC5,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,220,500+,296,4.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,3,7,NA,,
KLSpC6,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,42,194,108,1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,3,2,3,NA,,
KLSpC7,#N/A,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,51,500+,249,1.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,3,2,4,NA,,
KLSrC1,KL-SRC 1,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,163,275,178,6.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,3,3,NA,,
KLSrC12,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,161,325,394,5.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,2,4,NA,,
KLSrC14,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,193,215,149,5.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,2,6,NA,,
KLSrC15,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,178,510,500+,6.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,4,2,7,NA,,
KLSrC3,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,146,184,169,7.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,3,5,NA,,
KLSrC4,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,134,500+,201,7.7,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,3,6,NA,,
KLSrC5,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,118,156,74,3.9,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,3,7,NA,,
KLSrC8,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,38,112,78,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,7,3,5,NA,,
KLSrC9,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,53,179,134,2.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,7,3,6,NA,,
KLSrE1,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,43,145,92,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,4,3,NA,,
KLSrE2,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,33,91,76,1.6,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,4,4,NA,,
KLSrE3,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,49,48,39,1.4,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,4,5,NA,,
KLSrE5,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,36,60,42,1.2,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,5,4,7,NA,,
KLSrE8,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2018,NA,13/08/2021,2013,64,124,89,1.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2013,0,0,0,0,0,0,0,0,2,2,4,NA,,
HESp1,HE-SP 1,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,1,4,2,NA,,
HESp14,#N/A,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,6,4,5,NA,,
HESp19,HE-SP 19,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,3,4,6,NA,,
HESp27,#N/A,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,8,4,4,NA,,
HESp30,HE-SP 30,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,8,4,7,NA,,
HESr16,HE-SR 16,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,7,5,3,NA,,
HESr20,HE-SR 20,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,7,5,7,NA,,
HESr24,HE-SR 24,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,4,4,6,NA,,
HESr29,HE-SR 29,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,4,3,6,NA,,
HESr4,HE-SR 4,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,41.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,5,5,6,NA,,
KLSpC12,KL-SPC 12,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,97,419,176,3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,8,3,4,NA,,
KLSpE13,KL-SPE 13,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,35,78,56,1.3,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,3,3,5,NA,,
KLSrE12,#N/A,Salix richardsonii,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,36,46,27,1.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2014,1,0,0,0,0,0,0,0,7,4,4,NA,,
HESp6,HE-SP 6,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2020,1,1,1,1,1,1,1,0,6,5,2,NA,,
HESr21,HE-SR 21,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2020,1,1,1,1,1,1,1,0,4,4,3,NA,,
KLSpE10,KL-SPE 10,Salix pulchra,Kluane,Pika Camp,13/08/2010,NA,13/08/2013,2013,35,8,69,1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2020,1,1,1,1,1,1,1,0,6,3,6,NA,,
HESr6,HE-SR 6,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2019,1,1,1,1,1,1,0,0,2,4,2,NA,,
KLSpC10,KL-SPC 10,Salix pulchra,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,41,344,259,1.1,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2019,1,1,1,1,1,1,0,0,3,2,7,NA,,
KLSrC7,KL-SRC 7,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,155,198,178,5.5,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2019,1,1,1,1,1,1,0,0,7,3,4,NA,,
HESp18,HE-SP 18,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2019,1,1,1,1,1,0,0,0,3,4,5,NA,,
HESp23,HE-SP 23,Salix pulchra,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2018,1,1,1,1,1,0,0,0,8,5,5,NA,Dead or gone in garden in 2021,
HESr17,HE-SR 17,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2016,1,1,1,0,0,0,0,0,7,5,4,NA,,
HESr27,HE-SR 27,Salix richardsonii,Qikiqtaruk,QHI,13/07/2026,NA,13/08/2013,2013,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2016,1,1,1,0,0,0,0,0,4,3,4,NA,,
KLSrC11,KL-SRC 11,Salix richardsonii,Kluane,Pika Camp,13/08/2011,NA,13/08/2013,2013,137,327,288,4.7,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,2016,1,1,1,0,0,0,0,0,4,2,3,NA,,
HEFSr1,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,71.8,NA,NA,2.1,NA,NA,NA,NA,NA,NA,Female,72.5,NA,18,2013,0,0,0,0,0,0,0,0,5,2,3,NA,,
HEFSr10,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,65.1,NA,NA,2.7,NA,NA,NA,NA,NA,NA,Female,62.7,NA,21,2013,0,0,0,0,0,0,0,0,2,5,6,NA,,
HEFSr11,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,71.6,NA,NA,2.1,NA,NA,NA,NA,NA,NA,Female,54.7,NA,12,2013,0,0,0,0,0,0,0,0,7,2,3,NA,,
HEFSr12,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,69.8,NA,NA,1.5,NA,NA,NA,NA,NA,NA,Female,53.4,NA,14,2013,0,0,0,0,0,0,0,0,7,2,4,NA,,
HEFSr13,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,44.4,NA,NA,2,NA,NA,NA,NA,NA,NA,Female,47.9,NA,14,2013,0,0,0,0,0,0,0,0,7,2,5,NA,,
HEFSr14,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,73.1,NA,NA,2.3,NA,NA,NA,NA,NA,NA,Male,60.3,NA,16,2013,0,0,0,0,0,0,0,0,7,2,6,NA,,
HEFSr15,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,80,NA,NA,1.5,NA,NA,NA,NA,NA,NA,Female,53.9,NA,17,2013,0,0,0,0,0,0,0,0,7,2,7,NA,,
HEFSr16,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,67.3,NA,NA,1.7,NA,NA,NA,NA,NA,NA,Female,57.4,NA,16,2013,0,0,0,0,0,0,0,0,4,5,3,NA,,
HEFSr17,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,73.5,NA,NA,1.6,NA,NA,NA,NA,NA,NA,Female,66.9,NA,13,2013,0,0,0,0,0,0,0,0,4,5,4,NA,,
HEFSr18,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,78.6,NA,NA,1.7,NA,NA,NA,NA,NA,NA,Female,56.3,NA,10,2013,0,0,0,0,0,0,0,0,4,5,5,NA,,
HEFSr19,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,69.1,NA,NA,1.8,NA,NA,NA,NA,NA,NA,Female,58.4,NA,12,2013,0,0,0,0,0,0,0,0,4,5,6,NA,,
HEFSr2,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,71.2,NA,NA,1.9,NA,NA,NA,NA,NA,NA,Male,77.1,NA,9,2013,0,0,0,0,0,0,0,0,5,2,4,NA,,
HEFSr20,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,104.2,NA,NA,1.7,NA,NA,NA,NA,NA,NA,Female,52,NA,13,2013,0,0,0,0,0,0,0,0,4,5,7,NA,,
HEFSr21,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,100.2,NA,NA,2.3,NA,NA,NA,NA,NA,NA,Male,59.3,NA,11,2013,0,0,0,0,0,0,0,0,5,2,2,NA,,
HEFSr22,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,92.5,NA,NA,2,NA,NA,NA,NA,NA,NA,Female,65.8,NA,16,2013,0,0,0,0,0,0,0,0,5,3,2,NA,,
HEFSr24,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,63.2,NA,NA,2.2,NA,NA,NA,NA,NA,NA,Unknown,66.1,NA,13,2013,0,0,0,0,0,0,0,0,5,5,2,NA,,
HEFSr25,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,89.4,NA,NA,2.1,NA,NA,NA,NA,NA,NA,Female,63.5,NA,12,2013,0,0,0,0,0,0,0,0,5,6,2,NA,,
HEFSr26,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,62.6,NA,NA,1.4,NA,NA,NA,NA,NA,NA,Female,59.8,NA,16,2013,0,0,0,0,0,0,0,0,4,1,2,NA,,
HEFSr27,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,66.6,NA,NA,1.4,NA,NA,NA,NA,NA,NA,Female,64.2,NA,21,2013,0,0,0,0,0,0,0,0,4,2,2,NA,,
HEFSr28,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,45.7,NA,NA,1.5,NA,NA,NA,NA,NA,NA,Female,61.6,NA,18,2013,0,0,0,0,0,0,0,0,4,3,2,NA,,
HEFSr29,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,55.1,NA,NA,1.2,NA,NA,NA,NA,NA,NA,Female,57.4,NA,12,2013,0,0,0,0,0,0,0,0,4,4,2,NA,,
HEFSr3,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,74.9,NA,NA,3.3,NA,NA,NA,NA,NA,NA,Male,58.7,NA,12,2013,0,0,0,0,0,0,0,0,5,2,5,NA,,
HEFSr30,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,55,NA,NA,2.7,NA,NA,NA,NA,NA,NA,Male,50,NA,21,2013,0,0,0,0,0,0,0,0,4,5,2,NA,,
HEFSr5,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,83.6,NA,NA,2.3,NA,NA,NA,NA,NA,NA,Female,59.7,NA,29,2013,0,0,0,0,0,0,0,0,5,2,7,NA,,
HEFSr6,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,71.4,NA,NA,2.3,NA,NA,NA,NA,NA,NA,Female,59.7,NA,10,2013,0,0,0,0,0,0,0,0,2,5,2,NA,,
HEFSr7,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,82.4,NA,NA,1.7,NA,NA,NA,NA,NA,NA,Female,67.5,NA,16,2013,0,0,0,0,0,0,0,0,2,5,3,NA,,
HEFSr8,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,60,NA,NA,2.1,NA,NA,NA,NA,NA,NA,Female,54,NA,21,2013,0,0,0,0,0,0,0,0,2,5,4,NA,,
HEFSr9,#N/A,Salix richardsonii,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,79.2,NA,NA,2.3,NA,NA,NA,NA,NA,NA,Female,52.8,NA,18,2013,0,0,0,0,0,0,0,0,2,5,5,NA,,
HERSp1,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,42.5,273.6,NA,1.6,NA,NA,NA,NA,NA,NA,Female,111,NA,18,2013,0,0,0,0,0,0,0,0,1,1,2,NA,,
HERSp10,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,31.9,197,NA,0.9,NA,NA,NA,NA,NA,NA,Unknown,56,NA,12,2013,0,0,0,0,0,0,0,0,6,6,6,NA,,
HERSp13,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,57.2,272/1,NA,1.4,NA,NA,NA,NA,NA,NA,Female,62.7,NA,13,2013,0,0,0,0,0,0,0,0,3,1,5,NA,,
HERSp15,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,33.4,407,NA,1.2,NA,NA,NA,NA,NA,NA,Female,53.7,NA,19,2013,0,0,0,0,0,0,0,0,3,1,7,NA,,
HERSp16,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,55.3,500+,NA,1.5,NA,NA,NA,NA,NA,NA,Male,63.9,NA,20,2013,0,0,0,0,0,0,0,0,8,6,3,NA,,
HERSp17,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,34.1,314.5,NA,2.3,NA,NA,NA,NA,NA,NA,Male,55.7,NA,9,2013,0,0,0,0,0,0,0,0,8,6,4,NA,,
HERSp18,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,33.6,292.2,NA,1.2,NA,NA,NA,NA,NA,NA,Male,46,NA,12,2013,0,0,0,0,0,0,0,0,8,6,5,NA,,
HERSp19,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,45.5,500+,NA,1,NA,NA,NA,NA,NA,NA,Female,61.9,NA,19,2013,0,0,0,0,0,0,0,0,8,6,6,NA,,
HERSp2,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,37.5,481.1,NA,5.1,NA,NA,NA,NA,NA,NA,Female,84.5,NA,16,2013,0,0,0,0,0,0,0,0,1,1,3,NA,,
HERSp20,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,39.5,204.2,NA,0.7,NA,NA,NA,NA,NA,NA,Female,56.4,NA,9,2013,0,0,0,0,0,0,0,0,8,6,7,NA,,
HERSp21,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,38.1,500+,NA,1,NA,NA,NA,NA,NA,NA,Male,47.6,NA,13,2013,0,0,0,0,0,0,0,0,1,5,1,NA,,
HERSp22,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,32.2,307.4,NA,0.9,NA,NA,NA,NA,NA,NA,Female,71.5,NA,10,2013,0,0,0,0,0,0,0,0,1,4,1,NA,,
HERSp23,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,27.5,500+,NA,0.8,NA,NA,NA,NA,NA,NA,Unknown,49.3,NA,13,2013,0,0,0,0,0,0,0,0,1,3,1,NA,,
HERSp25,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,36.8,137.3,NA,1,NA,NA,NA,NA,NA,NA,Female,58.4,NA,13,2013,0,0,0,0,0,0,0,0,1,1,1,NA,,
HERSp27,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,30,226.1,NA,0.9,NA,NA,NA,NA,NA,NA,Male,45.5,NA,13,2013,0,0,0,0,0,0,0,0,8,3,2,NA,,
HERSp28,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,34,291,NA,1,NA,NA,NA,NA,NA,NA,Unknown,52.3,NA,17,2013,0,0,0,0,0,0,0,0,8,4,2,NA,,
HERSp6,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,38.4,390,NA,1.2,NA,NA,NA,NA,NA,NA,Male,61.6,NA,11,2013,0,0,0,0,0,0,0,0,6,6,2,NA,,
HERSp7,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,29.9,500+,NA,1.4,NA,NA,NA,NA,NA,NA,Female,69.4,NA,16,2013,0,0,0,0,0,0,0,0,6,6,3,NA,,
HERSp8,#N/A,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,29.3,291.7,NA,1.1,NA,NA,NA,NA,NA,NA,Female,53.8,NA,12,2013,0,0,0,0,0,0,0,0,6,6,4,NA,,
HERSp9,HER-SP 9,Salix pulchra,Qikiqtaruk,QHI,14/08/2015,NA,14/08/2024,2014,38.4,284.3,NA,1.3,NA,NA,NA,NA,NA,NA,Male,53.2,NA,10,2013,0,0,0,0,0,0,0,0,6,6,5,NA,,
