Bed,SampleID
IR,KP16Sr26
IR,KP16Sr27
IR,KP16Sr28
IR,KP16Sr29
IR,KP16Sr30
IR,KP16Sr46
IR,PC16CESr10
IR,PC16CESr6
IR,PC16CESr8
IR,PC16CESr9
IR,PC17Sr11
IR,PC17Sr12
IR,PC17Sr13
JA,H17Sa1
JA,H17Sa10
JA,H17Sa11
JA,H17Sa2
JA,H17Sa3
JA,H17Sa4
JA,H17Sa5
JA,H17Sa6
JA,H17Sa7
JA,H17Sa8
JA,H17Sa9
JA,H18Sa14
JA,H18Sa15
JA,H18Sa16
JA,H18Sa17
JA,H18Sa18
JA,H18Sa19
JA,H18Sa20
JA,HE16Sa3
JA,K17Sa1
JA,K17Sa5
JA,KP16Sa1
JA,KP16Sa5
JA,KP17Sa13
JA,KP17Sa2
JA,KP17Sa4
JA,KP18Sa1
JA,KP18Sa2
JA,KP18Sa3
JA,KP18Sa4
JA,PC16CESa2
JA,PC16CWSa1
JA,PC17Sa1
JA,PC17Sa10
JA,PC17Sa2
JA,PC17Sa3
JA,PC17Sa6
JA,PC17Sa7
JA,PC17Sa8
JA,PC17Sa9
JA,PP16MSa1
JA,PP16MSa5
JB,H15Sa1
JB,H15Sa10
JB,H15Sa11
JB,H15Sa12
JB,H15Sa14
JB,H15Sa15
JB,H15Sa16
JB,H15Sa17
JB,H15Sa18
JB,H15Sa19
JB,H15Sa20
JB,H15Sa3
JB,H15Sa4
JB,H15Sa5
JB,H15Sa7
JB,H15Sa8
JB,H15Sa9
JB,H17Sa17
JB,H17Sa18
JB,H17Sa19
JB,H17Sa20
JB,H18Sa11
JB,H18Sa12
JB,H18Sa13
JB,K15PSa10
JB,K15PSa11
JB,K15PSa12
JB,K15PSa13
JB,K15PSa15
JB,K15PSa2
JB,K15PSa6
JB,K15PSa7
JB,K15PSa8
JB,K15PSa9
JB,K17Sa10
JB,K17Sa20
JB,KP17Sa10
JB,KP17Sa8
JB,KP17Sa9
JB,Pc17Sa4
JB,Pc17Sa5
JG,H18Sp16
JG,H18Sp17
JG,H18Sp18
JG,H18Sp19
JG,H18Sp20
JG,HE16Sp16
JG,HE16Sp17
JG,HE16Sp18
JG,HE16Sp19
JG,HE16Sp20
JG,HE16Sp21
JG,HE16Sp22
JG,HE16Sp23
JG,HE16Sp24
JG,HE16Sp25
JG,HE16Sp26
JG,HE16Sp27
JG,HE16Sp28
JG,HE16Sp29
JG,HE16Sp30
JG,KP16Sp16
JG,KP16Sp17
JG,KP16Sp18
JG,KP16Sp19
JG,KP16Sp36
JG,KP16Sp37
JG,KP16Sp38
JG,KP16Sp39
JG,KP16Sp56
JG,KP16Sp57
JG,KP16Sp58
JG,KP16Sp59
JG,KP16Sp60
JG,KP18Sp1
JG,KP18Sp2
JG,KP18Sp3
JG,KP18Sp4
JG,PC16PVSp1
JG,PC16PVSp2
JG,PC16PVSp5
JG,PC17Sp10
JG,PC17Sp7
JG,PC17Sp8
JG,PC17Sp9
LB,H15Sr11
LB,H15Sr3
LB,H15Sr4
LB,H15Sr5
LB,H15Sr6
LB,H15Sr8
LB,H15Sr9
LB,H17Sr1
LB,H17Sr2
LB,H17Sr3
LB,H17Sr4
LB,H17Sr5
LB,H18Sr1
LB,H18Sr2
LB,H18Sr3
LB,H18Sr4
LB,H18Sr5
LB,HEFSr4
LB,HEFSr4B_clone
LB,HESr2
LB,HESr3
LB,K15CSr2
LB,K15CSr3
LB,K17Sr6
LB,K17Sr7
LB,K17Sr8
LB,K17Sr9
LB,KLSrC2
LB,KLSrE4
LB,KP16Sr1
LB,KP16Sr12
LB,KP16Sr21
LB,KP16Sr22
LB,KP16Sr23
LB,KP16Sr24
LB,KP16Sr25
LB,KP16Sr41
LB,KP16Sr43
LB,KP16Sr44
LB,KP16Sr45
LB,KP17Sr1
LB,KP17Sr2
LB,KP17Sr3
LB,KP17Sr4
LB,KP17Sr5
LB,PC17Sr1
LB,PC17Sr2
LB,PC17Sr3
MG,H15Sp21
MG,H15Sp22
MG,H15Sp23
MG,H15Sp24
MG,H18Sp1
MG,H18Sp21
MG,H18Sp22
MG,H18Sp23
MG,H18Sp24
MG,H18Sp25
MG,HERSp11
MG,HERSp12
MG,HERSp14
MG,HESp17
MG,HESp18
MG,HESp20
MG,K15ESp6
MG,K15ESp7
MG,K15ESp8
MG,K15ESp9
MG,K15PSp10
MG,K15PSp6
MG,K15PSp7
MG,K15PSp8
MG,K15PSp9
MG,KLSpC10
MG,KLSpC8
MG,KLSpC9
MG,KLSpE11
MG,KLSpE12
MG,KLSpE14
MG,KLSpE15
MG,KP16Sp47
MG,KP16Sp48
MG,KP17Sp6
MG,KP17Sp7
MG,KP17Sp8
MG,KP18Sp5
MG,KP18Sp6
MG,PP16TSp10
MG,PP16TSp6
MG,PP16TSp7
MG,PP16TSp9
NA,H15Bn11
NA,H15Bn13
NA,H15Bn2
NA,H15Bn30
NA,KP16Bn1
NA,KP16Bn2
NA,KP16Bn3
SAB,H17Sa12
SAB,H17Sa13
SAB,H17Sa14
SAB,H17Sa15
SAB,H17Sa16
SAB,H18Sa1
SAB,H18Sa10
SAB,H18Sa2
SAB,H18Sa3
SAB,H18Sa4
SAB,H18Sa5
SAB,H18Sa6
SAB,H18Sa7
SAB,H18Sa8
SAB,H18Sa9
SAB,HE16Sa10
SAB,HE16Sa14
SAB,HE16Sa17
SAB,HE16Sa19
SAB,HE16Sa20
SAB,HE16Sa6
SAB,HE16Sa7
SAB,HE16Sa8
SAB,KP16Sa10
SAB,KP16Sa11
SAB,KP16Sa12
SAB,KP16Sa13
SAB,KP16Sa14
SAB,KP16Sa15
SAB,KP16Sa16
SAB,KP16Sa17
SAB,KP16Sa18
SAB,KP16Sa19
SAB,KP16Sa20
SAB,KP16Sa6
SAB,KP16Sa8
SAB,KP17Sa6
SAB,KP17Sa7
SAB,PC16PVSa1
SAB,PC16PVSa2
SAB,PC16PVSa3
SAB,PC16PVSa4
SAB,PC16PVSa5
SL,H17Sp8
SL,H18Sp11
SL,H18Sp12
SL,H18Sp13
SL,H18Sp14
SL,H18Sp15
SL,HE16Sp10
SL,HE16Sp11
SL,HE16Sp12
SL,HE16Sp13
SL,HE16Sp14
