Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes_canopy_height_prev_cm,August_2021_notes,July_2021_notes
IR,KLSrE14,NA,KLSrE14,2013,Salix richardsonii,Kluane,NA,15/05/2014,5,15,2014,NA,NA,NA,NA,11,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,KLSrE6,NA,KLSrE6,2013,Salix richardsonii,Kluane,NA,15/05/2014,5,15,2014,NA,NA,NA,NA,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,KLSrE7,NA,KLSrE7,2013,Salix richardsonii,Kluane,NA,15/05/2014,5,15,2014,NA,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,KLSrE9,NA,KLSrE9,2013,Salix richardsonii,Kluane,NA,15/05/2014,5,15,2014,NA,NA,NA,NA,9,8,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,HESp1,NA,HESp1,2013,Salix pulchra,Qikiqtaruk,NA,15/08/2015,8,15,2015,NA,NA,NA,NA,14,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp11,NA,HERSp11,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,25,34,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,HESp11,NA,HERSp11,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,45,43,50,45,40,25,NA,NA,NA,NA,NA,Herb 5,NA,NA
CF,HESp12,NA,HESp12,2013,Salix pulchra,Qikiqtaruk,NA,18/05/2015,5,18,2015,NA,NA,NA,NA,12.61,14.89,10.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp12,NA,HESp12,2013,Salix pulchra,Qikiqtaruk,NA,02/06/2015,6,2,2015,NA,NA,NA,NA,25,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,HESp12,NA,HESp12,2013,Salix pulchra,Qikiqtaruk,NA,18/06/2015,6,18,2015,NA,NA,NA,NA,30,28,26,28,25,21,NA,NA,NA,NA,NA,NA,NA,NA
