Bed,SampleID,Bed_old,SampleID_old,Year_planted,Species,Site,Plant_ID_fulcrum,Sample_Date,Month,Day,Year,Canopy_Height_cm,Width_cm,Width_2_cm,Stem_diameter ,Stem_Elongation_1_mm,Stem_Elongation_2_mm,Stem_Elongation_3_mm,Length_1_mm,Length_2_mm,Length_3_mm,Fresh_mass,Dry_mass,LA,LDMC,SLA,Notes_canopy_height_prev_cm,August_2021_notes,July_2021_notes
SW,K15CSr5,NA,K15CSr5,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,K15CSr6,NA,K15CSr6,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,K15CSr6,NA,K15CSr6,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
SW,K15CSr6,NA,K15CSr6,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,K15CSr6,NA,K15CSr6,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,K15CSr7,NA,K15CSr7,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
IR,K15CSr7,NA,K15CSr7,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IR,K15CSr7,NA,K15CSr7,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IR,K15CSr7,NA,K15CSr7,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15CSr8,NA,K15CSr8,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15CSr8,NA,K15CSr8,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
AC,K15CSr8,NA,K15CSr8,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15CSr8,NA,K15CSr8,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15CSr9,NA,K15CSr9,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15CSr9,NA,K15CSr9,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Re,over",NA,NA
AC,K15CSr9,NA,K15CSr9,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible growth ,NA,NA
MG,K15ESp1,NA,K15ESp1,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
MG,K15ESp1,NA,K15ESp1,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
MG,K15ESp1,NA,K15ESp1,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
MG,K15ESp1,NA,K15ESp1,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp10,NA,K15ESp10,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
MG,K15ESp10,NA,K15ESp10,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
MG,K15ESp10,NA,K15ESp10,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
MG,K15ESp10,NA,K15ESp10,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,K15ESp2,NA,K15ESp2,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
CF,K15ESp2,NA,K15ESp2,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
CF,K15ESp2,NA,K15ESp2,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
CF,K15ESp2,NA,K15ESp2,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,K15ESp3,NA,K15ESp3,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
CF,K15ESp3,NA,K15ESp3,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
CF,K15ESp3,NA,K15ESp3,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
CF,K15ESp3,NA,K15ESp3,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CF,K15ESp4,NA,K15ESp4,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
CF,K15ESp4,NA,K15ESp4,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
CF,K15ESp4,NA,K15ESp4,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
CF,K15ESp4,NA,K15ESp4,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp5,NA,K15ESp5,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp5,NA,K15ESp5,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
MG,K15ESp5,NA,K15ESp5,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
MG,K15ESp5,NA,K15ESp5,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp6,NA,K15ESp6,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp6,NA,K15ESp6,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
MG,K15ESp6,NA,K15ESp6,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
MG,K15ESp6,NA,K15ESp6,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp7,NA,K15ESp7,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp7,NA,K15ESp7,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
MG,K15ESp7,NA,K15ESp7,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Looks dead,NA,NA
MG,K15ESp7,NA,K15ESp7,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp8,NA,K15ESp8,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MG,K15ESp8,NA,K15ESp8,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
MG,K15ESp8,NA,K15ESp8,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
MG,K15ESp8,NA,K15ESp8,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,K15ESr1,NA,K15ESr1,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW,K15ESr1,NA,K15ESr1,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
SW,K15ESr1,NA,K15ESr1,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early dead growth,NA,NA
SW,K15ESr1,NA,K15ESr1,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early dead growth,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Looks dead,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp1,NA,K15PSp1,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early dead growth,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scen. leaves from last year,NA,NA
IMS,K15PSp2,NA,K15PSp2,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early dead growth,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scen. leaves from last year,NA,NA
IMS,K15PSp3,NA,K15PSp3,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early dead growth,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,scen. leaves from last year,NA,NA
IMS,K15PSp4,NA,K15PSp4,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IMS,K15PSp5,NA,K15PSp5,2015,Salix pulchra,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,K15PSr1,NA,K15PSr1,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,K15PSr1,NA,K15PSr1,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
LB,K15PSr1,NA,K15PSr1,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
LB,K15PSr1,NA,K15PSr1,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,K15PSr10,NA,K15PSr10,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IR,K15PSr10,NA,K15PSr10,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IR,K15PSr10,NA,K15PSr10,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IR,K15PSr10,NA,K15PSr10,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,K15PSr11,NA,K15PSr11,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IR,K15PSr11,NA,K15PSr11,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IR,K15PSr11,NA,K15PSr11,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IR,K15PSr11,NA,K15PSr11,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IR,K15PSr12,NA,K15PSr12,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead,NA,NA
IR,K15PSr12,NA,K15PSr12,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
IR,K15PSr12,NA,K15PSr12,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible early growth,NA,NA
IR,K15PSr12,NA,K15PSr12,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr13,NA,K15PSr13,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr13,NA,K15PSr13,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
AC,K15PSr13,NA,K15PSr13,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr13,NA,K15PSr13,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr14,NA,K15PSr14,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr14,NA,K15PSr14,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/,NA,NA
AC,K15PSr14,NA,K15PSr14,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Possible growth ,NA,NA
AC,K15PSr14,NA,K15PSr14,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr15,NA,K15PSr15,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr15,NA,K15PSr15,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No leaves,NA,NA
AC,K15PSr15,NA,K15PSr15,2015,Salix richardsonii,Kluane,NA,26/06/2016,6,26,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,K15PSr15,NA,K15PSr15,2015,Salix richardsonii,Kluane,NA,05/06/2016,6,5,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,K15PSr2,NA,K15PSr2,2015,Salix richardsonii,Kluane,NA,11/08/2016,8,11,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LB,K15PSr2,NA,K15PSr2,2015,Salix richardsonii,Kluane,NA,09/07/2016,7,9,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Removed,NA,NA
