"","Bed","SampleID","Bed_old","SampleID_old","Year_planted","Species","Site","Plant_ID_fulcrum","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Fresh_mass","Dry_mass","LA","LDMC","SLA","Notes_canopy_height_prev_cm","August_2021_notes","July_2021_notes","Sample_age","mean_stem_elong","mean_leaf_length"
"803","CF","H15Sp12",NA,"H15Sp12",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,1.5,NA,NA,NA,7.47,6.71,4.84,1.97,1.31,1.32,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,6.34,1.53333333333333
"804","CF","H15Sp13",NA,"H15Sp13",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.6,NA,NA,NA,22.9,25.06,20.37,4.86,2.71,2.65,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,22.7766666666667,3.40666666666667
"805","CF","H15Sp14",NA,"H15Sp14",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,10.7,NA,NA,NA,21.84,19.41,17.44,4.05,3.42,2.3,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,19.5633333333333,3.25666666666667
"806","CF","H15Sp15",NA,"H15Sp15",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,7.9,NA,NA,NA,21.51,18.84,22.2,4.56,4.24,3.53,NA,NA,NA,NA,NA,"Rusty, senescence 80%",NA,NA,3,20.85,4.11
"807","CF","H15Sp16",NA,"H15Sp16",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,3,NA,NA
"808","CF","H15Sp17",NA,"H15Sp17",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,3,NA,NA
"809","CF","H15Sp18",NA,"H15Sp18",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,17.1,NA,NA,NA,23.04,24.84,25.72,8.13,5.09,3.54,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,24.5333333333333,5.58666666666667
"810","CF","H15Sp19",NA,"H15Sp19",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,8.3,NA,NA,NA,20.34,18.64,16.2,6.04,4.38,4.18,NA,NA,NA,NA,NA,"Senescence 95%",NA,NA,3,18.3933333333333,4.86666666666667
"811","IMS","H15Sp2",NA,"H15Sp2",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2.6,NA,NA,NA,15.68,9.91,8.08,3.17,2.54,1.75,NA,NA,NA,NA,NA,"Browning leaves, 100% senescence ",NA,NA,3,11.2233333333333,2.48666666666667
"812","CF","H15Sp20",NA,"H15Sp20",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.7,NA,NA,NA,15.78,13.51,11.27,3.75,2.57,1.4,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,13.52,2.57333333333333
"813","MG","H15Sp21",NA,"H15Sp21",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,3,NA,NA
"814","MG","H15Sp22",NA,"H15Sp22",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"815","MG","H15Sp23",NA,"H15Sp23",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.7,NA,NA,NA,11.77,11.28,12.64,3.14,1.95,1.43,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,11.8966666666667,2.17333333333333
"816","MG","H15Sp24",NA,"H15Sp24",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,11.3,NA,NA,NA,21.14,23.09,20.79,22.79,24.78,15.4,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,21.6733333333333,20.99
"817","AB","H15Sp25",NA,"H15Sp25",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.3,NA,NA,NA,20.22,14.64,15.28,3.93,1.93,2.22,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,16.7133333333333,2.69333333333333
"818","AB","H15Sp27",NA,"H15Sp27",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,10.4,NA,NA,NA,24.44,24.24,24.57,4.45,3.24,3.76,NA,NA,NA,NA,NA,"Senescence 70%",NA,NA,3,24.4166666666667,3.81666666666667
"819","AB","H15Sp29",NA,"H15Sp29",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.6,NA,NA,NA,20.39,22.97,22.34,3.53,3.17,1.4,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,21.9,2.7
"820","IMS","H15Sp3",NA,"H15Sp3",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead",NA,NA,3,NA,NA
"821","AB","H15Sp30",NA,"H15Sp30",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,3,NA,NA
"822","IMS","H15Sp4",NA,"H15Sp4",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,3,NA,NA
"823","IMS","H15Sp5",NA,"H15Sp5",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,7.4,NA,NA,NA,17.14,20.69,16.68,4.83,4.29,2.75,NA,NA,NA,NA,NA,"Browning leaves, 100% senescence ",NA,NA,3,18.17,3.95666666666667
"824","IMS","H15Sp6",NA,"H15Sp6",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.5,NA,NA,NA,5.95,2.99,2.75,1,0.97,0.96,NA,NA,NA,NA,NA,"100% senescence ",NA,NA,3,3.89666666666667,0.976666666666667
"825","IMS","H15Sp7",NA,"H15Sp7",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"826","IMS","H15Sp8",NA,"H15Sp8",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,7.3,NA,NA,NA,21.63,20.96,22.23,4.79,2.69,2.13,NA,NA,NA,NA,NA,"Browning leaves, 90% senescence ",NA,NA,3,21.6066666666667,3.20333333333333
"827","CF","H15Sp9",NA,"H15Sp9",2015,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,15.1,NA,NA,NA,26.48,17.84,23.13,3.57,2.87,2.49,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,3,22.4833333333333,2.97666666666667
"828","LB","H15Sr11",NA,"H15Sr11",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"829","SW","H15Sr12",NA,"H15Sr12",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"830","SW","H15Sr13",NA,"H15Sr13",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,4.3,NA,NA,NA,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,"100% Senesced",NA,NA,3,NA,NA
"831","SW","H15Sr14",NA,"H15Sr14",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"832","SW","H15Sr15",NA,"H15Sr15",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"833","SW","H15Sr16",NA,"H15Sr16",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"834","SW","H15Sr17",NA,"H15Sr17",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"835","SW","H15Sr18",NA,"H15Sr18",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"836","SW","H15Sr19",NA,"H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,6.3,NA,NA,NA,17.29,19.58,21.54,18.37,22.19,10.78,NA,NA,NA,NA,NA,"100% Senesced",NA,NA,3,19.47,17.1133333333333
"837","SW","H15Sr20",NA,"H15Sr20",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.2,NA,NA,NA,12.55,11.85,12.9,9.42,5.84,7.09,NA,NA,NA,NA,NA,"98% Senesced",NA,NA,3,12.4333333333333,7.45
"838","IR","H15Sr22",NA,"H15Sr22",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"839","IR","H15Sr23",NA,"H15Sr23",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"840","IR","H15Sr24",NA,"H15Sr24",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"841","AC","H15Sr25",NA,"H15Sr25",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"842","AC","H15Sr26",NA,"H15Sr26",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"843","AC","H15Sr29",NA,"H15Sr29",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.4,NA,NA,NA,NA,NA,NA,27.51,25.41,16.41,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,23.11
"844","LB","H15Sr3",NA,"H15Sr3",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"845","AC","H15Sr30",NA,"H15Sr30",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"846","LB","H15Sr4",NA,"H15Sr4",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"847","LB","H15Sr5",NA,"H15Sr5",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.5,NA,NA,NA,26.83,24.64,23.14,13.45,23.62,12.05,NA,NA,NA,NA,NA,"100% Senesced",NA,NA,3,24.87,16.3733333333333
"848","LB","H15Sr6",NA,"H15Sr6",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"849","LB","H15Sr8",NA,"H15Sr8",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,3,NA,NA
"850","LB","H15Sr9",NA,"H15Sr9",2015,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May still be alive",NA,NA,3,NA,NA
"851","JA","H17Sa1",NA,"H17Sa1",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"852","JA","H17Sa10",NA,"H17Sa10",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2,NA,NA,NA,13.38,14.31,9.36,5.51,4.28,1.89,NA,NA,NA,NA,NA,"Senescence 30%",NA,NA,1,12.35,3.89333333333333
"853","JA","H17Sa11",NA,"H17Sa11",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"854","SAB","H17Sa12",NA,"H17Sa12",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2.3,NA,NA,NA,21.88,27.95,16.02,4,3.45,4,NA,NA,NA,NA,NA,"Herbivory 20%, no senescence ",NA,NA,1,21.95,3.81666666666667
"855","SAB","H17Sa13",NA,"H17Sa13",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"856","SAB","H17Sa14",NA,"H17Sa14",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.1,NA,NA,NA,19.64,16.67,15.56,7.45,5.73,5.2,NA,NA,NA,NA,NA,"Herbivory 50%, no senescence ",NA,NA,1,17.29,6.12666666666667
"857","SAB","H17Sa15",NA,"H17Sa15",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2.2,NA,NA,NA,15.08,9.93,12.33,3.72,2.8,2.43,NA,NA,NA,NA,NA,"No senescence ",NA,NA,1,12.4466666666667,2.98333333333333
"858","SAB","H17Sa16",NA,"H17Sa16",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"859","JB","H17Sa17",NA,"H17Sa17",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.4,NA,NA,NA,27.34,16.27,14.65,3.89,2.39,3.89,NA,NA,NA,NA,NA,"Nutrient deficiency, senescence 40%",NA,NA,1,19.42,3.39
"860","JB","H17Sa18",NA,"H17Sa18",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.6,NA,NA,NA,22.8,24.27,16.01,5.85,4.72,6.8,NA,NA,NA,NA,NA,"Herbivory 50%, senescence 75%",NA,NA,1,21.0266666666667,5.79
"861","JB","H17Sa19",NA,"H17Sa19",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"862","JA","H17Sa2",NA,"H17Sa2",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"863","JA","H17Sa3",NA,"H17Sa3",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,1.8,NA,NA,NA,22.18,11.43,NA,6.07,3.42,NA,NA,NA,NA,NA,NA,"Herbivory 80%, senescence 50%",NA,NA,1,NA,NA
"864","JA","H17Sa4",NA,"H17Sa4",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"865","JA","H17Sa5",NA,"H17Sa5",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"866","JA","H17Sa6",NA,"H17Sa6",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,4.9,NA,NA,NA,22.74,18.93,23.89,4.41,5.11,4.05,NA,NA,NA,NA,NA,"Herbivory 20%, senescence 15%",NA,NA,1,21.8533333333333,4.52333333333333
"867","JA","H17Sa7",NA,"H17Sa7",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"868","JA","H17Sa8",NA,"H17Sa8",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,1.2,NA,NA,NA,13.24,11.95,11.06,1.42,2.88,2.12,NA,NA,NA,NA,NA,"Senescence 80%",NA,NA,1,12.0833333333333,2.14
"869","JA","H17Sa9",NA,"H17Sa9",2017,"Salix arctica","Qikiqtaruk",NA,"18/08/2018","8","18",2018,7.2,NA,NA,NA,20.68,17.18,13.71,2.78,2.22,2.04,NA,NA,NA,NA,NA,"Senescence 60%, Herbivory 40%",NA,NA,1,17.19,2.34666666666667
"870","IMS","H17Sp1",NA,"H17Sp1",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"871","AB","H17Sp10",NA,"H17Sp10",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,11.8,NA,NA,NA,24.57,25.04,21.98,5.56,4.35,2.06,NA,NA,NA,NA,NA,"Nutrient deficiency, senescence 70%",NA,NA,1,23.8633333333333,3.99
"872","AB","H17Sp11",NA,"H17Sp11",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"873","AB","H17Sp12",NA,"H17Sp12",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.3,NA,NA,NA,21.45,13.96,15.51,6.05,4.47,4.5,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,1,16.9733333333333,5.00666666666667
"874","AB","H17Sp13",NA,"H17Sp13",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,24.6,NA,NA,NA,20.81,17.54,16.59,4.46,3.86,2.88,NA,NA,NA,NA,NA,"Senescence 95%",NA,NA,1,18.3133333333333,3.73333333333333
"875","AB","H17Sp14",NA,"H17Sp14",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,23.3,NA,NA,NA,12.6,15.19,11.03,1.91,2,0.86,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,1,12.94,1.59
"876","AB","H17Sp15",NA,"H17Sp15",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,8.3,NA,NA,NA,2.93,1.09,3.48,2.88,1.32,1.3,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,1,2.5,1.83333333333333
"877","AB","H17Sp15",NA,"H17Sp15",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"878","AB","H17Sp17",NA,"H17Sp17",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"879","AB","H17Sp18",NA,"H17Sp18",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,3.1,NA,NA,NA,11.62,13.34,13.23,3.13,2.64,1.58,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,1,12.73,2.45
"880","AB","H17Sp19",NA,"H17Sp19",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"881","IMS","H17Sp2",NA,"H17Sp2",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead",NA,NA,1,NA,NA
"882","AB","H17Sp20",NA,"H17Sp20",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.5,NA,NA,NA,28.18,21.23,15.28,1.95,7.02,0.39,NA,NA,NA,NA,NA,"Senescence 100%",NA,NA,1,21.5633333333333,3.12
"883","IMS","H17Sp3",NA,"H17Sp3",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.5,NA,NA,NA,29.39,28.09,16.68,3.17,2.32,1.13,NA,NA,NA,NA,NA,"Browning leaves ",NA,NA,1,24.72,2.20666666666667
"884","IMS","H17Sp4",NA,"H17Sp4",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"885","IMS","H17Sp5",NA,"H17Sp5",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"886","IMS","H17Sp6",NA,"H17Sp6",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.3,NA,NA,NA,33.08,34.26,29.9,2.8,2.61,2.21,NA,NA,NA,NA,NA,"Senescence 50%",NA,NA,1,32.4133333333333,2.54
"887","IMS","H17Sp7",NA,"H17Sp7",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2.3,NA,NA,NA,20.54,8.66,12.03,2.07,1.38,1.97,NA,NA,NA,NA,NA,"Senescence 60%",NA,NA,1,13.7433333333333,1.80666666666667
"888","SL","H17Sp8",NA,"H17Sp8",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not dead ",NA,NA,1,NA,NA
"889","CF","H17Sp9",NA,"H17Sp9",2017,"Salix pulchra","Qikiqtaruk",NA,"18/08/2018","8","18",2018,13.6,NA,NA,NA,32.25,33.01,33.18,4.43,4.36,4.33,NA,NA,NA,NA,NA,"Nutrient deficiency, senescence 30%",NA,NA,1,32.8133333333333,4.37333333333333
"890","LB","H17Sr1",NA,"H17Sr1",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,9.5,NA,NA,NA,12.74,NA,NA,23.14,2.23,1.87,NA,NA,NA,NA,NA,"100% Senesced",NA,NA,1,NA,9.08
"891","GD","H17Sr10",NA,"H17Sr10",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,5.7,NA,NA,NA,22.04,19.64,22.75,15.41,3.15,NA,NA,NA,NA,NA,NA,"10% Senesced, 10% herbivory",NA,NA,1,21.4766666666667,NA
"892","GD","H17Sr11",NA,"H17Sr11",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"893","GD","H17Sr12",NA,"H17Sr12",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,0.5,NA,NA,NA,21.27,18.59,18.03,8.61,NA,NA,NA,NA,NA,NA,NA,"10% Senesced, 50% herbivory",NA,NA,1,19.2966666666667,NA
"894","GD","H17Sr13",NA,"H17Sr13",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,14.4,NA,NA,NA,25.56,20.91,17.42,9.32,4.61,3.84,NA,NA,NA,NA,NA,"35% Senesced, 5% herbivory",NA,NA,1,21.2966666666667,5.92333333333333
"895","GD","H17Sr14",NA,"H17Sr14",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"896","GD","H17Sr15",NA,"H17Sr15",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,20.9,NA,NA,NA,26.25,29.52,27.32,25.1,NA,NA,NA,NA,NA,NA,NA,"70% Senesced, 5% herbivory",NA,NA,1,27.6966666666667,NA
"897","IR","H17Sr16",NA,"H17Sr16",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"898","IR","H17Sr17",NA,"H17Sr17",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
"899","IR","H17Sr18",NA,"H17Sr18",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,22.2,NA,NA,NA,20.33,23.85,27.24,13.72,12.61,NA,NA,NA,NA,NA,NA,"99% Senesced",NA,NA,1,23.8066666666667,NA
"900","IR","H17Sr19",NA,"H17Sr19",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100% Senesced",NA,NA,1,NA,NA
"901","LB","H17Sr2",NA,"H17Sr2",2017,"Salix richardsonii","Qikiqtaruk",NA,"18/08/2018","8","18",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dead",NA,NA,1,NA,NA
