"","PhenocamID","Year","SampleID_standard","Species","population","All_snow_free_DOY","Snow_return_EoS_DOY","First_bud_burst_DOY","First_leaf_yellow_DOY","growing_season","Site"
"258","M10",2018,NA,"Salix arctica","Northern Source",162,NA,168,205,37,NA
"259","F1",2017,NA,"Salix arctica","Northern Source",147,NA,159,198,39,NA
"260","M1",2017,NA,"Salix arctica","Northern Source",147,NA,150,198,48,NA
"261","F2",2017,NA,"Salix arctica","Northern Source",147,NA,159,238,79,NA
"262","M2",2017,NA,"Salix arctica","Northern Source",147,NA,153,238,85,NA
"263","F3",2017,NA,"Salix arctica","Northern Source",147,NA,163,204,41,NA
"264","M3",2017,NA,"Salix arctica","Northern Source",147,NA,159,198,39,NA
"265","F4",2017,NA,"Salix arctica","Northern Source",147,NA,156,204,48,NA
"266","M4",2017,NA,"Salix arctica","Northern Source",147,NA,165,204,39,NA
"267","F5",2017,NA,"Salix arctica","Northern Source",147,NA,159,204,45,NA
"268","M5",2017,NA,"Salix arctica","Northern Source",147,NA,NA,238,NA,NA
"269","F6",2017,NA,"Salix arctica","Northern Source",147,NA,160,238,78,NA
"270","M6",2017,NA,"Salix arctica","Northern Source",147,NA,163,210,47,NA
"271","F7",2017,NA,"Salix arctica","Northern Source",147,NA,153,210,57,NA
"272","M7",2017,NA,"Salix arctica","Northern Source",147,NA,163,238,75,NA
"273","F8",2017,NA,"Salix arctica","Northern Source",147,NA,159,210,51,NA
"274","M8",2017,NA,"Salix arctica","Northern Source",147,NA,150,204,54,NA
"275","F9",2017,NA,"Salix arctica","Northern Source",147,NA,163,204,41,NA
"276","M9",2017,NA,"Salix arctica","Northern Source",147,NA,150,210,60,NA
"277","F10",2017,NA,"Salix arctica","Northern Source",147,NA,150,210,60,NA
"278","M10",2017,NA,"Salix arctica","Northern Source",147,NA,153,189,36,NA
"279","F1",2016,NA,"Salix arctica","Northern Source",144,NA,156,210,54,NA
"280","F10",2016,NA,"Salix arctica","Northern Source",142,NA,156,197,41,NA
