"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Sample_ID","Sample_age"
"32","KLSPC8",25,27,12,8,15,2015,"Common_garden","Southern","Salix pulchra",21.3333333333333,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"33","KLSPC9",13,14,16,8,15,2015,"Common_garden","Southern","Salix pulchra",14.3333333333333,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"34","KLSPE1",8,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",9.66666666666667,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"35","KLSPE10",13,14,15,8,15,2015,"Common_garden","Southern","Salix pulchra",14,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"36","KLSPE11",18,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",13,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"37","KLSPE12",15,10,11,8,15,2015,"Common_garden","Southern","Salix pulchra",12,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"38","KLSPE13",6,10,5,8,15,2015,"Common_garden","Southern","Salix pulchra",7,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"39","KLSPE14",15,14,16,8,15,2015,"Common_garden","Southern","Salix pulchra",15,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"40","KLSPE15",26,15,15,8,15,2015,"Common_garden","Southern","Salix pulchra",18.6666666666667,"MG",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","KLSPE2",31,24,21,8,15,2015,"Common_garden","Southern","Salix pulchra",25.3333333333333,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"42","KLSPE4",5,5,NA,8,15,2015,"Common_garden","Southern","Salix pulchra",NA,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"43","KLSPE5",11,9,13,8,15,2015,"Common_garden","Southern","Salix pulchra",11,"IMS",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"44","KLSPE6",17,15,12,8,15,2015,"Common_garden","Southern","Salix pulchra",14.6666666666667,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"45","KLSPE7",7,6,8,8,15,2015,"Common_garden","Southern","Salix pulchra",7,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"46","KLSPE8",12,11,10,8,15,2015,"Common_garden","Southern","Salix pulchra",11,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"47","KLSPE9",19,20,23,8,15,2015,"Common_garden","Southern","Salix pulchra",20.6666666666667,"CF",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"48","KLSRC10",10,10,9,8,15,2015,"Common_garden","Southern","Salix richardsonii",9.66666666666667,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"49","KLSRC2",22,14,15,8,15,2015,"Common_garden","Southern","Salix richardsonii",17,"LB",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"50","KLSRC6",11,15,15,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"51","KLSRE10",15,13,13,8,15,2015,"Common_garden","Southern","Salix richardsonii",13.6666666666667,"SW",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"52","KLSRE11",13,15,10,8,15,2015,"Common_garden","Southern","Salix richardsonii",12.6666666666667,"IR",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
