"Date","mean_moist","month"
2021-12-24,26.2076045918597,"12"
2021-12-25,26.1574824966886,"12"
2021-12-26,26.1592564809559,"12"
2021-12-27,26.2169250488831,"12"
2021-12-28,26.2783950116689,"12"
2021-12-29,26.3471298624064,"12"
2021-12-30,26.4045731624902,"12"
2021-12-31,26.4355756494472,"12"
2022-01-01,26.4660994422368,"01"
2022-01-02,26.4736177565125,"01"
2022-01-03,26.4585811279611,"01"
2022-01-04,26.4185397687851,"01"
2022-01-05,26.3565347948711,"01"
2022-01-06,26.2883067967814,"01"
2022-01-07,26.2273718451239,"01"
2022-01-08,26.1655639805729,"01"
2022-01-09,26.1008276340569,"01"
2022-01-10,26.0509026482488,"01"
2022-01-11,26.0253347480154,"01"
2022-01-12,26.0220683642851,"01"
2022-01-13,26.0265174041936,"01"
2022-01-14,26.0643342434154,"01"
2022-01-15,26.0923237729661,"01"
2022-01-16,26.1195811820254,"01"
2022-01-17,26.1344770181746,"01"
2022-01-18,26.1386444732787,"01"
2022-01-19,26.1441916939241,"01"
2022-01-20,26.1428400868633,"01"
2022-01-21,26.1439101091197,"01"
2022-01-22,26.1730541363681,"01"
2022-01-23,26.1988191459646,"01"
2022-01-24,26.2183611313852,"01"
2022-01-25,26.2527707944746,"01"
2022-01-26,26.2529115868768,"01"
2022-01-27,26.1704166253676,"01"
2022-01-28,26.0122152426735,"01"
2022-01-29,26.1903112810486,"01"
2022-01-30,26.2218809414394,"01"
2022-01-31,26.1994104740536,"01"
2022-02-01,26.1609178313014,"02"
2022-02-02,26.1272684471837,"02"
2022-02-03,26.0887758044315,"02"
2022-02-04,26.0545350922247,"02"
2022-02-05,26.0367389325909,"02"
2022-02-06,26.0304877499347,"02"
2022-02-07,26.0372739437191,"02"
2022-02-08,25.8975672074096,"02"
2022-02-09,25.8975450896989,"02"
2022-02-10,26.0510434406509,"02"
2022-02-11,26.0275311094892,"02"
2022-02-12,26.0250250047306,"02"
2022-02-13,25.9948109552258,"02"
2022-02-14,25.9707354544553,"02"
2022-02-15,25.948096036187,"02"
2022-02-16,25.9294832806207,"02"
2022-02-17,25.9348897088638,"02"
2022-02-18,25.9545161697258,"02"
2022-02-19,25.9602604997342,"02"
2022-02-20,25.9963033546887,"02"
2022-02-21,25.9915164130151,"02"
2022-02-22,25.9988376179277,"02"
2022-02-23,26.001456356608,"02"
2022-02-24,25.9756350300507,"02"
2022-02-25,25.9927553861541,"02"
2022-02-26,26.0041595707296,"02"
2022-02-27,26.0134518692726,"02"
2022-02-28,26.0335288658215,"02"
2022-03-01,26.0464536083403,"03"
2022-03-02,26.040906387695,"03"
2022-03-03,26.0222654736482,"03"
2022-03-04,25.9752689698051,"03"
2022-03-05,25.9498418619739,"03"
2022-03-06,25.9583457230647,"03"
2022-03-07,25.9245273880644,"03"
2022-03-08,25.8609455392462,"03"
2022-03-09,25.8120061002532,"03"
